Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120036498	293.199977	293.199977	293.199977	293.199977	0	0	0	0	0	0	3
2	4	0	0.0240072995	293.19996	293.199969	293.19996	293.199977	8.17774975e-06	0	0	0	0	0	3
3	5	0	0.0360109493	293.199958	293.199965	293.199958	293.199977	1.1669942e-05	0	0	0	0	0	3
4	6	0	0.048014599	293.199953	293.199962	293.199953	293.199977	1.4783624e-05	0	0	0	0	0	3
5	6	0	0.0600182488	293.199948	293.199959	293.199948	293.199977	1.765799e-05	0	0	0	0	0	3
6	7	0	0.0720218985	293.199938	293.199956	293.199938	293.199977	2.11056181e-05	0	0	0	0	0	3
7	8	0	0.0840255483	293.199928	293.199952	293.199928	293.199977	2.50317001e-05	0	0	0	0	0	3
8	9	0	0.096029198	293.199918	293.199947	293.199918	293.199977	2.92927299e-05	0	0	0	0	0	3
9	9	0	0.108032848	293.199908	293.199943	293.199908	293.199977	3.36641854e-05	0	0	0	0	0	3
10	10	0	0.120036498	293.199899	293.199939	293.199899	293.199977	3.80866565e-05	0	0	0	0	0	3
11	11	0	0.132040147	293.199888	293.199934	293.199888	293.199977	4.26971159e-05	0	0	0	0	0	3
12	11	0	0.144043797	293.199878	293.199929	293.199878	293.199977	4.73805512e-05	0	0	0	0	0	3
13	12	0	0.156047447	293.199869	293.199925	293.199869	293.199977	5.20235801e-05	0	0	0	0	0	3
14	13	0	0.168051097	293.199861	293.19992	293.199861	293.199977	5.66024208e-05	0	0	0	0	0	3
15	14	0	0.180054746	293.199853	293.199916	293.199853	293.199977	6.10568288e-05	0	0	0	0	0	3
16	14	0	0.192058396	293.199843	293.199911	293.199843	293.199977	6.55839007e-05	0	0	0	0	0	3
17	15	0	0.204062046	293.199834	293.199907	293.199834	293.199977	7.00977816e-05	0	0	0	0	0	3
18	16	0	0.216065696	293.199826	293.199902	293.199826	293.199977	7.45861469e-05	0	0	0	0	0	3
19	16	0	0.228069345	293.199818	293.199898	293.199818	293.199977	7.90262549e-05	0	0	0	0	0	3
20	17	0	0.240072995	293.199809	293.199893	293.199809	293.199977	8.34366592e-05	0	0	0	0	0	3
21	18	0	0.252076645	293.199797	293.199889	293.199797	293.199977	8.8031173e-05	0	0	0	0	0	3
22	19	0	0.264080295	293.199784	293.199884	293.199784	293.199977	9.28052746e-05	0	0	0	0	0	3
