Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	3098.93701	3098.93701	3098.93701	3098.93701	0	0	0	0	0	0	3
2	4	0	0.0240100683	351.079469	1725.00824	351.079469	3098.93701	1373.92877	0	0	0	0	0	3
3	5	0	0.0360151025	124.476218	1191.49756	124.476218	3098.93701	1907.43944	0	0	0	0	0	3
4	6	0	0.0480201366	57.0355914	907.882071	57.0355914	3098.93701	2191.05493	0	0	0	0	0	3
5	7	0	0.0600251708	86.8895433	743.683565	57.0355914	3098.93701	2355.25344	0	0	0	0	0	3
6	8	0	0.0720302049	70.4398438	631.476278	57.0355914	3098.93701	2467.46073	0	0	0	0	0	3
7	8	0	0.0840352391	82.2265026	553.012025	57.0355914	3098.93701	2545.92498	0	0	0	0	0	3
8	9	0	0.0960402732	67.8595805	492.367969	57.0355914	3098.93701	2606.56904	0	0	0	0	0	3
9	10	0	0.108045307	83.9500268	446.988198	57.0355914	3098.93701	2651.94881	0	0	0	0	0	3
10	11	0	0.120050342	66.5729053	408.946669	57.0355914	3098.93701	2689.99034	0	0	0	0	0	3
11	12	0	0.132055376	73.7855308	378.477474	57.0355914	3098.93701	2720.45953	0	0	0	0	0	3
12	13	0	0.14406041	59.2352858	351.873959	57.0355914	3098.93701	2747.06305	0	0	0	0	0	3
13	13	0	0.156065444	67.3319154	329.986109	57.0355914	3098.93701	2768.9509	0	0	0	0	0	3
14	14	0	0.168070478	59.2343959	310.646701	57.0355914	3098.93701	2788.2903	0	0	0	0	0	3
15	15	0	0.180075512	68.7850476	294.522591	57.0355914	3098.93701	2804.41441	0	0	0	0	0	3
16	16	0	0.192080546	58.4239129	279.766423	57.0355914	3098.93701	2819.17058	0	0	0	0	0	3
17	17	0	0.204085581	64.5361234	267.105817	57.0355914	3098.93701	2831.83119	0	0	0	0	0	3
18	18	0	0.216090615	56.4725923	255.403972	56.4725923	3098.93701	2843.53303	0	0	0	0	0	3
19	18	0	0.228095649	63.0961905	245.282509	56.4725923	3098.93701	2853.6545	0	0	0	0	0	3
20	19	0	0.240100683	55.3930985	235.788039	55.3930985	3098.93701	2863.14897	0	0	0	0	0	3
21	20	0	0.252105717	59.0645475	227.372635	55.3930985	3098.93701	2871.56437	0	0	0	0	0	3
22	21	0	0.264110751	57.3633273	219.644939	55.3930985	3098.93701	2879.29207	0	0	0	0	0	3
23	22	0	0.276115786	58.8575686	212.654184	55.3930985	3098.93701	2886.28282	0	0	0	0	0	3
24	23	0	0.28812082	56.2497313	206.137331	55.3930985	3098.93701	2892.79967	0	0	0	0	0	3
25	24	0	0.300125854	58.0765093	200.214899	55.3930985	3098.93701	2898.72211	0	0	0	0	0	3
26	25	0	0.312130888	55.5443632	194.650647	55.3930985	3098.93701	2904.28636	0	0	0	0	0	3
27	25	0	0.324135922	56.4185732	189.530941	55.3930985	3098.93701	2909.40606	0	0	0	0	0	3
28	26	0	0.336140956	53.4523793	184.670992	53.4523793	3098.93701	2914.26601	0	0	0	0	0	3
29	27	0	0.34814599	54.5340858	180.183513	53.4523793	3098.93701	2918.75349	0	0	0	0	0	3
30	28	0	0.360151025	53.6251179	175.964899	53.4523793	3098.93701	2922.97211	0	0	0	0	0	3
31	29	0	0.372156059	53.8681172	172.026294	53.4523793	3098.93701	2926.91071	0	0	0	0	0	3
