Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	2717.65088	2717.65088	2717.65088	2717.65088	0	0	0	0	0	0	3
2	5	0	0.0240091822	324.245758	1520.94832	324.245758	2717.65088	1196.70256	0	0	0	0	0	3
3	6	0	0.0360137732	104.826142	1048.90759	104.826142	2717.65088	1668.74329	0	0	0	0	0	3
4	7	0	0.0480183643	57.4268815	801.037417	57.4268815	2717.65088	1916.61347	0	0	0	0	0	3
5	7	0	0.0600229554	73.0633281	655.442599	57.4268815	2717.65088	2062.20829	0	0	0	0	0	3
6	8	0	0.0720275465	65.5287085	557.123617	57.4268815	2717.65088	2160.52727	0	0	0	0	0	3
7	9	0	0.0840321375	71.353011	487.727816	57.4268815	2717.65088	2229.92307	0	0	0	0	0	3
8	10	0	0.0960367286	65.0274301	434.890268	57.4268815	2717.65088	2282.76062	0	0	0	0	0	3
9	11	0	0.10804132	67.4458305	394.063108	57.4268815	2717.65088	2323.58778	0	0	0	0	0	3
10	11	0	0.120045911	61.8335168	360.840149	57.4268815	2717.65088	2356.81074	0	0	0	0	0	3
11	12	0	0.132050502	63.4208078	333.802027	57.4268815	2717.65088	2383.84886	0	0	0	0	0	3
12	13	0	0.144055093	59.2048571	310.91893	57.4268815	2717.65088	2406.73196	0	0	0	0	0	3
13	14	0	0.156059684	61.4003529	291.725193	57.4268815	2717.65088	2425.92569	0	0	0	0	0	3
14	15	0	0.168064275	57.2061441	274.973832	57.2061441	2717.65088	2442.67705	0	0	0	0	0	3
15	16	0	0.180068866	59.4202426	260.603593	57.2061441	2717.65088	2457.04729	0	0	0	0	0	3
16	17	0	0.192073457	55.7776874	247.801974	55.7776874	2717.65088	2469.84891	0	0	0	0	0	3
17	18	0	0.204078048	57.0547673	236.58155	55.7776874	2717.65088	2481.06933	0	0	0	0	0	3
18	18	0	0.216082639	54.3150596	226.455634	54.3150596	2717.65088	2491.19525	0	0	0	0	0	3
19	19	0	0.22808723	55.0602777	217.434826	54.3150596	2717.65088	2500.21606	0	0	0	0	0	3
20	20	0	0.240091822	53.5935315	209.242761	53.5935315	2717.65088	2508.40812	0	0	0	0	0	3
