Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	2564.74562	2564.74562	2564.74562	2564.74562	0	0	0	0	0	0	3
2	5	0	0.0240091822	117.439322	1341.09247	117.439322	2564.74562	1223.65315	0	0	0	0	0	3
3	6	0	0.0360137732	-9.1306822	891.018088	-9.1306822	2564.74562	1673.72754	0	0	0	0	0	3
4	7	0	0.0480183643	-26.2795591	661.693676	-26.2795591	2564.74562	1903.05195	0	0	0	0	0	3
5	7	0	0.0600229554	30.7866698	535.512275	-26.2795591	2564.74562	2029.23335	0	0	0	0	0	3
6	8	0	0.0720275465	-25.4525408	442.018139	-26.2795591	2564.74562	2122.72748	0	0	0	0	0	3
7	9	0	0.0840321375	-15.3176121	376.68446	-26.2795591	2564.74562	2188.06116	0	0	0	0	0	3
8	10	0	0.0960367286	-46.1542208	323.829625	-46.1542208	2564.74562	2240.916	0	0	0	0	0	3
9	11	0	0.10804132	-43.6543299	282.998075	-46.1542208	2564.74562	2281.74755	0	0	0	0	0	3
10	11	0	0.120045911	-54.4140776	249.256859	-54.4140776	2564.74562	2315.48876	0	0	0	0	0	3
11	12	0	0.132050502	-52.6483435	221.810932	-54.4140776	2564.74562	2342.93469	0	0	0	0	0	3
12	13	0	0.144055093	-59.1095359	198.400893	-59.1095359	2564.74562	2366.34473	0	0	0	0	0	3
13	14	0	0.156059684	-52.4906526	179.101543	-59.1095359	2564.74562	2385.64408	0	0	0	0	0	3
14	15	0	0.168064275	-62.1109163	161.872082	-62.1109163	2564.74562	2402.87354	0	0	0	0	0	3
15	16	0	0.180068866	-50.1247972	147.738957	-62.1109163	2564.74562	2417.00667	0	0	0	0	0	3
16	17	0	0.192073457	-62.0280769	134.628517	-62.1109163	2564.74562	2430.11711	0	0	0	0	0	3
17	18	0	0.204078048	-50.7185527	123.725748	-62.1109163	2564.74562	2441.01988	0	0	0	0	0	3
18	18	0	0.216082639	-61.5186158	113.434395	-62.1109163	2564.74562	2451.31123	0	0	0	0	0	3
19	19	0	0.22808723	-52.224483	104.715506	-62.1109163	2564.74562	2460.03012	0	0	0	0	0	3
20	20	0	0.240091822	-57.3569763	96.6118822	-62.1109163	2564.74562	2468.13374	0	0	0	0	0	3
21	21	0	0.252096413	-50.1007085	89.6255683	-62.1109163	2564.74562	2475.12005	0	0	0	0	0	3
22	22	0	0.264101004	-55.464992	83.0305428	-62.1109163	2564.74562	2481.71508	0	0	0	0	0	3
23	23	0	0.276105595	-52.717214	77.1284665	-62.1109163	2564.74562	2487.61716	0	0	0	0	0	3
24	24	0	0.288110186	-54.1629048	71.6579927	-62.1109163	2564.74562	2493.08763	0	0	0	0	0	3
25	24	0	0.300114777	-53.0480855	66.6697495	-62.1109163	2564.74562	2498.07587	0	0	0	0	0	3
26	25	0	0.312119368	-54.3797503	62.0139995	-62.1109163	2564.74562	2502.73162	0	0	0	0	0	3
27	26	0	0.324123959	-54.0984505	57.7135384	-62.1109163	2564.74562	2507.03208	0	0	0	0	0	3
28	27	0	0.33612855	-55.137338	53.68315	-62.1109163	2564.74562	2511.06247	0	0	0	0	0	3
29	28	0	0.348133141	-55.0233649	49.9346495	-62.1109163	2564.74562	2514.81097	0	0	0	0	0	3
30	29	0	0.360137732	-55.4402302	46.4221535	-62.1109163	2564.74562	2518.32347	0	0	0	0	0	3
31	30	0	0.372142323	-55.1055148	43.1470674	-62.1109163	2564.74562	2521.59856	0	0	0	0	0	3
32	30	0	0.384146914	-55.2633364	40.0717423	-62.1109163	2564.74562	2524.67388	0	0	0	0	0	3
33	31	0	0.396151505	-55.1585912	37.1859746	-62.1109163	2564.74562	2527.55965	0	0	0	0	0	3
34	32	0	0.408156097	-55.8946526	34.4483091	-62.1109163	2564.74562	2530.29731	0	0	0	0	0	3
35	33	0	0.420160688	-55.6149176	31.8750741	-62.1109163	2564.74562	2532.87055	0	0	0	0	0	3
36	34	0	0.432165279	-55.5458442	29.4467152	-62.1109163	2564.74562	2535.29891	0	0	0	0	0	3
37	35	0	0.44416987	-55.0079566	27.1641565	-62.1109163	2564.74562	2537.58147	0	0	0	0	0	3
