Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	14.292672	14.292672	14.292672	14.292672	0	0	0	0	0	0	3
2	5	0	0.0240091822	9.00365627	11.6481642	9.00365627	14.292672	2.64450789	0	0	0	0	0	3
3	6	0	0.0360137732	13.7562452	12.3508579	9.00365627	14.292672	2.64450789	0	0	0	0	0	3
4	7	0	0.0480183643	3.15617671	10.0521876	3.15617671	14.292672	4.24048448	0	0	0	0	0	3
5	7	0	0.0600229554	10.015732	10.0448965	3.15617671	14.292672	4.2477756	0	0	0	0	0	3
6	8	0	0.0720275465	4.00354399	9.03800437	3.15617671	14.292672	5.25466768	0	0	0	0	0	3
7	9	0	0.0840321375	7.57982705	8.82969333	3.15617671	14.292672	5.46297872	0	0	0	0	0	3
8	10	0	0.0960367286	5.73299247	8.44260572	3.15617671	14.292672	5.85006633	0	0	0	0	0	3
9	11	0	0.10804132	9.07987724	8.51341367	3.15617671	14.292672	5.85006633	0	0	0	0	0	3
10	11	0	0.120045911	5.13646873	8.17571917	3.15617671	14.292672	6.11695288	0	0	0	0	0	3
11	12	0	0.132050502	9.48357751	8.29461539	3.15617671	14.292672	6.11695288	0	0	0	0	0	3
12	13	0	0.144055093	6.67867957	8.15995407	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
13	14	0	0.156059684	9.9031391	8.29404522	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
14	15	0	0.168064275	7.23192489	8.21817949	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
15	16	0	0.180068866	11.8203407	8.45832357	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
16	17	0	0.192073457	8.82527704	8.48125816	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
17	18	0	0.204078048	12.5788242	8.72229146	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
18	18	0	0.216082639	9.62952761	8.77269347	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
19	19	0	0.22808723	12.8752756	8.98861884	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
20	20	0	0.240091822	8.12758286	8.94556704	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
21	21	0	0.252096413	11.4454837	9.06461069	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
22	22	0	0.264101004	11.4829724	9.17453623	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
23	23	0	0.276105595	12.8812385	9.33569719	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
24	24	0	0.288110186	11.1913624	9.41301658	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
25	24	0	0.300114777	11.0467921	9.4783676	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
26	25	0	0.312119368	10.2956613	9.50980197	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
27	26	0	0.324123959	9.13713812	9.49599961	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
28	27	0	0.33612855	8.44623415	9.45850798	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
29	28	0	0.348133141	9.93280616	9.47486309	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
30	29	0	0.360137732	9.80646341	9.48591644	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
31	30	0	0.372142323	10.3301486	9.51314973	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
32	30	0	0.384146914	10.2185517	9.53519354	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
33	31	0	0.396151505	10.8869477	9.57615579	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
34	32	0	0.408156097	11.1736425	9.6231407	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
35	33	0	0.420160688	12.3255015	9.700351	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
36	34	0	0.432165279	11.9451324	9.76270604	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
37	35	0	0.44416987	12.2585018	9.83015998	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
38	35	0	0.456174461	12.0568525	9.88875715	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
39	36	0	0.468179052	12.6035112	9.95836623	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
40	37	0	0.480183643	12.9869364	10.0340805	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
41	38	0	0.492188234	13.4805799	10.1181414	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
42	39	0	0.504192825	12.9954728	10.1866493	3.15617671	14.292672	6.13271798	0	0	0	0	0	3
43	40	0	0.516197416	13.3851985	10.1650428	3.15617671	13.7562452	4.19090378	0	0	0	0	0	3
44	41	0	0.528202007	13.0094627	10.2604192	3.15617671	13.7562452	4.19090378	0	0	0	0	0	3
45	42	0	0.540206598	13.1826716	10.2467627	3.15617671	13.4805799	2.1004651	0	0	0	0	0	3
46	42	0	0.552211189	12.9562074	10.4800967	4.00354399	13.4805799	2.32014265	0	0	0	0	0	3
47	43	0	0.564215781	12.9779494	10.5506257	4.00354399	13.4805799	2.39067163	0	0	0	0	0	3
48	44	0	0.576220372	12.7516487	10.7589139	5.13646873	13.4805799	2.59895984	0	0	0	0	0	3
49	45	0	0.588224963	13.0801057	10.8898729	5.13646873	13.4805799	2.72991886	0	0	0	0	0	3
50	46	0	0.600229554	12.8474138	11.0592639	5.13646873	13.4805799	2.89930984	0	0	0	0	0	3
51	47	0	0.612234145	13.1770138	11.1568148	5.13646873	13.4805799	2.99686071	0	0	0	0	0	3
52	47	0	0.624238736	12.7966221	11.3391994	6.67867957	13.4805799	3.17924532	0	0	0	0	0	3
53	48	0	0.636243327	13.0553137	11.4242407	6.67867957	13.4805799	3.26428665	0	0	0	0	0	3
54	49	0	0.648247918	12.7859722	11.5696525	7.23192489	13.4805799	3.35147296	0	0	0	0	0	3
