Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	-26.6888601	-26.6888601	-26.6888601	-26.6888601	0	0	0	0	0	0	3
2	5	0	0.0240091822	-0.111226023	-13.4000431	-26.6888601	-0.111226023	13.288817	0	0	0	0	0	3
3	6	0	0.0360137732	1.03108049	-8.58966854	-26.6888601	1.03108049	18.0991916	0	0	0	0	0	3
4	7	0	0.0480183643	1.50626779	-6.06568446	-26.6888601	1.50626779	20.6231756	0	0	0	0	0	3
5	7	0	0.0600229554	1.42471613	-4.56760434	-26.6888601	1.50626779	22.1212558	0	0	0	0	0	3
6	8	0	0.0720275465	2.81934363	-3.33644635	-26.6888601	2.81934363	23.3524137	0	0	0	0	0	3
7	9	0	0.0840321375	1.59022992	-2.63263545	-26.6888601	2.81934363	24.0562246	0	0	0	0	0	3
8	10	0	0.0960367286	2.7402795	-1.96102108	-26.6888601	2.81934363	24.727839	0	0	0	0	0	3
9	11	0	0.10804132	1.56727008	-1.56898873	-26.6888601	2.81934363	25.1198714	0	0	0	0	0	3
10	11	0	0.120045911	2.4924422	-1.16284564	-26.6888601	2.81934363	25.5260145	0	0	0	0	0	3
11	12	0	0.132050502	1.41862759	-0.928166255	-26.6888601	2.81934363	25.7606938	0	0	0	0	0	3
12	13	0	0.144055093	2.0561192	-0.679475801	-26.6888601	2.81934363	26.0093843	0	0	0	0	0	3
13	14	0	0.156059684	1.91170373	-0.480154298	-26.6888601	2.81934363	26.2087058	0	0	0	0	0	3
14	15	0	0.168064275	2.78838125	-0.246687473	-26.6888601	2.81934363	26.4421726	0	0	0	0	0	3
15	16	0	0.180068866	1.26483147	-0.145919544	-26.6888601	2.81934363	26.5429405	0	0	0	0	0	3
16	17	0	0.192073457	2.5396451	0.0219282465	-26.6888601	2.81934363	26.7107883	0	0	0	0	0	3
17	18	0	0.204078048	1.58617945	0.113943023	-26.6888601	2.81934363	26.8028031	0	0	0	0	0	3
18	18	0	0.216082639	3.25685227	0.288549093	-26.6888601	3.25685227	26.9774092	0	0	0	0	0	3
19	19	0	0.22808723	1.47560944	0.351025953	-26.6888601	3.25685227	27.039886	0	0	0	0	0	3
20	20	0	0.240091822	2.78938109	0.47294371	-26.6888601	3.25685227	27.1618038	0	0	0	0	0	3
21	21	0	0.252096413	2.54771164	0.571742183	-26.6888601	3.25685227	27.2606023	0	0	0	0	0	3
22	22	0	0.264101004	2.87575418	0.676470001	-26.6888601	3.25685227	27.3653301	0	0	0	0	0	3
23	23	0	0.276105595	2.14075154	0.740134416	-26.6888601	3.25685227	27.4289945	0	0	0	0	0	3
24	24	0	0.288110186	1.78145544	0.783522792	-26.6888601	3.25685227	27.4723829	0	0	0	0	0	3
25	24	0	0.300114777	1.98120803	0.831430201	-26.6888601	3.25685227	27.5202903	0	0	0	0	0	3
26	25	0	0.312119368	1.71855067	0.86555022	-26.6888601	3.25685227	27.5544103	0	0	0	0	0	3
27	26	0	0.324123959	1.51337672	0.889543794	-26.6888601	3.25685227	27.5784039	0	0	0	0	0	3
28	27	0	0.33612855	1.65567695	0.916905692	-26.6888601	3.25685227	27.6057658	0	0	0	0	0	3
29	28	0	0.348133141	1.43665105	0.934827946	-26.6888601	3.25685227	27.623688	0	0	0	0	0	3
30	29	0	0.360137732	1.67243918	0.959414987	-26.6888601	3.25685227	27.6482751	0	0	0	0	0	3
31	30	0	0.372142323	1.50104339	0.976886871	-26.6888601	3.25685227	27.665747	0	0	0	0	0	3
32	30	0	0.384146914	1.48230741	0.992681263	-26.6888601	3.25685227	27.6815414	0	0	0	0	0	3
33	31	0	0.396151505	1.36015627	1.00381687	-26.6888601	3.25685227	27.692677	0	0	0	0	0	3
34	32	0	0.408156097	1.39660191	1.01536937	-26.6888601	3.25685227	27.7042295	0	0	0	0	0	3
35	33	0	0.420160688	1.32295443	1.02415751	-26.6888601	3.25685227	27.7130176	0	0	0	0	0	3
36	34	0	0.432165279	1.54041914	1.03849812	-26.6888601	3.25685227	27.7273582	0	0	0	0	0	3
37	35	0	0.44416987	1.59955335	1.05366177	-26.6888601	3.25685227	27.7425219	0	0	0	0	0	3
38	35	0	0.456174461	1.57991261	1.06751048	-26.6888601	3.25685227	27.7563706	0	0	0	0	0	3
39	36	0	0.468179052	1.51956067	1.07910151	-26.6888601	3.25685227	27.7679616	0	0	0	0	0	3
40	37	0	0.480183643	1.3933412	1.0869575	-26.6888601	3.25685227	27.7758176	0	0	0	0	0	3
41	38	0	0.492188234	1.40356873	1.09467972	-26.6888601	3.25685227	27.7835398	0	0	0	0	0	3
42	39	0	0.504192825	1.51779308	1.10475385	-26.6888601	3.25685227	27.7936139	0	0	0	0	0	3
43	40	0	0.516197416	1.54226632	1.77692353	-0.111226023	3.25685227	3.36807829	0	0	0	0	0	3
44	41	0	0.528202007	1.61331908	1.81798413	1.03108049	3.25685227	2.22577178	0	0	0	0	0	3
45	42	0	0.540206598	1.61860082	1.83197271	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
46	42	0	0.552211189	1.73178095	1.83734207	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
47	43	0	0.564215781	1.84262541	1.84729229	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
48	44	0	0.576220372	1.932819	1.82618456	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
49	45	0	0.588224963	1.96970105	1.83521959	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
50	46	0	0.600229554	1.93168967	1.81596745	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
51	47	0	0.612234145	1.99157363	1.82606991	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
52	47	0	0.624238736	1.95257879	1.81321602	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
53	48	0	0.636243327	2.06251344	1.82854664	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
54	49	0	0.648247918	1.99345641	1.82705467	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
55	50	0	0.660252509	1.86724815	1.8259962	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
56	51	0	0.6722571	1.92791403	1.80550888	1.26483147	3.25685227	1.9920208	0	0	0	0	0	3
57	52	0	0.684261691	1.80870739	1.81845831	1.32295443	3.25685227	1.82536404	0	0	0	0	0	3
58	52	0	0.696266282	1.85478685	1.80215216	1.32295443	3.25685227	1.73334926	0	0	0	0	0	3
59	53	0	0.708270873	1.75720129	1.80622411	1.32295443	3.25685227	1.5587432	0	0	0	0	0	3
60	54	0	0.720275465	1.7574441	1.77052392	1.32295443	2.87575418	1.49626633	0	0	0	0	0	3
61	55	0	0.732280056	1.66715899	1.77508462	1.32295443	2.87575418	1.37434858	0	0	0	0	0	3
62	56	0	0.744284647	1.72454371	1.74973135	1.32295443	2.87575418	1.2755501	0	0	0	0	0	3
63	57	0	0.756289238	1.71907688	1.73000195	1.32295443	2.87575418	1.17082229	0	0	0	0	0	3
64	58	0	0.768293829	1.72610202	1.70262928	1.32295443	2.14075154	0.817797119	0	0	0	0	0	3
65	58	0	0.78029842	1.60861684	1.68995941	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
66	59	0	0.792303011	1.66129635	1.68709848	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
67	60	0	0.804307602	1.66195444	1.6794972	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
68	61	0	0.816312193	1.7027116	1.67912008	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
69	62	0	0.828316784	1.67099834	1.68287297	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
70	63	0	0.840321375	1.71265685	1.68422964	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
71	64	0	0.852325966	1.57560597	1.68753809	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
72	64	0	0.864330557	1.70291303	1.68826366	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
73	65	0	0.876335149	1.66228206	1.69210267	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
74	66	0	0.88833974	1.66585908	1.69647295	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
75	67	0	0.900344331	1.60700994	1.70235042	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
76	68	0	0.912348922	1.61626661	1.70758053	1.32295443	2.06251344	0.739559009	0	0	0	0	0	3
77	69	0	0.924353513	1.60388591	1.71426938	1.3933412	2.06251344	0.66917224	0	0	0	0	0	3
78	69	0	0.936358104	1.67915277	1.71757256	1.3933412	2.06251344	0.66917224	0	0	0	0	0	3
79	70	0	0.948362695	1.62538315	1.71818755	1.3933412	2.06251344	0.66917224	0	0	0	0	0	3
80	71	0	0.960367286	1.66734761	1.72026934	1.3933412	2.06251344	0.66917224	0	0	0	0	0	3
81	72	0	0.972371877	1.57835108	1.72166911	1.3933412	2.06251344	0.66917224	0	0	0	0	0	3
