Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	-2.57429626	-2.57429626	-2.57429626	-2.57429626	0	0	0	0	0	0	3
2	5	0	0.0240091822	-25.7624793	-14.1683878	-25.7624793	-2.57429626	11.5940915	0	0	0	0	0	3
3	6	0	0.0360137732	-33.5716027	-20.6361261	-33.5716027	-2.57429626	18.0618298	0	0	0	0	0	3
4	7	0	0.0480183643	-14.0150884	-18.9808667	-33.5716027	-2.57429626	18.0618298	0	0	0	0	0	3
5	7	0	0.0600229554	-25.7301987	-20.3307331	-33.5716027	-2.57429626	18.0618298	0	0	0	0	0	3
6	8	0	0.0720275465	-15.4613861	-19.5191752	-33.5716027	-2.57429626	18.0618298	0	0	0	0	0	3
7	9	0	0.0840321375	-22.203508	-19.9026514	-33.5716027	-2.57429626	18.0618298	0	0	0	0	0	3
8	10	0	0.0960367286	-21.9181253	-20.1545856	-33.5716027	-2.57429626	18.0618298	0	0	0	0	0	3
9	11	0	0.10804132	-28.6259782	-21.0958514	-33.5716027	-2.57429626	18.5215552	0	0	0	0	0	3
10	11	0	0.120045911	-24.1424434	-21.4005106	-33.5716027	-2.57429626	18.8262144	0	0	0	0	0	3
11	12	0	0.132050502	-31.9809952	-22.3623729	-33.5716027	-2.57429626	19.7880766	0	0	0	0	0	3
12	13	0	0.144055093	-28.4957139	-22.8734846	-33.5716027	-2.57429626	20.2991884	0	0	0	0	0	3
13	14	0	0.156059684	-35.1683863	-23.8192463	-35.1683863	-2.57429626	21.24495	0	0	0	0	0	3
14	15	0	0.168064275	-31.9843426	-24.4024675	-35.1683863	-2.57429626	21.8281712	0	0	0	0	0	3
15	16	0	0.180068866	-42.3244219	-25.5972644	-42.3244219	-2.57429626	23.0229682	0	0	0	0	0	3
16	17	0	0.192073457	-35.9235462	-26.242657	-42.3244219	-2.57429626	23.6683608	0	0	0	0	0	3
17	18	0	0.204078048	-45.3135871	-27.3644764	-45.3135871	-2.57429626	24.7901802	0	0	0	0	0	3
18	18	0	0.216082639	-40.0483072	-28.0691337	-45.3135871	-2.57429626	25.4948375	0	0	0	0	0	3
19	19	0	0.22808723	-46.8951666	-29.0599775	-46.8951666	-2.57429626	26.4856813	0	0	0	0	0	3
20	20	0	0.240091822	-35.766467	-29.395302	-46.8951666	-2.57429626	26.8210058	0	0	0	0	0	3
21	21	0	0.252096413	-44.4205683	-30.1107909	-46.8951666	-2.57429626	27.5364946	0	0	0	0	0	3
22	22	0	0.264101004	-46.639099	-30.8620776	-46.8951666	-2.57429626	28.2877814	0	0	0	0	0	3
23	23	0	0.276105595	-47.5432662	-31.5873467	-47.5432662	-2.57429626	29.0130504	0	0	0	0	0	3
24	24	0	0.288110186	-43.206775	-32.0714895	-47.5432662	-2.57429626	29.4971933	0	0	0	0	0	3
25	24	0	0.300114777	-40.6359819	-32.4140692	-47.5432662	-2.57429626	29.839773	0	0	0	0	0	3
26	25	0	0.312119368	-39.326568	-32.6799346	-47.5432662	-2.57429626	30.1056383	0	0	0	0	0	3
27	26	0	0.324123959	-33.7890633	-32.7210134	-47.5432662	-2.57429626	30.1467172	0	0	0	0	0	3
28	27	0	0.33612855	-33.2137335	-32.7386106	-47.5432662	-2.57429626	30.1643143	0	0	0	0	0	3
29	28	0	0.348133141	-37.9784233	-32.9192938	-47.5432662	-2.57429626	30.3449975	0	0	0	0	0	3
30	29	0	0.360137732	-38.394529	-33.1018016	-47.5432662	-2.57429626	30.5275053	0	0	0	0	0	3
31	30	0	0.372142323	-39.8984205	-33.3210474	-47.5432662	-2.57429626	30.7467511	0	0	0	0	0	3
32	30	0	0.384146914	-40.2445045	-33.5374054	-47.5432662	-2.57429626	30.9631091	0	0	0	0	0	3
33	31	0	0.396151505	-42.5866572	-33.8116252	-47.5432662	-2.57429626	31.2373289	0	0	0	0	0	3
34	32	0	0.408156097	-44.5890534	-34.1286083	-47.5432662	-2.57429626	31.5543121	0	0	0	0	0	3
35	33	0	0.420160688	-48.2202814	-34.5312276	-48.2202814	-2.57429626	31.9569313	0	0	0	0	0	3
36	34	0	0.432165279	-47.4503277	-34.8900915	-48.2202814	-2.57429626	32.3157952	0	0	0	0	0	3
37	35	0	0.44416987	-48.2228873	-35.2504373	-48.2228873	-2.57429626	32.676141	0	0	0	0	0	3
38	35	0	0.456174461	-48.0558498	-35.5874218	-48.2228873	-2.57429626	33.0131256	0	0	0	0	0	3
39	36	0	0.468179052	-49.7178521	-35.9497406	-49.7178521	-2.57429626	33.3754443	0	0	0	0	0	3
40	37	0	0.480183643	-51.728245	-36.3442032	-51.728245	-2.57429626	33.7699069	0	0	0	0	0	3
41	38	0	0.492188234	-53.0191574	-36.7509094	-53.0191574	-2.57429626	34.1766131	0	0	0	0	0	3
42	39	0	0.504192825	-51.5298452	-37.1027888	-53.0191574	-2.57429626	34.5284925	0	0	0	0	0	3
43	40	0	0.516197416	-52.3829596	-38.2887094	-53.0191574	-14.0150884	24.1203216	0	0	0	0	0	3
44	41	0	0.528202007	-51.2803883	-38.8962786	-53.0191574	-14.0150884	19.915412	0	0	0	0	0	3
45	42	0	0.540206598	-51.5197916	-39.3236164	-53.0191574	-14.0150884	20.3427498	0	0	0	0	0	3
46	42	0	0.552211189	-51.0314465	-40.2049583	-53.0191574	-15.4613861	20.6857831	0	0	0	0	0	3
47	43	0	0.564215781	-50.8356548	-40.8027073	-53.0191574	-15.4613861	21.283532	0	0	0	0	0	3
48	44	0	0.576220372	-50.402735	-41.6346441	-53.0191574	-21.9181253	21.7319928	0	0	0	0	0	3
49	45	0	0.588224963	-51.1547803	-42.3239601	-53.0191574	-21.9181253	22.1693745	0	0	0	0	0	3
50	46	0	0.600229554	-50.718864	-43.009692	-53.0191574	-24.1424434	21.9138406	0	0	0	0	0	3
51	47	0	0.612234145	-51.549582	-43.5554921	-53.0191574	-24.1424434	22.1549815	0	0	0	0	0	3
52	47	0	0.624238736	-50.5562223	-44.1843916	-53.0191574	-28.4957139	21.8220187	0	0	0	0	0	3
53	48	0	0.636243327	-51.0238245	-44.6377923	-53.0191574	-28.4957139	21.7643077	0	0	0	0	0	3
54	49	0	0.648247918	-50.5066504	-45.1618622	-53.0191574	-31.9843426	21.0348148	0	0	0	0	0	3
55	50	0	0.660252509	-50.9369367	-45.5373039	-53.0191574	-31.9843426	21.0348148	0	0	0	0	0	3
56	51	0	0.6722571	-51.0832083	-45.9920388	-53.0191574	-33.2137335	19.8054239	0	0	0	0	0	3
57	52	0	0.684261691	-51.0765268	-46.2004222	-53.0191574	-33.2137335	19.8054239	0	0	0	0	0	3
58	52	0	0.696266282	-50.8481405	-46.5557697	-53.0191574	-33.2137335	19.1912933	0	0	0	0	0	3
59	53	0	0.708270873	-51.2259304	-46.6965398	-53.0191574	-33.2137335	18.6274061	0	0	0	0	0	3
60	54	0	0.720275465	-50.8590091	-46.9539375	-53.0191574	-33.2137335	17.8939599	0	0	0	0	0	3
61	55	0	0.732280056	-51.6592528	-47.0673681	-53.0191574	-33.2137335	17.6720661	0	0	0	0	0	3
62	56	0	0.744284647	-50.7826935	-47.4248973	-53.0191574	-33.2137335	17.3141064	0	0	0	0	0	3
63	57	0	0.756289238	-51.1402228	-47.5848891	-53.0191574	-33.2137335	16.7228114	0	0	0	0	0	3
64	58	0	0.768293829	-50.9684178	-47.6879681	-53.0191574	-33.2137335	16.1006214	0	0	0	0	0	3
65	58	0	0.78029842	-51.3827965	-47.7793855	-53.0191574	-33.2137335	15.7078959	0	0	0	0	0	3
66	59	0	0.792303011	-50.9843162	-47.964565	-53.0191574	-33.2137335	15.5504958	0	0	0	0	0	3
67	60	0	0.804307602	-50.7177804	-48.2046078	-53.0191574	-33.2137335	15.5246733	0	0	0	0	0	3
68	61	0	0.816312193	-50.0827667	-48.4607078	-53.0191574	-33.2137335	15.7396944	0	0	0	0	0	3
69	62	0	0.828316784	-50.654865	-48.8622745	-53.0191574	-33.2137335	16.123664	0	0	0	0	0	3
70	63	0	0.840321375	-50.8668767	-49.2825875	-53.0191574	-37.9784233	15.0407341	0	0	0	0	0	3
71	64	0	0.852325966	-51.4867232	-49.6042136	-53.0191574	-38.394529	14.6246284	0	0	0	0	0	3
72	64	0	0.864330557	-50.4652784	-49.8916124	-53.0191574	-39.8984205	13.1207369	0	0	0	0	0	3
73	65	0	0.876335149	-50.9043121	-50.1536575	-53.0191574	-40.2445045	12.774653	0	0	0	0	0	3
74	66	0	0.88833974	-50.5748165	-50.3996173	-53.0191574	-42.5866572	10.4325002	0	0	0	0	0	3
75	67	0	0.900344331	-51.1820622	-50.6042698	-53.0191574	-44.5890534	8.43010398	0	0	0	0	0	3
76	68	0	0.912348922	-51.452777	-50.7676918	-53.0191574	-47.4503277	5.56882968	0	0	0	0	0	3
77	69	0	0.924353513	-51.3604635	-50.842458	-53.0191574	-47.4503277	5.56882968	0	0	0	0	0	3
78	69	0	0.936358104	-50.9171425	-50.9250012	-53.0191574	-48.0558498	4.96330766	0	0	0	0	0	3
79	70	0	0.948362695	-51.1661983	-50.9950801	-53.0191574	-48.0558498	4.96330766	0	0	0	0	0	3
80	71	0	0.960367286	-50.481303	-51.0528289	-53.0191574	-49.7178521	3.30130535	0	0	0	0	0	3
81	72	0	0.972371877	-51.4620678	-51.0943579	-53.0191574	-50.0827667	2.93639076	0	0	0	0	0	3
82	73	0	0.984376468	-50.4778369	-51.0645863	-53.0191574	-50.0827667	2.93639076	0	0	0	0	0	3
83	74	0	0.996381059	-51.1149766	-51.0192486	-52.3829596	-50.0827667	2.30019295	0	0	0	0	0	3
84	74	0	1.00838565	-50.5622203	-50.9962099	-52.3829596	-50.0827667	2.30019295	1.17012207	0	50.8	0	0	3
85	75	0	1.02039024	-51.1542611	-50.9669552	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
86	76	0	1.03239483	-50.8278414	-50.9561803	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
87	77	0	1.04439942	-50.8853791	-50.9410752	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
88	78	0	1.05640401	-50.4499266	-50.9272295	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
89	79	0	1.06840861	-51.1385733	-50.9344419	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
90	80	0	1.0804132	-50.6790873	-50.9410217	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
91	80	0	1.09241779	-51.6333378	-50.9524159	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
92	81	0	1.10442238	-50.3026095	-50.9425051	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
93	82	0	1.11642697	-51.0290398	-50.9301112	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
94	83	0	1.12843156	-50.6814083	-50.9330918	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
95	84	0	1.14043615	-51.4065014	-50.9422032	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
96	85	0	1.15244074	-51.1218533	-50.9568509	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
97	85	0	1.16444533	-50.9255883	-50.9565807	-51.6592528	-50.0827667	1.57648616	1.17012207	0	74.2	0	0	3
98	86	0	1.17644993	-50.0509629	-50.9320034	-51.6592528	-50.0509629	1.60828993	1.17012207	0	72.7	0	0	3
99	87	0	1.18845452	-50.9625559	-50.9292898	-51.6592528	-50.0509629	1.60828993	1.17012207	0	72.7	0	0	3
100	88	0	1.20045911	-50.6376949	-50.9242792	-51.6592528	-50.0509629	1.60828993	1.17012207	0	72.7	0	0	3
101	89	0	1.2124637	-51.7039701	-50.9356611	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
102	90	0	1.22446829	-50.6089812	-50.9297081	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
103	91	0	1.23647288	-50.9539553	-50.9129153	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
104	92	0	1.24847747	-50.2244603	-50.899624	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
105	93	0	1.26048206	-51.2106825	-50.9013016	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
106	94	0	1.27248665	-51.2428159	-50.9078349	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
107	94	0	1.28449125	-51.2995033	-50.9058517	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
108	95	0	1.29649584	-50.8312396	-50.9022071	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
109	96	0	1.30850043	-51.2316362	-50.9144417	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
110	97	0	1.32050502	-50.4160727	-50.9223776	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
111	98	0	1.33250961	-51.5520786	-50.9437398	-51.7039701	-50.0509629	1.65300727	1.17012207	0	70.7	0	0	3
