Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	7875.46015	7875.46015	7875.46015	7875.46015	0	0	0	0	0	0	3
2	5	0	0.0240091822	-139.782053	3867.83905	-139.782053	7875.46015	4007.6211	0	0	0	0	0	3
3	6	0	0.0360137732	-344.087349	2463.86358	-344.087349	7875.46015	5411.59657	0	0	0	0	0	3
4	7	0	0.0480183643	-388.684466	1750.72657	-388.684466	7875.46015	6124.73358	0	0	0	0	0	3
5	7	0	0.0600229554	-153.160828	1369.94909	-388.684466	7875.46015	6505.51106	0	0	0	0	0	3
6	8	0	0.0720275465	-379.169196	1078.42938	-388.684466	7875.46015	6797.03078	0	0	0	0	0	3
7	9	0	0.0840321375	-315.281522	879.32782	-388.684466	7875.46015	6996.13233	0	0	0	0	0	3
8	10	0	0.0960367286	-432.186635	715.388513	-432.186635	7875.46015	7160.07164	0	0	0	0	0	3
9	11	0	0.10804132	-409.790524	590.36862	-432.186635	7875.46015	7285.09153	0	0	0	0	0	3
10	11	0	0.120045911	-453.724611	485.959297	-453.724611	7875.46015	7389.50086	0	0	0	0	0	3
11	12	0	0.132050502	-443.697241	401.445066	-453.724611	7875.46015	7474.01509	0	0	0	0	0	3
12	13	0	0.144055093	-470.295135	328.800049	-470.295135	7875.46015	7546.6601	0	0	0	0	0	3
13	14	0	0.156059684	-447.502276	269.084486	-470.295135	7875.46015	7606.37567	0	0	0	0	0	3
14	15	0	0.168064275	-479.868114	215.587872	-479.868114	7875.46015	7659.87228	0	0	0	0	0	3
15	16	0	0.180068866	-442.513974	171.714415	-479.868114	7875.46015	7703.74574	0	0	0	0	0	3
16	17	0	0.192073457	-481.032171	130.917754	-481.032171	7875.46015	7744.5424	0	0	0	0	0	3
17	18	0	0.204078048	-442.669402	97.1773328	-481.032171	7875.46015	7778.28282	0	0	0	0	0	3
18	18	0	0.216082639	-480.869299	65.063631	-481.032171	7875.46015	7810.39652	0	0	0	0	0	3
19	19	0	0.22808723	-447.609552	38.0808319	-481.032171	7875.46015	7837.37932	0	0	0	0	0	3
20	20	0	0.240091822	-465.872393	12.8831706	-481.032171	7875.46015	7862.57698	0	0	0	0	0	3
21	21	0	0.252096413	-440.363687	-8.70001309	-481.032171	7875.46015	7884.16017	0	0	0	0	0	3
22	22	0	0.264101004	-459.502079	-29.1910161	-481.032171	7875.46015	7904.65117	0	0	0	0	0	3
23	23	0	0.276105595	-449.367736	-47.4595691	-481.032171	7875.46015	7922.91972	0	0	0	0	0	3
24	24	0	0.288110186	-453.89065	-64.3941975	-481.032171	7875.46015	7939.85435	0	0	0	0	0	3
25	24	0	0.300114777	-449.007658	-79.7787359	-481.032171	7875.46015	7955.23889	0	0	0	0	0	3
26	25	0	0.312119368	-454.468843	-94.1898939	-481.032171	7875.46015	7969.65005	0	0	0	0	0	3
27	26	0	0.324123959	-452.933918	-107.47671	-481.032171	7875.46015	7982.93686	0	0	0	0	0	3
28	27	0	0.33612855	-458.655292	-120.018802	-481.032171	7875.46015	7995.47896	0	0	0	0	0	3
