Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0240091822	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.0360137732	0	0	0	0	0	0	0	0	0	0	3
4	7	0	0.0480183643	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0600229554	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0720275465	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.0840321375	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.0960367286	0	0	0	0	0	0	0	0	0	0	3
9	11	0	0.10804132	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.120045911	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.132050502	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.144055093	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.156059684	0	0	0	0	0	0	0	0	0	0	3
14	15	0	0.168064275	0	0	0	0	0	0	0	0	0	0	3
15	16	0	0.180068866	0	0	0	0	0	0	0	0	0	0	3
16	17	0	0.192073457	0	0	0	0	0	0	0	0	0	0	3
17	18	0	0.204078048	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.216082639	0	0	0	0	0	0	0	0	0	0	3
19	19	0	0.22808723	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.240091822	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.252096413	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.264101004	0	0	0	0	0	0	0	0	0	0	3
23	23	0	0.276105595	0	0	0	0	0	0	0	0	0	0	3
24	24	0	0.288110186	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.300114777	0	0	0	0	0	0	0	0	0	0	3
26	25	0	0.312119368	0	0	0	0	0	0	0	0	0	0	3
27	26	0	0.324123959	0	0	0	0	0	0	0	0	0	0	3
28	27	0	0.33612855	0	0	0	0	0	0	0	0	0	0	3
29	28	0	0.348133141	0	0	0	0	0	0	0	0	0	0	3
30	29	0	0.360137732	0	0	0	0	0	0	0	0	0	0	3
31	30	0	0.372142323	0	0	0	0	0	0	0	0	0	0	3
32	30	0	0.384146914	0	0	0	0	0	0	0	0	0	0	3
33	31	0	0.396151505	0	0	0	0	0	0	0	0	0	0	3
34	32	0	0.408156097	0	0	0	0	0	0	0	0	0	0	3
35	33	0	0.420160688	0	0	0	0	0	0	0	0	0	0	3
36	34	0	0.432165279	0	0	0	0	0	0	0	0	0	0	3
37	35	0	0.44416987	0	0	0	0	0	0	0	0	0	0	3
38	35	0	0.456174461	0	0	0	0	0	0	0	0	0	0	3
39	36	0	0.468179052	0	0	0	0	0	0	0	0	0	0	3
40	37	0	0.480183643	0	0	0	0	0	0	0	0	0	0	3
41	38	0	0.492188234	0	0	0	0	0	0	0	0	0	0	3
42	39	0	0.504192825	0	0	0	0	0	0	0	0	0	0	3
43	40	0	0.516197416	0	0	0	0	0	0	0	0	0	0	3
44	41	0	0.528202007	0	0	0	0	0	0	0	0	0	0	3
45	42	0	0.540206598	0	0	0	0	0	0	0	0	0	0	3
46	42	0	0.552211189	0	0	0	0	0	0	0	0	0	0	3
47	43	0	0.564215781	0	0	0	0	0	0	0	0	0	0	3
48	44	0	0.576220372	0	0	0	0	0	0	0	0	0	0	3
49	45	0	0.588224963	0	0	0	0	0	0	0	0	0	0	3
50	46	0	0.600229554	0	0	0	0	0	0	0	0	0	0	3
51	47	0	0.612234145	0	0	0	0	0	0	0	0	0	0	3
52	47	0	0.624238736	0	0	0	0	0	0	0	0	0	0	3
53	48	0	0.636243327	0	0	0	0	0	0	0	0	0	0	3
54	49	0	0.648247918	0	0	0	0	0	0	0	0	0	0	3
55	50	0	0.660252509	0	0	0	0	0	0	0	0	0	0	3
56	51	0	0.6722571	0	0	0	0	0	0	0	0	0	0	3
57	52	0	0.684261691	0	0	0	0	0	0	0	0	0	0	3
58	52	0	0.696266282	0	0	0	0	0	0	0	0	0	0	3
59	53	0	0.708270873	0	0	0	0	0	0	0	0	0	0	3
60	54	0	0.720275465	0	0	0	0	0	0	0	0	0	0	3
61	55	0	0.732280056	0	0	0	0	0	0	0	0	0	0	3
62	56	0	0.744284647	0	0	0	0	0	0	0	0	0	0	3
63	57	0	0.756289238	0	0	0	0	0	0	0	0	0	0	3
64	58	0	0.768293829	0	0	0	0	0	0	0	0	0	0	3
65	58	0	0.78029842	0	0	0	0	0	0	0	0	0	0	3
66	59	0	0.792303011	0	0	0	0	0	0	0	0	0	0	3
67	60	0	0.804307602	0	0	0	0	0	0	0	0	0	0	3
68	61	0	0.816312193	0	0	0	0	0	0	0	0	0	0	3
69	62	0	0.828316784	0	0	0	0	0	0	0	0	0	0	3
70	63	0	0.840321375	0	0	0	0	0	0	0	0	0	0	3
71	64	0	0.852325966	0	0	0	0	0	0	0	0	0	0	3
72	64	0	0.864330557	0	0	0	0	0	0	0	0	0	0	3
73	65	0	0.876335149	0	0	0	0	0	0	0	0	0	0	3
74	66	0	0.88833974	0	0	0	0	0	0	0	0	0	0	3
75	67	0	0.900344331	0	0	0	0	0	0	0	0	0	0	3
76	68	0	0.912348922	0	0	0	0	0	0	0	0	0	0	3
77	69	0	0.924353513	0	0	0	0	0	0	0	0	0	0	3
78	69	0	0.936358104	0	0	0	0	0	0	0	0	0	0	3
79	70	0	0.948362695	0	0	0	0	0	0	0	0	0	0	3
80	71	0	0.960367286	0	0	0	0	0	0	0	0	0	0	3
81	72	0	0.972371877	0	0	0	0	0	0	0	0	0	0	3
82	73	0	0.984376468	0	0	0	0	0	0	0	0	0	0	3
83	74	0	0.996381059	0	0	0	0	0	0	0	0	0	0	3
84	74	0	1.00838565	0	0	0	0	0	5e-06	0	0	0	0	3
85	75	0	1.02039024	0	0	0	0	0	5e-06	0	0	0	0	3
86	76	0	1.03239483	0	0	0	0	0	5e-06	0	0	0	0	3
87	77	0	1.04439942	0	0	0	0	0	5e-06	0	0	0	0	3
88	78	0	1.05640401	0	0	0	0	0	5e-06	0	0	0	0	3
89	79	0	1.06840861	0	0	0	0	0	5e-06	0	0	0	0	3
90	80	0	1.0804132	0	0	0	0	0	5e-06	0	0	0	0	3
91	80	0	1.09241779	0	0	0	0	0	5e-06	0	0	0	0	3
92	81	0	1.10442238	0	0	0	0	0	5e-06	0	0	0	0	3
93	82	0	1.11642697	0	0	0	0	0	5e-06	0	0	0	0	3
94	83	0	1.12843156	0	0	0	0	0	5e-06	0	0	0	0	3
95	84	0	1.14043615	0	0	0	0	0	5e-06	0	0	0	0	3
96	85	0	1.15244074	0	0	0	0	0	5e-06	0	0	0	0	3
97	85	0	1.16444533	0	0	0	0	0	5e-06	0	0	0	0	3
98	86	0	1.17644993	0	0	0	0	0	5e-06	0	0	0	0	3
99	87	0	1.18845452	0	0	0	0	0	5e-06	0	0	0	0	3
100	88	0	1.20045911	0	0	0	0	0	5e-06	0	0	0	0	3
101	89	0	1.2124637	0	0	0	0	0	5e-06	0	0	0	0	3
102	90	0	1.22446829	0	0	0	0	0	5e-06	0	0	0	0	3
103	91	0	1.23647288	0	0	0	0	0	5e-06	0	0	0	0	3
104	92	0	1.24847747	0	0	0	0	0	5e-06	0	0	0	0	3
105	93	0	1.26048206	0	0	0	0	0	5e-06	0	0	0	0	3
106	94	0	1.27248665	0	0	0	0	0	5e-06	0	0	0	0	3
107	94	0	1.28449125	0	0	0	0	0	5e-06	0	0	0	0	3
108	95	0	1.29649584	0	0	0	0	0	5e-06	0	0	0	0	3
109	96	0	1.30850043	0	0	0	0	0	5e-06	0	0	0	0	3
110	97	0	1.32050502	0	0	0	0	0	5e-06	0	0	0	0	3
111	98	0	1.33250961	0	0	0	0	0	5e-06	0	0	0	0	3
112	99	0	1.3445142	0	0	0	0	0	5e-06	0	0	0	0	3
113	100	0	1.35651879	0	0	0	0	0	5e-06	0	0	0	0	3
114	100	0	1.36852338	0	0	0	0	0	5e-06	0	0	0	0	3
115	101	0	1.38052797	0	0	0	0	0	5e-06	0	0	0	0	3
116	102	0	1.39253256	0	0	0	0	0	5e-06	0	0	0	0	3
117	103	0	1.40453716	0	0	0	0	0	5e-06	0	0	0	0	3
118	104	0	1.41654175	0	0	0	0	0	5e-06	0	0	0	0	3
119	105	0	1.42854634	0	0	0	0	0	5e-06	0	0	0	0	3
120	105	0	1.44055093	0	0	0	0	0	5e-06	0	0	0	0	3
121	106	0	1.45255552	0	0	0	0	0	5e-06	0	0	0	0	3
122	107	0	1.46456011	0	0	0	0	0	5e-06	0	0	0	0	3
123	108	0	1.4765647	0	0	0	0	0	5e-06	0	0	0	0	3
124	109	0	1.48856929	0	0	0	0	0	5e-06	0	0	0	0	3
125	110	0	1.50057388	0	0	0	0	0	5e-06	0	0	0	0	3
126	111	0	1.51257848	0	0	0	0	0	5e-06	0	0	0	0	3
127	111	0	1.52458307	0	0	0	0	0	5e-06	0	0	0	0	3
128	112	0	1.53658766	0	0	0	0	0	5e-06	0	0	0	0	3
129	113	0	1.54859225	0	0	0	0	0	5e-06	0	0	0	0	3
130	114	0	1.56059684	0	0	0	0	0	5e-06	0	0	0	0	3
131	115	0	1.57260143	0	0	0	0	0	5e-06	0	0	0	0	3
132	116	0	1.58460602	0	0	0	0	0	5e-06	0	0	0	0	3
133	117	0	1.59661061	0	0	0	0	0	5e-06	0	0	0	0	3
134	117	0	1.6086152	0	0	0	0	0	5e-06	0	0	0	0	3
135	118	0	1.6206198	0	0	0	0	0	5e-06	0	0	0	0	3
136	119	0	1.63262439	0	0	0	0	0	5e-06	0	0	0	0	3
137	120	0	1.64462898	0	0	0	0	0	5e-06	0	0	0	0	3
138	121	0	1.65663357	0	0	0	0	0	5e-06	0	0	0	0	3
