Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	101326.68	101326.68	101326.68	101326.68	0	0	0	0	0	0	3
2	5	0	0.0240091822	101324.966	101325.823	101324.966	101326.68	0.856710501	0	0	0	0	0	3
3	6	0	0.0360137732	101325.099	101325.582	101324.966	101326.68	1.09820962	0	0	0	0	0	3
4	7	0	0.0480183643	101325.045	101325.447	101324.966	101326.68	1.232324	0	0	0	0	0	3
5	7	0	0.0600229554	101325.053	101325.369	101324.966	101326.68	1.31115626	0	0	0	0	0	3
6	8	0	0.0720275465	101325.041	101325.314	101324.966	101326.68	1.36571008	0	0	0	0	0	3
7	9	0	0.0840321375	101325.069	101325.279	101324.966	101326.68	1.40067981	0	0	0	0	0	3
8	10	0	0.0960367286	101325.051	101325.251	101324.966	101326.68	1.42912839	0	0	0	0	0	3
9	11	0	0.10804132	101325.075	101325.231	101324.966	101326.68	1.44859959	0	0	0	0	0	3
10	11	0	0.120045911	101325.047	101325.213	101324.966	101326.68	1.46699184	0	0	0	0	0	3
11	12	0	0.132050502	101325.074	101325.2	101324.966	101326.68	1.47964898	0	0	0	0	0	3
12	13	0	0.144055093	101325.044	101325.187	101324.966	101326.68	1.49267034	0	0	0	0	0	3
13	14	0	0.156059684	101325.07	101325.178	101324.966	101326.68	1.501691	0	0	0	0	0	3
14	15	0	0.168064275	101325.039	101325.168	101324.966	101326.68	1.51162043	0	0	0	0	0	3
15	16	0	0.180068866	101325.063	101325.161	101324.966	101326.68	1.51864007	0	0	0	0	0	3
16	17	0	0.192073457	101325.039	101325.153	101324.966	101326.68	1.52626391	0	0	0	0	0	3
17	18	0	0.204078048	101325.052	101325.148	101324.966	101326.68	1.53223299	0	0	0	0	0	3
18	18	0	0.216082639	101325.037	101325.141	101324.966	101326.68	1.53835328	0	0	0	0	0	3
19	19	0	0.22808723	101325.048	101325.136	101324.966	101326.68	1.54328556	0	0	0	0	0	3
20	20	0	0.240091822	101325.039	101325.132	101324.966	101326.68	1.54815008	0	0	0	0	0	3
21	21	0	0.252096413	101325.046	101325.128	101324.966	101326.68	1.55221278	0	0	0	0	0	3
22	22	0	0.264101004	101325.045	101325.124	101324.966	101326.68	1.55595054	0	0	0	0	0	3
23	23	0	0.276105595	101325.048	101325.12	101324.966	101326.68	1.55926803	0	0	0	0	0	3
24	24	0	0.288110186	101325.045	101325.117	101324.966	101326.68	1.56243205	0	0	0	0	0	3
25	24	0	0.300114777	101325.044	101325.114	101324.966	101326.68	1.56535916	0	0	0	0	0	3
26	25	0	0.312119368	101325.041	101325.112	101324.966	101326.68	1.56819405	0	0	0	0	0	3
27	26	0	0.324123959	101325.034	101325.109	101324.966	101326.68	1.571068	0	0	0	0	0	3
28	27	0	0.33612855	101325.025	101325.106	101324.966	101326.68	1.57405347	0	0	0	0	0	3
29	28	0	0.348133141	101325.017	101325.103	101324.966	101326.68	1.5771022	0	0	0	0	0	3
30	29	0	0.360137732	101325.011	101325.1	101324.966	101326.68	1.58015654	0	0	0	0	0	3
31	30	0	0.372142323	101325.005	101325.097	101324.966	101326.68	1.58320101	0	0	0	0	0	3
32	30	0	0.384146914	101325	101325.094	101324.966	101326.68	1.58620577	0	0	0	0	0	3
33	31	0	0.396151505	101324.998	101325.091	101324.966	101326.68	1.58909748	0	0	0	0	0	3
34	32	0	0.408156097	101324.998	101325.088	101324.966	101326.68	1.59183211	0	0	0	0	0	3
35	33	0	0.420160688	101324.998	101325.085	101324.966	101326.68	1.59439635	0	0	0	0	0	3
36	34	0	0.432165279	101325.001	101325.083	101324.966	101326.68	1.59674145	0	0	0	0	0	3
