Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120045911	293.199982	293.199982	293.199982	293.199982	0	0	0	0	0	0	3
2	5	0	0.0240091822	293.199962	293.199972	293.199962	293.199982	1.00575392e-05	0	0	0	0	0	3
3	6	0	0.0360137732	293.19996	293.199968	293.19996	293.199982	1.3920961e-05	0	0	0	0	0	3
4	7	0	0.0480183643	293.199955	293.199965	293.199955	293.199982	1.72216641e-05	0	0	0	0	0	3
5	7	0	0.0600229554	293.19995	293.199962	293.19995	293.199982	2.01149385e-05	0	0	0	0	0	3
6	8	0	0.0720275465	293.199941	293.199958	293.199941	293.199982	2.35923138e-05	0	0	0	0	0	3
7	9	0	0.0840321375	293.19993	293.199954	293.19993	293.199982	2.76026914e-05	0	0	0	0	0	3
8	10	0	0.0960367286	293.199919	293.19995	293.199919	293.199982	3.20353702e-05	0	0	0	0	0	3
9	11	0	0.10804132	293.199908	293.199945	293.199908	293.199982	3.66651372e-05	0	0	0	0	0	3
10	11	0	0.120045911	293.199898	293.199941	293.199898	293.199982	4.1407941e-05	0	0	0	0	0	3
11	12	0	0.132050502	293.199886	293.199936	293.199886	293.199982	4.64024715e-05	0	0	0	0	0	3
12	13	0	0.144055093	293.199874	293.199931	293.199874	293.199982	5.1510912e-05	0	0	0	0	0	3
13	14	0	0.156059684	293.199864	293.199925	293.199864	293.199982	5.66143793e-05	0	0	0	0	0	3
14	15	0	0.168064275	293.199855	293.19992	293.199855	293.199982	6.16746379e-05	0	0	0	0	0	3
15	16	0	0.180068866	293.199846	293.199915	293.199846	293.199982	6.66148129e-05	0	0	0	0	0	3
16	17	0	0.192073457	293.199835	293.19991	293.199835	293.199982	7.16730707e-05	0	0	0	0	0	3
17	18	0	0.204078048	293.199824	293.199905	293.199824	293.199982	7.67404761e-05	0	0	0	0	0	3
18	18	0	0.216082639	293.199814	293.1999	293.199814	293.199982	8.17900233e-05	0	0	0	0	0	3
19	19	0	0.22808723	293.199805	293.199895	293.199805	293.199982	8.67928766e-05	0	0	0	0	0	3
20	20	0	0.240091822	293.199796	293.19989	293.199796	293.199982	9.17786504e-05	0	0	0	0	0	3
21	21	0	0.252096413	293.199781	293.199885	293.199781	293.199982	9.6961526e-05	0	0	0	0	0	3
22	22	0	0.264101004	293.199767	293.19988	293.199767	293.199982	0.000102346195	0	0	0	0	0	3
23	23	0	0.276105595	293.19975	293.199874	293.19975	293.199982	0.000107971258	0	0	0	0	0	3
24	24	0	0.288110186	293.199733	293.199868	293.199733	293.199982	0.000113850741	0	0	0	0	0	3
25	24	0	0.300114777	293.199715	293.199862	293.199715	293.199982	0.000119996811	0	0	0	0	0	3
26	25	0	0.312119368	293.199685	293.199855	293.199685	293.199982	0.000126820729	0	0	0	0	0	3
27	26	0	0.324123959	293.199652	293.199848	293.199652	293.199982	0.000134345727	0	0	0	0	0	3
28	27	0	0.33612855	293.199617	293.19984	293.199617	293.199982	0.000142575816	0	0	0	0	0	3
29	28	0	0.348133141	293.19958	293.199831	293.19958	293.199982	0.000151536187	0	0	0	0	0	3
30	29	0	0.360137732	293.199541	293.199821	293.199541	293.199982	0.000161201054	0	0	0	0	0	3
31	30	0	0.372142323	293.199482	293.19981	293.199482	293.199982	0.00017213159	0	0	0	0	0	3
32	30	0	0.384146914	293.199427	293.199798	293.199427	293.199982	0.000184112482	0	0	0	0	0	3
33	31	0	0.396151505	293.199378	293.199785	293.199378	293.199982	0.000196832751	0	0	0	0	0	3
34	32	0	0.408156097	293.199336	293.199772	293.199336	293.199982	0.000210031488	0	0	0	0	0	3
35	33	0	0.420160688	293.199302	293.199759	293.199302	293.199982	0.000223451378	0	0	0	0	0	3
36	34	0	0.432165279	293.19927	293.199745	293.19927	293.199982	0.00023701943	0	0	0	0	0	3
37	35	0	0.44416987	293.199253	293.199732	293.199253	293.199982	0.000250311453	0	0	0	0	0	3
38	35	0	0.456174461	293.199248	293.199719	293.199248	293.199982	0.000263049124	0	0	0	0	0	3
39	36	0	0.468179052	293.199248	293.199707	293.199248	293.199982	0.000275120375	0	0	0	0	0	3
40	37	0	0.480183643	293.199253	293.199696	293.199248	293.199982	0.00028646074	0	0	0	0	0	3
41	38	0	0.492188234	293.199256	293.199685	293.199248	293.199982	0.000297193941	0	0	0	0	0	3
42	39	0	0.504192825	293.199256	293.199675	293.199248	293.199982	0.00030739849	0	0	0	0	0	3
43	40	0	0.516197416	293.199256	293.199657	293.199248	293.199962	0.0003146276	0	0	0	0	0	3
44	41	0	0.528202007	293.199255	293.199641	293.199248	293.19996	0.000327601643	0	0	0	0	0	3
45	42	0	0.540206598	293.199253	293.199624	293.199248	293.199955	0.000341139943	0	0	0	0	0	3
46	42	0	0.552211189	293.199252	293.199607	293.199248	293.19995	0.000354993066	0	0	0	0	0	3
47	43	0	0.564215781	293.19925	293.19959	293.199248	293.199941	0.000368180064	0	0	0	0	0	3
48	44	0	0.576220372	293.19925	293.199574	293.199248	293.19993	0.000380635522	0	0	0	0	0	3
49	45	0	0.588224963	293.199249	293.199558	293.199248	293.199919	0.000392430373	0	0	0	0	0	3
50	46	0	0.600229554	293.199248	293.199542	293.199248	293.199908	0.000403772237	0	0	0	0	0	3
51	47	0	0.612234145	293.199248	293.199526	293.199248	293.199898	0.000414763451	0	0	0	0	0	3
52	47	0	0.624238736	293.199247	293.19951	293.199247	293.199886	0.000425274249	0	0	0	0	0	3
53	48	0	0.636243327	293.199246	293.199495	293.199246	293.199874	0.000435395971	0	0	0	0	0	3
54	49	0	0.648247918	293.199245	293.19948	293.199245	293.199864	0.000445267306	0	0	0	0	0	3
55	50	0	0.660252509	293.199245	293.199465	293.199245	293.199855	0.000454951611	0	0	0	0	0	3
56	51	0	0.6722571	293.199244	293.199451	293.199244	293.199846	0.000464541446	0	0	0	0	0	3
57	52	0	0.684261691	293.199244	293.199437	293.199244	293.199835	0.000473824087	0	0	0	0	0	3
58	52	0	0.696266282	293.199244	293.199423	293.199244	293.199824	0.000482827859	0	0	0	0	0	3
59	53	0	0.708270873	293.199243	293.199409	293.199243	293.199814	0.00049161099	0	0	0	0	0	3
60	54	0	0.720275465	293.199243	293.199395	293.199243	293.199805	0.000500213167	0	0	0	0	0	3
61	55	0	0.732280056	293.199243	293.199382	293.199243	293.199796	0.000508617723	0	0	0	0	0	3
62	56	0	0.744284647	293.199243	293.199369	293.199243	293.199781	0.000516602382	0	0	0	0	0	3
63	57	0	0.756289238	293.199242	293.199356	293.199242	293.199767	0.000524050851	0	0	0	0	0	3
64	58	0	0.768293829	293.199242	293.199343	293.199242	293.19975	0.000508033274	0	0	0	0	0	3
65	58	0	0.78029842	293.199242	293.199331	293.199242	293.199733	0.000490843938	0	0	0	0	0	3
66	59	0	0.792303011	293.199242	293.199319	293.199242	293.199715	0.000472590142	0	0	0	0	0	3
67	60	0	0.804307602	293.199242	293.199308	293.199242	293.199685	0.000442892921	0	0	0	0	0	3
68	61	0	0.816312193	293.199242	293.199298	293.199242	293.199652	0.00041032348	0	0	0	0	0	3
69	62	0	0.828316784	293.199242	293.199288	293.199242	293.199617	0.000375676471	0	0	0	0	0	3
70	63	0	0.840321375	293.199242	293.199279	293.199242	293.19958	0.000338087638	0	0	0	0	0	3
71	64	0	0.852325966	293.199242	293.199271	293.199242	293.199541	0.000299032028	0	0	0	0	0	3
72	64	0	0.864330557	293.199242	293.199264	293.199242	293.199482	0.000240466531	0	0	0	0	0	3
