Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	11.3772644	11.3772644	11.3772644	11.3772644	0	0	0	0	0	0	3
2	5	0	0.024004532	4.07208052	7.72467246	4.07208052	11.3772644	3.65259194	0	0	0	0	0	3
3	6	0	0.036006798	5.93961003	7.12965165	4.07208052	11.3772644	4.24761275	0	0	0	0	0	3
4	7	0	0.048009064	-1.48683748	4.97552937	-1.48683748	11.3772644	6.40173503	0	0	0	0	0	3
5	8	0	0.0600113299	4.51767998	4.88395949	-1.48683748	11.3772644	6.49330491	0	0	0	0	0	3
6	9	0	0.0720135959	0.927415324	4.22453546	-1.48683748	11.3772644	7.15272894	0	0	0	0	0	3
7	10	0	0.0840158619	5.62294046	4.4243076	-1.48683748	11.3772644	7.15272894	0	0	0	0	0	3
8	11	0	0.0960181279	3.52351742	4.31170883	-1.48683748	11.3772644	7.15272894	0	0	0	0	0	3
9	12	0	0.108020394	11.7689404	5.14029012	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
10	13	0	0.12002266	6.8185454	5.30811565	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
11	14	0	0.132024926	8.69746868	5.61623865	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
12	16	0	0.144027192	2.84271219	5.38511145	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
13	17	0	0.156029458	6.78243114	5.49259758	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
14	18	0	0.168031724	6.59994611	5.5716939	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
15	19	0	0.18003399	10.1591493	5.87752426	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
16	20	0	0.192036256	6.58697248	5.92186477	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
17	21	0	0.204038522	8.20646018	6.05625274	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
18	22	0	0.216040788	6.70793379	6.09245724	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
19	23	0	0.228043054	9.95422933	6.2957084	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
20	24	0	0.24004532	7.66652335	6.36424915	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
21	25	0	0.252047586	9.26772705	6.50251	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
22	26	0	0.264049852	8.54893014	6.5955291	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
23	28	0	0.276052118	9.36500916	6.71594128	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
24	29	0	0.288054384	9.10763979	6.81559538	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
25	30	0	0.30005665	10.2997082	6.95495989	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
26	31	0	0.312058916	9.2955144	7.04498122	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
27	32	0	0.324061182	9.36889985	7.13105228	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
28	33	0	0.336063448	8.57146595	7.18249563	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
29	34	0	0.348065714	8.57579676	7.23054049	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
30	35	0	0.36006798	8.17802576	7.26212334	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
31	36	0	0.372070246	8.5507444	7.30369176	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
32	38	0	0.384072512	9.27668221	7.36534771	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
33	39	0	0.396074778	9.38022152	7.42640449	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
34	40	0	0.408077044	8.91724741	7.47025281	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
35	41	0	0.42007931	9.63256193	7.53203307	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
36	42	0	0.432081576	9.04326148	7.57401164	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
37	43	0	0.444083842	9.1435055	7.61643039	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
38	44	0	0.456086108	8.78044364	7.64706232	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
39	45	0	0.468088374	9.00021896	7.68175864	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
40	46	0	0.48009064	8.53208756	7.70301687	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
41	48	0	0.492092906	8.5693427	7.72414677	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
42	49	0	0.504095172	8.45719005	7.74160018	-1.48683748	11.7689404	7.15272894	0	0	0	0	0	3
43	50	0	0.516097437	8.70208789	7.6779055	-1.48683748	11.7689404	3.51706472	0	0	0	0	0	3
44	51	0	0.528099703	8.31435595	7.77891206	-1.48683748	11.7689404	3.5543766	0	0	0	0	0	3
45	52	0	0.540101969	8.7487475	7.84579628	-1.48683748	11.7689404	3.62126082	0	0	0	0	0	3
46	53	0	0.552104235	8.58018908	8.08548739	0.927415324	11.7689404	3.86095193	0	0	0	0	0	3
47	54	0	0.564106501	8.83977817	8.18839449	0.927415324	11.7689404	3.96385903	0	0	0	0	0	3
48	55	0	0.576108767	8.81050604	8.37608713	2.84271219	11.7689404	4.0643783	0	0	0	0	0	3
49	57	0	0.588111033	9.24535957	8.4623352	2.84271219	11.7689404	4.15062637	0	0	0	0	0	3
50	58	0	0.600113299	8.84788989	8.58910597	2.84271219	11.7689404	3.44881585	0	0	0	0	0	3
51	59	0	0.612115565	9.09332824	8.52540092	2.84271219	10.2997082	3.28099033	0	0	0	0	0	3
52	60	0	0.624117831	8.91951008	8.57542389	2.84271219	10.2997082	3.20399453	0	0	0	0	0	3
53	61	0	0.636120097	8.87347352	8.57961448	2.84271219	10.2997082	3.20399453	0	0	0	0	0	3
54	62	0	0.648122363	8.59336652	8.71653482	6.58697248	10.2997082	3.22393725	0	0	0	0	0	3
55	63	0	0.660124629	8.91025065	8.76719719	6.58697248	10.2997082	3.19550329	0	0	0	0	0	3
56	64	0	0.672126895	8.43955827	8.81099748	6.58697248	10.2997082	2.93347322	0	0	0	0	0	3
57	66	0	0.684129161	8.65837259	8.7752647	6.58697248	10.2997082	2.88913271	0	0	0	0	0	3
58	67	0	0.696131427	8.45781056	8.81980847	6.70793379	10.2997082	2.76355573	0	0	0	0	0	3
59	68	0	0.708133693	8.53607134	8.82765635	6.70793379	10.2997082	2.73519911	0	0	0	0	0	3
60	69	0	0.720135959	8.58663523	8.87238734	7.66652335	10.2997082	2.57667894	0	0	0	0	0	3
61	70	0	0.732138225	8.77515321	8.8443141	7.66652335	10.2997082	2.50813819	0	0	0	0	0	3
62	71	0	0.744140491	8.43761914	8.86267352	8.17802576	10.2997082	2.12168247	0	0	0	0	0	3
63	72	0	0.756142757	8.80415152	8.85163601	8.17802576	10.2997082	2.12168247	0	0	0	0	0	3
64	73	0	0.768145023	8.40040116	8.8480996	8.17802576	10.2997082	2.12168247	0	0	0	0	0	3
65	74	0	0.780147289	8.82604575	8.83526714	8.17802576	10.2997082	2.05679196	0	0	0	0	0	3
66	76	0	0.792149555	8.54499254	8.82187078	8.17802576	10.2997082	1.91742744	0	0	0	0	0	3
67	77	0	0.804151821	9.10183268	8.79334993	8.17802576	9.63256193	1.45453616	0	0	0	0	0	3
68	78	0	0.816154087	8.67185026	8.77850079	8.17802576	9.63256193	1.45453616	0	0	0	0	0	3
69	79	0	0.828156353	9.08538092	8.77175034	8.17802576	9.63256193	1.45453616	0	0	0	0	0	3
70	80	0	0.840158619	8.79116411	8.77698124	8.17802576	9.63256193	1.45453616	0	0	0	0	0	3
71	81	0	0.852160885	9.00289414	8.78715023	8.17802576	9.63256193	1.45453616	0	0	0	0	0	3
72	83	0	0.864163151	8.60930548	8.79741879	8.31435595	9.63256193	1.31820598	0	0	0	0	0	3
73	84	0	0.876165417	8.75172908	8.80220414	8.31435595	9.63256193	1.31820598	0	0	0	0	0	3
74	85	0	0.888167683	8.40605768	8.78147499	8.31435595	9.63256193	1.31820598	0	0	0	0	0	3
75	86	0	0.900169949	8.72612603	8.76590129	8.31435595	9.63256193	1.31820598	0	0	0	0	0	3
76	87	0	0.912172215	8.39448765	8.75345463	8.31435595	9.63256193	1.31820598	0	0	0	0	0	3
