Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	1397.62326	1397.62326	1397.62326	1397.62326	0	0	0	0	0	0	3
2	5	0	0.024004532	-66.4603991	665.581428	-66.4603991	1397.62326	732.041828	0	0	0	0	0	3
3	6	0	0.036006798	-10.6201083	440.180916	-66.4603991	1397.62326	957.44234	0	0	0	0	0	3
4	7	0	0.048009064	-27.9455425	323.149302	-66.4603991	1397.62326	1074.47395	0	0	0	0	0	3
5	8	0	0.0600113299	-15.1591103	255.487619	-66.4603991	1397.62326	1142.13564	0	0	0	0	0	3
6	9	0	0.0720135959	-56.4230278	203.502511	-66.4603991	1397.62326	1194.12074	0	0	0	0	0	3
7	10	0	0.0840158619	-56.4151338	166.371419	-66.4603991	1397.62326	1231.25184	0	0	0	0	0	3
8	11	0	0.0960181279	-76.0048321	136.074388	-76.0048321	1397.62326	1261.54887	0	0	0	0	0	3
9	12	0	0.108020394	-74.8933953	112.633523	-76.0048321	1397.62326	1284.98973	0	0	0	0	0	3
10	13	0	0.12002266	-87.5448372	92.615687	-87.5448372	1397.62326	1305.00757	0	0	0	0	0	3
11	14	0	0.132024926	-86.654544	76.3183932	-87.5448372	1397.62326	1321.30486	0	0	0	0	0	3
12	16	0	0.144027192	-87.9375232	62.6304002	-87.9375232	1397.62326	1334.99286	0	0	0	0	0	3
13	17	0	0.156029458	-84.877792	51.2836162	-87.9375232	1397.62326	1346.33964	0	0	0	0	0	3
14	18	0	0.168031724	-90.1230135	41.1831426	-90.1230135	1397.62326	1356.44011	0	0	0	0	0	3
15	19	0	0.18003399	-74.3693025	33.4796463	-90.1230135	1397.62326	1364.14361	0	0	0	0	0	3
16	20	0	0.192036256	-86.0247809	26.0106196	-90.1230135	1397.62326	1371.61264	0	0	0	0	0	3
17	21	0	0.204038522	-75.1650887	20.0591073	-90.1230135	1397.62326	1377.56415	0	0	0	0	0	3
18	22	0	0.216040788	-83.4159777	14.3104915	-90.1230135	1397.62326	1383.31276	0	0	0	0	0	3
19	23	0	0.228043054	-73.1941445	9.70498435	-90.1230135	1397.62326	1387.91827	0	0	0	0	0	3
20	24	0	0.24004532	-78.9552203	5.27197412	-90.1230135	1397.62326	1392.35128	0	0	0	0	0	3
21	25	0	0.252047586	-73.7492633	1.50905805	-90.1230135	1397.62326	1396.1142	0	0	0	0	0	3
22	26	0	0.264049852	-73.000326	-1.87773213	-90.1230135	1397.62326	1399.50099	0	0	0	0	0	3
23	28	0	0.276052118	-73.0510465	-4.97222406	-90.1230135	1397.62326	1402.59548	0	0	0	0	0	3
24	29	0	0.288054384	-72.1823789	-7.77264718	-90.1230135	1397.62326	1405.3959	0	0	0	0	0	3
