Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	-2727.49284	-2727.49284	-2727.49284	-2727.49284	0	0	0	0	0	0	3
2	5	0	0.024004532	-316.803047	-1522.14794	-2727.49284	-316.803047	1205.3449	0	0	0	0	0	3
3	6	0	0.036006798	-104.940112	-1049.74533	-2727.49284	-104.940112	1677.74751	0	0	0	0	0	3
4	7	0	0.048009064	-59.833037	-802.26726	-2727.49284	-59.833037	1925.22558	0	0	0	0	0	3
5	8	0	0.0600113299	-75.9929189	-657.012391	-2727.49284	-59.833037	2070.48045	0	0	0	0	0	3
6	9	0	0.0720135959	-68.5357894	-558.932958	-2727.49284	-59.833037	2168.55988	0	0	0	0	0	3
7	10	0	0.0840158619	-72.0048165	-489.371795	-2727.49284	-59.833037	2238.12105	0	0	0	0	0	3
8	11	0	0.0960181279	-64.6598133	-436.282797	-2727.49284	-59.833037	2291.21004	0	0	0	0	0	3
9	12	0	0.108020394	-66.8537833	-395.235129	-2727.49284	-59.833037	2332.25771	0	0	0	0	0	3
10	13	0	0.12002266	-60.8271528	-361.794331	-2727.49284	-59.833037	2365.69851	0	0	0	0	0	3
11	14	0	0.132024926	-62.4525494	-334.581442	-2727.49284	-59.833037	2392.9114	0	0	0	0	0	3
12	16	0	0.144027192	-58.5451235	-311.578415	-2727.49284	-58.5451235	2415.91443	0	0	0	0	0	3
13	17	0	0.156029458	-60.8116297	-292.288663	-2727.49284	-58.5451235	2435.20418	0	0	0	0	0	3
14	18	0	0.168031724	-57.0935279	-275.48901	-2727.49284	-57.0935279	2452.00383	0	0	0	0	0	3
15	19	0	0.18003399	-59.4538801	-261.086668	-2727.49284	-57.0935279	2466.40617	0	0	0	0	0	3
16	20	0	0.192036256	-56.2366439	-248.283542	-2727.49284	-56.2366439	2479.2093	0	0	0	0	0	3
17	21	0	0.204038522	-57.6024441	-237.067007	-2727.49284	-56.2366439	2490.42584	0	0	0	0	0	3
18	22	0	0.216040788	-55.1671422	-226.961459	-2727.49284	-55.1671422	2500.53138	0	0	0	0	0	3
19	23	0	0.228043054	-56.2130583	-217.974701	-2727.49284	-55.1671422	2509.51814	0	0	0	0	0	3
20	24	0	0.24004532	-54.6146571	-209.806698	-2727.49284	-54.6146571	2517.68614	0	0	0	0	0	3
21	25	0	0.252047586	-55.0612515	-202.437868	-2727.49284	-54.6146571	2525.05497	0	0	0	0	0	3
22	26	0	0.264049852	-54.260552	-195.702535	-2727.49284	-54.260552	2531.79031	0	0	0	0	0	3
23	28	0	0.276052118	-54.061319	-189.544221	-2727.49284	-54.061319	2537.94862	0	0	0	0	0	3
24	29	0	0.288054384	-53.5425855	-183.877487	-2727.49284	-53.5425855	2543.61536	0	0	0	0	0	3
25	30	0	0.30005665	-53.0808892	-178.645623	-2727.49284	-53.0808892	2548.84722	0	0	0	0	0	3
26	31	0	0.312058916	-52.7511282	-173.803527	-2727.49284	-52.7511282	2553.68932	0	0	0	0	0	3
27	32	0	0.324061182	-52.3043279	-169.303556	-2727.49284	-52.3043279	2558.18929	0	0	0	0	0	3
28	33	0	0.336063448	-51.9471756	-165.112257	-2727.49284	-51.9471756	2562.38058	0	0	0	0	0	3
29	34	0	0.348065714	-51.5326426	-161.195719	-2727.49284	-51.5326426	2566.29712	0	0	0	0	0	3
30	35	0	0.36006798	-51.230057	-157.530197	-2727.49284	-51.230057	2569.96265	0	0	0	0	0	3
31	36	0	0.372070246	-50.7957533	-154.08715	-2727.49284	-50.7957533	2573.40569	0	0	0	0	0	3
32	38	0	0.384072512	-50.0900603	-150.837241	-2727.49284	-50.0900603	2576.6556	0	0	0	0	0	3
33	39	0	0.396074778	-49.5388289	-147.767592	-2727.49284	-49.5388289	2579.72525	0	0	0	0	0	3
34	40	0	0.408077044	-49.0987423	-144.865567	-2727.49284	-49.0987423	2582.62727	0	0	0	0	0	3
35	41	0	0.42007931	-48.8956561	-142.12357	-2727.49284	-48.8956561	2585.36927	0	0	0	0	0	3
36	42	0	0.432081576	-48.1774426	-139.513955	-2727.49284	-48.1774426	2587.97889	0	0	0	0	0	3
37	43	0	0.444083842	-47.8759395	-137.037252	-2727.49284	-47.8759395	2590.45559	0	0	0	0	0	3
38	44	0	0.456086108	-47.7330507	-134.687141	-2727.49284	-47.7330507	2592.8057	0	0	0	0	0	3
39	45	0	0.468088374	-47.5309735	-132.452368	-2727.49284	-47.5309735	2595.04047	0	0	0	0	0	3
