Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	-2288.18948	-2288.18948	-2288.18948	-2288.18948	0	0	0	0	0	0	3
2	5	0	0.024004532	-629.131135	-1458.66031	-2288.18948	-629.131135	829.529172	0	0	0	0	0	3
3	6	0	0.036006798	-237.437115	-1051.58591	-2288.18948	-237.437115	1236.60357	0	0	0	0	0	3
4	7	0	0.048009064	-210.080509	-841.20956	-2288.18948	-210.080509	1446.97992	0	0	0	0	0	3
5	8	0	0.0600113299	-233.053441	-719.578336	-2288.18948	-210.080509	1568.61114	0	0	0	0	0	3
6	9	0	0.0720135959	-230.01126	-637.983823	-2288.18948	-210.080509	1650.20566	0	0	0	0	0	3
7	10	0	0.0840158619	-225.012276	-578.987888	-2288.18948	-210.080509	1709.20159	0	0	0	0	0	3
8	11	0	0.0960181279	-215.968324	-533.610442	-2288.18948	-210.080509	1754.57904	0	0	0	0	0	3
9	12	0	0.108020394	-205.845727	-497.192141	-2288.18948	-205.845727	1790.99734	0	0	0	0	0	3
10	13	0	0.12002266	-204.218462	-467.894773	-2288.18948	-204.218462	1820.29471	0	0	0	0	0	3
11	14	0	0.132024926	-194.120389	-443.006192	-2288.18948	-194.120389	1845.18329	0	0	0	0	0	3
12	16	0	0.144027192	-202.607372	-422.972957	-2288.18948	-194.120389	1865.21652	0	0	0	0	0	3
13	17	0	0.156029458	-197.071786	-405.595944	-2288.18948	-194.120389	1882.59353	0	0	0	0	0	3
14	18	0	0.168031724	-192.631452	-390.384195	-2288.18948	-192.631452	1897.80528	0	0	0	0	0	3
15	19	0	0.18003399	-202.485987	-377.857648	-2288.18948	-192.631452	1910.33183	0	0	0	0	0	3
16	20	0	0.192036256	-194.079712	-366.371527	-2288.18948	-192.631452	1921.81795	0	0	0	0	0	3
