Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	3102.09955	3102.09955	3102.09955	3102.09955	0	0	0	0	0	0	3
2	5	0	0.024004532	359.329339	1730.71444	359.329339	3102.09955	1371.3851	0	0	0	0	0	3
3	6	0	0.036006798	128.053592	1196.49416	128.053592	3102.09955	1905.60539	0	0	0	0	0	3
4	7	0	0.048009064	60.3360711	912.454637	60.3360711	3102.09955	2189.64491	0	0	0	0	0	3
5	8	0	0.0600113299	89.1255639	747.788823	60.3360711	3102.09955	2354.31072	0	0	0	0	0	3
6	9	0	0.0720135959	72.9092944	635.308901	60.3360711	3102.09955	2466.79065	0	0	0	0	0	3
7	10	0	0.0840158619	84.5004351	556.621977	60.3360711	3102.09955	2545.47757	0	0	0	0	0	3
8	11	0	0.0960181279	69.9888454	495.792836	60.3360711	3102.09955	2606.30671	0	0	0	0	0	3
9	12	0	0.108020394	85.5893613	450.214672	60.3360711	3102.09955	2651.88487	0	0	0	0	0	3
10	13	0	0.12002266	68.6955141	412.062756	60.3360711	3102.09955	2690.03679	0	0	0	0	0	3
11	14	0	0.132024926	75.4125638	381.458193	60.3360711	3102.09955	2720.64135	0	0	0	0	0	3
12	16	0	0.144027192	61.3209104	354.780086	60.3360711	3102.09955	2747.31946	0	0	0	0	0	3
13	17	0	0.156029458	68.9169161	332.790612	60.3360711	3102.09955	2769.30893	0	0	0	0	0	3
14	18	0	0.168031724	61.0333851	313.379381	60.3360711	3102.09955	2788.72017	0	0	0	0	0	3
15	19	0	0.18003399	70.288532	297.173325	60.3360711	3102.09955	2804.92622	0	0	0	0	0	3
16	20	0	0.192036256	60.5191698	282.38244	60.3360711	3102.09955	2819.71711	0	0	0	0	0	3
17	21	0	0.204038522	66.1386647	269.662218	60.3360711	3102.09955	2832.43733	0	0	0	0	0	3
18	22	0	0.216040788	58.1878442	257.913642	58.1878442	3102.09955	2844.1859	0	0	0	0	0	3
19	23	0	0.228043054	65.1213896	247.766681	58.1878442	3102.09955	2854.33287	0	0	0	0	0	3
20	24	0	0.24004532	57.325299	238.244612	57.325299	3102.09955	2863.85493	0	0	0	0	0	3
21	25	0	0.252047586	62.1194896	229.857701	57.325299	3102.09955	2872.24185	0	0	0	0	0	3
22	26	0	0.264049852	58.8287759	222.083659	57.325299	3102.09955	2880.01589	0	0	0	0	0	3
23	28	0	0.276052118	60.5912064	215.062248	57.325299	3102.09955	2887.0373	0	0	0	0	0	3
24	29	0	0.288054384	57.5119322	208.497652	57.325299	3102.09955	2893.60189	0	0	0	0	0	3
25	30	0	0.30005665	59.4905781	202.537369	57.325299	3102.09955	2899.56218	0	0	0	0	0	3
26	31	0	0.312058916	57.965907	196.976928	57.325299	3102.09955	2905.12262	0	0	0	0	0	3
27	32	0	0.324061182	58.4447969	191.846108	57.325299	3102.09955	2910.25344	0	0	0	0	0	3
28	33	0	0.336063448	55.495104	186.97643	55.495104	3102.09955	2915.12312	0	0	0	0	0	3
29	34	0	0.348065714	56.2946872	182.470163	55.495104	3102.09955	2919.62938	0	0	0	0	0	3
30	35	0	0.36006798	54.6067607	178.208049	54.6067607	3102.09955	2923.8915	0	0	0	0	0	3
31	36	0	0.372070246	54.7610473	174.225888	54.6067607	3102.09955	2927.87366	0	0	0	0	0	3
32	38	0	0.384072512	54.0425068	170.470157	54.0425068	3102.09955	2931.62939	0	0	0	0	0	3
33	39	0	0.396074778	53.9020802	166.937791	53.9020802	3102.09955	2935.16176	0	0	0	0	0	3
34	40	0	0.408077044	52.7788434	163.580175	52.7788434	3102.09955	2938.51937	0	0	0	0	0	3
35	41	0	0.42007931	53.6436956	160.439133	52.7788434	3102.09955	2941.66041	0	0	0	0	0	3
36	42	0	0.432081576	52.1997752	157.432484	52.1997752	3102.09955	2944.66706	0	0	0	0	0	3
37	43	0	0.444083842	52.29546	154.590943	52.1997752	3102.09955	2947.5086	0	0	0	0	0	3
38	44	0	0.456086108	51.6405756	151.881723	51.6405756	3102.09955	2950.21782	0	0	0	0	0	3
39	45	0	0.468088374	51.9207068	149.31862	51.6405756	3102.09955	2952.78093	0	0	0	0	0	3
40	46	0	0.48009064	51.1446502	146.86427	51.1446502	3102.09955	2955.23528	0	0	0	0	0	3
41	48	0	0.492092906	51.1943504	144.530858	51.1446502	3102.09955	2957.56869	0	0	0	0	0	3
42	49	0	0.504095172	50.7822051	142.298747	50.7822051	3102.09955	2959.8008	0	0	0	0	0	3
43	50	0	0.516097437	51.0158365	69.6538967	50.7822051	359.329339	308.547134	0	0	0	0	0	3
44	51	0	0.528099703	50.6097033	62.3034292	50.6097033	128.053592	77.4438892	0	0	0	0	0	3
45	52	0	0.540101969	50.9140387	60.4667732	50.6097033	89.1255639	38.5158606	0	0	0	0	0	3
46	53	0	0.552104235	50.2942172	60.2276814	50.2942172	89.1255639	38.8313467	0	0	0	0	0	3
47	54	0	0.564106501	50.3782609	59.3051266	50.2942172	85.5893613	35.2951442	0	0	0	0	0	3
48	55	0	0.576108767	50.0940287	58.761906	50.0940287	85.5893613	35.4953327	0	0	0	0	0	3
49	57	0	0.588111033	50.5088504	57.9525825	50.0940287	85.5893613	35.4953327	0	0	0	0	0	3
50	58	0	0.600113299	50.0230502	57.4772064	50.0230502	85.5893613	35.5663111	0	0	0	0	0	3
51	59	0	0.612115565	50.3563732	56.6383258	50.0230502	75.4125638	25.3895136	0	0	0	0	0	3
52	60	0	0.624117831	49.8629823	56.1899322	49.8629823	75.4125638	25.5495816	0	0	0	0	0	3
53	61	0	0.636120097	50.1302339	55.5879719	49.8629823	70.288532	20.4255497	0	0	0	0	0	3
54	62	0	0.648122363	49.6099482	55.3091395	49.6099482	70.288532	20.6785838	0	0	0	0	0	3
55	63	0	0.660124629	49.9806157	54.8582752	49.6099482	70.288532	20.6785838	0	0	0	0	0	3
56	64	0	0.672126895	49.5712945	54.5853683	49.5712945	70.288532	20.7172375	0	0	0	0	0	3
