Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	1583.50597	1583.50597	1583.50597	1583.50597	0	0	0	0	0	0	3
2	5	0	0.024004532	-71.7723501	755.866812	-71.7723501	1583.50597	827.639162	0	0	0	0	0	3
3	6	0	0.036006798	-7.7958871	501.312579	-71.7723501	1583.50597	1082.1934	0	0	0	0	0	3
4	7	0	0.048009064	-32.3534374	367.896075	-71.7723501	1583.50597	1215.6099	0	0	0	0	0	3
5	8	0	0.0600113299	-13.7575745	291.565345	-71.7723501	1583.50597	1291.94063	0	0	0	0	0	3
6	9	0	0.0720135959	-64.8254427	232.166881	-71.7723501	1583.50597	1351.33909	0	0	0	0	0	3
7	10	0	0.0840158619	-59.3660573	190.519318	-71.7723501	1583.50597	1392.98666	0	0	0	0	0	3
8	11	0	0.0960181279	-85.6710752	155.995519	-85.6710752	1583.50597	1427.51046	0	0	0	0	0	3
9	12	0	0.108020394	-75.5602057	130.267105	-85.6710752	1583.50597	1453.23887	0	0	0	0	0	3
10	13	0	0.12002266	-97.3218523	107.508209	-97.3218523	1583.50597	1475.99777	0	0	0	0	0	3
11	14	0	0.132024926	-93.1382044	89.2676262	-97.3218523	1583.50597	1494.23835	0	0	0	0	0	3
12	16	0	0.144027192	-99.1591631	73.5653938	-99.1591631	1583.50597	1509.94058	0	0	0	0	0	3
13	17	0	0.156029458	-91.6558848	60.8560646	-99.1591631	1583.50597	1522.64991	0	0	0	0	0	3
14	18	0	0.168031724	-100.007567	49.3658053	-100.007567	1583.50597	1534.14017	0	0	0	0	0	3
15	19	0	0.18003399	-78.7859334	40.822356	-100.007567	1583.50597	1542.68362	0	0	0	0	0	3
16	20	0	0.192036256	-94.8698278	32.3415945	-100.007567	1583.50597	1551.16438	0	0	0	0	0	3
17	21	0	0.204038522	-80.6107305	25.6973401	-100.007567	1583.50597	1557.80863	0	0	0	0	0	3
18	22	0	0.216040788	-92.0991207	19.1530923	-100.007567	1583.50597	1564.35288	0	0	0	0	0	3
19	23	0	0.228043054	-77.8263712	14.04891	-100.007567	1583.50597	1569.45706	0	0	0	0	0	3
20	24	0	0.24004532	-86.8711196	9.00290853	-100.007567	1583.50597	1574.50307	0	0	0	0	0	3
21	25	0	0.252047586	-78.7536346	4.82402552	-100.007567	1583.50597	1578.68195	0	0	0	0	0	3
22	26	0	0.264049852	-78.73019	1.02610664	-100.007567	1583.50597	1582.47987	0	0	0	0	0	3
23	28	0	0.276052118	-77.9602857	-2.40808434	-100.007567	1583.50597	1585.91406	0	0	0	0	0	3
24	29	0	0.288054384	-77.4097486	-5.53315368	-100.007567	1583.50597	1589.03913	0	0	0	0	0	3
25	30	0	0.30005665	-76.8466107	-8.38569196	-100.007567	1583.50597	1591.89167	0	0	0	0	0	3
26	31	0	0.312058916	-77.198271	-11.0323296	-100.007567	1583.50597	1594.5383	0	0	0	0	0	3
27	32	0	0.324061182	-78.0317819	-13.5137908	-100.007567	1583.50597	1597.01977	0	0	0	0	0	3
28	33	0	0.336063448	-78.4548106	-15.8331129	-100.007567	1583.50597	1599.33909	0	0	0	0	0	3
29	34	0	0.348065714	-79.3637854	-18.0238258	-100.007567	1583.50597	1601.5298	0	0	0	0	0	3
30	35	0	0.36006798	-78.7528564	-20.0481268	-100.007567	1583.50597	1603.5541	0	0	0	0	0	3
31	36	0	0.372070246	-80.7013597	-22.0046827	-100.007567	1583.50597	1605.51066	0	0	0	0	0	3
32	38	0	0.384072512	-80.6067339	-23.8359968	-100.007567	1583.50597	1607.34197	0	0	0	0	0	3
33	39	0	0.396074778	-81.6760289	-25.5887251	-100.007567	1583.50597	1609.0947	0	0	0	0	0	3
34	40	0	0.408077044	-81.1963303	-27.2242429	-100.007567	1583.50597	1610.73022	0	0	0	0	0	3
35	41	0	0.42007931	-80.2494081	-28.7392476	-100.007567	1583.50597	1612.24522	0	0	0	0	0	3
36	42	0	0.432081576	-80.2247435	-30.1694002	-100.007567	1583.50597	1613.67538	0	0	0	0	0	3
37	43	0	0.444083842	-80.0274411	-31.5169149	-100.007567	1583.50597	1615.02289	0	0	0	0	0	3
38	44	0	0.456086108	-79.6918866	-32.7846773	-100.007567	1583.50597	1616.29065	0	0	0	0	0	3
39	45	0	0.468088374	-79.2592385	-33.9763327	-100.007567	1583.50597	1617.48231	0	0	0	0	0	3
40	46	0	0.48009064	-79.2676207	-35.1086149	-100.007567	1583.50597	1618.61459	0	0	0	0	0	3
41	48	0	0.492092906	-79.0562538	-36.1805085	-100.007567	1583.50597	1619.68648	0	0	0	0	0	3
42	49	0	0.504095172	-79.1507224	-37.2036089	-100.007567	1583.50597	1620.70958	0	0	0	0	0	3
43	50	0	0.516097437	-78.780169	-76.7818504	-100.007567	-7.7958871	92.2116796	0	0	0	0	0	3
44	51	0	0.528099703	-79.040074	-76.9548914	-100.007567	-7.7958871	92.2116796	0	0	0	0	0	3
45	52	0	0.540101969	-78.9864758	-78.6499054	-100.007567	-13.7575745	86.2499922	0	0	0	0	0	3
46	53	0	0.552104235	-78.8722451	-79.7574961	-100.007567	-13.7575745	86.2499922	0	0	0	0	0	3
47	54	0	0.564106501	-78.8731737	-81.3078675	-100.007567	-59.3660573	40.6415095	0	0	0	0	0	3
48	55	0	0.576108767	-78.5710525	-81.6351439	-100.007567	-59.3660573	40.6415095	0	0	0	0	0	3
49	57	0	0.588111033	-78.4100721	-82.0885729	-100.007567	-75.5602057	24.4473611	0	0	0	0	0	3
50	58	0	0.600113299	-78.6951431	-81.9224792	-100.007567	-75.5602057	24.4473611	0	0	0	0	0	3
51	59	0	0.612115565	-78.6547676	-81.9961593	-100.007567	-76.8466107	23.160956	0	0	0	0	0	3
52	60	0	0.624117831	-78.7577074	-81.5541558	-100.007567	-76.8466107	23.160956	0	0	0	0	0	3
53	61	0	0.636120097	-78.8574497	-81.2141379	-100.007567	-76.8466107	23.160956	0	0	0	0	0	3
54	62	0	0.648122363	-78.752766	-80.7282713	-100.007567	-76.8466107	23.160956	0	0	0	0	0	3
55	63	0	0.660124629	-79.0083778	-80.4271401	-100.007567	-76.8466107	23.160956	0	0	0	0	0	3
56	64	0	0.672126895	-78.697769	-79.919764	-94.8698278	-76.8466107	18.0232171	0	0	0	0	0	3
57	66	0	0.684129161	-78.8814937	-79.9220392	-94.8698278	-76.8466107	18.0232171	0	0	0	0	0	3
58	67	0	0.696131427	-78.7516171	-79.5382723	-92.0991207	-76.8466107	15.25251	0	0	0	0	0	3
59	68	0	0.708133693	-79.2200081	-79.5051599	-92.0991207	-76.8466107	15.25251	0	0	0	0	0	3
60	69	0	0.720135959	-78.762623	-79.1876242	-86.8711196	-76.8466107	10.0245089	0	0	0	0	0	3
61	70	0	0.732138225	-78.7921459	-79.2106189	-86.8711196	-76.8466107	10.0245089	0	0	0	0	0	3
62	71	0	0.744140491	-79.1226307	-79.026131	-81.6760289	-76.8466107	4.82941821	0	0	0	0	0	3
63	72	0	0.756142757	-79.1372991	-79.0352659	-81.6760289	-76.8466107	4.82941821	0	0	0	0	0	3
64	73	0	0.768145023	-79.3857438	-79.0508743	-81.6760289	-76.8466107	4.82941821	0	0	0	0	0	3
65	74	0	0.780147289	-79.5412234	-79.0885157	-81.6760289	-76.8466107	4.82941821	0	0	0	0	0	3
66	76	0	0.792149555	-79.5205635	-79.1387732	-81.6760289	-76.8466107	4.82941821	0	0	0	0	0	3
67	77	0	0.804151821	-79.3445487	-79.1982479	-81.6760289	-77.198271	4.47775787	0	0	0	0	0	3
68	78	0	0.816154087	-79.6373166	-79.2563204	-81.6760289	-78.0317819	3.644247	0	0	0	0	0	3
69	79	0	0.828156353	-79.4010878	-79.288923	-81.6760289	-78.4100721	3.26595682	0	0	0	0	0	3
70	80	0	0.840158619	-79.1672654	-79.3058862	-81.6760289	-78.4100721	3.26595682	0	0	0	0	0	3
71	81	0	0.852160885	-79.2058137	-79.3021249	-81.6760289	-78.4100721	3.26595682	0	0	0	0	0	3
72	83	0	0.864163151	-79.0347223	-79.308836	-81.6760289	-78.4100721	3.26595682	0	0	0	0	0	3
73	84	0	0.876165417	-79.5488655	-79.2813957	-81.6760289	-78.4100721	3.26595682	0	0	0	0	0	3
74	85	0	0.888167683	-79.6181092	-79.257857	-81.6760289	-78.4100721	3.26595682	0	0	0	0	0	3
75	86	0	0.900169949	-79.5291154	-79.20674	-81.1963303	-78.4100721	2.78625821	0	0	0	0	0	3
76	87	0	0.912172215	-79.8517956	-79.1747273	-80.2494081	-78.4100721	1.83933598	0	0	0	0	0	3
77	88	0	0.924174481	-80.1576171	-79.1725418	-80.2247435	-78.4100721	1.81467136	0	0	0	0	0	3
78	89	0	0.936176747	-80.4280357	-79.1773821	-80.4280357	-78.4100721	2.01796365	0	0	0	0	0	3
79	90	0	0.948179013	-80.1333365	-79.1799034	-80.4280357	-78.4100721	2.01796365	0	0	0	0	0	3
80	91	0	0.960181279	-80.1191536	-79.1900764	-80.4280357	-78.4100721	2.01796365	0	0	0	0	0	3
81	93	0	0.972183545	-80.2391612	-79.2134079	-80.4280357	-78.4100721	2.01796365	0	0	0	0	0	3
82	94	0	0.984185811	-79.9573851	-79.2298309	-80.4280357	-78.4100721	2.01796365	0	0	0	0	0	3
83	95	0	0.996188077	-80.3985773	-79.261791	-80.4280357	-78.4100721	2.01796365	0	0	0	0	0	3
84	96	0	1.00819034	-80.3523822	-79.2904019	-80.4280357	-78.4100721	2.01796365	2.76635039	0	100	0	0	3
85	97	0	1.02019261	-80.2955909	-79.3264834	-80.4280357	-78.4100721	2.01796365	2.76635039	0	100	0	0	3
86	98	0	1.03219487	-80.2212241	-79.354606	-80.4280357	-78.4100721	2.01796365	2.76635039	0	100	0	0	3
87	99	0	1.04419714	-80.2418422	-79.3844957	-80.4280357	-78.4100721	2.01796365	2.76635039	0	100	0	0	3
88	100	0	1.05619941	-80.0249612	-79.4119413	-80.4280357	-78.4100721	2.01796365	2.76635039	0	100	0	0	3
89	101	0	1.06820167	-80.5067107	-79.450835	-80.5067107	-78.4100721	2.09663863	2.76635039	0	100	0	0	3
90	102	0	1.08020394	-80.5836413	-79.4987538	-80.5836413	-78.4100721	2.17356924	2.76635039	0	100	0	0	3
91	104	0	1.0922062	-80.3980495	-79.5460866	-80.5836413	-78.6547676	1.92887371	2.76635039	0	100	0	0	3
92	105	0	1.10420847	-80.449941	-79.5878675	-80.5836413	-78.6547676	1.92887371	2.76635039	0	100	0	0	3
93	106	0	1.11621074	-80.274961	-79.6264435	-80.5836413	-78.697769	1.88587234	2.76635039	0	100	0	0	3
94	107	0	1.128213	-79.9693658	-79.6552926	-80.5836413	-78.697769	1.88587234	2.76635039	0	100	0	0	3
95	108	0	1.14021527	-80.2194204	-79.6877204	-80.5836413	-78.697769	1.70214023	2.76635039	0	100	0	0	3
96	109	0	1.15221753	-80.368167	-79.7261824	-80.5836413	-78.697769	1.40100911	2.76635039	0	100	0	0	3
97	110	0	1.1642198	-80.1238574	-79.7527414	-80.5836413	-78.697769	0.895908215	2.76635039	0	100	0	0	3
98	111	0	1.17622207	-80.5352646	-79.7964913	-80.5836413	-78.7516171	0.895908215	2.76635039	0	100	0	0	3
99	112	0	1.18822433	-80.1103744	-79.8257504	-80.5836413	-78.7516171	0.799619324	2.76635039	0	100	0	0	3
100	114	0	1.2002266	-80.163019	-79.8593552	-80.5836413	-78.762623	0.833224131	2.76635039	0	100	0	0	3
101	115	0	1.21222886	-80.2194402	-79.8831512	-80.5836413	-78.762623	0.857020134	2.76635039	0	100	0	0	3
102	116	0	1.22423113	-80.1416364	-79.9159848	-80.5836413	-78.7921459	0.889853786	2.76635039	0	100	0	0	3
103	118	0	1.2362334	-79.9786149	-79.9442341	-80.5836413	-79.0347223	0.91810305	2.76635039	0	100	0	0	3
104	119	0	1.24823566	-79.9605197	-79.9641838	-80.5836413	-79.0347223	0.92891792	2.76635039	0	100	0	0	3
105	120	0	1.26023793	-79.8908658	-79.9821259	-80.5836413	-79.0347223	0.931251558	2.76635039	0	100	0	0	3
106	121	0	1.27224019	-79.8823772	-79.9939505	-80.5836413	-79.0347223	0.905434787	2.76635039	0	100	0	0	3
107	122	0	1.28424246	-80.2861684	-80.0116873	-80.5836413	-79.0347223	0.872914075	2.76635039	0	100	0	0	3
108	123	0	1.29624473	-80.4665683	-80.0342112	-80.5836413	-79.0347223	0.861669423	2.76635039	0	100	0	0	3
109	124	0	1.30824699	-80.4374406	-80.0602324	-80.5836413	-79.0347223	0.887690661	2.76635039	0	100	0	0	3
110	125	0	1.32024926	-80.4106503	-80.0786451	-80.5836413	-79.0347223	0.906103369	2.76635039	0	100	0	0	3
111	126	0	1.33225152	-80.3043055	-80.1001503	-80.5836413	-79.0347223	0.927608551	2.76635039	0	100	0	0	3
112	127	0	1.34425379	-80.0073812	-80.1201531	-80.5836413	-79.0347223	0.947611309	2.76635039	0	100	0	0	3
113	129	0	1.35625606	-80.2648047	-80.1453672	-80.5836413	-79.0347223	0.972825382	2.76635039	0	100	0	0	3
114	130	0	1.36825832	-80.1363625	-80.1715967	-80.5836413	-79.5291154	0.99905491	2.76635039	0	100	0	0	3
115	131	0	1.38026059	-80.1090706	-80.1849349	-80.5836413	-79.5291154	1.01239313	2.76635039	0	100	0	0	3
