Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.024004532	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.036006798	0	0	0	0	0	0	0	0	0	0	3
4	7	0	0.048009064	0	0	0	0	0	0	0	0	0	0	3
5	8	0	0.0600113299	0	0	0	0	0	0	0	0	0	0	3
6	9	0	0.0720135959	0	0	0	0	0	0	0	0	0	0	3
7	10	0	0.0840158619	0	0	0	0	0	0	0	0	0	0	3
8	11	0	0.0960181279	0	0	0	0	0	0	0	0	0	0	3
9	12	0	0.108020394	0	0	0	0	0	0	0	0	0	0	3
10	13	0	0.12002266	0	0	0	0	0	0	0	0	0	0	3
11	14	0	0.132024926	0	0	0	0	0	0	0	0	0	0	3
12	16	0	0.144027192	0	0	0	0	0	0	0	0	0	0	3
13	17	0	0.156029458	0	0	0	0	0	0	0	0	0	0	3
14	18	0	0.168031724	0	0	0	0	0	0	0	0	0	0	3
15	19	0	0.18003399	0	0	0	0	0	0	0	0	0	0	3
16	20	0	0.192036256	0	0	0	0	0	0	0	0	0	0	3
17	21	0	0.204038522	0	0	0	0	0	0	0	0	0	0	3
18	22	0	0.216040788	0	0	0	0	0	0	0	0	0	0	3
19	23	0	0.228043054	0	0	0	0	0	0	0	0	0	0	3
20	24	0	0.24004532	0	0	0	0	0	0	0	0	0	0	3
21	25	0	0.252047586	0	0	0	0	0	0	0	0	0	0	3
22	26	0	0.264049852	0	0	0	0	0	0	0	0	0	0	3
23	28	0	0.276052118	0	0	0	0	0	0	0	0	0	0	3
24	29	0	0.288054384	0	0	0	0	0	0	0	0	0	0	3
25	30	0	0.30005665	0	0	0	0	0	0	0	0	0	0	3
26	31	0	0.312058916	0	0	0	0	0	0	0	0	0	0	3
27	32	0	0.324061182	0	0	0	0	0	0	0	0	0	0	3
28	33	0	0.336063448	0	0	0	0	0	0	0	0	0	0	3
29	34	0	0.348065714	0	0	0	0	0	0	0	0	0	0	3
30	35	0	0.36006798	0	0	0	0	0	0	0	0	0	0	3
31	36	0	0.372070246	0	0	0	0	0	0	0	0	0	0	3
32	38	0	0.384072512	0	0	0	0	0	0	0	0	0	0	3
33	39	0	0.396074778	0	0	0	0	0	0	0	0	0	0	3
34	40	0	0.408077044	0	0	0	0	0	0	0	0	0	0	3
35	41	0	0.42007931	0	0	0	0	0	0	0	0	0	0	3
36	42	0	0.432081576	0	0	0	0	0	0	0	0	0	0	3
37	43	0	0.444083842	0	0	0	0	0	0	0	0	0	0	3
38	44	0	0.456086108	0	0	0	0	0	0	0	0	0	0	3
39	45	0	0.468088374	0	0	0	0	0	0	0	0	0	0	3
40	46	0	0.48009064	0	0	0	0	0	0	0	0	0	0	3
41	48	0	0.492092906	0	0	0	0	0	0	0	0	0	0	3
42	49	0	0.504095172	0	0	0	0	0	0	0	0	0	0	3
43	50	0	0.516097437	0	0	0	0	0	0	0	0	0	0	3
44	51	0	0.528099703	0	0	0	0	0	0	0	0	0	0	3
45	52	0	0.540101969	0	0	0	0	0	0	0	0	0	0	3
46	53	0	0.552104235	0	0	0	0	0	0	0	0	0	0	3
47	54	0	0.564106501	0	0	0	0	0	0	0	0	0	0	3
48	55	0	0.576108767	0	0	0	0	0	0	0	0	0	0	3
49	57	0	0.588111033	0	0	0	0	0	0	0	0	0	0	3
50	58	0	0.600113299	0	0	0	0	0	0	0	0	0	0	3
51	59	0	0.612115565	0	0	0	0	0	0	0	0	0	0	3
52	60	0	0.624117831	0	0	0	0	0	0	0	0	0	0	3
53	61	0	0.636120097	0	0	0	0	0	0	0	0	0	0	3
54	62	0	0.648122363	0	0	0	0	0	0	0	0	0	0	3
55	63	0	0.660124629	0	0	0	0	0	0	0	0	0	0	3
56	64	0	0.672126895	0	0	0	0	0	0	0	0	0	0	3
57	66	0	0.684129161	0	0	0	0	0	0	0	0	0	0	3
58	67	0	0.696131427	0	0	0	0	0	0	0	0	0	0	3
59	68	0	0.708133693	0	0	0	0	0	0	0	0	0	0	3
60	69	0	0.720135959	0	0	0	0	0	0	0	0	0	0	3
61	70	0	0.732138225	0	0	0	0	0	0	0	0	0	0	3
62	71	0	0.744140491	0	0	0	0	0	0	0	0	0	0	3
63	72	0	0.756142757	0	0	0	0	0	0	0	0	0	0	3
64	73	0	0.768145023	0	0	0	0	0	0	0	0	0	0	3
65	74	0	0.780147289	0	0	0	0	0	0	0	0	0	0	3
66	76	0	0.792149555	0	0	0	0	0	0	0	0	0	0	3
67	77	0	0.804151821	0	0	0	0	0	0	0	0	0	0	3
68	78	0	0.816154087	0	0	0	0	0	0	0	0	0	0	3
69	79	0	0.828156353	0	0	0	0	0	0	0	0	0	0	3
70	80	0	0.840158619	0	0	0	0	0	0	0	0	0	0	3
71	81	0	0.852160885	0	0	0	0	0	0	0	0	0	0	3
72	83	0	0.864163151	0	0	0	0	0	0	0	0	0	0	3
73	84	0	0.876165417	0	0	0	0	0	0	0	0	0	0	3
74	85	0	0.888167683	0	0	0	0	0	0	0	0	0	0	3
75	86	0	0.900169949	0	0	0	0	0	0	0	0	0	0	3
76	87	0	0.912172215	0	0	0	0	0	0	0	0	0	0	3
77	88	0	0.924174481	0	0	0	0	0	0	0	0	0	0	3
78	89	0	0.936176747	0	0	0	0	0	0	0	0	0	0	3
79	90	0	0.948179013	0	0	0	0	0	0	0	0	0	0	3
80	91	0	0.960181279	0	0	0	0	0	0	0	0	0	0	3
81	93	0	0.972183545	0	0	0	0	0	0	0	0	0	0	3
82	94	0	0.984185811	0	0	0	0	0	0	0	0	0	0	3
83	95	0	0.996188077	0	0	0	0	0	0	0	0	0	0	3
84	96	0	1.00819034	0	0	0	0	0	0.001	0	0	0	0	3
85	97	0	1.02019261	0	0	0	0	0	0.001	0	0	0	0	3
86	98	0	1.03219487	0	0	0	0	0	0.001	0	0	0	0	3
87	99	0	1.04419714	0	0	0	0	0	0.001	0	0	0	0	3
88	100	0	1.05619941	0	0	0	0	0	0.001	0	0	0	0	3
89	101	0	1.06820167	0	0	0	0	0	0.001	0	0	0	0	3
90	102	0	1.08020394	0	0	0	0	0	0.001	0	0	0	0	3
91	104	0	1.0922062	0	0	0	0	0	0.001	0	0	0	0	3
92	105	0	1.10420847	0	0	0	0	0	0.001	0	0	0	0	3
93	106	0	1.11621074	0	0	0	0	0	0.001	0	0	0	0	3
94	107	0	1.128213	0	0	0	0	0	0.001	0	0	0	0	3
95	108	0	1.14021527	0	0	0	0	0	0.001	0	0	0	0	3
96	109	0	1.15221753	0	0	0	0	0	0.001	0	0	0	0	3
97	110	0	1.1642198	0	0	0	0	0	0.001	0	0	0	0	3
98	111	0	1.17622207	0	0	0	0	0	0.001	0	0	0	0	3
99	112	0	1.18822433	0	0	0	0	0	0.001	0	0	0	0	3
100	114	0	1.2002266	0	0	0	0	0	0.001	0	0	0	0	3
101	115	0	1.21222886	0	0	0	0	0	0.001	0	0	0	0	3
102	116	0	1.22423113	0	0	0	0	0	0.001	0	0	0	0	3
103	118	0	1.2362334	0	0	0	0	0	0.001	0	0	0	0	3
104	119	0	1.24823566	0	0	0	0	0	0.001	0	0	0	0	3
105	120	0	1.26023793	0	0	0	0	0	0.001	0	0	0	0	3
106	121	0	1.27224019	0	0	0	0	0	0.001	0	0	0	0	3
107	122	0	1.28424246	0	0	0	0	0	0.001	0	0	0	0	3
108	123	0	1.29624473	0	0	0	0	0	0.001	0	0	0	0	3
109	124	0	1.30824699	0	0	0	0	0	0.001	0	0	0	0	3
110	125	0	1.32024926	0	0	0	0	0	0.001	0	0	0	0	3
111	126	0	1.33225152	0	0	0	0	0	0.001	0	0	0	0	3
112	127	0	1.34425379	0	0	0	0	0	0.001	0	0	0	0	3
113	129	0	1.35625606	0	0	0	0	0	0.001	0	0	0	0	3
