Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	101326.548	101326.548	101326.548	101326.548	0	0	0	0	0	0	3
2	5	0	0.024004532	101324.994	101325.771	101324.994	101326.548	0.777081636	0	0	0	0	0	3
3	6	0	0.036006798	101325.106	101325.55	101324.994	101326.548	0.998776145	0	0	0	0	0	3
4	7	0	0.048009064	101325.049	101325.424	101324.994	101326.548	1.12393414	0	0	0	0	0	3
5	8	0	0.0600113299	101325.065	101325.352	101324.994	101326.548	1.19582694	0	0	0	0	0	3
6	9	0	0.0720135959	101325.041	101325.301	101324.994	101326.548	1.24767779	0	0	0	0	0	3
7	10	0	0.0840158619	101325.073	101325.268	101324.994	101326.548	1.28022118	0	0	0	0	0	3
8	11	0	0.0960181279	101325.049	101325.241	101324.994	101326.548	1.30766346	0	0	0	0	0	3
9	12	0	0.108020394	101325.072	101325.222	101324.994	101326.548	1.32641043	0	0	0	0	0	3
10	13	0	0.12002266	101325.043	101325.204	101324.994	101326.548	1.34432107	0	0	0	0	0	3
11	14	0	0.132024926	101325.067	101325.192	101324.994	101326.548	1.35673766	0	0	0	0	0	3
12	16	0	0.144027192	101325.039	101325.179	101324.994	101326.548	1.36946585	0	0	0	0	0	3
13	17	0	0.156029458	101325.064	101325.17	101324.994	101326.548	1.37826274	0	0	0	0	0	3
14	18	0	0.168031724	101325.035	101325.16	101324.994	101326.548	1.38787443	0	0	0	0	0	3
15	19	0	0.18003399	101325.059	101325.154	101324.994	101326.548	1.3946469	0	0	0	0	0	3
16	20	0	0.192036256	101325.034	101325.146	101324.994	101326.548	1.40209476	0	0	0	0	0	3
17	21	0	0.204038522	101325.048	101325.14	101324.994	101326.548	1.40787984	0	0	0	0	0	3
18	22	0	0.216040788	101325.033	101325.134	101324.994	101326.548	1.41387226	0	0	0	0	0	3
19	23	0	0.228043054	101325.041	101325.13	101324.994	101326.548	1.41877613	0	0	0	0	0	3
20	24	0	0.24004532	101325.032	101325.125	101324.994	101326.548	1.42362795	0	0	0	0	0	3
21	25	0	0.252047586	101325.042	101325.121	101324.994	101326.548	1.42756246	0	0	0	0	0	3
22	26	0	0.264049852	101325.038	101325.117	101324.994	101326.548	1.43131889	0	0	0	0	0	3
23	28	0	0.276052118	101325.039	101325.114	101324.994	101326.548	1.43470054	0	0	0	0	0	3
24	29	0	0.288054384	101325.039	101325.11	101324.994	101326.548	1.43782826	0	0	0	0	0	3
25	30	0	0.30005665	101325.038	101325.108	101324.994	101326.548	1.44071661	0	0	0	0	0	3
26	31	0	0.312058916	101325.035	101325.105	101324.994	101326.548	1.44352263	0	0	0	0	0	3
27	32	0	0.324061182	101325.028	101325.102	101324.994	101326.548	1.44637227	0	0	0	0	0	3
28	33	0	0.336063448	101325.017	101325.099	101324.994	101326.548	1.44938971	0	0	0	0	0	3
29	34	0	0.348065714	101325.009	101325.096	101324.994	101326.548	1.45250725	0	0	0	0	0	3
30	35	0	0.36006798	101325.002	101325.093	101324.994	101326.548	1.45563715	0	0	0	0	0	3
