Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.012002266	293.199985	293.199985	293.199985	293.199985	0	0	0	0	0	0	3
2	5	0	0.024004532	293.199966	293.199975	293.199966	293.199985	9.35727218e-06	0	0	0	0	0	3
3	6	0	0.036006798	293.199964	293.199972	293.199964	293.199985	1.31979094e-05	0	0	0	0	0	3
4	7	0	0.048009064	293.199958	293.199968	293.199958	293.199985	1.64937533e-05	0	0	0	0	0	3
5	8	0	0.0600113299	293.199953	293.199965	293.199953	293.199985	1.94615212e-05	0	0	0	0	0	3
6	9	0	0.0720135959	293.199944	293.199962	293.199944	293.199985	2.29851497e-05	0	0	0	0	0	3
7	10	0	0.0840158619	293.199934	293.199958	293.199934	293.199985	2.69918826e-05	0	0	0	0	0	3
8	11	0	0.0960181279	293.199923	293.199953	293.199923	293.199985	3.13456251e-05	0	0	0	0	0	3
9	12	0	0.108020394	293.199913	293.199949	293.199913	293.199985	3.58254511e-05	0	0	0	0	0	3
10	13	0	0.12002266	293.199904	293.199944	293.199904	293.199985	4.03666011e-05	0	0	0	0	0	3
11	14	0	0.132024926	293.199893	293.19994	293.199893	293.199985	4.50734391e-05	0	0	0	0	0	3
12	16	0	0.144027192	293.199882	293.199935	293.199882	293.199985	4.9895435e-05	0	0	0	0	0	3
13	17	0	0.156029458	293.199873	293.19993	293.199873	293.199985	5.46887106e-05	0	0	0	0	0	3
14	18	0	0.168031724	293.199863	293.199925	293.199863	293.199985	5.94476555e-05	0	0	0	0	0	3
15	19	0	0.18003399	293.199856	293.199921	293.199856	293.199985	6.40729103e-05	0	0	0	0	0	3
16	20	0	0.192036256	293.199845	293.199916	293.199845	293.199985	6.88128724e-05	0	0	0	0	0	3
17	21	0	0.204038522	293.199835	293.199911	293.199835	293.199985	7.35455547e-05	0	0	0	0	0	3
18	22	0	0.216040788	293.199827	293.199907	293.199827	293.199985	7.8233109e-05	0	0	0	0	0	3
19	23	0	0.228043054	293.199819	293.199902	293.199819	293.199985	8.28516789e-05	0	0	0	0	0	3
20	24	0	0.24004532	293.199811	293.199897	293.199811	293.199985	8.74170423e-05	0	0	0	0	0	3
