Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012009524	-2560.61162	-2560.61162	-2560.61162	-2560.61162	0	0	0	0	0	0	3
2	4	0	0.024019048	-330.202465	-1445.40704	-2560.61162	-330.202465	1115.20458	0	0	0	0	0	3
3	5	0	0.036028572	-137.283721	-1009.36594	-2560.61162	-137.283721	1551.24569	0	0	0	0	0	3
4	6	0	0.048038096	-77.7511507	-776.46224	-2560.61162	-77.7511507	1784.14938	0	0	0	0	0	3
5	6	0	0.06004762	-83.0348232	-637.776756	-2560.61162	-77.7511507	1922.83487	0	0	0	0	0	3
6	7	0	0.072057144	-70.6575037	-543.256881	-2560.61162	-70.6575037	2017.35474	0	0	0	0	0	3
7	8	0	0.084066668	-79.5111409	-477.007489	-2560.61162	-70.6575037	2083.60413	0	0	0	0	0	3
8	8	0	0.0960761921	-72.5530386	-426.450683	-2560.61162	-70.6575037	2134.16094	0	0	0	0	0	3
9	9	0	0.108085716	-77.2644248	-387.65221	-2560.61162	-70.6575037	2172.95941	0	0	0	0	0	3
10	10	0	0.12009524	-69.9354389	-355.880533	-2560.61162	-69.9354389	2204.73109	0	0	0	0	0	3
11	11	0	0.132104764	-71.6681182	-330.043041	-2560.61162	-69.9354389	2230.56858	0	0	0	0	0	3
12	11	0	0.144114288	-66.2746374	-308.06234	-2560.61162	-66.2746374	2252.54928	0	0	0	0	0	3
13	12	0	0.156123812	-67.9221851	-289.590021	-2560.61162	-66.2746374	2271.0216	0	0	0	0	0	3
14	13	0	0.168133336	-63.8143482	-273.463187	-2560.61162	-63.8143482	2287.14843	0	0	0	0	0	3
15	14	0	0.18014286	-65.3133362	-259.58653	-2560.61162	-63.8143482	2301.02509	0	0	0	0	0	3
16	14	0	0.192152384	-62.3009102	-247.256179	-2560.61162	-62.3009102	2313.35544	0	0	0	0	0	3
17	15	0	0.204161908	-62.599406	-236.394016	-2560.61162	-62.3009102	2324.21761	0	0	0	0	0	3
18	16	0	0.216171432	-60.4413369	-226.618867	-2560.61162	-60.4413369	2333.99275	0	0	0	0	0	3
19	16	0	0.228180956	-59.7534485	-217.836477	-2560.61162	-59.7534485	2342.77514	0	0	0	0	0	3
20	17	0	0.24019048	-58.5485696	-209.872081	-2560.61162	-58.5485696	2350.73954	0	0	0	0	0	3
21	18	0	0.252200004	-57.6879211	-202.625216	-2560.61162	-57.6879211	2357.9864	0	0	0	0	0	3
22	19	0	0.264209528	-57.0218206	-196.00688	-2560.61162	-57.0218206	2364.60474	0	0	0	0	0	3
23	19	0	0.276219052	-56.0588457	-189.922183	-2560.61162	-56.0588457	2370.68944	0	0	0	0	0	3
24	20	0	0.288228576	-55.8824646	-184.337195	-2560.61162	-55.8824646	2376.27443	0	0	0	0	0	3
25	21	0	0.3002381	-54.8702648	-179.158518	-2560.61162	-54.8702648	2381.4531	0	0	0	0	0	3
26	22	0	0.312247624	-54.6971937	-174.371544	-2560.61162	-54.6971937	2386.24008	0	0	0	0	0	3
27	22	0	0.324257148	-53.861832	-169.908221	-2560.61162	-53.861832	2390.7034	0	0	0	0	0	3
28	23	0	0.336266672	-53.5858125	-165.753849	-2560.61162	-53.5858125	2394.85777	0	0	0	0	0	3
29	24	0	0.348276196	-52.9568114	-161.864296	-2560.61162	-52.9568114	2398.74733	0	0	0	0	0	3
30	25	0	0.36028572	-52.6831892	-158.224926	-2560.61162	-52.6831892	2402.3867	0	0	0	0	0	3
31	25	0	0.372295244	-52.2998311	-154.807987	-2560.61162	-52.2998311	2405.80363	0	0	0	0	0	3
32	26	0	0.384304768	-51.9434779	-151.593472	-2560.61162	-51.9434779	2409.01815	0	0	0	0	0	3
33	27	0	0.396314292	-51.3791009	-148.556672	-2560.61162	-51.3791009	2412.05495	0	0	0	0	0	3
34	28	0	0.408323816	-51.2055622	-145.693404	-2560.61162	-51.2055622	2414.91822	0	0	0	0	0	3
35	28	0	0.42033334	-50.8061579	-142.98234	-2560.61162	-50.8061579	2417.62928	0	0	0	0	0	3
36	29	0	0.432342864	-50.5717476	-140.415379	-2560.61162	-50.5717476	2420.19624	0	0	0	0	0	3
37	30	0	0.444352388	-50.2325802	-137.978006	-2560.61162	-50.2325802	2422.63361	0	0	0	0	0	3
38	31	0	0.456361912	-50.1398417	-135.666476	-2560.61162	-50.1398417	2424.94515	0	0	0	0	0	3
39	31	0	0.468371436	-49.7615052	-133.463784	-2560.61162	-49.7615052	2427.14784	0	0	0	0	0	3
40	32	0	0.48038096	-49.7568456	-131.371111	-2560.61162	-49.7568456	2429.24051	0	0	0	0	0	3
41	33	0	0.492390484	-49.4716758	-129.373564	-2560.61162	-49.4716758	2431.23806	0	0	0	0	0	3
42	34	0	0.504400008	-49.4706422	-127.471113	-2560.61162	-49.4706422	2433.14051	0	0	0	0	0	3
43	35	0	0.516409532	-49.1984319	-67.6755609	-330.202465	-49.1984319	281.004033	0	0	0	0	0	3
44	35	0	0.528419056	-49.1747352	-60.9844245	-137.283721	-49.1747352	88.1089863	0	0	0	0	0	3
45	36	0	0.54042858	-48.9207426	-58.8805441	-83.0348232	-48.9207426	34.1140805	0	0	0	0	0	3
46	37	0	0.552438104	-48.9899229	-58.1957529	-83.0348232	-48.9207426	34.1140805	0	0	0	0	0	3
47	38	0	0.564447628	-48.8193438	-57.3810987	-79.5111409	-48.8193438	30.6917972	0	0	0	0	0	3
48	38	0	0.576457152	-48.8525875	-56.861934	-79.5111409	-48.8193438	30.6917972	0	0	0	0	0	3
49	39	0	0.588466676	-48.7039855	-56.1284303	-77.2644248	-48.7039855	28.5604392	0	0	0	0	0	3
50	40	0	0.6004762	-48.7470209	-55.5616203	-77.2644248	-48.7039855	28.5604392	0	0	0	0	0	3
51	41	0	0.612485724	-48.5607929	-54.8782005	-71.6681182	-48.5607929	23.1073253	0	0	0	0	0	3
