Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012009524	260.520805	260.520805	260.520805	260.520805	0	0	0	0	0	0	3
2	4	0	0.024019048	-42.8672308	108.826787	-42.8672308	260.520805	151.694018	0	0	0	0	0	3
3	5	0	0.036028572	-19.8529081	65.9335552	-42.8672308	260.520805	194.587249	0	0	0	0	0	3
4	6	0	0.048038096	-13.3092763	46.1228473	-42.8672308	260.520805	214.397957	0	0	0	0	0	3
5	6	0	0.06004762	-18.1447373	33.2693304	-42.8672308	260.520805	227.251474	0	0	0	0	0	3
6	7	0	0.072057144	-19.0106907	24.5559935	-42.8672308	260.520805	235.964811	0	0	0	0	0	3
7	8	0	0.084066668	-24.3913987	17.5635089	-42.8672308	260.520805	242.957296	0	0	0	0	0	3
8	8	0	0.0960761921	-24.6079349	12.2920785	-42.8672308	260.520805	248.228726	0	0	0	0	0	3
9	9	0	0.108085716	-29.8807244	7.60621147	-42.8672308	260.520805	252.914593	0	0	0	0	0	3
10	10	0	0.12009524	-28.1072007	4.03487025	-42.8672308	260.520805	256.485934	0	0	0	0	0	3
11	11	0	0.132104764	-34.379512	0.542653682	-42.8672308	260.520805	259.978151	0	0	0	0	0	3
12	11	0	0.144114288	-29.4615406	-1.95769584	-42.8672308	260.520805	262.4785	0	0	0	0	0	3
13	12	0	0.156123812	-35.777558	-4.5592237	-42.8672308	260.520805	265.080028	0	0	0	0	0	3
14	13	0	0.168133336	-31.8343823	-6.50744931	-42.8672308	260.520805	267.028254	0	0	0	0	0	3
15	14	0	0.18014286	-33.2073116	-8.28744013	-42.8672308	260.520805	268.808245	0	0	0	0	0	3
16	14	0	0.192152384	-34.1852681	-9.90605438	-42.8672308	260.520805	270.426859	0	0	0	0	0	3
17	15	0	0.204161908	-32.6251602	-11.2424724	-42.8672308	260.520805	271.763277	0	0	0	0	0	3
18	16	0	0.216171432	-32.6518431	-12.4318819	-42.8672308	260.520805	272.952686	0	0	0	0	0	3
19	16	0	0.228180956	-31.6484734	-13.4432814	-42.8672308	260.520805	273.964086	0	0	0	0	0	3
20	17	0	0.24019048	-31.2079226	-14.3315135	-42.8672308	260.520805	274.852318	0	0	0	0	0	3
21	18	0	0.252200004	-31.2858287	-15.1388618	-42.8672308	260.520805	275.659666	0	0	0	0	0	3
22	19	0	0.264209528	-29.6369514	-15.7978659	-42.8672308	260.520805	276.31867	0	0	0	0	0	3
23	19	0	0.276219052	-29.6608699	-16.4006052	-42.8672308	260.520805	276.92141	0	0	0	0	0	3
24	20	0	0.288228576	-28.2769795	-16.8954541	-42.8672308	260.520805	277.416259	0	0	0	0	0	3
25	21	0	0.3002381	-27.76815	-17.330362	-42.8672308	260.520805	277.851167	0	0	0	0	0	3
26	22	0	0.312247624	-27.3974232	-17.7175566	-42.8672308	260.520805	278.238361	0	0	0	0	0	3
27	22	0	0.324257148	-26.8757224	-18.0567479	-42.8672308	260.520805	278.577552	0	0	0	0	0	3
28	23	0	0.336266672	-26.5949267	-18.3616829	-42.8672308	260.520805	278.882487	0	0	0	0	0	3
29	24	0	0.348276196	-26.5605601	-18.6444028	-42.8672308	260.520805	279.165207	0	0	0	0	0	3
30	25	0	0.36028572	-25.7526955	-18.8813459	-42.8672308	260.520805	279.40215	0	0	0	0	0	3
31	25	0	0.372295244	-26.1030115	-19.1143028	-42.8672308	260.520805	279.635107	0	0	0	0	0	3
32	26	0	0.384304768	-26.040985	-19.3307617	-42.8672308	260.520805	279.851566	0	0	0	0	0	3
33	27	0	0.396314292	-26.5208147	-19.5486421	-42.8672308	260.520805	280.069447	0	0	0	0	0	3
34	28	0	0.408323816	-26.5617466	-19.7549098	-42.8672308	260.520805	280.275714	0	0	0	0	0	3
35	28	0	0.42033334	-27.2323575	-19.9685512	-42.8672308	260.520805	280.489356	0	0	0	0	0	3
36	29	0	0.432342864	-27.0865719	-20.166274	-42.8672308	260.520805	280.687079	0	0	0	0	0	3
37	30	0	0.444352388	-27.7677111	-20.3717182	-42.8672308	260.520805	280.892523	0	0	0	0	0	3
38	31	0	0.456361912	-27.6012783	-20.5619698	-42.8672308	260.520805	281.082774	0	0	0	0	0	3
39	31	0	0.468371436	-28.1984044	-20.7577758	-42.8672308	260.520805	281.27858	0	0	0	0	0	3
40	32	0	0.48038096	-27.9360152	-20.9372318	-42.8672308	260.520805	281.458036	0	0	0	0	0	3
41	33	0	0.492390484	-28.2036527	-21.1144616	-42.8672308	260.520805	281.635266	0	0	0	0	0	3
42	34	0	0.504400008	-28.1775046	-21.2826293	-42.8672308	260.520805	281.803434	0	0	0	0	0	3
43	35	0	0.516409532	-28.2607961	-28.1583817	-42.8672308	-13.3092763	29.5579545	0	0	0	0	0	3
44	35	0	0.528419056	-28.1516959	-27.8080118	-35.777558	-13.3092763	22.4682817	0	0	0	0	0	3
45	36	0	0.54042858	-28.4212926	-28.012021	-35.777558	-13.3092763	22.4682817	0	0	0	0	0	3
46	37	0	0.552438104	-28.248081	-28.3677068	-35.777558	-18.1447373	17.6328207	0	0	0	0	0	3
47	38	0	0.564447628	-28.3642395	-28.6110283	-35.777558	-19.0106907	16.7668673	0	0	0	0	0	3
48	38	0	0.576457152	-28.2648299	-28.8313649	-35.777558	-24.3913987	11.3861593	0	0	0	0	0	3
49	39	0	0.588466676	-28.5546842	-28.9304908	-35.777558	-24.6079349	11.1696231	0	0	0	0	0	3
50	40	0	0.6004762	-28.5617993	-29.0246304	-35.777558	-25.7526955	10.0248625	0	0	0	0	0	3
51	41	0	0.612485724	-28.5260668	-28.9923766	-35.777558	-25.7526955	10.0248625	0	0	0	0	0	3
52	42	0	0.624495248	-28.8099712	-29.0091093	-35.777558	-25.7526955	10.0248625	0	0	0	0	0	3
53	42	0	0.636504772	-28.7340158	-28.8746927	-35.777558	-25.7526955	10.0248625	0	0	0	0	0	3
54	43	0	0.648514296	-28.720529	-28.8570496	-35.777558	-25.7526955	10.0248625	0	0	0	0	0	3
55	44	0	0.66052382	-28.438504	-28.6823102	-34.1852681	-25.7526955	8.43257255	0	0	0	0	0	3
56	45	0	0.672533344	-28.3268753	-28.5987981	-34.1852681	-25.7526955	8.43257255	0	0	0	0	0	3
57	45	0	0.684542868	-28.1402191	-28.478153	-34.1852681	-25.7526955	8.43257255	0	0	0	0	0	3
58	46	0	0.696552392	-28.0186819	-28.3313296	-32.6518431	-25.7526955	6.8991476	0	0	0	0	0	3
59	47	0	0.708561916	-27.9172534	-28.2192366	-32.6518431	-25.7526955	6.8991476	0	0	0	0	0	3
60	48	0	0.72057144	-28.0064465	-28.1086319	-31.6484734	-25.7526955	5.89577787	0	0	0	0	0	3
61	49	0	0.732580964	-27.9442917	-28.0204371	-31.2858287	-25.7526955	5.53313321	0	0	0	0	0	3
62	49	0	0.744590488	-28.0839724	-27.9460573	-31.2858287	-25.7526955	5.53313321	0	0	0	0	0	3
63	50	0	0.756600012	-28.2021492	-27.8726364	-29.6608699	-25.7526955	3.90817434	0	0	0	0	0	3
64	51	0	0.768609536	-28.2200813	-27.8389014	-29.6608699	-25.7526955	3.90817434	0	0	0	0	0	3
65	52	0	0.78061906	-28.3159447	-27.8068793	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
66	52	0	0.792628584	-28.227724	-27.8057066	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
67	53	0	0.804638108	-28.2235349	-27.8165491	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
68	54	0	0.816647632	-28.1260638	-27.8338977	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
69	55	0	0.828657156	-28.1128353	-27.8633527	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
70	55	0	0.84066668	-28.0474611	-27.8979369	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
71	56	0	0.852676204	-27.9493938	-27.9310043	-28.8099712	-25.7526955	3.05727561	0	0	0	0	0	3
72	57	0	0.864685728	-27.983408	-27.9841165	-28.8099712	-26.040985	2.76898613	0	0	0	0	0	3
73	58	0	0.876695252	-27.8941076	-28.0267617	-28.8099712	-26.040985	2.76898613	0	0	0	0	0	3
74	58	0	0.888704776	-27.921855	-28.0715443	-28.8099712	-26.5208147	2.2891565	0	0	0	0	0	3
75	59	0	0.9007143	-27.8428307	-28.1030209	-28.8099712	-26.5617466	2.24822454	0	0	0	0	0	3
76	60	0	0.912723824	-27.8997115	-28.1348772	-28.8099712	-27.0865719	1.72339921	0	0	0	0	0	3
77	61	0	0.924733348	-27.830754	-28.1491247	-28.8099712	-27.0865719	1.72339921	0	0	0	0	0	3
78	61	0	0.936742873	-27.8638783	-28.167632	-28.8099712	-27.6012783	1.20869288	0	0	0	0	0	3
79	62	0	0.948752397	-27.7058591	-28.1661594	-28.8099712	-27.6012783	1.20869288	0	0	0	0	0	3
80	63	0	0.960761921	-27.5983666	-28.16609	-28.8099712	-27.5983666	1.21160458	0	0	0	0	0	3
81	64	0	0.972771445	-27.5479149	-28.1506022	-28.8099712	-27.5479149	1.26205626	0	0	0	0	0	3
82	65	0	0.984780969	-27.5511867	-28.1414396	-28.8099712	-27.5479149	1.26205626	0	0	0	0	0	3
83	65	0	0.996790493	-27.4720829	-28.1240213	-28.8099712	-27.4720829	1.33788824	0	0	0	0	0	3
84	66	0	1.00880002	-27.5095094	-28.1081166	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
85	67	0	1.02080954	-27.4733745	-28.0893685	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
86	68	0	1.03281906	-27.5469058	-28.0749687	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
87	68	0	1.04482859	-27.5910523	-28.0552011	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
88	69	0	1.05683811	-27.7221633	-28.0426792	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
89	70	0	1.06884764	-27.7779453	-28.0287199	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
90	71	0	1.08085716	-27.8296166	-28.0183576	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
91	72	0	1.09286668	-27.8102673	-28.0006334	-28.8099712	-27.4720829	1.21892382	0.67404845	0	55.2	0	0	3
92	72	0	1.10487621	-27.8674707	-27.9841018	-28.8099712	-27.4720829	1.20340269	0.67404845	0	56	0	0	3
