Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012009524	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.024019048	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.036028572	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.048038096	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.06004762	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.072057144	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.084066668	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.0960761921	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.108085716	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.12009524	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.132104764	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.144114288	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.156123812	0	0	0	0	0	0	0	0	0	0	3
14	13	0	0.168133336	0	0	0	0	0	0	0	0	0	0	3
15	14	0	0.18014286	0	0	0	0	0	0	0	0	0	0	3
16	14	0	0.192152384	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.204161908	0	0	0	0	0	0	0	0	0	0	3
18	16	0	0.216171432	0	0	0	0	0	0	0	0	0	0	3
19	16	0	0.228180956	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.24019048	0	0	0	0	0	0	0	0	0	0	3
21	18	0	0.252200004	0	0	0	0	0	0	0	0	0	0	3
22	19	0	0.264209528	0	0	0	0	0	0	0	0	0	0	3
23	19	0	0.276219052	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.288228576	0	0	0	0	0	0	0	0	0	0	3
25	21	0	0.3002381	0	0	0	0	0	0	0	0	0	0	3
26	22	0	0.312247624	0	0	0	0	0	0	0	0	0	0	3
27	22	0	0.324257148	0	0	0	0	0	0	0	0	0	0	3
28	23	0	0.336266672	0	0	0	0	0	0	0	0	0	0	3
29	24	0	0.348276196	0	0	0	0	0	0	0	0	0	0	3
30	25	0	0.36028572	0	0	0	0	0	0	0	0	0	0	3
31	25	0	0.372295244	0	0	0	0	0	0	0	0	0	0	3
32	26	0	0.384304768	0	0	0	0	0	0	0	0	0	0	3
33	27	0	0.396314292	0	0	0	0	0	0	0	0	0	0	3
34	28	0	0.408323816	0	0	0	0	0	0	0	0	0	0	3
35	28	0	0.42033334	0	0	0	0	0	0	0	0	0	0	3
36	29	0	0.432342864	0	0	0	0	0	0	0	0	0	0	3
37	30	0	0.444352388	0	0	0	0	0	0	0	0	0	0	3
38	31	0	0.456361912	0	0	0	0	0	0	0	0	0	0	3
39	31	0	0.468371436	0	0	0	0	0	0	0	0	0	0	3
40	32	0	0.48038096	0	0	0	0	0	0	0	0	0	0	3
41	33	0	0.492390484	0	0	0	0	0	0	0	0	0	0	3
42	34	0	0.504400008	0	0	0	0	0	0	0	0	0	0	3
43	35	0	0.516409532	0	0	0	0	0	0	0	0	0	0	3
44	35	0	0.528419056	0	0	0	0	0	0	0	0	0	0	3
45	36	0	0.54042858	0	0	0	0	0	0	0	0	0	0	3
46	37	0	0.552438104	0	0	0	0	0	0	0	0	0	0	3
47	38	0	0.564447628	0	0	0	0	0	0	0	0	0	0	3
48	38	0	0.576457152	0	0	0	0	0	0	0	0	0	0	3
49	39	0	0.588466676	0	0	0	0	0	0	0	0	0	0	3
50	40	0	0.6004762	0	0	0	0	0	0	0	0	0	0	3
51	41	0	0.612485724	0	0	0	0	0	0	0	0	0	0	3
52	42	0	0.624495248	0	0	0	0	0	0	0	0	0	0	3
53	42	0	0.636504772	0	0	0	0	0	0	0	0	0	0	3
54	43	0	0.648514296	0	0	0	0	0	0	0	0	0	0	3
55	44	0	0.66052382	0	0	0	0	0	0	0	0	0	0	3
56	45	0	0.672533344	0	0	0	0	0	0	0	0	0	0	3
57	45	0	0.684542868	0	0	0	0	0	0	0	0	0	0	3
58	46	0	0.696552392	0	0	0	0	0	0	0	0	0	0	3
59	47	0	0.708561916	0	0	0	0	0	0	0	0	0	0	3
60	48	0	0.72057144	0	0	0	0	0	0	0	0	0	0	3
61	49	0	0.732580964	0	0	0	0	0	0	0	0	0	0	3
62	49	0	0.744590488	0	0	0	0	0	0	0	0	0	0	3
63	50	0	0.756600012	0	0	0	0	0	0	0	0	0	0	3
64	51	0	0.768609536	0	0	0	0	0	0	0	0	0	0	3
65	52	0	0.78061906	0	0	0	0	0	0	0	0	0	0	3
66	52	0	0.792628584	0	0	0	0	0	0	0	0	0	0	3
67	53	0	0.804638108	0	0	0	0	0	0	0	0	0	0	3
68	54	0	0.816647632	0	0	0	0	0	0	0	0	0	0	3
69	55	0	0.828657156	0	0	0	0	0	0	0	0	0	0	3
70	55	0	0.84066668	0	0	0	0	0	0	0	0	0	0	3
71	56	0	0.852676204	0	0	0	0	0	0	0	0	0	0	3
72	57	0	0.864685728	0	0	0	0	0	0	0	0	0	0	3
73	58	0	0.876695252	0	0	0	0	0	0	0	0	0	0	3
74	58	0	0.888704776	0	0	0	0	0	0	0	0	0	0	3
75	59	0	0.9007143	0	0	0	0	0	0	0	0	0	0	3
76	60	0	0.912723824	0	0	0	0	0	0	0	0	0	0	3
77	61	0	0.924733348	0	0	0	0	0	0	0	0	0	0	3
78	61	0	0.936742873	0	0	0	0	0	0	0	0	0	0	3
79	62	0	0.948752397	0	0	0	0	0	0	0	0	0	0	3
80	63	0	0.960761921	0	0	0	0	0	0	0	0	0	0	3
81	64	0	0.972771445	0	0	0	0	0	0	0	0	0	0	3
82	65	0	0.984780969	0	0	0	0	0	0	0	0	0	0	3
83	65	0	0.996790493	0	0	0	0	0	0	0	0	0	0	3
84	66	0	1.00880002	0	0	0	0	0	0.001	0	0	0	0	3
85	67	0	1.02080954	0	0	0	0	0	0.001	0	0	0	0	3
86	68	0	1.03281906	0	0	0	0	0	0.001	0	0	0	0	3
87	68	0	1.04482859	0	0	0	0	0	0.001	0	0	0	0	3
88	69	0	1.05683811	0	0	0	0	0	0.001	0	0	0	0	3
89	70	0	1.06884764	0	0	0	0	0	0.001	0	0	0	0	3
90	71	0	1.08085716	0	0	0	0	0	0.001	0	0	0	0	3
91	72	0	1.09286668	0	0	0	0	0	0.001	0	0	0	0	3
92	72	0	1.10487621	0	0	0	0	0	0.001	0	0	0	0	3
93	73	0	1.11688573	0	0	0	0	0	0.001	0	0	0	0	3
94	74	0	1.12889526	0	0	0	0	0	0.001	0	0	0	0	3
95	75	0	1.14090478	0	0	0	0	0	0.001	0	0	0	0	3
96	76	0	1.1529143	0	0	0	0	0	0.001	0	0	0	0	3
97	76	0	1.16492383	0	0	0	0	0	0.001	0	0	0	0	3
98	77	0	1.17693335	0	0	0	0	0	0.001	0	0	0	0	3
99	78	0	1.18894288	0	0	0	0	0	0.001	0	0	0	0	3
100	79	0	1.2009524	0	0	0	0	0	0.001	0	0	0	0	3
101	80	0	1.21296192	0	0	0	0	0	0.001	0	0	0	0	3
102	81	0	1.22497145	0	0	0	0	0	0.001	0	0	0	0	3
103	82	0	1.23698097	0	0	0	0	0	0.001	0	0	0	0	3
104	83	0	1.2489905	0	0	0	0	0	0.001	0	0	0	0	3
105	83	0	1.26100002	0	0	0	0	0	0.001	0	0	0	0	3
106	84	0	1.27300954	0	0	0	0	0	0.001	0	0	0	0	3
107	85	0	1.28501907	0	0	0	0	0	0.001	0	0	0	0	3
