Iteration	CPUTime	PhysTime	Travels
1	4	0	0.011905887
2	5	0	0.0238117739
3	6	0	0.0357176609
4	7	0	0.0476235478
5	8	0	0.0595294348
6	9	0	0.0714353217
7	10	0	0.0833412087
8	10	0	0.0952470956
9	11	0	0.107152983
10	12	0	0.11905887
11	13	0	0.130964756
12	14	0	0.142870643
13	15	0	0.15477653
14	16	0	0.166682417
15	16	0	0.178588304
16	17	0	0.190494191
17	18	0	0.202400078
18	19	0	0.214305965
19	20	0	0.226211852
20	20	0	0.238117739
21	21	0	0.250023626
22	22	0	0.261929513
23	23	0	0.2738354
24	24	0	0.285741287
25	24	0	0.297647174
26	25	0	0.309553061
27	26	0	0.321458948
28	27	0	0.333364835
29	28	0	0.345270722
30	29	0	0.357176609
31	29	0	0.369082495
32	30	0	0.380988382
33	31	0	0.392894269
34	32	0	0.404800156
35	33	0	0.416706043
36	34	0	0.42861193
37	34	0	0.440517817
38	35	0	0.452423704
39	36	0	0.464329591
40	37	0	0.476235478
41	38	0	0.488141365
42	39	0	0.500047252
43	40	0	0.511953139
44	41	0	0.523859026
45	42	0	0.535764913
46	42	0	0.5476708
47	43	0	0.559576687
48	44	0	0.571482574
49	45	0	0.583388461
50	46	0	0.595294348
51	47	0	0.607200234
52	48	0	0.619106121
53	49	0	0.631012008
54	50	0	0.642917895
55	50	0	0.654823782
56	51	0	0.666729669
57	52	0	0.678635556
58	53	0	0.690541443
59	54	0	0.70244733
60	55	0	0.714353217
61	56	0	0.726259104
62	57	0	0.738164991
63	58	0	0.750070878
64	58	0	0.761976765
65	59	0	0.773882652
66	60	0	0.785788539
67	61	0	0.797694426
68	62	0	0.809600313
69	63	0	0.8215062
70	64	0	0.833412087
71	65	0	0.845317973
72	66	0	0.85722386
73	67	0	0.869129747
74	67	0	0.881035634
75	68	0	0.892941521
76	69	0	0.904847408
77	70	0	0.916753295
78	71	0	0.928659182
79	72	0	0.940565069
80	73	0	0.952470956
81	74	0	0.964376843
82	74	0	0.97628273
83	75	0	0.988188617
84	76	0	1.0000945
85	77	0	1.01200039
86	78	0	1.02390628
87	79	0	1.03581216
88	80	0	1.04771805
89	81	0	1.05962394
90	82	0	1.07152983
91	83	0	1.08343571
92	84	0	1.0953416
93	85	0	1.10724749
94	85	0	1.11915337
95	86	0	1.13105926
96	87	0	1.14296515
97	88	0	1.15487103
98	89	0	1.16677692
99	90	0	1.17868281
100	91	0	1.1905887
101	92	0	1.20249458
102	93	0	1.21440047
