Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0120110221	520.422399	520.422399	520.422399	520.422399	0	0	0	0	0	0	3
2	7	0	0.0240220442	61.5191033	290.970751	61.5191033	520.422399	229.451648	0	0	0	0	0	3
3	7	0	0.0360330664	26.1171776	202.686227	26.1171776	520.422399	317.736172	0	0	0	0	0	3
4	8	0	0.0480440885	11.008803	154.766871	11.008803	520.422399	365.655528	0	0	0	0	0	3
5	9	0	0.0600551106	16.224906	127.058478	11.008803	520.422399	393.363921	0	0	0	0	0	3
6	10	0	0.0720661327	9.92865627	107.536841	9.92865627	520.422399	412.885558	0	0	0	0	0	3
7	11	0	0.0840771548	12.4374066	93.9512074	9.92865627	520.422399	426.471192	0	0	0	0	0	3
8	12	0	0.0960881769	8.15931802	83.2272213	8.15931802	520.422399	437.195178	0	0	0	0	0	3
9	13	0	0.108099199	9.4790502	75.03298	8.15931802	520.422399	445.389419	0	0	0	0	0	3
10	14	0	0.120110221	8.8402179	68.4137038	8.15931802	520.422399	452.008695	0	0	0	0	0	3
11	14	0	0.132121243	6.76589595	62.8093577	6.76589595	520.422399	457.613042	0	0	0	0	0	3
12	16	0	0.144132265	4.98125067	57.9903487	4.98125067	520.422399	462.43205	0	0	0	0	0	3
13	16	0	0.156143288	4.63407368	53.8860199	4.63407368	520.422399	466.536379	0	0	0	0	0	3
14	17	0	0.16815431	2.55499251	50.2195179	2.55499251	520.422399	470.202881	0	0	0	0	0	3
15	18	0	0.180165332	3.12750669	47.0800505	2.55499251	520.422399	473.342349	0	0	0	0	0	3
16	19	0	0.192176354	1.57338917	44.2358842	1.57338917	520.422399	476.186515	0	0	0	0	0	3
17	20	0	0.204187376	3.42924301	41.8354935	1.57338917	520.422399	478.586906	0	0	0	0	0	3
18	21	0	0.216198398	0.813026867	39.5564676	0.813026867	520.422399	480.865932	0	0	0	0	0	3
19	21	0	0.22820942	0.392548754	37.4952087	0.392548754	520.422399	482.92719	0	0	0	0	0	3
20	22	0	0.240220442	0.256421265	35.6332693	0.256421265	520.422399	484.78913	0	0	0	0	0	3
21	23	0	0.252231464	-0.994434389	33.889093	-0.994434389	520.422399	486.533306	0	0	0	0	0	3
22	24	0	0.264242487	-0.782872371	32.3130945	-0.994434389	520.422399	488.109305	0	0	0	0	0	3
23	25	0	0.276253509	-1.25415275	30.853649	-1.25415275	520.422399	489.56875	0	0	0	0	0	3
24	26	0	0.288264531	-1.5123268	29.5050667	-1.5123268	520.422399	490.917333	0	0	0	0	0	3
25	27	0	0.300275553	-0.874552175	28.2898819	-1.5123268	520.422399	492.132517	0	0	0	0	0	3
26	28	0	0.312286575	-1.5404652	27.1425609	-1.5404652	520.422399	493.279838	0	0	0	0	0	3
27	29	0	0.324297597	-1.24241141	26.0912656	-1.5404652	520.422399	494.331134	0	0	0	0	0	3
28	30	0	0.336308619	-0.716047656	25.1338616	-1.5404652	520.422399	495.288538	0	0	0	0	0	3
29	30	0	0.348319641	-0.54074781	24.2485302	-1.5404652	520.422399	496.173869	0	0	0	0	0	3
30	31	0	0.360330664	-0.725664196	23.4160571	-1.5404652	520.422399	497.006342	0	0	0	0	0	3
31	32	0	0.372341686	-0.882331204	22.6322381	-1.5404652	520.422399	497.790161	0	0	0	0	0	3
32	33	0	0.384352708	-0.934728686	21.8957704	-1.5404652	520.422399	498.526629	0	0	0	0	0	3
33	34	0	0.39636373	-1.18097695	21.196475	-1.5404652	520.422399	499.225924	0	0	0	0	0	3
34	35	0	0.408374752	-1.24886752	20.5363179	-1.5404652	520.422399	499.886081	0	0	0	0	0	3
35	36	0	0.420385774	-0.886700609	19.9242316	-1.5404652	520.422399	500.498168	0	0	0	0	0	3
36	37	0	0.432396796	-0.747563791	19.3500151	-1.5404652	520.422399	501.072384	0	0	0	0	0	3
37	38	0	0.444407818	-0.744091958	18.8069311	-1.5404652	520.422399	501.615468	0	0	0	0	0	3
38	39	0	0.45641884	-0.704877361	18.2934625	-1.5404652	520.422399	502.128937	0	0	0	0	0	3
39	40	0	0.468429863	-0.816424816	17.8034654	-1.5404652	520.422399	502.618934	0	0	0	0	0	3
40	41	0	0.480440885	-1.08717144	17.3311994	-1.5404652	520.422399	503.0912	0	0	0	0	0	3
41	42	0	0.492451907	-1.27552904	16.8773768	-1.5404652	520.422399	503.545022	0	0	0	0	0	3
42	43	0	0.504462929	-1.46377122	16.4406828	-1.5404652	520.422399	503.981716	0	0	0	0	0	3
43	44	0	0.516473951	-1.49075509	4.01417912	-1.5404652	61.5191033	63.0595685	0	0	0	0	0	3
44	45	0	0.528484973	-1.85293029	2.50532118	-1.85293029	26.1171776	27.9701079	0	0	0	0	0	3
45	46	0	0.540495995	-1.44242093	1.84914026	-1.85293029	16.224906	18.0778363	0	0	0	0	0	3
46	47	0	0.552507017	-1.64448394	1.54787152	-1.85293029	16.224906	18.0778363	0	0	0	0	0	3
47	48	0	0.56451804	-1.31222261	1.13032084	-1.85293029	12.4374066	14.2903369	0	0	0	0	0	3
48	48	0	0.576529062	-1.30946697	0.862746479	-1.85293029	12.4374066	14.2903369	0	0	0	0	0	3
49	49	0	0.588540084	-1.10284697	0.540359489	-1.85293029	9.4790502	11.3319805	0	0	0	0	0	3
50	50	0	0.600551106	-1.07506122	0.320493316	-1.85293029	9.4790502	11.3319805	0	0	0	0	0	3
51	51	0	0.612562128	-0.913449033	0.0730528585	-1.85293029	8.8402179	10.6931482	0	0	0	0	0	3
52	52	0	0.62457315	-0.904675106	-0.158968404	-1.85293029	6.76589595	8.61882625	0	0	0	0	0	3
53	53	0	0.636584172	-1.11163018	-0.34652855	-1.85293029	4.98125067	6.83418097	0	0	0	0	0	3
54	54	0	0.648595194	-1.36940758	-0.497734699	-1.85293029	4.63407368	6.48700398	0	0	0	0	0	3
55	55	0	0.660606216	-1.58112415	-0.645715599	-1.85293029	3.42924301	5.2821733	0	0	0	0	0	3
56	56	0	0.672617239	-1.75309247	-0.748289051	-1.85293029	3.42924301	5.2821733	0	0	0	0	0	3
57	57	0	0.684628261	-1.71134838	-0.863499886	-1.85293029	3.42924301	5.2821733	0	0	0	0	0	3
58	58	0	0.696639283	-1.68647622	-0.941115729	-1.85293029	3.42924301	5.2821733	0	0	0	0	0	3
59	59	0	0.708650305	-1.51914705	-1.05893454	-1.85293029	0.813026867	2.66595716	0	0	0	0	0	3
60	60	0	0.720661327	-1.46009876	-1.11305658	-1.85293029	0.392548754	2.24547905	0	0	0	0	0	3
61	61	0	0.732672349	-1.27030751	-1.15264839	-1.85293029	0.256421265	2.10935156	0	0	0	0	0	3
62	62	0	0.744683371	-1.09732091	-1.18488035	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
63	63	0	0.756694393	-0.999393008	-1.18499841	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
64	64	0	0.768705416	-0.869374391	-1.18705799	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
65	65	0	0.780716438	-0.976860638	-1.18045579	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
66	66	0	0.79272746	-1.12097988	-1.17113801	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
67	67	0	0.804738482	-1.29771671	-1.18121335	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
68	68	0	0.816749504	-1.46023262	-1.17930305	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
69	69	0	0.828760526	-1.49549759	-1.18532892	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
70	70	0	0.840771548	-1.5041505	-1.20409327	-1.85293029	-0.54074781	1.31218248	0	0	0	0	0	3
71	71	0	0.85278257	-1.6440212	-1.23036168	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
72	72	0	0.864793592	-1.52732579	-1.24944886	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
73	73	0	0.876804615	-1.38155987	-1.26133526	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
74	74	0	0.888815637	-1.28443025	-1.26966149	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
75	75	0	0.900826659	-1.23836762	-1.27102793	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
76	76	0	0.912837681	-1.05377564	-1.26638289	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
77	77	0	0.924848703	-0.949797398	-1.26788519	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
78	78	0	0.936859725	-0.922301148	-1.27204561	-1.85293029	-0.704877361	1.14805293	0	0	0	0	0	3
