Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120120768	101326.19	101326.19	101326.19	101326.19	0	0	0	0	0	0	3
2	4	0	0.0240241536	101324.975	101325.582	101324.975	101326.19	0.607870661	0	0	0	0	0	3
3	5	0	0.0360362304	101325.161	101325.442	101324.975	101326.19	0.748467264	0	0	0	0	0	3
4	6	0	0.0480483072	101325.056	101325.345	101324.975	101326.19	0.844812418	0	0	0	0	0	3
5	6	0	0.060060384	101325.1	101325.296	101324.975	101326.19	0.893839788	0	0	0	0	0	3
6	7	0	0.0720724608	101325.064	101325.258	101324.975	101326.19	0.932651779	0	0	0	0	0	3
7	8	0	0.0840845375	101325.102	101325.235	101324.975	101326.19	0.954926805	0	0	0	0	0	3
8	8	0	0.0960966143	101325.071	101325.215	101324.975	101326.19	0.975446273	0	0	0	0	0	3
9	9	0	0.108108691	101325.101	101325.202	101324.975	101326.19	0.988107616	0	0	0	0	0	3
10	10	0	0.120120768	101325.069	101325.189	101324.975	101326.19	1.00145184	0	0	0	0	0	3
11	11	0	0.132132845	101325.094	101325.18	101324.975	101326.19	1.01004645	0	0	0	0	0	3
12	11	0	0.144144922	101325.066	101325.171	101324.975	101326.19	1.01953609	0	0	0	0	0	3
13	12	0	0.156156998	101325.087	101325.164	101324.975	101326.19	1.02595866	0	0	0	0	0	3
14	13	0	0.168169075	101325.066	101325.157	101324.975	101326.19	1.03299435	0	0	0	0	0	3
15	13	0	0.180181152	101325.079	101325.152	101324.975	101326.19	1.03823804	0	0	0	0	0	3
16	14	0	0.192193229	101325.064	101325.147	101324.975	101326.19	1.04372481	0	0	0	0	0	3
17	15	0	0.204205305	101325.068	101325.142	101324.975	101326.19	1.04836955	0	0	0	0	0	3
18	16	0	0.216217382	101325.06	101325.137	101324.975	101326.19	1.05294043	0	0	0	0	0	3
19	16	0	0.228229459	101325.063	101325.133	101324.975	101326.19	1.05686176	0	0	0	0	0	3
20	17	0	0.240241536	101325.059	101325.13	101324.975	101326.19	1.0605636	0	0	0	0	0	3
21	18	0	0.252253613	101325.063	101325.127	101324.975	101326.19	1.06373061	0	0	0	0	0	3
22	19	0	0.264265689	101325.063	101325.124	101324.975	101326.19	1.06660756	0	0	0	0	0	3
23	19	0	0.276277766	101325.063	101325.121	101324.975	101326.19	1.06922434	0	0	0	0	0	3
24	20	0	0.288289843	101325.06	101325.118	101324.975	101326.19	1.07176685	0	0	0	0	0	3
25	21	0	0.30030192	101325.06	101325.116	101324.975	101326.19	1.07411404	0	0	0	0	0	3
26	22	0	0.312313997	101325.056	101325.114	101324.975	101326.19	1.07642866	0	0	0	0	0	3
27	22	0	0.324326073	101325.048	101325.111	101324.975	101326.19	1.07885688	0	0	0	0	0	3
28	23	0	0.33633815	101325.037	101325.109	101324.975	101326.19	1.08150938	0	0	0	0	0	3
29	24	0	0.348350227	101325.029	101325.106	101324.975	101326.19	1.08426782	0	0	0	0	0	3
30	25	0	0.360362304	101325.022	101325.103	101324.975	101326.19	1.08708281	0	0	0	0	0	3
31	25	0	0.372374381	101325.016	101325.1	101324.975	101326.19	1.0898859	0	0	0	0	0	3
32	26	0	0.384386457	101325.012	101325.098	101324.975	101326.19	1.09263333	0	0	0	0	0	3
33	27	0	0.396398534	101325.01	101325.095	101324.975	101326.19	1.09528443	0	0	0	0	0	3
34	28	0	0.408410611	101325.01	101325.092	101324.975	101326.19	1.09778213	0	0	0	0	0	3
35	29	0	0.420422688	101325.011	101325.09	101324.975	101326.19	1.10010071	0	0	0	0	0	3
36	30	0	0.432434765	101325.014	101325.088	101324.975	101326.19	1.10221813	0	0	0	0	0	3
37	31	0	0.444446841	101325.017	101325.086	101324.975	101326.19	1.10414833	0	0	0	0	0	3
38	31	0	0.456458918	101325.018	101325.084	101324.975	101326.19	1.10593339	0	0	0	0	0	3
39	32	0	0.468470995	101325.02	101325.083	101324.975	101326.19	1.10759076	0	0	0	0	0	3
40	33	0	0.480483072	101325.02	101325.081	101324.975	101326.19	1.10916056	0	0	0	0	0	3
41	34	0	0.492495148	101325.02	101325.08	101324.975	101326.19	1.11065528	0	0	0	0	0	3
42	35	0	0.504507225	101325.019	101325.078	101324.975	101326.19	1.11209233	0	0	0	0	0	3
43	36	0	0.516519302	101325.019	101325.05	101324.975	101325.161	0.186080852	0	0	0	0	0	3
44	37	0	0.528531379	101325.018	101325.051	101325.01	101325.161	0.150545865	0	0	0	0	0	3
45	37	0	0.540543456	101325.017	101325.048	101325.01	101325.102	0.0916293762	0	0	0	0	0	3
46	38	0	0.552555532	101325.017	101325.047	101325.01	101325.102	0.0916293762	0	0	0	0	0	3
47	39	0	0.564567609	101325.017	101325.045	101325.01	101325.102	0.0916293762	0	0	0	0	0	3
48	40	0	0.576579686	101325.017	101325.044	101325.01	101325.102	0.0916293762	0	0	0	0	0	3
49	41	0	0.588591763	101325.017	101325.042	101325.01	101325.101	0.0908079692	0	0	0	0	0	3
50	41	0	0.60060384	101325.016	101325.041	101325.01	101325.101	0.0908079692	0	0	0	0	0	3
51	42	0	0.612615916	101325.017	101325.039	101325.01	101325.094	0.0842137104	0	0	0	0	0	3
52	43	0	0.624627993	101325.017	101325.037	101325.01	101325.094	0.0842137104	0	0	0	0	0	3
53	44	0	0.63664007	101325.017	101325.035	101325.01	101325.087	0.0771769159	0	0	0	0	0	3
54	45	0	0.648652147	101325.016	101325.034	101325.01	101325.087	0.0771769159	0	0	0	0	0	3
55	45	0	0.660664224	101325.016	101325.033	101325.01	101325.079	0.0685565993	0	0	0	0	0	3
56	46	0	0.6726763	101325.016	101325.031	101325.01	101325.079	0.0685565993	0	0	0	0	0	3
57	47	0	0.684688377	101325.016	101325.03	101325.01	101325.068	0.0575209673	0	0	0	0	0	3
58	48	0	0.696700454	101325.016	101325.029	101325.01	101325.068	0.0575209673	0	0	0	0	0	3
59	48	0	0.708712531	101325.016	101325.027	101325.01	101325.063	0.0534127571	0	0	0	0	0	3
60	49	0	0.720724608	101325.016	101325.026	101325.01	101325.063	0.0534127571	0	0	0	0	0	3
61	50	0	0.732736684	101325.015	101325.025	101325.01	101325.063	0.0534127571	0	0	0	0	0	3
62	51	0	0.744748761	101325.016	101325.024	101325.01	101325.063	0.0534127571	0	0	0	0	0	3
63	51	0	0.756760838	101325.015	101325.023	101325.01	101325.063	0.0534127571	0	0	0	0	0	3
64	52	0	0.768772915	101325.016	101325.022	101325.01	101325.063	0.0534127571	0	0	0	0	0	3
65	53	0	0.780784991	101325.016	101325.021	101325.01	101325.06	0.0499618281	0	0	0	0	0	3
66	54	0	0.792797068	101325.016	101325.02	101325.01	101325.06	0.0497598608	0	0	0	0	0	3
67	54	0	0.804809145	101325.016	101325.019	101325.01	101325.056	0.0459121595	0	0	0	0	0	3
68	55	0	0.816821222	101325.016	101325.018	101325.01	101325.048	0.0382157114	0	0	0	0	0	3
69	56	0	0.828833299	101325.016	101325.017	101325.01	101325.037	0.0270794638	0	0	0	0	0	3
70	57	0	0.840845375	101325.016	101325.017	101325.01	101325.029	0.0187020417	0	0	0	0	0	3
71	58	0	0.852857452	101325.016	101325.016	101325.01	101325.022	0.0114889146	0	0	0	0	0	3
72	58	0	0.864869529	101325.016	101325.016	101325.01	101325.02	0.00982332374	0	0	0	0	0	3
73	59	0	0.876881606	101325.016	101325.016	101325.01	101325.02	0.00982332374	0	0	0	0	0	3
74	60	0	0.888893683	101325.016	101325.016	101325.01	101325.02	0.00982332374	0	0	0	0	0	3
75	61	0	0.900905759	101325.016	101325.016	101325.01	101325.02	0.00982332374	0	0	0	0	0	3
76	61	0	0.912917836	101325.016	101325.016	101325.011	101325.02	0.00854922591	0	0	0	0	0	3
77	62	0	0.924929913	101325.016	101325.017	101325.014	101325.02	0.00594479425	0	0	0	0	0	3
78	63	0	0.93694199	101325.016	101325.017	101325.015	101325.02	0.00453039646	0	0	0	0	0	3
79	64	0	0.948954067	101325.016	101325.017	101325.015	101325.02	0.00453039646	0	0	0	0	0	3
80	64	0	0.960966143	101325.016	101325.016	101325.015	101325.02	0.00453039646	0	0	0	0	0	3
81	65	0	0.97297822	101325.016	101325.016	101325.015	101325.02	0.00453039646	0	0	0	0	0	3
82	66	0	0.984990297	101325.015	101325.016	101325.015	101325.02	0.00466204676	0	0	0	0	0	3
83	67	0	0.997002374	101325.015	101325.016	101325.015	101325.019	0.00409467616	0	0	0	0	0	3
84	67	0	1.00901445	101325.015	101325.016	101325.015	101325.019	0.00381271992	0.00451637594	0	0	0	0	3
85	68	0	1.02102653	101325.016	101325.016	101325.015	101325.018	0.00309663925	0.00451637594	0	0	0	0	3
86	69	0	1.0330386	101325.016	101325.016	101325.015	101325.017	0.00225620964	0.00451637594	0	0	0	0	3
87	70	0	1.04505068	101325.016	101325.016	101325.015	101325.017	0.00181975758	0.00451637594	0	0	0	0	3
88	71	0	1.05706276	101325.016	101325.016	101325.015	101325.017	0.00166264341	0.00451637594	0	0	0	0	3
89	71	0	1.06907483	101325.016	101325.016	101325.015	101325.017	0.00166264341	0.00451637594	0	0	0	0	3
90	72	0	1.08108691	101325.016	101325.016	101325.015	101325.017	0.00154283177	0.00451637594	0	0	0	0	3
91	73	0	1.09309899	101325.016	101325.016	101325.015	101325.017	0.00149606122	0.00451637594	0	0	0	0	3
92	74	0	1.10511106	101325.015	101325.016	101325.015	101325.017	0.00149606122	0.00451637594	0	0	0	0	3
93	74	0	1.11712314	101325.015	101325.016	101325.015	101325.017	0.00149606122	0.00451637594	0	0	0	0	3
94	75	0	1.12913522	101325.015	101325.016	101325.015	101325.017	0.00149606122	0.00451637594	0	0	0	0	3
95	76	0	1.1411473	101325.015	101325.016	101325.015	101325.016	0.00115309964	0.00451637594	0	0	0	0	3
96	77	0	1.15315937	101325.016	101325.016	101325.015	101325.016	0.00109129075	0.00451637594	0	0	0	0	3
97	77	0	1.16517145	101325.016	101325.016	101325.015	101325.016	0.000867537572	0.00451637594	0	0	0	0	3
98	78	0	1.17718353	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
99	79	0	1.1891956	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
100	80	0	1.20120768	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
101	81	0	1.21321976	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
102	82	0	1.22523183	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
103	83	0	1.23724391	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
104	84	0	1.24925599	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
105	85	0	1.26126806	101325.016	101325.016	101325.015	101325.016	0.000863674708	0.00451637594	0	0	0	0	3
106	86	0	1.27328014	101325.016	101325.016	101325.015	101325.016	0.000947564273	0.00451637594	0	0	0	0	3
