Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120120768	293.200003	293.200003	293.200003	293.200003	0	0	0	0	0	0	3
2	4	0	0.0240241536	293.19999	293.199997	293.19999	293.200003	6.78491307e-06	0	0	0	0	0	3
3	5	0	0.0360362304	293.199988	293.199994	293.199988	293.200003	9.63439828e-06	0	0	0	0	0	3
4	6	0	0.0480483072	293.199983	293.199991	293.199983	293.200003	1.2330664e-05	0	0	0	0	0	3
5	6	0	0.060060384	293.199979	293.199989	293.199979	293.200003	1.4757915e-05	0	0	0	0	0	3
6	7	0	0.0720724608	293.199971	293.199986	293.199971	293.200003	1.77340476e-05	0	0	0	0	0	3
7	8	0	0.0840845375	293.199962	293.199982	293.199962	293.200003	2.11132608e-05	0	0	0	0	0	3
8	8	0	0.0960966143	293.199953	293.199979	293.199953	293.200003	2.48186875e-05	0	0	0	0	0	3
9	9	0	0.108108691	293.199945	293.199975	293.199945	293.200003	2.86047032e-05	0	0	0	0	0	3
10	10	0	0.120120768	293.199936	293.199971	293.199936	293.200003	3.24452082e-05	0	0	0	0	0	3
11	11	0	0.132132845	293.199928	293.199967	293.199928	293.200003	3.63554636e-05	0	0	0	0	0	3
12	11	0	0.144144922	293.19992	293.199963	293.19992	293.200003	4.02808166e-05	0	0	0	0	0	3
13	12	0	0.156156998	293.199913	293.199959	293.199913	293.200003	4.41496481e-05	0	0	0	0	0	3
14	13	0	0.168169075	293.199906	293.199955	293.199906	293.200003	4.79333135e-05	0	0	0	0	0	3
15	13	0	0.180181152	293.199901	293.199952	293.199901	293.200003	5.15922671e-05	0	0	0	0	0	3
16	14	0	0.192193229	293.199893	293.199948	293.199893	293.200003	5.526358e-05	0	0	0	0	0	3
17	15	0	0.204205305	293.199887	293.199945	293.199887	293.200003	5.88587264e-05	0	0	0	0	0	3
18	16	0	0.216217382	293.199882	293.199941	293.199882	293.200003	6.23453734e-05	0	0	0	0	0	3
19	16	0	0.228229459	293.199877	293.199938	293.199877	293.200003	6.57320811e-05	0	0	0	0	0	3
20	17	0	0.240241536	293.199872	293.199934	293.199872	293.200003	6.90329776e-05	0	0	0	0	0	3
21	18	0	0.252253613	293.199864	293.199931	293.199864	293.200003	7.24039684e-05	0	0	0	0	0	3
22	19	0	0.264265689	293.199855	293.199928	293.199855	293.200003	7.58799302e-05	0	0	0	0	0	3
23	19	0	0.276277766	293.199844	293.199924	293.199844	293.200003	7.95020602e-05	0	0	0	0	0	3
24	20	0	0.288289843	293.199833	293.19992	293.199833	293.200003	8.33045883e-05	0	0	0	0	0	3
25	21	0	0.30030192	293.199819	293.199916	293.199819	293.200003	8.73399043e-05	0	0	0	0	0	3
26	22	0	0.312313997	293.199796	293.199911	293.199796	293.200003	9.19556904e-05	0	0	0	0	0	3
27	22	0	0.324326073	293.199769	293.199906	293.199769	293.200003	9.72159906e-05	0	0	0	0	0	3
28	23	0	0.33633815	293.19974	293.1999	293.19974	293.200003	0.000103160404	0	0	0	0	0	3
29	24	0	0.348350227	293.199707	293.199894	293.199707	293.200003	0.000109810066	0	0	0	0	0	3
30	25	0	0.360362304	293.199673	293.199886	293.199673	293.200003	0.000117147518	0	0	0	0	0	3
31	25	0	0.372374381	293.199623	293.199878	293.199623	293.200003	0.000125624979	0	0	0	0	0	3
32	26	0	0.384386457	293.199578	293.199868	293.199578	293.200003	0.000135006095	0	0	0	0	0	3
