Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120097459	1643.32281	1643.32281	1643.32281	1643.32281	0	0	0	0	0	0	3
2	4	0	0.0240194918	84.046247	863.684528	84.046247	1643.32281	779.638281	0	0	0	0	0	3
3	5	0	0.0360292377	114.000569	613.789875	84.046247	1643.32281	1029.53293	0	0	0	0	0	3
4	5	0	0.0480389836	110.10377	487.868349	84.046247	1643.32281	1155.45446	0	0	0	0	0	3
5	6	0	0.0600487295	139.73152	418.240983	84.046247	1643.32281	1225.08183	0	0	0	0	0	3
6	7	0	0.0720584754	119.176773	368.396948	84.046247	1643.32281	1274.92586	0	0	0	0	0	3
7	7	0	0.0840682213	117.602761	332.569207	84.046247	1643.32281	1310.7536	0	0	0	0	0	3
8	8	0	0.0960779672	117.58451	305.69612	84.046247	1643.32281	1337.62669	0	0	0	0	0	3
9	9	0	0.108087713	112.57148	284.237827	84.046247	1643.32281	1359.08498	0	0	0	0	0	3
10	9	0	0.120097459	124.023123	268.216356	84.046247	1643.32281	1375.10645	0	0	0	0	0	3
11	10	0	0.132107205	102.527023	253.15369	84.046247	1643.32281	1390.16912	0	0	0	0	0	3
12	11	0	0.144116951	119.83591	242.043875	84.046247	1643.32281	1401.27893	0	0	0	0	0	3
13	11	0	0.156126697	100.160844	231.129795	84.046247	1643.32281	1412.19301	0	0	0	0	0	3
14	12	0	0.168136443	112.510489	222.656988	84.046247	1643.32281	1420.66582	0	0	0	0	0	3
15	13	0	0.180146189	99.4975143	214.446356	84.046247	1643.32281	1428.87645	0	0	0	0	0	3
16	13	0	0.192155934	107.530281	207.764101	84.046247	1643.32281	1435.55871	0	0	0	0	0	3
17	14	0	0.20416568	99.6500852	201.404453	84.046247	1643.32281	1441.91836	0	0	0	0	0	3
18	15	0	0.216175426	103.598387	195.970783	84.046247	1643.32281	1447.35203	0	0	0	0	0	3
19	16	0	0.228185172	99.3564894	190.88582	84.046247	1643.32281	1452.43699	0	0	0	0	0	3
20	16	0	0.240194918	102.046368	186.443848	84.046247	1643.32281	1456.87896	0	0	0	0	0	3
21	17	0	0.252204664	99.9194812	182.32364	84.046247	1643.32281	1460.99917	0	0	0	0	0	3
22	18	0	0.26421441	100.537331	178.60608	84.046247	1643.32281	1464.71673	0	0	0	0	0	3
23	18	0	0.276224156	99.1344082	175.15079	84.046247	1643.32281	1468.17202	0	0	0	0	0	3
24	19	0	0.288233902	100.25829	172.030269	84.046247	1643.32281	1471.29254	0	0	0	0	0	3
25	20	0	0.300243648	100.709274	169.177429	84.046247	1643.32281	1474.14538	0	0	0	0	0	3
26	21	0	0.312253393	101.724799	166.583098	84.046247	1643.32281	1476.73971	0	0	0	0	0	3
27	21	0	0.324263139	102.910045	164.224836	84.046247	1643.32281	1479.09797	0	0	0	0	0	3
28	22	0	0.336272885	104.054349	162.07589	84.046247	1643.32281	1481.24692	0	0	0	0	0	3
29	23	0	0.348282631	104.061063	160.075379	84.046247	1643.32281	1483.24743	0	0	0	0	0	3
30	23	0	0.360292377	104.299041	158.216168	84.046247	1643.32281	1485.10664	0	0	0	0	0	3
31	24	0	0.372302123	103.62788	156.455255	84.046247	1643.32281	1486.86755	0	0	0	0	0	3
32	25	0	0.384311869	103.571427	154.802636	84.046247	1643.32281	1488.52017	0	0	0	0	0	3
33	26	0	0.396321615	104.36175	153.274124	84.046247	1643.32281	1490.04869	0	0	0	0	0	3
34	26	0	0.408331361	104.977055	151.853622	84.046247	1643.32281	1491.46919	0	0	0	0	0	3
35	27	0	0.420341107	105.582771	150.531598	84.046247	1643.32281	1492.79121	0	0	0	0	0	3
36	28	0	0.432350852	105.408393	149.278175	84.046247	1643.32281	1494.04463	0	0	0	0	0	3
37	29	0	0.444360598	105.400583	148.092294	84.046247	1643.32281	1495.23051	0	0	0	0	0	3
38	30	0	0.456370344	104.578446	146.947193	84.046247	1643.32281	1496.37562	0	0	0	0	0	3
39	30	0	0.46838009	103.882511	145.84297	84.046247	1643.32281	1497.47984	0	0	0	0	0	3
40	31	0	0.480389836	104.623191	144.812476	84.046247	1643.32281	1498.51033	0	0	0	0	0	3
41	32	0	0.492399582	103.990955	143.816829	84.046247	1643.32281	1499.50598	0	0	0	0	0	3
42	33	0	0.504409328	104.793208	142.887695	84.046247	1643.32281	1500.43511	0	0	0	0	0	3
43	34	0	0.516419074	104.947229	106.259705	84.046247	139.73152	55.6852729	0	0	0	0	0	3
44	34	0	0.52842882	105.300394	106.765756	99.1344082	139.73152	40.5971117	0	0	0	0	0	3
45	35	0	0.540438566	105.301225	106.558629	99.1344082	139.73152	40.5971117	0	0	0	0	0	3
46	36	0	0.552448311	105.311939	106.444538	99.1344082	139.73152	40.5971117	0	0	0	0	0	3
47	37	0	0.564458057	105.037997	105.618502	99.1344082	124.023123	24.888715	0	0	0	0	0	3
48	38	0	0.576467803	104.613277	105.271752	99.1344082	124.023123	24.888715	0	0	0	0	0	3
49	38	0	0.588477549	104.836581	104.967795	99.1344082	124.023123	24.888715	0	0	0	0	0	3
50	39	0	0.600487295	105.026598	104.668797	99.1344082	124.023123	24.888715	0	0	0	0	0	3
51	40	0	0.612497041	105.093316	104.490746	99.1344082	124.023123	24.888715	0	0	0	0	0	3
52	41	0	0.624506787	105.157251	104.041558	99.1344082	119.83591	20.7015022	0	0	0	0	0	3
53	41	0	0.636516533	104.95707	104.099417	99.1344082	119.83591	20.7015022	0	0	0	0	0	3
54	42	0	0.648526279	105.112968	103.74887	99.1344082	112.510489	13.3760806	0	0	0	0	0	3
55	43	0	0.660536025	104.686259	103.856618	99.1344082	112.510489	13.3760806	0	0	0	0	0	3
56	44	0	0.67254577	105.669508	103.693738	99.1344082	107.530281	8.39587282	0	0	0	0	0	3
57	45	0	0.684555516	105.957146	103.847539	99.1344082	107.530281	8.39587282	0	0	0	0	0	3
58	45	0	0.696565262	106.324197	103.818822	99.1344082	106.324197	7.18978907	0	0	0	0	0	3
59	46	0	0.708575008	106.340727	103.978123	99.1344082	106.340727	7.20631835	0	0	0	0	0	3
60	47	0	0.720584754	106.191062	104.039854	99.1344082	106.340727	7.20631835	0	0	0	0	0	3
61	48	0	0.7325945	106.009365	104.198255	99.1344082	106.340727	7.20631835	0	0	0	0	0	3
62	48	0	0.744604246	105.521077	104.280987	99.1344082	106.340727	7.20631835	0	0	0	0	0	3
63	49	0	0.756613992	106.017454	104.426176	99.1344082	106.340727	7.20631835	0	0	0	0	0	3
64	50	0	0.768623738	105.615624	104.547088	99.1344082	106.340727	7.20631835	0	0	0	0	0	3
65	51	0	0.780633484	105.620294	104.701514	100.25829	106.340727	6.08243686	0	0	0	0	0	3
66	52	0	0.79264323	105.543579	104.827354	100.709274	106.340727	5.63145221	0	0	0	0	0	3
67	52	0	0.804652975	105.655461	104.945121	101.724799	106.340727	4.61592783	0	0	0	0	0	3
68	53	0	0.816662721	105.989504	105.046661	102.910045	106.340727	3.43068175	0	0	0	0	0	3
69	54	0	0.828672467	106.504873	105.132252	103.571427	106.504873	2.93344525	0	0	0	0	0	3
70	55	0	0.840682213	106.375391	105.187515	103.571427	106.504873	2.93344525	0	0	0	0	0	3
71	56	0	0.852691959	106.703718	105.250436	103.571427	106.703718	3.13229089	0	0	0	0	0	3
72	56	0	0.864701705	106.851465	105.311208	103.571427	106.851465	3.28003792	0	0	0	0	0	3
73	57	0	0.876711451	107.054354	105.39279	103.571427	107.054354	3.48292702	0	0	0	0	0	3
74	58	0	0.888721197	107.051019	105.475638	103.882511	107.054354	3.17184362	0	0	0	0	0	3
75	59	0	0.900730943	107.246569	105.544324	103.882511	107.246569	3.36405803	0	0	0	0	0	3
76	60	0	0.912740689	107.344176	105.600684	103.882511	107.344176	3.46166535	0	0	0	0	0	3
77	60	0	0.924750434	107.009063	105.634643	103.882511	107.344176	3.46166535	0	0	0	0	0	3
78	61	0	0.93676018	106.559419	105.662049	103.882511	107.344176	3.46166535	0	0	0	0	0	3
79	62	0	0.948769926	106.786453	105.695046	103.882511	107.344176	3.46166535	0	0	0	0	0	3
80	63	0	0.960779672	106.016489	105.729285	103.882511	107.344176	3.46166535	0	0	0	0	0	3
81	63	0	0.972789418	106.28562	105.786502	103.990955	107.344176	3.35322124	0	0	0	0	0	3
82	64	0	0.984799164	106.468698	105.830442	103.990955	107.344176	3.35322124	0	0	0	0	0	3
83	65	0	0.99680891	106.867351	105.898928	104.613277	107.344176	2.73089903	0	0	0	0	0	3
84	66	0	1.00881866	107.066421	105.953052	104.613277	107.344176	2.73089903	1.21791335	0	44.5	0	0	3
85	66	0	1.0208284	107.167522	106.005916	104.613277	107.344176	2.73089903	1.21791335	0	44.5	0	0	3
86	67	0	1.03283815	106.911441	106.044274	104.613277	107.344176	2.73089903	1.21791335	0	44.5	0	0	3
87	68	0	1.04484789	106.665667	106.076761	104.613277	107.344176	2.73089903	1.21791335	0	44.5	0	0	3
88	69	0	1.05685764	106.807278	106.112364	104.613277	107.344176	2.41862655	1.21791335	0	50.3	0	0	3
89	69	0	1.06886739	106.972135	106.158415	104.613277	107.344176	2.46467744	1.21791335	0	49.4	0	0	3
90	70	0	1.08087713	106.88404	106.212481	104.686259	107.344176	2.51874323	1.21791335	0	48.3	0	0	3
91	71	0	1.09288688	107.228492	106.269431	104.686259	107.344176	2.57569351	1.21791335	0	47.2	0	0	3
92	72	0	1.10489662	107.301018	106.323584	104.686259	107.344176	2.62984635	1.21791335	0	46.3	0	0	3
93	73	0	1.11690637	106.766804	106.363429	104.686259	107.344176	2.65791739	1.21791335	0	45.8	0	0	3
94	73	0	1.12891611	106.632843	106.398562	104.686259	107.344176	2.65791739	1.21791335	0	45.8	0	0	3
95	74	0	1.14092586	106.507898	106.435487	104.686259	107.344176	2.65791739	1.21791335	0	45.8	0	0	3
96	75	0	1.15293561	106.472985	106.467868	104.686259	107.344176	2.65791739	1.21791335	0	45.8	0	0	3
97	76	0	1.16494535	106.567576	106.512661	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
98	76	0	1.1769551	106.951848	106.543193	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
99	77	0	1.18896484	106.772797	106.562613	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
100	78	0	1.20097459	106.940566	106.577289	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
101	79	0	1.21298434	106.733334	106.586637	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
102	80	0	1.22499408	106.560689	106.595437	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
103	81	0	1.23700383	106.442251	106.605744	105.521077	107.344176	1.82309901	1.21791335	0	66.8	0	0	3
104	82	0	1.24901357	106.811936	106.636479	105.543579	107.344176	1.80059752	1.21791335	0	67.6	0	0	3
105	82	0	1.26102332	106.711148	106.652995	105.543579	107.344176	1.80059752	1.21791335	0	67.6	0	0	3
106	83	0	1.27303307	107.547972	106.699004	105.543579	107.547972	1.9974897	1.21791335	0	60.9	0	0	3
107	84	0	1.28504281	107.29612	106.738904	105.543579	107.547972	1.91155011	1.21791335	0	63.7	0	0	3
108	85	0	1.29705256	107.505525	106.785617	105.655461	107.547972	1.84049677	1.21791335	0	66.1	0	0	3
109	85	0	1.3090623	107.482774	106.829125	105.989504	107.547972	1.55846804	1.21791335	0	78.1	0	0	3
110	86	0	1.32107205	107.424405	106.863289	106.016489	107.547972	1.53148346	1.21791335	0	79.5	0	0	3
111	87	0	1.3330818	107.062399	106.876564	106.016489	107.547972	1.53148346	1.21791335	0	79.5	0	0	3
112	88	0	1.34509154	106.265961	106.873958	106.016489	107.547972	1.53148346	1.21791335	0	79.5	0	0	3
113	89	0	1.35710129	106.40731	106.866901	106.016489	107.547972	1.53148346	1.21791335	0	79.5	0	0	3
114	89	0	1.36911103	106.492722	106.858359	106.016489	107.547972	1.48377324	1.21791335	0	82	0	0	3
115	90	0	1.38112078	106.948681	106.855843	106.016489	107.547972	1.40092582	1.21791335	0	86.9	0	0	3
116	91	0	1.39313052	106.429042	106.841034	106.016489	107.547972	1.33223965	1.21791335	0	91.4	0	0	3
117	92	0	1.40514027	106.734304	106.828837	106.016489	107.547972	1.27587963	1.21791335	0	95.4	0	0	3
118	92	0	1.41715002	106.958578	106.819656	106.016489	107.547972	1.24192031	1.21791335	0	98	0	0	3
119	93	0	1.42915976	106.892186	106.816874	106.016489	107.547972	1.21451492	1.21791335	0	100	0	0	3
