Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120097459	5782.61992	5782.61992	5782.61992	5782.61992	0	0	0	0	0	0	3
2	4	0	0.0240194918	396.167139	3089.39353	396.167139	5782.61992	2693.22639	0	0	0	0	0	3
3	5	0	0.0360292377	-68.6157556	2036.72377	-68.6157556	5782.61992	3745.89615	0	0	0	0	0	3
4	5	0	0.0480389836	-107.430736	1500.68514	-107.430736	5782.61992	4281.93478	0	0	0	0	0	3
5	6	0	0.0600487295	23.9899159	1205.3461	-107.430736	5782.61992	4577.27383	0	0	0	0	0	3
6	7	0	0.0720584754	-43.1977617	997.255454	-107.430736	5782.61992	4785.36447	0	0	0	0	0	3
7	7	0	0.0840682213	26.0305518	858.50904	-107.430736	5782.61992	4924.11088	0	0	0	0	0	3
8	8	0	0.0960779672	-16.7848129	749.097308	-107.430736	5782.61992	5033.52261	0	0	0	0	0	3
9	9	0	0.108087713	32.3042633	669.453636	-107.430736	5782.61992	5113.16629	0	0	0	0	0	3
10	9	0	0.120097459	4.47247717	602.95552	-107.430736	5782.61992	5179.6644	0	0	0	0	0	3
11	10	0	0.132107205	29.0400044	550.781383	-107.430736	5782.61992	5231.83854	0	0	0	0	0	3
12	11	0	0.144116951	17.0692353	506.30537	-107.430736	5782.61992	5276.31455	0	0	0	0	0	3
13	11	0	0.156126697	33.9482564	469.970208	-107.430736	5782.61992	5312.64972	0	0	0	0	0	3
14	12	0	0.168136443	25.0210502	438.188125	-107.430736	5782.61992	5344.4318	0	0	0	0	0	3
15	13	0	0.180146189	33.242765	411.191768	-107.430736	5782.61992	5371.42816	0	0	0	0	0	3
16	13	0	0.192155934	29.1135726	387.311881	-107.430736	5782.61992	5395.30804	0	0	0	0	0	3
17	14	0	0.20416568	32.9661258	366.468013	-107.430736	5782.61992	5416.15191	0	0	0	0	0	3
18	15	0	0.216175426	32.6546087	347.922823	-107.430736	5782.61992	5434.6971	0	0	0	0	0	3
19	16	0	0.228185172	34.5087075	331.427344	-107.430736	5782.61992	5451.19258	0	0	0	0	0	3
20	16	0	0.240194918	37.0697087	316.709462	-107.430736	5782.61992	5465.91046	0	0	0	0	0	3
21	17	0	0.252204664	40.7881165	303.57035	-107.430736	5782.61992	5479.04957	0	0	0	0	0	3
22	18	0	0.26421441	43.5093689	291.749397	-107.430736	5782.61992	5490.87053	0	0	0	0	0	3
23	18	0	0.276224156	44.8198054	281.013327	-107.430736	5782.61992	5501.6066	0	0	0	0	0	3
24	19	0	0.288233902	46.5977637	271.246012	-107.430736	5782.61992	5511.37391	0	0	0	0	0	3
25	20	0	0.300243648	49.0190713	262.356935	-107.430736	5782.61992	5520.26299	0	0	0	0	0	3
