Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120118547	6.6698157	6.6698157	6.6698157	6.6698157	0	0	0	0	0	0	3
2	4	0	0.0240237094	0.158586532	3.41420111	0.158586532	6.6698157	3.25561458	0	0	0	0	0	3
3	5	0	0.0360355642	9.10125394	5.30988539	0.158586532	9.10125394	3.25561458	0	0	0	0	0	3
4	6	0	0.0480474189	-0.0116490474	3.97950178	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
5	6	0	0.0600592736	8.63634689	4.9108708	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
6	7	0	0.0720711283	3.43648017	4.66513903	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
7	8	0	0.0840829831	5.4470984	4.77684751	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
8	9	0	0.0960948378	4.71504891	4.76912269	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
9	10	0	0.108106693	6.0833902	4.91515241	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
10	11	0	0.120118547	5.62082047	4.98571922	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
11	11	0	0.132130402	8.10154847	5.26897642	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
12	12	0	0.144142257	3.77389575	5.14438637	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
13	13	0	0.156154111	8.58129482	5.40876394	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
14	14	0	0.168165966	4.95422094	5.37629658	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
15	15	0	0.180177821	7.15924536	5.49515983	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
16	16	0	0.192189676	8.28257281	5.66937314	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
17	16	0	0.20420153	8.51155859	5.83656052	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
18	17	0	0.216213385	7.61273236	5.93523674	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
19	18	0	0.22822524	8.04789428	6.04642924	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
20	19	0	0.240237094	7.00478557	6.09434706	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
21	20	0	0.252248949	7.93292376	6.18189833	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
22	21	0	0.264260804	7.0249653	6.22021955	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
23	21	0	0.276272659	7.96713321	6.29617232	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
24	22	0	0.288284513	6.52312506	6.30562869	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
25	23	0	0.300296368	7.23247869	6.34270269	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
26	24	0	0.312308223	6.48211732	6.34806479	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
27	25	0	0.324320078	6.74714883	6.36284568	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
28	25	0	0.336331932	6.60122438	6.3713592	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
29	26	0	0.348343787	6.5101633	6.37614555	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
30	27	0	0.360355642	6.44382784	6.37840163	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
31	28	0	0.372367496	6.66383878	6.38760928	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
32	29	0	0.384379351	6.78890244	6.40014969	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
33	29	0	0.396391206	6.95882018	6.4170791	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
34	30	0	0.408403061	6.37039138	6.41570593	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
35	31	0	0.420414915	7.09935712	6.43523882	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
36	32	0	0.43242677	6.80469148	6.44550139	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
37	33	0	0.444438625	7.3734177	6.47058021	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
38	33	0	0.45645048	7.36397369	6.49409057	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
39	34	0	0.468462334	7.90224737	6.53019715	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
40	35	0	0.480474189	7.77380666	6.56128739	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
41	36	0	0.492486044	7.86180485	6.59300733	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
42	37	0	0.504497898	7.98499368	6.62614986	-0.0116490474	9.10125394	3.25561458	0	0	0	0	0	3
43	37	0	0.516509753	7.82086842	6.65355588	-0.0116490474	9.10125394	3.23935476	0	0	0	0	0	3
44	38	0	0.528521608	7.9182133	6.8383089	-0.0116490474	9.10125394	2.85880712	0	0	0	0	0	3
45	39	0	0.540533463	7.79798395	6.80727866	-0.0116490474	8.63634689	2.85880712	0	0	0	0	0	3
46	40	0	0.552545317	7.78785145	6.99298105	3.43648017	8.63634689	2.32784202	0	0	0	0	0	3
47	41	0	0.564557172	7.90065379	6.97546455	3.43648017	8.58129482	2.32784202	0	0	0	0	0	3
48	42	0	0.576569027	7.92593531	7.08235634	3.77389575	8.58129482	2.31323365	0	0	0	0	0	3
49	42	0	0.588580882	8.24898486	7.14906792	3.77389575	8.58129482	2.37994523	0	0	0	0	0	3
50	43	0	0.600592736	8.18407495	7.23166378	3.77389575	8.58129482	2.31651137	0	0	0	0	0	3
51	44	0	0.612604591	8.33441453	7.2852596	3.77389575	8.58129482	2.29954038	0	0	0	0	0	3
52	45	0	0.624616446	8.35659271	7.35039703	3.77389575	8.58129482	2.20601066	0	0	0	0	0	3
53	46	0	0.6366283	8.32259891	7.35566014	3.77389575	8.58129482	2.21127377	0	0	0	0	0	3
54	46	0	0.648640155	8.24531724	7.46212255	4.95422094	8.58129482	2.08582597	0	0	0	0	0	3
55	47	0	0.66065201	8.18322029	7.45264459	4.95422094	8.51155859	2.08582597	0	0	0	0	0	3
56	48	0	0.672663865	7.99050561	7.52493708	6.37039138	8.51155859	2.02977725	0	0	0	0	0	3
57	49	0	0.684675719	8.03293601	7.54573924	6.37039138	8.51155859	1.87636609	0	0	0	0	0	3
58	50	0	0.696687574	8.06403799	7.54053603	6.37039138	8.51155859	1.70917871	0	0	0	0	0	3
59	50	0	0.708699429	8.16468218	7.53227707	6.37039138	8.35659271	1.6105025	0	0	0	0	0	3
60	51	0	0.720711283	8.32973943	7.54934866	6.37039138	8.35659271	1.50291942	0	0	0	0	0	3
61	52	0	0.732723138	8.37349643	7.55710109	6.37039138	8.37349643	1.46275404	0	0	0	0	0	3
62	53	0	0.744734993	8.40464047	7.59043097	6.37039138	8.40464047	1.40853265	0	0	0	0	0	3
63	54	0	0.756746848	8.43183606	7.60230984	6.37039138	8.43183606	1.38209028	0	0	0	0	0	3
64	54	0	0.768758702	8.4808862	7.63697462	6.37039138	8.4808862	1.3408023	0	0	0	0	0	3
65	55	0	0.780770557	8.49504767	7.64954401	6.37039138	8.49504767	1.34391533	0	0	0	0	0	3
66	56	0	0.792782412	8.43430554	7.69504831	6.37039138	8.49504767	1.35234562	0	0	0	0	0	3
67	57	0	0.804794267	8.2874339	7.72016629	6.37039138	8.49504767	1.3721015	0	0	0	0	0	3
68	57	0	0.816806121	8.29496432	7.76332931	6.37039138	8.49504767	1.40048364	0	0	0	0	0	3
69	58	0	0.828817976	8.04128472	7.79414207	6.37039138	8.49504767	1.42278287	0	0	0	0	0	3
70	59	0	0.840829831	7.97931176	7.82695368	6.37039138	8.49504767	1.45080813	0	0	0	0	0	3
71	60	0	0.852841685	8.07161516	7.8641311	6.37039138	8.49504767	1.48572948	0	0	0	0	0	3
72	61	0	0.86485354	8.16142896	7.90502637	6.37039138	8.49504767	1.51741709	0	0	0	0	0	3
73	61	0	0.876865395	8.23162181	7.94235454	6.37039138	8.49504767	1.54220485	0	0	0	0	0	3
74	62	0	0.88887725	8.13797908	7.97447541	6.37039138	8.49504767	1.55876948	0	0	0	0	0	3
75	63	0	0.900889104	8.25143486	8.00525195	6.37039138	8.49504767	1.58954602	0	0	0	0	0	3
76	64	0	0.912900959	8.21065448	8.04906774	6.80469148	8.49504767	1.61382892	0	0	0	0	0	3
77	65	0	0.924912814	8.24304326	8.07629836	6.80469148	8.49504767	1.63079696	0	0	0	0	0	3
78	65	0	0.936924669	8.16958812	8.1087959	7.36397369	8.49504767	1.13107398	0	0	0	0	0	3
79	66	0	0.948936523	8.29251563	8.13067918	7.36397369	8.49504767	1.13107398	0	0	0	0	0	3
80	67	0	0.960948378	8.24056837	8.15155048	7.77380666	8.49504767	0.721241017	0	0	0	0	0	3
81	68	0	0.972960233	8.04965151	8.15506011	7.77380666	8.49504767	0.721241017	0	0	0	0	0	3
82	69	0	0.984972087	7.90542801	8.15819395	7.78785145	8.49504767	0.707196218	0	0	0	0	0	3
83	69	0	0.996983942	7.86945998	8.15837621	7.78785145	8.49504767	0.707196218	0	0	0	0	0	3
84	70	0	1.0089958	7.64694654	8.15032747	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
85	71	0	1.02100765	7.88565753	8.15187007	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
86	72	0	1.03301951	7.86615959	8.15063069	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
87	73	0	1.04503136	8.04248399	8.15645212	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
88	73	0	1.05704322	8.02975305	8.16221169	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
89	74	0	1.06905507	8.15598708	8.16829105	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
90	75	0	1.08106693	8.0524559	8.17130344	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
91	76	0	1.09307878	8.23148704	8.17088683	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
92	77	0	1.10509063	8.10806874	8.16907716	7.64694654	8.49504767	0.848101135	0.27338709	0	32.2	0	0	3
93	77	0	1.11710249	8.18273008	8.16546562	7.64694654	8.49504767	0.820906414	0.27338709	0	33.3	0	0	3
94	78	0	1.12911434	8.1303885	8.16007981	7.64694654	8.49504767	0.815643309	0.27338709	0	33.5	0	0	3
95	79	0	1.1411262	8.030138	8.15311645	7.64694654	8.49504767	0.718658857	0.27338709	0	38	0	0	3
96	80	0	1.15313805	7.89174266	8.14469801	7.64694654	8.49504767	0.718658857	0.27338709	0	38	0	0	3
97	81	0	1.16514991	7.84068608	8.13654244	7.64694654	8.49504767	0.646366365	0.27338709	0	42.2	0	0	3
98	81	0	1.17716176	7.77349586	8.13137554	7.64694654	8.49504767	0.639026379	0.27338709	0	42.7	0	0	3
99	82	0	1.18917362	7.9285022	8.12888902	7.64694654	8.49504767	0.639026379	0.27338709	0	42.7	0	0	3
100	83	0	1.20118547	7.96469881	8.1265238	7.64694654	8.49504767	0.639026379	0.27338709	0	42.7	0	0	3
101	85	0	1.21319733	8.10713508	8.12515363	7.64694654	8.49504767	0.621954782	0.27338709	0	43.9	0	0	3
102	85	0	1.22520918	8.13528046	8.12052365	7.64694654	8.49504767	0.61420235	0.27338709	0	44.5	0	0	3
103	86	0	1.23722104	8.16730106	8.11561424	7.64694654	8.49504767	0.580872471	0.27338709	0	47	0	0	3
104	87	0	1.24923289	8.19142557	8.1105377	7.64694654	8.49504767	0.568993607	0.27338709	0	48	0	0	3
105	88	0	1.26124475	8.25792194	8.10639688	7.64694654	8.49504767	0.534328824	0.27338709	0	51.1	0	0	3
106	89	0	1.2732566	8.20643443	8.09986232	7.64694654	8.49504767	0.521759432	0.27338709	0	52.3	0	0	3
107	89	0	1.28526846	8.2653642	8.09439366	7.64694654	8.43430554	0.476255135	0.27338709	0	57.4	0	0	3
108	90	0	1.29728031	8.1626732	8.08792623	7.64694654	8.29496432	0.451137154	0.27338709	0	60.5	0	0	3
109	91	0	1.30929216	8.0707144	8.08276624	7.64694654	8.29496432	0.40797413	0.27338709	0	67	0	0	3
110	92	0	1.32130402	7.95221102	8.07460545	7.64694654	8.29251563	0.37716137	0.27338709	0	72.4	0	0	3
111	93	0	1.33331587	7.87709771	8.07069623	7.64694654	8.29251563	0.344349766	0.27338709	0	79.3	0	0	3
112	93	0	1.34532773	7.7400811	8.06500026	7.64694654	8.29251563	0.307172341	0.27338709	0	89	0	0	3
113	94	0	1.35733958	7.95610874	8.06225011	7.64694654	8.29251563	0.266277076	0.27338709	0	100	0	0	3
