Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120118547	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240237094	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0360355642	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0480474189	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0600592736	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0720711283	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0840829831	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.0960948378	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.108106693	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.120118547	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.132130402	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.144142257	0	0	0	0	0	0	0	0	0	0	3
13	13	0	0.156154111	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.168165966	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.180177821	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.192189676	0	0	0	0	0	0	0	0	0	0	3
17	16	0	0.20420153	0	0	0	0	0	0	0	0	0	0	3
18	17	0	0.216213385	0	0	0	0	0	0	0	0	0	0	3
19	18	0	0.22822524	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.240237094	0	0	0	0	0	0	0	0	0	0	3
21	20	0	0.252248949	0	0	0	0	0	0	0	0	0	0	3
22	21	0	0.264260804	0	0	0	0	0	0	0	0	0	0	3
23	21	0	0.276272659	0	0	0	0	0	0	0	0	0	0	3
24	22	0	0.288284513	0	0	0	0	0	0	0	0	0	0	3
25	23	0	0.300296368	0	0	0	0	0	0	0	0	0	0	3
26	24	0	0.312308223	0	0	0	0	0	0	0	0	0	0	3
27	25	0	0.324320078	0	0	0	0	0	0	0	0	0	0	3
28	25	0	0.336331932	0	0	0	0	0	0	0	0	0	0	3
29	26	0	0.348343787	0	0	0	0	0	0	0	0	0	0	3
30	27	0	0.360355642	0	0	0	0	0	0	0	0	0	0	3
31	28	0	0.372367496	0	0	0	0	0	0	0	0	0	0	3
32	29	0	0.384379351	0	0	0	0	0	0	0	0	0	0	3
33	29	0	0.396391206	0	0	0	0	0	0	0	0	0	0	3
34	30	0	0.408403061	0	0	0	0	0	0	0	0	0	0	3
35	31	0	0.420414915	0	0	0	0	0	0	0	0	0	0	3
36	32	0	0.43242677	0	0	0	0	0	0	0	0	0	0	3
37	33	0	0.444438625	0	0	0	0	0	0	0	0	0	0	3
38	33	0	0.45645048	0	0	0	0	0	0	0	0	0	0	3
39	34	0	0.468462334	0	0	0	0	0	0	0	0	0	0	3
40	35	0	0.480474189	0	0	0	0	0	0	0	0	0	0	3
41	36	0	0.492486044	0	0	0	0	0	0	0	0	0	0	3
42	37	0	0.504497898	0	0	0	0	0	0	0	0	0	0	3
43	37	0	0.516509753	0	0	0	0	0	0	0	0	0	0	3
44	38	0	0.528521608	0	0	0	0	0	0	0	0	0	0	3
45	39	0	0.540533463	0	0	0	0	0	0	0	0	0	0	3
46	40	0	0.552545317	0	0	0	0	0	0	0	0	0	0	3
47	41	0	0.564557172	0	0	0	0	0	0	0	0	0	0	3
48	42	0	0.576569027	0	0	0	0	0	0	0	0	0	0	3
49	42	0	0.588580882	0	0	0	0	0	0	0	0	0	0	3
50	43	0	0.600592736	0	0	0	0	0	0	0	0	0	0	3
51	44	0	0.612604591	0	0	0	0	0	0	0	0	0	0	3
52	45	0	0.624616446	0	0	0	0	0	0	0	0	0	0	3
53	46	0	0.6366283	0	0	0	0	0	0	0	0	0	0	3
54	46	0	0.648640155	0	0	0	0	0	0	0	0	0	0	3
55	47	0	0.66065201	0	0	0	0	0	0	0	0	0	0	3
56	48	0	0.672663865	0	0	0	0	0	0	0	0	0	0	3
57	49	0	0.684675719	0	0	0	0	0	0	0	0	0	0	3
58	50	0	0.696687574	0	0	0	0	0	0	0	0	0	0	3
59	50	0	0.708699429	0	0	0	0	0	0	0	0	0	0	3
60	51	0	0.720711283	0	0	0	0	0	0	0	0	0	0	3
61	52	0	0.732723138	0	0	0	0	0	0	0	0	0	0	3
62	53	0	0.744734993	0	0	0	0	0	0	0	0	0	0	3
63	54	0	0.756746848	0	0	0	0	0	0	0	0	0	0	3
64	54	0	0.768758702	0	0	0	0	0	0	0	0	0	0	3
65	55	0	0.780770557	0	0	0	0	0	0	0	0	0	0	3
66	56	0	0.792782412	0	0	0	0	0	0	0	0	0	0	3
67	57	0	0.804794267	0	0	0	0	0	0	0	0	0	0	3
68	57	0	0.816806121	0	0	0	0	0	0	0	0	0	0	3
69	58	0	0.828817976	0	0	0	0	0	0	0	0	0	0	3
70	59	0	0.840829831	0	0	0	0	0	0	0	0	0	0	3
71	60	0	0.852841685	0	0	0	0	0	0	0	0	0	0	3
72	61	0	0.86485354	0	0	0	0	0	0	0	0	0	0	3
73	61	0	0.876865395	0	0	0	0	0	0	0	0	0	0	3
74	62	0	0.88887725	0	0	0	0	0	0	0	0	0	0	3
75	63	0	0.900889104	0	0	0	0	0	0	0	0	0	0	3
76	64	0	0.912900959	0	0	0	0	0	0	0	0	0	0	3
77	65	0	0.924912814	0	0	0	0	0	0	0	0	0	0	3
78	65	0	0.936924669	0	0	0	0	0	0	0	0	0	0	3
79	66	0	0.948936523	0	0	0	0	0	0	0	0	0	0	3
80	67	0	0.960948378	0	0	0	0	0	0	0	0	0	0	3
81	68	0	0.972960233	0	0	0	0	0	0	0	0	0	0	3
82	69	0	0.984972087	0	0	0	0	0	0	0	0	0	0	3
83	69	0	0.996983942	0	0	0	0	0	0	0	0	0	0	3
84	70	0	1.0089958	0	0	0	0	0	5e-06	0	0	0	0	3
85	71	0	1.02100765	0	0	0	0	0	5e-06	0	0	0	0	3
86	72	0	1.03301951	0	0	0	0	0	5e-06	0	0	0	0	3
87	73	0	1.04503136	0	0	0	0	0	5e-06	0	0	0	0	3
88	73	0	1.05704322	0	0	0	0	0	5e-06	0	0	0	0	3
89	74	0	1.06905507	0	0	0	0	0	5e-06	0	0	0	0	3
90	75	0	1.08106693	0	0	0	0	0	5e-06	0	0	0	0	3
91	76	0	1.09307878	0	0	0	0	0	5e-06	0	0	0	0	3
92	77	0	1.10509063	0	0	0	0	0	5e-06	0	0	0	0	3
93	77	0	1.11710249	0	0	0	0	0	5e-06	0	0	0	0	3
94	78	0	1.12911434	0	0	0	0	0	5e-06	0	0	0	0	3
95	79	0	1.1411262	0	0	0	0	0	5e-06	0	0	0	0	3
96	80	0	1.15313805	0	0	0	0	0	5e-06	0	0	0	0	3
97	81	0	1.16514991	0	0	0	0	0	5e-06	0	0	0	0	3
98	81	0	1.17716176	0	0	0	0	0	5e-06	0	0	0	0	3
99	82	0	1.18917362	0	0	0	0	0	5e-06	0	0	0	0	3
100	83	0	1.20118547	0	0	0	0	0	5e-06	0	0	0	0	3
101	85	0	1.21319733	0	0	0	0	0	5e-06	0	0	0	0	3
102	85	0	1.22520918	0	0	0	0	0	5e-06	0	0	0	0	3
103	86	0	1.23722104	0	0	0	0	0	5e-06	0	0	0	0	3
104	87	0	1.24923289	0	0	0	0	0	5e-06	0	0	0	0	3
105	88	0	1.26124475	0	0	0	0	0	5e-06	0	0	0	0	3
106	89	0	1.2732566	0	0	0	0	0	5e-06	0	0	0	0	3
107	89	0	1.28526846	0	0	0	0	0	5e-06	0	0	0	0	3
108	90	0	1.29728031	0	0	0	0	0	5e-06	0	0	0	0	3
109	91	0	1.30929216	0	0	0	0	0	5e-06	0	0	0	0	3
110	92	0	1.32130402	0	0	0	0	0	5e-06	0	0	0	0	3
111	93	0	1.33331587	0	0	0	0	0	5e-06	0	0	0	0	3
112	93	0	1.34532773	0	0	0	0	0	5e-06	0	0	0	0	3
113	94	0	1.35733958	0	0	0	0	0	5e-06	0	0	0	0	3
