Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119551584	9.95977651	9.95977651	9.95977651	9.95977651	0	0	0	0	0	0	3
2	1	0	0.0239103168	1.35343427	5.65660539	1.35343427	9.95977651	4.30317112	0	0	0	0	0	3
3	2	0	0.0358654752	5.91363841	5.74228306	1.35343427	9.95977651	4.30317112	0	0	0	0	0	3
4	2	0	0.0478206336	-0.179481871	4.26184183	-0.179481871	9.95977651	5.69793468	0	0	0	0	0	3
5	2	0	0.059775792	5.19928972	4.44933141	-0.179481871	9.95977651	5.69793468	0	0	0	0	0	3
6	2	0	0.0717309504	1.64180019	3.98140954	-0.179481871	9.95977651	5.97836697	0	0	0	0	0	3
7	2	0	0.0836861087	5.63379771	4.21746499	-0.179481871	9.95977651	5.97836697	0	0	0	0	0	3
8	3	0	0.0956412671	3.71674041	4.15487442	-0.179481871	9.95977651	5.97836697	0	0	0	0	0	3
9	3	0	0.107596426	11.3042745	4.94925221	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
10	3	0	0.119551584	6.25596201	5.07992319	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
11	3	0	0.131506742	8.43346689	5.3847908	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
12	3	0	0.143461901	2.90214946	5.17790402	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
13	4	0	0.155417059	6.12731697	5.25093578	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
14	4	0	0.167372217	4.39373894	5.18970744	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
15	4	0	0.179327376	8.14290975	5.38658759	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
16	4	0	0.191282534	5.22030681	5.37619504	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
17	4	0	0.203237693	7.39775696	5.49511045	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
18	5	0	0.215192851	5.67364459	5.50502901	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
19	5	0	0.227148009	8.96578101	5.68717386	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
20	5	0	0.239103168	5.86501359	5.69606584	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
21	5	0	0.251058326	7.67025625	5.79007491	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
22	6	0	0.263013485	6.96345699	5.84341046	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
23	6	0	0.274968643	8.17450539	5.94476241	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
24	6	0	0.286923801	6.73776225	5.97780407	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
25	6	0	0.29887896	7.89594405	6.05452967	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
26	6	0	0.310834118	6.80843365	6.08352598	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
27	7	0	0.322789277	6.32529618	6.09248043	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
28	7	0	0.334744435	6.14678965	6.09442004	-0.179481871	11.3042745	5.97836697	0	0	0	0	0	3
