Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119551584	3210.91172	3210.91172	3210.91172	3210.91172	0	0	0	0	0	0	3
2	1	0	0.0239103168	355.737265	1783.32449	355.737265	3210.91172	1427.58723	0	0	0	0	0	3
3	2	0	0.0358654752	145.22348	1237.29082	145.22348	3210.91172	1973.6209	0	0	0	0	0	3
4	2	0	0.0478206336	45.6878287	939.390073	45.6878287	3210.91172	2271.52164	0	0	0	0	0	3
5	2	0	0.059775792	101.269372	771.765933	45.6878287	3210.91172	2439.14578	0	0	0	0	0	3
6	2	0	0.0717309504	65.7544694	654.097355	45.6878287	3210.91172	2556.81436	0	0	0	0	0	3
7	2	0	0.0836861087	91.8178766	573.771716	45.6878287	3210.91172	2637.14	0	0	0	0	0	3
8	3	0	0.0956412671	65.8268733	510.27861	45.6878287	3210.91172	2700.63311	0	0	0	0	0	3
9	3	0	0.107596426	91.3674854	463.73293	45.6878287	3210.91172	2747.17879	0	0	0	0	0	3
10	3	0	0.119551584	65.5341438	423.913051	45.6878287	3210.91172	2786.99867	0	0	0	0	0	3
11	3	0	0.131506742	78.8263241	392.541531	45.6878287	3210.91172	2818.37019	0	0	0	0	0	3
12	3	0	0.143461901	60.0322775	364.832426	45.6878287	3210.91172	2846.07929	0	0	0	0	0	3
13	4	0	0.155417059	71.5545491	342.272589	45.6878287	3210.91172	2868.63913	0	0	0	0	0	3
14	4	0	0.167372217	59.5523621	322.078287	45.6878287	3210.91172	2888.83343	0	0	0	0	0	3
15	4	0	0.179327376	71.5073851	305.373561	45.6878287	3210.91172	2905.53816	0	0	0	0	0	3
16	4	0	0.191282534	61.476275	290.12998	45.6878287	3210.91172	2920.78174	0	0	0	0	0	3
17	4	0	0.203237693	67.3649937	277.026158	45.6878287	3210.91172	2933.88556	0	0	0	0	0	3
18	5	0	0.215192851	58.3541459	264.877712	45.6878287	3210.91172	2946.03401	0	0	0	0	0	3
19	5	0	0.227148009	64.481781	254.330558	45.6878287	3210.91172	2956.58116	0	0	0	0	0	3
20	5	0	0.239103168	57.0727107	244.467666	45.6878287	3210.91172	2966.44405	0	0	0	0	0	3
21	5	0	0.251058326	61.0582816	235.733886	45.6878287	3210.91172	2975.17783	0	0	0	0	0	3
22	6	0	0.263013485	58.8300412	227.692802	45.6878287	3210.91172	2983.21892	0	0	0	0	0	3
23	6	0	0.274968643	60.7997751	220.436583	45.6878287	3210.91172	2990.47513	0	0	0	0	0	3
24	6	0	0.286923801	57.8327123	213.661422	45.6878287	3210.91172	2997.2503	0	0	0	0	0	3
25	6	0	0.29887896	60.1269643	207.520044	45.6878287	3210.91172	3003.39167	0	0	0	0	0	3
26	6	0	0.310834118	57.421704	201.747031	45.6878287	3210.91172	3009.16469	0	0	0	0	0	3
27	7	0	0.322789277	58.0343097	196.424337	45.6878287	3210.91172	3014.48738	0	0	0	0	0	3
28	7	0	0.334744435	55.3982205	191.38769	45.6878287	3210.91172	3019.52403	0	0	0	0	0	3
29	7	0	0.346699593	56.1534172	186.724439	45.6878287	3210.91172	3024.18728	0	0	0	0	0	3
30	7	0	0.358654752	55.0354776	182.334807	45.6878287	3210.91172	3028.57691	0	0	0	0	0	3
31	8	0	0.37060991	55.3835092	178.239604	45.6878287	3210.91172	3032.67211	0	0	0	0	0	3
32	8	0	0.382565069	53.7781051	174.350182	45.6878287	3210.91172	3036.56154	0	0	0	0	0	3
33	8	0	0.394520227	54.1894341	170.708948	45.6878287	3210.91172	3040.20277	0	0	0	0	0	3
34	8	0	0.406475385	52.6675146	167.237141	45.6878287	3210.91172	3043.67458	0	0	0	0	0	3
35	9	0	0.418430544	53.4212566	163.985258	45.6878287	3210.91172	3046.92646	0	0	0	0	0	3
36	9	0	0.430385702	52.010408	160.874846	45.6878287	3210.91172	3050.03687	0	0	0	0	0	3
37	9	0	0.442340861	52.9636596	157.958327	45.6878287	3210.91172	3052.95339	0	0	0	0	0	3
38	9	0	0.454296019	52.4198828	155.181	45.6878287	3210.91172	3055.73072	0	0	0	0	0	3
39	9	0	0.466251177	53.0159573	152.561383	45.6878287	3210.91172	3058.35033	0	0	0	0	0	3
40	10	0	0.478206336	52.0629868	150.048923	45.6878287	3210.91172	3060.86279	0	0	0	0	0	3
41	10	0	0.490161494	52.1659729	147.661534	45.6878287	3210.91172	3063.25018	0	0	0	0	0	3
42	10	0	0.502116652	51.3722409	145.368932	45.6878287	3210.91172	3065.54279	0	0	0	0	0	3
43	10	0	0.514071811	51.5886459	70.1469542	45.6878287	355.737265	310.049436	0	0	0	0	0	3
44	11	0	0.526026969	51.0973874	62.8936238	45.6878287	145.22348	99.5356513	0	0	0	0	0	3
45	11	0	0.537982128	51.3954966	60.6596242	45.6878287	101.269372	55.5815434	0	0	0	0	0	3
46	11	0	0.549937286	50.6647511	60.7781223	50.6647511	101.269372	50.6046209	0	0	0	0	0	3
47	11	0	0.561892444	50.9767753	59.5806795	50.6647511	91.8178766	41.1531255	0	0	0	0	0	3
48	12	0	0.573847603	50.5241876	59.2180538	50.5241876	91.8178766	41.293689	0	0	0	0	0	3
49	12	0	0.585802761	51.1493949	58.2497566	50.5241876	91.3674854	40.8432978	0	0	0	0	0	3
50	12	0	0.59775792	50.8688926	57.8936142	50.5241876	91.3674854	40.8432978	0	0	0	0	0	3
51	12	0	0.609713078	51.5025092	56.9444481	50.5241876	78.8263241	28.3021365	0	0	0	0	0	3
52	13	0	0.621668236	51.024762	56.5989866	50.5241876	78.8263241	28.3021365	0	0	0	0	0	3
53	13	0	0.633623395	51.0248849	55.9370476	50.5241876	71.5545491	21.0303615	0	0	0	0	0	3
54	13	0	0.645578553	50.5115445	55.7103635	50.5115445	71.5545491	21.0430047	0	0	0	0	0	3
55	13	0	0.657533712	50.549748	55.2102492	50.5115445	71.5073851	20.9958407	0	0	0	0	0	3
56	14	0	0.66948887	50.0651389	54.9843629	50.0651389	71.5073851	21.4422463	0	0	0	0	0	3
57	14	0	0.681444028	50.2917875	54.4792296	50.0651389	67.3649937	17.2998548	0	0	0	0	0	3
58	14	0	0.693399187	50.069312	54.2076353	50.0651389	67.3649937	17.2998548	0	0	0	0	0	3
59	14	0	0.705354345	50.5659092	53.8076571	50.0651389	64.481781	14.4166421	0	0	0	0	0	3
60	15	0	0.717309504	50.2017328	53.613552	50.0651389	64.481781	14.4166421	0	0	0	0	0	3
61	15	0	0.729264662	50.7772918	53.2872546	50.0651389	61.0582816	10.9931427	0	0	0	0	0	3
62	15	0	0.74121982	49.9147502	53.116827	49.9147502	61.0582816	11.1435314	0	0	0	0	0	3
63	15	0	0.753174979	50.6420479	52.8688214	49.9147502	60.7997751	10.8850249	0	0	0	0	0	3
64	16	0	0.765130137	49.4767163	52.6461232	49.4767163	60.7997751	11.3230588	0	0	0	0	0	3
65	16	0	0.777085296	50.2907045	52.3959073	49.4767163	60.1269643	10.650248	0	0	0	0	0	3
66	16	0	0.789040454	49.5533674	52.19878	49.4767163	60.1269643	10.650248	0	0	0	0	0	3
67	16	0	0.800995612	50.272922	51.9641599	49.4767163	58.0343097	8.55759341	0	0	0	0	0	3
68	17	0	0.812950771	49.62937	51.7786282	49.4767163	58.0343097	8.55759341	0	0	0	0	0	3
69	17	0	0.824905929	50.4595416	51.5982766	49.4767163	56.1534172	6.67670092	0	0	0	0	0	3
70	17	0	0.836861087	49.78013	51.4645125	49.4767163	56.1534172	6.67670092	0	0	0	0	0	3
71	17	0	0.848816246	50.3367138	51.3260196	49.4767163	55.3835092	5.90679296	0	0	0	0	0	3
72	17	0	0.860771404	49.6893865	51.1987317	49.4767163	55.3835092	5.90679296	0	0	0	0	0	3
73	18	0	0.872726563	50.0913656	51.0727283	49.4767163	54.1894341	4.71271777	0	0	0	0	0	3
74	18	0	0.884681721	49.3248273	50.9666978	49.3248273	54.1894341	4.86460671	0	0	0	0	0	3
75	18	0	0.896636879	49.8615023	50.8636518	49.3248273	53.4212566	4.09642928	0	0	0	0	0	3
76	18	0	0.908592038	49.1293854	50.7794107	49.1293854	53.4212566	4.29187126	0	0	0	0	0	3
77	19	0	0.920547196	49.7743784	50.6925802	49.1293854	53.0159573	3.88657194	0	0	0	0	0	3
78	19	0	0.932502355	49.2771148	50.6275018	49.1293854	53.0159573	3.88657194	0	0	0	0	0	3
79	19	0	0.944457513	49.7817174	50.5517413	49.1293854	53.0159573	3.88657194	0	0	0	0	0	3
80	19	0	0.956412671	49.0571775	50.4716769	49.0571775	53.0159573	3.95877979	0	0	0	0	0	3
81	20	0	0.96836783	49.6498245	50.3915309	49.0571775	52.1659729	3.10879542	0	0	0	0	0	3
82	20	0	0.980322988	49.0781049	50.3204622	49.0571775	52.1659729	3.10879542	0	0	0	0	0	3
83	20	0	0.992278147	49.5475292	50.2581183	49.0571775	51.5886459	2.53146841	0	0	0	0	0	3
84	20	0	1.0042333	48.9435363	50.200292	48.9435363	51.5886459	2.6451096	2.98606954	0	100	0	0	3
