Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119551584	101326.486	101326.486	101326.486	101326.486	0	0	0	0	0	0	3
2	1	0	0.0239103168	101325.005	101325.745	101325.005	101326.486	0.740769641	0	0	0	0	0	3
3	2	0	0.0358654752	101325.078	101325.523	101325.005	101326.486	0.963169398	0	0	0	0	0	3
4	2	0	0.0478206336	101325.084	101325.413	101325.005	101326.486	1.07282121	0	0	0	0	0	3
5	2	0	0.059775792	101325.033	101325.337	101325.005	101326.486	1.14900312	0	0	0	0	0	3
6	2	0	0.0717309504	101325.064	101325.292	101325.005	101326.486	1.19453901	0	0	0	0	0	3
7	2	0	0.0836861087	101325.054	101325.258	101325.005	101326.486	1.22849517	0	0	0	0	0	3
8	3	0	0.0956412671	101325.064	101325.234	101325.005	101326.486	1.25273451	0	0	0	0	0	3
9	3	0	0.107596426	101325.058	101325.214	101325.005	101326.486	1.27222017	0	0	0	0	0	3
10	3	0	0.119551584	101325.054	101325.198	101325.005	101326.486	1.28825721	0	0	0	0	0	3
11	3	0	0.131506742	101325.061	101325.186	101325.005	101326.486	1.30071221	0	0	0	0	0	3
12	3	0	0.143461901	101325.042	101325.174	101325.005	101326.486	1.31266531	0	0	0	0	0	3
13	4	0	0.155417059	101325.061	101325.165	101325.005	101326.486	1.32130169	0	0	0	0	0	3
14	4	0	0.167372217	101325.035	101325.156	101325.005	101326.486	1.33056571	0	0	0	0	0	3
15	4	0	0.179327376	101325.055	101325.149	101325.005	101326.486	1.33727913	0	0	0	0	0	3
16	4	0	0.191282534	101325.033	101325.142	101325.005	101326.486	1.34453022	0	0	0	0	0	3
17	4	0	0.203237693	101325.045	101325.136	101325.005	101326.486	1.35024784	0	0	0	0	0	3
18	5	0	0.215192851	101325.031	101325.13	101325.005	101326.486	1.3560841	0	0	0	0	0	3
19	5	0	0.227148009	101325.039	101325.125	101325.005	101326.486	1.36085719	0	0	0	0	0	3
20	5	0	0.239103168	101325.03	101325.121	101325.005	101326.486	1.36561719	0	0	0	0	0	3
21	5	0	0.251058326	101325.04	101325.117	101325.005	101326.486	1.36947857	0	0	0	0	0	3
22	6	0	0.263013485	101325.037	101325.113	101325.005	101326.486	1.37310744	0	0	0	0	0	3
23	6	0	0.274968643	101325.039	101325.11	101325.005	101326.486	1.37633777	0	0	0	0	0	3
24	6	0	0.286923801	101325.038	101325.107	101325.005	101326.486	1.37932333	0	0	0	0	0	3
25	6	0	0.29887896	101325.037	101325.104	101325.005	101326.486	1.3821096	0	0	0	0	0	3
26	6	0	0.310834118	101325.035	101325.102	101325.005	101326.486	1.38475236	0	0	0	0	0	3
27	7	0	0.322789277	101325.029	101325.099	101325.005	101326.486	1.38745005	0	0	0	0	0	3
28	7	0	0.334744435	101325.018	101325.096	101325.005	101326.486	1.39033787	0	0	0	0	0	3
29	7	0	0.346699593	101325.01	101325.093	101325.005	101326.486	1.39330462	0	0	0	0	0	3
30	7	0	0.358654752	101325.004	101325.09	101325.004	101326.486	1.39627455	0	0	0	0	0	3
31	8	0	0.37060991	101324.999	101325.087	101324.999	101326.486	1.39921835	0	0	0	0	0	3
32	8	0	0.382565069	101324.995	101325.084	101324.995	101326.486	1.40209613	0	0	0	0	0	3
33	8	0	0.394520227	101324.993	101325.081	101324.993	101326.486	1.40484926	0	0	0	0	0	3
34	8	0	0.406475385	101324.994	101325.079	101324.993	101326.486	1.40743211	0	0	0	0	0	3
35	9	0	0.418430544	101324.996	101325.076	101324.993	101326.486	1.40980817	0	0	0	0	0	3
36	9	0	0.430385702	101324.999	101325.074	101324.993	101326.486	1.41196469	0	0	0	0	0	3
37	9	0	0.442340861	101325.002	101325.072	101324.993	101326.486	1.41391543	0	0	0	0	0	3
38	9	0	0.454296019	101325.005	101325.071	101324.993	101326.486	1.41568202	0	0	0	0	0	3
39	9	0	0.466251177	101325.008	101325.069	101324.993	101326.486	1.41728874	0	0	0	0	0	3
40	10	0	0.478206336	101325.009	101325.067	101324.993	101326.486	1.41878264	0	0	0	0	0	3
41	10	0	0.490161494	101325.009	101325.066	101324.993	101326.486	1.42020345	0	0	0	0	0	3
42	10	0	0.502116652	101325.009	101325.065	101324.993	101326.486	1.42155477	0	0	0	0	0	3
43	10	0	0.514071811	101325.009	101325.03	101324.993	101325.084	0.0911728589	0	0	0	0	0	3
44	11	0	0.526026969	101325.009	101325.03	101324.993	101325.084	0.0911728589	0	0	0	0	0	3
45	11	0	0.537982128	101325.008	101325.028	101324.993	101325.084	0.0911728589	0	0	0	0	0	3
46	11	0	0.549937286	101325.008	101325.026	101324.993	101325.064	0.0707310492	0	0	0	0	0	3
47	11	0	0.561892444	101325.008	101325.026	101324.993	101325.064	0.0707310492	0	0	0	0	0	3
48	12	0	0.573847603	101325.008	101325.024	101324.993	101325.064	0.0705396276	0	0	0	0	0	3
49	12	0	0.585802761	101325.008	101325.023	101324.993	101325.064	0.0705396276	0	0	0	0	0	3
50	12	0	0.59775792	101325.008	101325.022	101324.993	101325.061	0.0680111802	0	0	0	0	0	3
51	12	0	0.609713078	101325.008	101325.021	101324.993	101325.061	0.0680111802	0	0	0	0	0	3
52	13	0	0.621668236	101325.008	101325.02	101324.993	101325.061	0.0680111802	0	0	0	0	0	3
53	13	0	0.633623395	101325.008	101325.018	101324.993	101325.061	0.0680111802	0	0	0	0	0	3
54	13	0	0.645578553	101325.008	101325.017	101324.993	101325.061	0.0680111802	0	0	0	0	0	3
55	13	0	0.657533712	101325.008	101325.016	101324.993	101325.055	0.061682449	0	0	0	0	0	3
56	14	0	0.66948887	101325.007	101325.015	101324.993	101325.055	0.061682449	0	0	0	0	0	3
57	14	0	0.681444028	101325.007	101325.014	101324.993	101325.045	0.0512197313	0	0	0	0	0	3
58	14	0	0.693399187	101325.008	101325.014	101324.993	101325.045	0.0512197313	0	0	0	0	0	3
59	14	0	0.705354345	101325.008	101325.013	101324.993	101325.04	0.0462432746	0	0	0	0	0	3
60	15	0	0.717309504	101325.008	101325.012	101324.993	101325.04	0.0462432746	0	0	0	0	0	3
61	15	0	0.729264662	101325.008	101325.012	101324.993	101325.04	0.0462432746	0	0	0	0	0	3
62	15	0	0.74121982	101325.008	101325.011	101324.993	101325.04	0.0462432746	0	0	0	0	0	3
63	15	0	0.753174979	101325.008	101325.01	101324.993	101325.039	0.0455446066	0	0	0	0	0	3
64	16	0	0.765130137	101325.008	101325.01	101324.993	101325.039	0.0455446066	0	0	0	0	0	3
65	16	0	0.777085296	101325.008	101325.009	101324.993	101325.038	0.0449582741	0	0	0	0	0	3
66	16	0	0.789040454	101325.008	101325.008	101324.993	101325.037	0.0439692338	0	0	0	0	0	3
67	16	0	0.800995612	101325.008	101325.007	101324.993	101325.035	0.0421282649	0	0	0	0	0	3
68	17	0	0.812950771	101325.008	101325.007	101324.993	101325.029	0.035359379	0	0	0	0	0	3
69	17	0	0.824905929	101325.008	101325.006	101324.993	101325.018	0.024640449	0	0	0	0	0	3
70	17	0	0.836861087	101325.008	101325.006	101324.993	101325.01	0.0165760065	0	0	0	0	0	3
71	17	0	0.848816246	101325.008	101325.006	101324.993	101325.009	0.0159905869	0	0	0	0	0	3
72	17	0	0.860771404	101325.008	101325.006	101324.993	101325.009	0.0159905869	0	0	0	0	0	3
73	18	0	0.872726563	101325.008	101325.006	101324.993	101325.009	0.0159905869	0	0	0	0	0	3
74	18	0	0.884681721	101325.008	101325.007	101324.993	101325.009	0.0159905869	0	0	0	0	0	3
75	18	0	0.896636879	101325.008	101325.007	101324.994	101325.009	0.0157071825	0	0	0	0	0	3
76	18	0	0.908592038	101325.009	101325.007	101324.996	101325.009	0.0136352493	0	0	0	0	0	3
77	19	0	0.920547196	101325.008	101325.008	101324.999	101325.009	0.010484144	0	0	0	0	0	3
78	19	0	0.932502355	101325.008	101325.008	101325.002	101325.009	0.00718306341	0	0	0	0	0	3
79	19	0	0.944457513	101325.007	101325.008	101325.005	101325.009	0.00408690059	0	0	0	0	0	3
80	19	0	0.956412671	101325.008	101325.008	101325.007	101325.009	0.00199516889	0	0	0	0	0	3
81	20	0	0.96836783	101325.007	101325.008	101325.007	101325.009	0.00199516889	0	0	0	0	0	3
82	20	0	0.980322988	101325.008	101325.008	101325.007	101325.009	0.00199516889	0	0	0	0	0	3
83	20	0	0.992278147	101325.008	101325.008	101325.007	101325.009	0.00199516889	0	0	0	0	0	3
84	20	0	1.0042333	101325.009	101325.008	101325.007	101325.009	0.00156139834	0.00273518577	0	0	0	0	3
85	21	0	1.01618846	101325.009	101325.008	101325.007	101325.009	0.00142491194	0.00273518577	0	0	0	0	3
86	21	0	1.02814362	101325.009	101325.008	101325.007	101325.009	0.0015359508	0.00273518577	0	0	0	0	3
87	21	0	1.04009878	101325.009	101325.008	101325.007	101325.009	0.0015359508	0.00273518577	0	0	0	0	3
88	21	0	1.05205394	101325.009	101325.008	101325.007	101325.009	0.0015359508	0.00273518577	0	0	0	0	3
89	22	0	1.0640091	101325.008	101325.008	101325.007	101325.009	0.0015359508	0.00273518577	0	0	0	0	3
90	22	0	1.07596426	101325.008	101325.008	101325.007	101325.009	0.0015359508	0.00273518577	0	0	0	0	3
91	22	0	1.08791941	101325.007	101325.008	101325.007	101325.009	0.0015359508	0.00273518577	0	0	0	0	3
92	22	0	1.09987457	101325.007	101325.008	101325.007	101325.009	0.00166494501	0.00273518577	0	0	0	0	3
93	23	0	1.11182973	101325.007	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
94	23	0	1.12378489	101325.007	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
95	23	0	1.13574005	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
96	23	0	1.14769521	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
97	23	0	1.15965036	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
98	24	0	1.17160552	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
99	24	0	1.18356068	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
100	24	0	1.19551584	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
101	25	0	1.207471	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
102	25	0	1.21942616	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
103	25	0	1.23138131	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
104	26	0	1.24333647	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
105	26	0	1.25529163	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
106	26	0	1.26724679	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
107	26	0	1.27920195	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
108	27	0	1.29115711	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
109	27	0	1.30311226	101325.008	101325.008	101325.007	101325.009	0.00180230015	0.00273518577	0	0	0	0	3
