Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119912188	2954.98467	2954.98467	2954.98467	2954.98467	0	0	0	0	0	0	3
2	2	0	0.0239824376	354.583516	1654.7841	354.583516	2954.98467	1300.20058	0	0	0	0	0	3
3	2	0	0.0359736564	141.691795	1150.42	141.691795	2954.98467	1804.56468	0	0	0	0	0	3
4	2	0	0.0479648752	87.220659	884.620161	87.220659	2954.98467	2070.36451	0	0	0	0	0	3
5	2	0	0.059956094	96.8463121	727.065391	87.220659	2954.98467	2227.91928	0	0	0	0	0	3
6	2	0	0.0719473128	112.707068	624.672338	87.220659	2954.98467	2330.31234	0	0	0	0	0	3
7	3	0	0.0839385316	116.789543	552.117653	87.220659	2954.98467	2402.86702	0	0	0	0	0	3
8	3	0	0.0959297504	126.336207	498.894972	87.220659	2954.98467	2456.0897	0	0	0	0	0	3
9	3	0	0.107920969	128.850206	457.778887	87.220659	2954.98467	2497.20579	0	0	0	0	0	3
10	3	0	0.119912188	138.158898	425.816888	87.220659	2954.98467	2529.16779	0	0	0	0	0	3
11	3	0	0.131903407	139.262505	399.766489	87.220659	2954.98467	2555.21819	0	0	0	0	0	3
12	4	0	0.143894626	139.103472	378.044571	87.220659	2954.98467	2576.9401	0	0	0	0	0	3
13	4	0	0.155885844	138.941913	359.652059	87.220659	2954.98467	2595.33262	0	0	0	0	0	3
14	4	0	0.167877063	141.664361	344.081509	87.220659	2954.98467	2610.90317	0	0	0	0	0	3
15	4	0	0.179868282	132.067491	329.947241	87.220659	2954.98467	2625.03743	0	0	0	0	0	3
16	4	0	0.191859501	139.440696	318.040582	87.220659	2954.98467	2636.94409	0	0	0	0	0	3
17	5	0	0.20385072	130.717277	307.021564	87.220659	2954.98467	2647.96311	0	0	0	0	0	3
18	5	0	0.215841938	136.700939	297.559307	87.220659	2954.98467	2657.42537	0	0	0	0	0	3
19	5	0	0.227833157	129.10681	288.693386	87.220659	2954.98467	2666.29129	0	0	0	0	0	3
20	5	0	0.239824376	130.268972	280.772166	87.220659	2954.98467	2674.21251	0	0	0	0	0	3
21	5	0	0.251815595	128.011526	273.49785	87.220659	2954.98467	2681.48683	0	0	0	0	0	3
