Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119912188	-2704.45859	-2704.45859	-2704.45859	-2704.45859	0	0	0	0	0	0	3
2	2	0	0.0239824376	-668.555772	-1686.50718	-2704.45859	-668.555772	1017.95141	0	0	0	0	0	3
3	2	0	0.0359736564	-259.675654	-1210.89667	-2704.45859	-259.675654	1493.56192	0	0	0	0	0	3
4	2	0	0.0479648752	-237.843841	-967.633464	-2704.45859	-237.843841	1736.82512	0	0	0	0	0	3
5	2	0	0.059956094	-263.834785	-826.873728	-2704.45859	-237.843841	1877.58486	0	0	0	0	0	3
6	2	0	0.0719473128	-248.072236	-730.406813	-2704.45859	-237.843841	1974.05178	0	0	0	0	0	3
7	3	0	0.0839385316	-241.835392	-660.610895	-2704.45859	-237.843841	2043.84769	0	0	0	0	0	3
8	3	0	0.0959297504	-230.222909	-606.812397	-2704.45859	-230.222909	2097.64619	0	0	0	0	0	3
9	3	0	0.107920969	-223.301003	-564.20002	-2704.45859	-223.301003	2140.25857	0	0	0	0	0	3
10	3	0	0.119912188	-221.582897	-529.938308	-2704.45859	-221.582897	2174.52028	0	0	0	0	0	3
11	3	0	0.131903407	-215.555004	-501.358007	-2704.45859	-215.555004	2203.10058	0	0	0	0	0	3
12	4	0	0.143894626	-221.968242	-478.075527	-2704.45859	-215.555004	2226.38306	0	0	0	0	0	3
13	4	0	0.155885844	-218.606695	-458.116386	-2704.45859	-215.555004	2246.3422	0	0	0	0	0	3
14	4	0	0.167877063	-213.571551	-440.648898	-2704.45859	-213.571551	2263.80969	0	0	0	0	0	3
15	4	0	0.179868282	-223.532586	-426.174477	-2704.45859	-213.571551	2278.28411	0	0	0	0	0	3
16	4	0	0.191859501	-215.631639	-413.01555	-2704.45859	-213.571551	2291.44304	0	0	0	0	0	3
17	5	0	0.20385072	-221.838519	-401.769842	-2704.45859	-213.571551	2302.68875	0	0	0	0	0	3
18	5	0	0.215841938	-217.371553	-391.525493	-2704.45859	-213.571551	2312.9331	0	0	0	0	0	3
19	5	0	0.227833157	-220.175199	-382.507056	-2704.45859	-213.571551	2321.95153	0	0	0	0	0	3
20	5	0	0.239824376	-218.749955	-374.319201	-2704.45859	-213.571551	2330.13939	0	0	0	0	0	3
21	5	0	0.251815595	-220.982516	-367.017454	-2704.45859	-213.571551	2337.44113	0	0	0	0	0	3
22	6	0	0.263806814	-223.128965	-360.477068	-2704.45859	-213.571551	2343.98152	0	0	0	0	0	3
23	6	0	0.275798032	-222.279386	-354.468473	-2704.45859	-213.571551	2349.99011	0	0	0	0	0	3
24	6	0	0.287789251	-220.065209	-348.868337	-2704.45859	-213.571551	2355.59025	0	0	0	0	0	3
25	6	0	0.29978047	-218.122887	-343.638519	-2704.45859	-213.571551	2360.82007	0	0	0	0	0	3
26	7	0	0.311771689	-216.962685	-338.766372	-2704.45859	-213.571551	2365.69222	0	0	0	0	0	3
