Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119912188	1149.46367	1149.46367	1149.46367	1149.46367	0	0	0	0	0	0	3
2	2	0	0.0239824376	-177.585607	485.939033	-177.585607	1149.46367	663.52464	0	0	0	0	0	3
3	2	0	0.0359736564	-88.8930484	294.328339	-177.585607	1149.46367	855.135333	0	0	0	0	0	3
4	2	0	0.0479648752	-70.1009151	203.221025	-177.585607	1149.46367	946.242647	0	0	0	0	0	3
5	2	0	0.059956094	-56.1334177	151.350137	-177.585607	1149.46367	998.113536	0	0	0	0	0	3
6	2	0	0.0719473128	-100.038066	109.452103	-177.585607	1149.46367	1040.01157	0	0	0	0	0	3
7	3	0	0.0839385316	-97.3836035	79.904145	-177.585607	1149.46367	1069.55953	0	0	0	0	0	3
8	3	0	0.0959297504	-120.812778	54.8145296	-177.585607	1149.46367	1094.64914	0	0	0	0	0	3
9	3	0	0.107920969	-113.212701	36.1448374	-177.585607	1149.46367	1113.31884	0	0	0	0	0	3
10	3	0	0.119912188	-138.854325	18.6449212	-177.585607	1149.46367	1130.81875	0	0	0	0	0	3
11	3	0	0.131903407	-134.425848	4.72939671	-177.585607	1149.46367	1144.73428	0	0	0	0	0	3
12	4	0	0.143894626	-141.356325	-7.4444134	-177.585607	1149.46367	1156.90809	0	0	0	0	0	3
13	4	0	0.155885844	-136.999006	-17.4101513	-177.585607	1149.46367	1166.87382	0	0	0	0	0	3
14	4	0	0.167877063	-143.323448	-26.4039582	-177.585607	1149.46367	1175.86763	0	0	0	0	0	3
15	4	0	0.179868282	-127.982113	-33.1758352	-177.585607	1149.46367	1182.63951	0	0	0	0	0	3
16	4	0	0.191859501	-141.300719	-39.9336404	-177.585607	1149.46367	1189.39731	0	0	0	0	0	3
17	5	0	0.20385072	-128.241793	-45.1282376	-177.585607	1149.46367	1194.59191	0	0	0	0	0	3
18	5	0	0.215841938	-139.213803	-50.3552135	-177.585607	1149.46367	1199.81889	0	0	0	0	0	3
19	5	0	0.227833157	-127.653934	-54.4235672	-177.585607	1149.46367	1203.88724	0	0	0	0	0	3
20	5	0	0.239824376	-130.688518	-58.2368148	-177.585607	1149.46367	1207.70049	0	0	0	0	0	3
21	5	0	0.251815595	-126.254161	-61.475736	-177.585607	1149.46367	1210.93941	0	0	0	0	0	3
22	6	0	0.263806814	-123.608322	-64.2999445	-177.585607	1149.46367	1213.76362	0	0	0	0	0	3
23	6	0	0.275798032	-123.189474	-66.8603588	-177.585607	1149.46367	1216.32403	0	0	0	0	0	3
24	6	0	0.287789251	-122.428195	-69.1756853	-177.585607	1149.46367	1218.63936	0	0	0	0	0	3
25	6	0	0.29978047	-120.853282	-71.2427891	-177.585607	1149.46367	1220.70646	0	0	0	0	0	3
26	7	0	0.311771689	-119.61464	-73.1032449	-177.585607	1149.46367	1222.56692	0	0	0	0	0	3
27	7	0	0.323762908	-118.437091	-74.7822763	-177.585607	1149.46367	1224.24595	0	0	0	0	0	3
28	7	0	0.335754126	-118.216564	-76.3335009	-177.585607	1149.46367	1225.79717	0	0	0	0	0	3
29	7	0	0.347745345	-117.860911	-77.7654805	-177.585607	1149.46367	1227.22915	0	0	0	0	0	3
30	7	0	0.359736564	-117.550244	-79.0916393	-177.585607	1149.46367	1228.55531	0	0	0	0	0	3
31	8	0	0.371727783	-118.29793	-80.3563584	-177.585607	1149.46367	1229.82003	0	0	0	0	0	3
32	8	0	0.383719002	-118.438651	-81.54643	-177.585607	1149.46367	1231.0101	0	0	0	0	0	3
33	8	0	0.39571022	-118.297899	-82.6601109	-177.585607	1149.46367	1232.12378	0	0	0	0	0	3
34	8	0	0.407701439	-117.436579	-83.6829482	-177.585607	1149.46367	1233.14662	0	0	0	0	0	3
35	9	0	0.419692658	-116.959693	-84.6337123	-177.585607	1149.46367	1234.09738	0	0	0	0	0	3
36	9	0	0.431683877	-116.117934	-85.508274	-177.585607	1149.46367	1234.97195	0	0	0	0	0	3
37	9	0	0.443675096	-115.350348	-86.3148165	-177.585607	1149.46367	1235.77849	0	0	0	0	0	3
38	9	0	0.455666314	-115.044453	-87.0708596	-177.585607	1149.46367	1236.53453	0	0	0	0	0	3
39	10	0	0.467657533	-114.198957	-87.7664518	-177.585607	1149.46367	1237.23012	0	0	0	0	0	3
