Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119912188	293.199987	293.199987	293.199987	293.199987	0	0	0	0	0	0	3
2	2	0	0.0239824376	293.19997	293.199978	293.19997	293.199987	8.72034303e-06	0	0	0	0	0	3
3	2	0	0.0359736564	293.199967	293.199975	293.199967	293.199987	1.24202248e-05	0	0	0	0	0	3
4	2	0	0.0479648752	293.199962	293.199971	293.199962	293.199987	1.56254648e-05	0	0	0	0	0	3
5	2	0	0.059956094	293.199956	293.199968	293.199956	293.199987	1.86180306e-05	0	0	0	0	0	3
6	2	0	0.0719473128	293.199947	293.199965	293.199947	293.199987	2.21473706e-05	0	0	0	0	0	3
7	3	0	0.0839385316	293.199937	293.199961	293.199937	293.199987	2.61617803e-05	0	0	0	0	0	3
8	3	0	0.0959297504	293.199926	293.199957	293.199926	293.199987	3.04920267e-05	0	0	0	0	0	3
9	3	0	0.107920969	293.199916	293.199952	293.199916	293.199987	3.49396093e-05	0	0	0	0	0	3
10	3	0	0.119912188	293.199907	293.199948	293.199907	293.199987	3.94310238e-05	0	0	0	0	0	3
11	3	0	0.131903407	293.199896	293.199943	293.199896	293.199987	4.40746288e-05	0	0	0	0	0	3
12	4	0	0.143894626	293.199886	293.199938	293.199886	293.199987	4.87949698e-05	0	0	0	0	0	3
13	4	0	0.155885844	293.199877	293.199934	293.199877	293.199987	5.34783532e-05	0	0	0	0	0	3
14	4	0	0.167877063	293.199868	293.199929	293.199868	293.199987	5.8125884e-05	0	0	0	0	0	3
15	4	0	0.179868282	293.199861	293.199924	293.199861	293.199987	6.26433481e-05	0	0	0	0	0	3
16	4	0	0.191859501	293.199851	293.19992	293.199851	293.199987	6.7233777e-05	0	0	0	0	0	3
17	5	0	0.20385072	293.199842	293.199915	293.199842	293.199987	7.18115445e-05	0	0	0	0	0	3
18	5	0	0.215841938	293.199833	293.199911	293.199833	293.199987	7.63503584e-05	0	0	0	0	0	3
19	5	0	0.227833157	293.199826	293.199906	293.199826	293.199987	8.08137068e-05	0	0	0	0	0	3
20	5	0	0.239824376	293.199818	293.199902	293.199818	293.199987	8.52210599e-05	0	0	0	0	0	3
21	5	0	0.251815595	293.199806	293.199897	293.199806	293.199987	8.97661414e-05	0	0	0	0	0	3
22	6	0	0.263806814	293.199794	293.199893	293.199794	293.199987	9.44709378e-05	0	0	0	0	0	3
23	6	0	0.275798032	293.19978	293.199888	293.19978	293.199987	9.93819343e-05	0	0	0	0	0	3
24	6	0	0.287789251	293.199764	293.199882	293.199764	293.199987	0.000104523962	0	0	0	0	0	3
25	6	0	0.29978047	293.199748	293.199877	293.199748	293.199987	0.000109917741	0	0	0	0	0	3
26	7	0	0.311771689	293.199719	293.199871	293.199719	293.199987	0.000115990902	0	0	0	0	0	3
27	7	0	0.323762908	293.199688	293.199864	293.199688	293.199987	0.000122781924	0	0	0	0	0	3
28	7	0	0.335754126	293.199652	293.199857	293.199652	293.199987	0.000130345761	0	0	0	0	0	3
29	7	0	0.347745345	293.199615	293.199848	293.199615	293.199987	0.00013867006	0	0	0	0	0	3
30	7	0	0.359736564	293.199577	293.199839	293.199577	293.199987	0.000147720331	0	0	0	0	0	3
31	8	0	0.371727783	293.19952	293.199829	293.19952	293.199987	0.000158034245	0	0	0	0	0	3
32	8	0	0.383719002	293.199466	293.199818	293.199466	293.199987	0.000169368028	0	0	0	0	0	3
33	8	0	0.39571022	293.19942	293.199806	293.19942	293.199987	0.000181421628	0	0	0	0	0	3
34	8	0	0.407701439	293.199382	293.199793	293.199382	293.199987	0.000193882756	0	0	0	0	0	3
35	9	0	0.419692658	293.199353	293.199781	293.199353	293.199987	0.00020644609	0	0	0	0	0	3
36	9	0	0.431683877	293.199328	293.199768	293.199328	293.199987	0.000219008641	0	0	0	0	0	3
37	9	0	0.443675096	293.199317	293.199756	293.199317	293.199987	0.000231198902	0	0	0	0	0	3
