Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0119912188
2	2	0	0.0239824376
3	2	0	0.0359736564
4	2	0	0.0479648752
5	2	0	0.059956094
6	2	0	0.0719473128
7	3	0	0.0839385316
8	3	0	0.0959297504
9	3	0	0.107920969
10	3	0	0.119912188
11	3	0	0.131903407
12	4	0	0.143894626
13	4	0	0.155885844
14	4	0	0.167877063
15	4	0	0.179868282
16	4	0	0.191859501
17	5	0	0.20385072
18	5	0	0.215841938
19	5	0	0.227833157
20	5	0	0.239824376
21	5	0	0.251815595
22	6	0	0.263806814
23	6	0	0.275798032
24	6	0	0.287789251
25	6	0	0.29978047
26	7	0	0.311771689
27	7	0	0.323762908
28	7	0	0.335754126
29	7	0	0.347745345
30	7	0	0.359736564
31	8	0	0.371727783
32	8	0	0.383719002
33	8	0	0.39571022
34	8	0	0.407701439
35	9	0	0.419692658
36	9	0	0.431683877
37	9	0	0.443675096
38	9	0	0.455666314
39	10	0	0.467657533
40	10	0	0.479648752
41	10	0	0.491639971
42	10	0	0.50363119
43	11	0	0.515622408
44	11	0	0.527613627
45	11	0	0.539604846
46	11	0	0.551596065
47	12	0	0.563587284
48	12	0	0.575578502
49	12	0	0.587569721
50	12	0	0.59956094
51	13	0	0.611552159
52	13	0	0.623543378
53	13	0	0.635534596
54	13	0	0.647525815
55	14	0	0.659517034
56	14	0	0.671508253
57	14	0	0.683499472
58	14	0	0.69549069
59	15	0	0.707481909
60	15	0	0.719473128
61	15	0	0.731464347
62	15	0	0.743455566
63	16	0	0.755446784
64	16	0	0.767438003
65	16	0	0.779429222
66	16	0	0.791420441
67	16	0	0.80341166
68	17	0	0.815402878
69	17	0	0.827394097
70	17	0	0.839385316
71	17	0	0.851376535
72	18	0	0.863367754
73	18	0	0.875358972
74	18	0	0.887350191
75	18	0	0.89934141
76	19	0	0.911332629
77	19	0	0.923323848
78	19	0	0.935315066
79	19	0	0.947306285
80	19	0	0.959297504
81	20	0	0.971288723
82	20	0	0.983279942
83	20	0	0.99527116
84	20	0	1.00726238
85	21	0	1.0192536
86	21	0	1.03124482
87	21	0	1.04323604
88	21	0	1.05522725
89	21	0	1.06721847
90	22	0	1.07920969
91	22	0	1.09120091
92	22	0	1.10319213
93	22	0	1.11518335
94	23	0	1.12717457
95	23	0	1.13916579
96	23	0	1.151157
97	23	0	1.16314822
98	23	0	1.17513944
99	24	0	1.18713066
100	24	0	1.19912188
101	25	0	1.2111131
