Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119358283	722.560217	722.560217	722.560217	722.560217	0	0	0	0	0	0	3
2	2	0	0.0238716566	-5.50256082	358.528828	-5.50256082	722.560217	364.031389	0	0	0	0	0	3
3	2	0	0.0358074849	-212.425768	168.210629	-212.425768	722.560217	554.349588	0	0	0	0	0	3
4	2	0	0.0477433132	70.2924643	143.731088	-212.425768	722.560217	578.829129	0	0	0	0	0	3
5	2	0	0.0596791415	-193.748463	76.2351778	-212.425768	722.560217	646.32504	0	0	0	0	0	3
6	2	0	0.0716149697	15.5482214	66.1206851	-212.425768	722.560217	656.439532	0	0	0	0	0	3
7	3	0	0.083550798	-189.215885	29.6440323	-212.425768	722.560217	692.916185	0	0	0	0	0	3
8	3	0	0.0954866263	-17.7922739	23.714494	-212.425768	722.560217	698.845723	0	0	0	0	0	3
9	3	0	0.107422455	-189.043852	0.0746777855	-212.425768	722.560217	722.48554	0	0	0	0	0	3
10	3	0	0.119358283	-48.6250729	-4.79529728	-212.425768	722.560217	727.355515	0	0	0	0	0	3
11	3	0	0.131294111	-162.843632	-19.1633277	-212.425768	722.560217	741.723545	0	0	0	0	0	3
12	4	0	0.143229939	-91.7491288	-25.2121444	-212.425768	722.560217	747.772362	0	0	0	0	0	3
13	4	0	0.155165768	-143.19649	-34.2878633	-212.425768	722.560217	756.848081	0	0	0	0	0	3
14	4	0	0.167101596	-114.644404	-40.0276162	-212.425768	722.560217	762.587834	0	0	0	0	0	3
15	4	0	0.179037424	-123.969906	-45.6237688	-212.425768	722.560217	768.183986	0	0	0	0	0	3
16	4	0	0.190973253	-126.055946	-50.6507799	-212.425768	722.560217	773.210997	0	0	0	0	0	3
17	5	0	0.202909081	-118.147791	-54.6211923	-212.425768	722.560217	777.18141	0	0	0	0	0	3
18	5	0	0.214844909	-125.219283	-58.5433085	-212.425768	722.560217	781.103526	0	0	0	0	0	3
19	5	0	0.226780738	-116.382855	-61.5874951	-212.425768	722.560217	784.147713	0	0	0	0	0	3
20	5	0	0.238716566	-120.785362	-64.5473885	-212.425768	722.560217	787.107606	0	0	0	0	0	3
21	6	0	0.250652394	-117.041464	-67.0471064	-212.425768	722.560217	789.607324	0	0	0	0	0	3
22	6	0	0.262588222	-114.467962	-69.2025998	-212.425768	722.560217	791.762817	0	0	0	0	0	3
23	6	0	0.274524051	-114.861607	-71.187774	-212.425768	722.560217	793.747991	0	0	0	0	0	3
24	6	0	0.286459879	-113.558812	-72.9532339	-212.425768	722.560217	795.513451	0	0	0	0	0	3
25	6	0	0.298395707	-113.354805	-74.5692968	-212.425768	722.560217	797.129514	0	0	0	0	0	3
26	7	0	0.310331536	-112.543309	-76.0298357	-212.425768	722.560217	798.590053	0	0	0	0	0	3
27	7	0	0.322267364	-111.387343	-77.339373	-212.425768	722.560217	799.89959	0	0	0	0	0	3
28	7	0	0.334203192	-110.86633	-78.5367643	-212.425768	722.560217	801.096982	0	0	0	0	0	3
29	7	0	0.34613902	-110.720287	-79.646541	-212.425768	722.560217	802.206758	0	0	0	0	0	3
30	8	0	0.358074849	-109.99444	-80.6581376	-212.425768	722.560217	803.218355	0	0	0	0	0	3
31	8	0	0.370010677	-110.316164	-81.6148481	-212.425768	722.560217	804.175066	0	0	0	0	0	3
32	8	0	0.381946505	-109.930616	-82.4997159	-212.425768	722.560217	805.059933	0	0	0	0	0	3
33	8	0	0.393882334	-109.513468	-83.3183145	-212.425768	722.560217	805.878532	0	0	0	0	0	3
34	9	0	0.405818162	-108.724983	-84.0655694	-212.425768	722.560217	806.625787	0	0	0	0	0	3
35	9	0	0.41775399	-108.76512	-84.7712709	-212.425768	722.560217	807.331488	0	0	0	0	0	3
36	9	0	0.429689818	-107.753606	-85.4096691	-212.425768	722.560217	807.969886	0	0	0	0	0	3
37	9	0	0.441625647	-107.342485	-86.0024479	-212.425768	722.560217	808.562665	0	0	0	0	0	3
38	10	0	0.453561475	-106.863997	-86.551436	-212.425768	722.560217	809.111653	0	0	0	0	0	3
39	10	0	0.465497303	-106.432591	-87.0612092	-212.425768	722.560217	809.621427	0	0	0	0	0	3
40	10	0	0.477433132	-106.024536	-87.5352924	-212.425768	722.560217	810.09551	0	0	0	0	0	3
41	10	0	0.48936896	-106.192888	-87.9903557	-212.425768	722.560217	810.550573	0	0	0	0	0	3
42	11	0	0.501304788	-105.726781	-88.4126515	-212.425768	722.560217	810.972869	0	0	0	0	0	3
43	11	0	0.513240617	-105.90784	-108.138081	-212.425768	70.2924643	282.718233	0	0	0	0	0	3
44	11	0	0.525176445	-105.546781	-110.520087	-212.425768	70.2924643	278.730716	0	0	0	0	0	3
45	11	0	0.537112273	-105.684053	-107.978617	-193.748463	70.2924643	254.251175	0	0	0	0	0	3
46	12	0	0.549048101	-105.373016	-112.161129	-193.748463	15.5482214	188.396307	0	0	0	0	0	3
47	12	0	0.56098393	-105.384346	-110.057221	-189.215885	15.5482214	178.281814	0	0	0	0	0	3
48	12	0	0.572919758	-105.173622	-112.931551	-189.215885	-17.7922739	142.575583	0	0	0	0	0	3
49	12	0	0.584855586	-105.338512	-110.93447	-189.043852	-17.7922739	136.646045	0	0	0	0	0	3
50	13	0	0.596791415	-105.118183	-113.013659	-189.043852	-48.6250729	113.088337	0	0	0	0	0	3
51	13	0	0.608727243	-105.357569	-111.021128	-162.843632	-48.6250729	108.218362	0	0	0	0	0	3
52	13	0	0.620663071	-105.334349	-112.371349	-162.843632	-91.7491288	71.0945027	0	0	0	0	0	3
53	13	0	0.632598899	-105.546721	-111.007137	-143.19649	-91.7491288	51.4473608	0	0	0	0	0	3
54	14	0	0.644534728	-105.61121	-111.337186	-143.19649	-105.118183	38.078307	0	0	0	0	0	3
55	14	0	0.656470556	-105.872915	-110.44853	-126.055946	-105.118183	20.937763	0	0	0	0	0	3
56	14	0	0.668406384	-105.728602	-110.236249	-126.055946	-105.118183	20.937763	0	0	0	0	0	3
57	14	0	0.680342213	-106.063917	-109.809916	-126.055946	-105.118183	20.937763	0	0	0	0	0	3
58	15	0	0.692278041	-105.982662	-109.331981	-125.219283	-105.118183	20.1011006	0	0	0	0	0	3
59	15	0	0.704213869	-105.997588	-109.04269	-125.219283	-105.118183	20.1011006	0	0	0	0	0	3
60	15	0	0.716149697	-105.985224	-108.584736	-120.785362	-105.118183	15.6671797	0	0	0	0	0	3
61	15	0	0.728085526	-105.975692	-108.336947	-120.785362	-105.118183	15.6671797	0	0	0	0	0	3
62	15	0	0.740021354	-105.988294	-107.984635	-117.041464	-105.118183	11.9232815	0	0	0	0	0	3
63	16	0	0.751957182	-106.206717	-107.726665	-114.861607	-105.118183	9.74342422	0	0	0	0	0	3
64	16	0	0.763893011	-106.314709	-107.53254	-114.861607	-105.118183	9.74342422	0	0	0	0	0	3
65	16	0	0.775828839	-106.417466	-107.331489	-113.558812	-105.118183	8.44062901	0	0	0	0	0	3
66	17	0	0.787764667	-106.405275	-107.161167	-113.354805	-105.118183	8.23662211	0	0	0	0	0	3
67	17	0	0.799700495	-106.445642	-106.996663	-112.543309	-105.118183	7.42512622	0	0	0	0	0	3
68	17	0	0.811636324	-106.473995	-106.852156	-111.387343	-105.118183	6.26916081	0	0	0	0	0	3
69	17	0	0.823572152	-106.666842	-106.739763	-110.86633	-105.118183	5.7481474	0	0	0	0	0	3
70	17	0	0.83550798	-106.622371	-106.638716	-110.720287	-105.118183	5.60210429	0	0	0	0	0	3
71	18	0	0.847443809	-106.738107	-106.543902	-110.316164	-105.118183	5.19798152	0	0	0	0	0	3
72	18	0	0.859379637	-106.56657	-106.462286	-110.316164	-105.118183	5.19798152	0	0	0	0	0	3
73	18	0	0.871315465	-106.873761	-106.380324	-109.930616	-105.118183	4.81243377	0	0	0	0	0	3
74	18	0	0.883251294	-106.847737	-106.306922	-109.513468	-105.118183	4.39528568	0	0	0	0	0	3
75	19	0	0.895187122	-107.173226	-106.251202	-108.76512	-105.118183	3.64693718	0	0	0	0	0	3
76	19	0	0.90712295	-107.112217	-106.212803	-108.76512	-105.118183	3.64693718	0	0	0	0	0	3
77	19	0	0.919058778	-107.306786	-106.178081	-107.753606	-105.118183	2.63542369	0	0	0	0	0	3
78	19	0	0.930994607	-107.595785	-106.174323	-107.595785	-105.118183	2.47760259	0	0	0	0	0	3
79	20	0	0.942930435	-107.773076	-106.184576	-107.773076	-105.118183	2.6548933	0	0	0	0	0	3
80	20	0	0.954866263	-107.787989	-106.206575	-107.787989	-105.118183	2.6698061	0	0	0	0	0	3
81	20	0	0.966802092	-107.945416	-106.242595	-107.945416	-105.118183	2.82723291	0	0	0	0	0	3
82	20	0	0.97873792	-107.999861	-106.289627	-107.999861	-105.118183	2.88167851	0	0	0	0	0	3
83	21	0	0.990673748	-108.102877	-106.335102	-108.102877	-105.118183	2.98469474	0	0	0	0	0	3
84	21	0	1.00260958	-107.926787	-106.387484	-108.102877	-105.118183	2.98469474	8.48154698	0	100	0	0	3
85	21	0	1.0145454	-108.117362	-106.440091	-108.117362	-105.118183	2.99917896	8.48154698	0	100	0	0	3
86	21	0	1.02648123	-107.766842	-106.49295	-108.117362	-105.118183	2.99917896	8.48154698	0	100	0	0	3
87	22	0	1.03841706	-108.036298	-106.548956	-108.117362	-105.118183	2.99917896	8.48154698	0	100	0	0	3
88	22	0	1.05035289	-107.763852	-106.60588	-108.117362	-105.118183	2.99917896	8.48154698	0	100	0	0	3
89	22	0	1.06228872	-108.224611	-106.673506	-108.224611	-105.118183	3.10642788	8.48154698	0	100	0	0	3
