Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119358283	-2876.42742	-2876.42742	-2876.42742	-2876.42742	0	0	0	0	0	0	3
2	2	0	0.0238716566	-316.554693	-1596.49106	-2876.42742	-316.554693	1279.93637	0	0	0	0	0	3
3	2	0	0.0358074849	-138.13975	-1110.37396	-2876.42742	-138.13975	1766.05347	0	0	0	0	0	3
4	2	0	0.0477433132	-50.6721306	-845.448499	-2876.42742	-50.6721306	2030.97892	0	0	0	0	0	3
5	2	0	0.0596791415	-98.24459	-696.007717	-2876.42742	-50.6721306	2180.41971	0	0	0	0	0	3
6	2	0	0.0716149697	-64.5590262	-590.766269	-2876.42742	-50.6721306	2285.66115	0	0	0	0	0	3
7	3	0	0.083550798	-86.7918579	-518.769924	-2876.42742	-50.6721306	2357.6575	0	0	0	0	0	3
8	3	0	0.0954866263	-63.1075286	-461.812125	-2876.42742	-50.6721306	2414.6153	0	0	0	0	0	3
9	3	0	0.107422455	-79.4819616	-419.330996	-2876.42742	-50.6721306	2457.09643	0	0	0	0	0	3
10	3	0	0.119358283	-60.8199384	-383.47989	-2876.42742	-50.6721306	2492.94753	0	0	0	0	0	3
11	3	0	0.131294111	-71.6595612	-355.132587	-2876.42742	-50.6721306	2521.29484	0	0	0	0	0	3
12	4	0	0.143229939	-61.4607277	-330.659932	-2876.42742	-50.6721306	2545.76749	0	0	0	0	0	3
13	4	0	0.155165768	-68.2158194	-310.471924	-2876.42742	-50.6721306	2565.9555	0	0	0	0	0	3
14	4	0	0.167101596	-61.320479	-292.675392	-2876.42742	-50.6721306	2583.75203	0	0	0	0	0	3
15	4	0	0.179037424	-65.9567906	-277.560818	-2876.42742	-50.6721306	2598.8666	0	0	0	0	0	3
16	4	0	0.190973253	-61.5000571	-264.057021	-2876.42742	-50.6721306	2612.3704	0	0	0	0	0	3
17	5	0	0.202909081	-63.1812558	-252.240799	-2876.42742	-50.6721306	2624.18662	0	0	0	0	0	3
18	5	0	0.214844909	-60.5583587	-241.591775	-2876.42742	-50.6721306	2634.83565	0	0	0	0	0	3
19	5	0	0.226780738	-61.4719556	-232.111784	-2876.42742	-50.6721306	2644.31564	0	0	0	0	0	3
20	5	0	0.238716566	-59.7752408	-223.494957	-2876.42742	-50.6721306	2652.93247	0	0	0	0	0	3
21	6	0	0.250652394	-59.9682736	-215.707972	-2876.42742	-50.6721306	2660.71945	0	0	0	0	0	3
22	6	0	0.262588222	-59.1134384	-208.590039	-2876.42742	-50.6721306	2667.83738	0	0	0	0	0	3
23	6	0	0.274524051	-58.769537	-202.076104	-2876.42742	-50.6721306	2674.35132	0	0	0	0	0	3
24	6	0	0.286459879	-58.1509751	-196.079224	-2876.42742	-50.6721306	2680.3482	0	0	0	0	0	3
25	6	0	0.298395707	-57.7869042	-190.547531	-2876.42742	-50.6721306	2685.87989	0	0	0	0	0	3
26	7	0	0.310331536	-57.265851	-185.421312	-2876.42742	-50.6721306	2691.00611	0	0	0	0	0	3
27	7	0	0.322267364	-56.7880053	-180.657116	-2876.42742	-50.6721306	2695.77031	0	0	0	0	0	3
28	7	0	0.334203192	-56.3967	-176.219244	-2876.42742	-50.6721306	2700.20818	0	0	0	0	0	3
29	7	0	0.34613902	-55.8605204	-172.068943	-2876.42742	-50.6721306	2704.35848	0	0	0	0	0	3
30	8	0	0.358074849	-55.4820885	-168.182715	-2876.42742	-50.6721306	2708.24471	0	0	0	0	0	3
31	8	0	0.370010677	-54.9558378	-164.530235	-2876.42742	-50.6721306	2711.89719	0	0	0	0	0	3
32	8	0	0.381946505	-54.1760958	-161.081668	-2876.42742	-50.6721306	2715.34576	0	0	0	0	0	3
