Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0119358283	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0238716566	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0358074849	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0477433132	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0596791415	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0716149697	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.083550798	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.0954866263	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.107422455	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.119358283	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.131294111	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.143229939	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.155165768	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.167101596	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.179037424	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.190973253	0	0	0	0	0	0	0	0	0	0	3
17	5	0	0.202909081	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.214844909	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.226780738	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.238716566	0	0	0	0	0	0	0	0	0	0	3
21	6	0	0.250652394	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.262588222	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.274524051	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.286459879	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.298395707	0	0	0	0	0	0	0	0	0	0	3
26	7	0	0.310331536	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.322267364	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.334203192	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.34613902	0	0	0	0	0	0	0	0	0	0	3
30	8	0	0.358074849	0	0	0	0	0	0	0	0	0	0	3
31	8	0	0.370010677	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.381946505	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.393882334	0	0	0	0	0	0	0	0	0	0	3
34	9	0	0.405818162	0	0	0	0	0	0	0	0	0	0	3
35	9	0	0.41775399	0	0	0	0	0	0	0	0	0	0	3
36	9	0	0.429689818	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.441625647	0	0	0	0	0	0	0	0	0	0	3
38	10	0	0.453561475	0	0	0	0	0	0	0	0	0	0	3
39	10	0	0.465497303	0	0	0	0	0	0	0	0	0	0	3
40	10	0	0.477433132	0	0	0	0	0	0	0	0	0	0	3
41	10	0	0.48936896	0	0	0	0	0	0	0	0	0	0	3
42	11	0	0.501304788	0	0	0	0	0	0	0	0	0	0	3
43	11	0	0.513240617	0	0	0	0	0	0	0	0	0	0	3
44	11	0	0.525176445	0	0	0	0	0	0	0	0	0	0	3
45	11	0	0.537112273	0	0	0	0	0	0	0	0	0	0	3
46	12	0	0.549048101	0	0	0	0	0	0	0	0	0	0	3
47	12	0	0.56098393	0	0	0	0	0	0	0	0	0	0	3
48	12	0	0.572919758	0	0	0	0	0	0	0	0	0	0	3
49	12	0	0.584855586	0	0	0	0	0	0	0	0	0	0	3
50	13	0	0.596791415	0	0	0	0	0	0	0	0	0	0	3
51	13	0	0.608727243	0	0	0	0	0	0	0	0	0	0	3
52	13	0	0.620663071	0	0	0	0	0	0	0	0	0	0	3
53	13	0	0.632598899	0	0	0	0	0	0	0	0	0	0	3
54	14	0	0.644534728	0	0	0	0	0	0	0	0	0	0	3
55	14	0	0.656470556	0	0	0	0	0	0	0	0	0	0	3
56	14	0	0.668406384	0	0	0	0	0	0	0	0	0	0	3
57	14	0	0.680342213	0	0	0	0	0	0	0	0	0	0	3
58	15	0	0.692278041	0	0	0	0	0	0	0	0	0	0	3
59	15	0	0.704213869	0	0	0	0	0	0	0	0	0	0	3
60	15	0	0.716149697	0	0	0	0	0	0	0	0	0	0	3
61	15	0	0.728085526	0	0	0	0	0	0	0	0	0	0	3
62	15	0	0.740021354	0	0	0	0	0	0	0	0	0	0	3
63	16	0	0.751957182	0	0	0	0	0	0	0	0	0	0	3
64	16	0	0.763893011	0	0	0	0	0	0	0	0	0	0	3
65	16	0	0.775828839	0	0	0	0	0	0	0	0	0	0	3
66	17	0	0.787764667	0	0	0	0	0	0	0	0	0	0	3
67	17	0	0.799700495	0	0	0	0	0	0	0	0	0	0	3
68	17	0	0.811636324	0	0	0	0	0	0	0	0	0	0	3
69	17	0	0.823572152	0	0	0	0	0	0	0	0	0	0	3
70	17	0	0.83550798	0	0	0	0	0	0	0	0	0	0	3
71	18	0	0.847443809	0	0	0	0	0	0	0	0	0	0	3
72	18	0	0.859379637	0	0	0	0	0	0	0	0	0	0	3
73	18	0	0.871315465	0	0	0	0	0	0	0	0	0	0	3
74	18	0	0.883251294	0	0	0	0	0	0	0	0	0	0	3
75	19	0	0.895187122	0	0	0	0	0	0	0	0	0	0	3
76	19	0	0.90712295	0	0	0	0	0	0	0	0	0	0	3
77	19	0	0.919058778	0	0	0	0	0	0	0	0	0	0	3
78	19	0	0.930994607	0	0	0	0	0	0	0	0	0	0	3
79	20	0	0.942930435	0	0	0	0	0	0	0	0	0	0	3
80	20	0	0.954866263	0	0	0	0	0	0	0	0	0	0	3
81	20	0	0.966802092	0	0	0	0	0	0	0	0	0	0	3
82	20	0	0.97873792	0	0	0	0	0	0	0	0	0	0	3
83	21	0	0.990673748	0	0	0	0	0	0	0	0	0	0	3
84	21	0	1.00260958	0	0	0	0	0	0.001	0	0	0	0	3
85	21	0	1.0145454	0	0	0	0	0	0.001	0	0	0	0	3
86	21	0	1.02648123	0	0	0	0	0	0.001	0	0	0	0	3
87	22	0	1.03841706	0	0	0	0	0	0.001	0	0	0	0	3
88	22	0	1.05035289	0	0	0	0	0	0.001	0	0	0	0	3
89	22	0	1.06228872	0	0	0	0	0	0.001	0	0	0	0	3
