Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120018786	101326.279	101326.279	101326.279	101326.279	0	0	0	0	0	0	3
2	4	0	0.0240037573	101324.968	101325.623	101324.968	101326.279	0.655877585	0	0	0	0	0	3
3	4	0	0.0360056359	101325.099	101325.448	101324.968	101326.279	0.830814807	0	0	0	0	0	3
4	5	0	0.0480075146	101325.041	101325.347	101324.968	101326.279	0.932777713	0	0	0	0	0	3
5	6	0	0.0600093932	101325.057	101325.289	101324.968	101326.279	0.990746271	0	0	0	0	0	3
6	7	0	0.0720112719	101325.034	101325.246	101324.968	101326.279	1.03314085	0	0	0	0	0	3
7	7	0	0.0840131505	101325.062	101325.22	101324.968	101326.279	1.0593918	0	0	0	0	0	3
8	8	0	0.0960150292	101325.039	101325.197	101324.968	101326.279	1.0819986	0	0	0	0	0	3
9	9	0	0.108016908	101325.062	101325.182	101324.968	101326.279	1.09706262	0	0	0	0	0	3
10	10	0	0.120018786	101325.033	101325.167	101324.968	101326.279	1.11199593	0	0	0	0	0	3
11	10	0	0.132020665	101325.055	101325.157	101324.968	101326.279	1.12218086	0	0	0	0	0	3
12	11	0	0.144022544	101325.03	101325.147	101324.968	101326.279	1.13278908	0	0	0	0	0	3
13	12	0	0.156024422	101325.049	101325.139	101324.968	101326.279	1.14027237	0	0	0	0	0	3
14	13	0	0.168026301	101325.026	101325.131	101324.968	101326.279	1.14831677	0	0	0	0	0	3
15	13	0	0.18002818	101325.04	101325.125	101324.968	101326.279	1.15438444	0	0	0	0	0	3
16	14	0	0.192030058	101325.022	101325.119	101324.968	101326.279	1.16078739	0	0	0	0	0	3
17	15	0	0.204031937	101325.029	101325.113	101324.968	101326.279	1.16602541	0	0	0	0	0	3
18	16	0	0.216033816	101325.015	101325.108	101324.968	101326.279	1.17149816	0	0	0	0	0	3
19	16	0	0.228035694	101325.023	101325.103	101324.968	101326.279	1.17595481	0	0	0	0	0	3
20	17	0	0.240037573	101325.014	101325.099	101324.968	101326.279	1.18040704	0	0	0	0	0	3
21	18	0	0.252039452	101325.022	101325.095	101324.968	101326.279	1.18406918	0	0	0	0	0	3
22	19	0	0.26404133	101325.018	101325.092	101324.968	101326.279	1.18756978	0	0	0	0	0	3
23	19	0	0.276043209	101325.017	101325.088	101324.968	101326.279	1.19082201	0	0	0	0	0	3
24	20	0	0.288045088	101325.014	101325.085	101324.968	101326.279	1.1939424	0	0	0	0	0	3
25	21	0	0.300046966	101325.009	101325.082	101324.968	101326.279	1.19701149	0	0	0	0	0	3
26	22	0	0.312048845	101325.003	101325.079	101324.968	101326.279	1.200057	0	0	0	0	0	3
27	22	0	0.324050724	101324.997	101325.076	101324.968	101326.279	1.2031183	0	0	0	0	0	3
28	23	0	0.336052602	101324.987	101325.073	101324.968	101326.279	1.20631168	0	0	0	0	0	3
29	24	0	0.348054481	101324.98	101325.07	101324.968	101326.279	1.2095248	0	0	0	0	0	3
30	25	0	0.360056359	101324.974	101325.067	101324.968	101326.279	1.21272748	0	0	0	0	0	3
31	25	0	0.372058238	101324.971	101325.064	101324.968	101326.279	1.2158024	0	0	0	0	0	3
32	26	0	0.384060117	101324.969	101325.061	101324.968	101326.279	1.2187656	0	0	0	0	0	3
33	27	0	0.396061995	101324.969	101325.058	101324.968	101326.279	1.22155452	0	0	0	0	0	3
34	28	0	0.408063874	101324.969	101325.055	101324.968	101326.279	1.22415373	0	0	0	0	0	3
35	28	0	0.420065753	101324.971	101325.053	101324.968	101326.279	1.22654604	0	0	0	0	0	3
36	29	0	0.432067631	101324.974	101325.051	101324.968	101326.279	1.22873475	0	0	0	0	0	3
37	30	0	0.44406951	101324.977	101325.049	101324.968	101326.279	1.23072521	0	0	0	0	0	3
38	31	0	0.456071389	101324.979	101325.047	101324.968	101326.279	1.23254409	0	0	0	0	0	3
39	32	0	0.468073267	101324.981	101325.045	101324.968	101326.279	1.23422075	0	0	0	0	0	3
40	32	0	0.480075146	101324.983	101325.044	101324.968	101326.279	1.23577089	0	0	0	0	0	3
41	33	0	0.492077025	101324.984	101325.042	101324.968	101326.279	1.23723134	0	0	0	0	0	3
42	34	0	0.504078903	101324.984	101325.041	101324.968	101326.279	1.23860274	0	0	0	0	0	3
43	35	0	0.516080782	101324.985	101325.01	101324.968	101325.099	0.131065921	0	0	0	0	0	3
44	36	0	0.528082661	101324.984	101325.01	101324.969	101325.099	0.130110694	0	0	0	0	0	3
45	37	0	0.540084539	101324.983	101325.008	101324.969	101325.062	0.0939024508	0	0	0	0	0	3
46	37	0	0.552086418	101324.983	101325.006	101324.969	101325.062	0.0939024508	0	0	0	0	0	3
47	38	0	0.564088296	101324.982	101325.004	101324.969	101325.062	0.0939024508	0	0	0	0	0	3
