Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0120110776	-2489.54896	-2489.54896	-2489.54896	-2489.54896	0	0	0	0	0	0	3
2	5	0	0.0240221552	-314.790529	-1402.16974	-2489.54896	-314.790529	1087.37921	0	0	0	0	0	3
3	6	0	0.0360332329	-118.272626	-974.204037	-2489.54896	-118.272626	1515.34492	0	0	0	0	0	3
4	7	0	0.0480443105	-74.0950556	-749.176792	-2489.54896	-74.0950556	1740.37217	0	0	0	0	0	3
5	8	0	0.0600553881	-83.4228616	-616.026006	-2489.54896	-74.0950556	1873.52295	0	0	0	0	0	3
6	8	0	0.0720664657	-71.9315969	-525.343604	-2489.54896	-71.9315969	1964.20535	0	0	0	0	0	3
7	9	0	0.0840775433	-77.7402803	-461.400272	-2489.54896	-71.9315969	2028.14868	0	0	0	0	0	3
8	10	0	0.0960886209	-71.1997998	-412.625213	-2489.54896	-71.1997998	2076.92374	0	0	0	0	0	3
9	11	0	0.108099699	-75.5119806	-375.168187	-2489.54896	-71.1997998	2114.38077	0	0	0	0	0	3
10	12	0	0.120110776	-68.8356586	-344.534935	-2489.54896	-68.8356586	2145.01402	0	0	0	0	0	3
11	12	0	0.132121854	-71.409641	-319.705362	-2489.54896	-68.8356586	2169.84359	0	0	0	0	0	3
12	13	0	0.144132931	-65.8675247	-298.552209	-2489.54896	-65.8675247	2190.99675	0	0	0	0	0	3
13	14	0	0.156144009	-68.8696383	-280.884319	-2489.54896	-65.8675247	2208.66464	0	0	0	0	0	3
14	14	0	0.168155087	-64.7020838	-265.442731	-2489.54896	-64.7020838	2224.10623	0	0	0	0	0	3
15	15	0	0.180166164	-67.0668321	-252.217671	-2489.54896	-64.7020838	2237.33129	0	0	0	0	0	3
16	16	0	0.192177242	-64.2197389	-240.4678	-2489.54896	-64.2197389	2249.08116	0	0	0	0	0	3
17	17	0	0.204188319	-65.2424313	-230.160426	-2489.54896	-64.2197389	2259.38853	0	0	0	0	0	3
