Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120120768	5.84534681	5.84534681	5.84534681	5.84534681	0	0	0	0	0	0	3
2	4	0	0.0240241536	0.290838311	3.06809256	0.290838311	5.84534681	2.77725425	0	0	0	0	0	3
3	5	0	0.0360362304	8.6306738	4.92228631	0.290838311	8.6306738	2.77725425	0	0	0	0	0	3
4	6	0	0.0480483072	-1.01029951	3.43913985	-1.01029951	8.6306738	2.77725425	0	0	0	0	0	3
5	6	0	0.060060384	9.21473821	4.59425952	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
6	7	0	0.0720724608	2.73922741	4.2850875	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
7	8	0	0.0840845375	8.58209358	4.89894552	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
8	8	0	0.0960966143	3.86233229	4.76936886	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
9	9	0	0.108108691	9.00515392	5.24001165	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
10	10	0	0.120120768	5.19003013	5.2350135	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
11	11	0	0.132132845	9.12314531	5.58848002	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
12	11	0	0.144144922	8.42766008	5.82507836	-1.01029951	9.21473821	2.77725425	0	0	0	0	0	3
13	12	0	0.156156998	8.48809485	6.02992578	-1.01029951	9.21473821	2.96183323	0	0	0	0	0	3
14	13	0	0.168169075	9.00013447	6.24208355	-1.01029951	9.21473821	3.17399099	0	0	0	0	0	3
15	13	0	0.180181152	9.26070697	6.44332511	-1.01029951	9.26070697	3.37523255	0	0	0	0	0	3
16	14	0	0.192193229	8.14386741	6.549609	-1.01029951	9.26070697	3.48151644	0	0	0	0	0	3
17	15	0	0.204205305	9.87600375	6.74527928	-1.01029951	9.87600375	3.67718672	0	0	0	0	0	3
18	16	0	0.216217382	9.26754517	6.88540516	-1.01029951	9.87600375	3.81731261	0	0	0	0	0	3
19	16	0	0.228229459	10.4796115	7.07457392	-1.01029951	10.4796115	4.00648136	0	0	0	0	0	3
20	17	0	0.240241536	9.91036428	7.21636344	-1.01029951	10.4796115	4.14827088	0	0	0	0	0	3
21	18	0	0.252253613	11.1023393	7.40140991	-1.01029951	11.1023393	4.33331735	0	0	0	0	0	3
22	19	0	0.264265689	11.2570366	7.57666567	-1.01029951	11.2570366	4.50857311	0	0	0	0	0	3
