Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120120768	1734.73076	1734.73076	1734.73076	1734.73076	0	0	0	0	0	0	3
2	4	0	0.0240241536	64.4115419	899.571153	64.4115419	1734.73076	835.159611	0	0	0	0	0	3
3	5	0	0.0360362304	106.098213	635.080173	64.4115419	1734.73076	1099.65059	0	0	0	0	0	3
4	6	0	0.0480483072	105.376126	502.654161	64.4115419	1734.73076	1232.0766	0	0	0	0	0	3
5	6	0	0.060060384	135.487927	429.220914	64.4115419	1734.73076	1305.50985	0	0	0	0	0	3
6	7	0	0.0720724608	113.395552	376.583354	64.4115419	1734.73076	1358.14741	0	0	0	0	0	3
7	8	0	0.0840845375	107.766719	338.180977	64.4115419	1734.73076	1396.54979	0	0	0	0	0	3
8	8	0	0.0960966143	111.555816	309.852832	64.4115419	1734.73076	1424.87793	0	0	0	0	0	3
9	9	0	0.108108691	104.404924	287.025287	64.4115419	1734.73076	1447.70548	0	0	0	0	0	3
10	10	0	0.120120768	116.321343	269.954893	64.4115419	1734.73076	1464.77587	0	0	0	0	0	3
11	11	0	0.132132845	96.6395998	254.198957	64.4115419	1734.73076	1480.53181	0	0	0	0	0	3
12	11	0	0.144144922	111.657714	242.32052	64.4115419	1734.73076	1492.41024	0	0	0	0	0	3
13	12	0	0.156156998	92.8252482	230.820884	64.4115419	1734.73076	1503.90988	0	0	0	0	0	3
14	13	0	0.168169075	105.695677	221.883369	64.4115419	1734.73076	1512.84739	0	0	0	0	0	3
15	13	0	0.180181152	91.9436029	213.220718	64.4115419	1734.73076	1521.51005	0	0	0	0	0	3
16	14	0	0.192193229	100.462146	206.173307	64.4115419	1734.73076	1528.55746	0	0	0	0	0	3
17	15	0	0.204205305	92.3042793	199.475129	64.4115419	1734.73076	1535.25563	0	0	0	0	0	3
18	16	0	0.216217382	96.9065854	193.776877	64.4115419	1734.73076	1540.95389	0	0	0	0	0	3
19	16	0	0.228229459	93.7352492	188.511528	64.4115419	1734.73076	1546.21924	0	0	0	0	0	3
20	17	0	0.240241536	95.703707	183.871137	64.4115419	1734.73076	1550.85963	0	0	0	0	0	3
21	18	0	0.252253613	93.4466137	179.565207	64.4115419	1734.73076	1555.16556	0	0	0	0	0	3
22	19	0	0.264265689	92.6314657	175.613673	64.4115419	1734.73076	1559.11709	0	0	0	0	0	3
23	19	0	0.276277766	92.0475869	171.980365	64.4115419	1734.73076	1562.7504	0	0	0	0	0	3
24	20	0	0.288289843	93.2841569	168.701357	64.4115419	1734.73076	1566.02941	0	0	0	0	0	3
25	21	0	0.30030192	94.3272801	165.726393	64.4115419	1734.73076	1569.00437	0	0	0	0	0	3
26	22	0	0.312313997	95.6765381	163.032168	64.4115419	1734.73076	1571.6986	0	0	0	0	0	3
27	22	0	0.324326073	96.524068	160.568905	64.4115419	1734.73076	1574.16186	0	0	0	0	0	3
28	23	0	0.33633815	97.0302983	158.299669	64.4115419	1734.73076	1576.43109	0	0	0	0	0	3
29	24	0	0.348350227	96.9623182	156.184588	64.4115419	1734.73076	1578.54618	0	0	0	0	0	3
30	25	0	0.360362304	96.8036982	154.205225	64.4115419	1734.73076	1580.52554	0	0	0	0	0	3
31	25	0	0.372374381	96.3709341	152.339603	64.4115419	1734.73076	1582.39116	0	0	0	0	0	3
32	26	0	0.384386457	95.8915323	150.575601	64.4115419	1734.73076	1584.15516	0	0	0	0	0	3
33	27	0	0.396398534	97.2862939	148.960773	64.4115419	1734.73076	1585.76999	0	0	0	0	0	3
34	28	0	0.408410611	97.9126096	147.459357	64.4115419	1734.73076	1587.27141	0	0	0	0	0	3
35	29	0	0.420422688	98.5383741	146.061614	64.4115419	1734.73076	1588.66915	0	0	0	0	0	3
36	30	0	0.432434765	98.1947016	144.731978	64.4115419	1734.73076	1589.99879	0	0	0	0	0	3
37	31	0	0.444446841	97.3447707	143.451243	64.4115419	1734.73076	1591.27952	0	0	0	0	0	3
38	31	0	0.456458918	97.3493148	142.238034	64.4115419	1734.73076	1592.49273	0	0	0	0	0	3
39	32	0	0.468470995	97.059465	141.079609	64.4115419	1734.73076	1593.65115	0	0	0	0	0	3
40	33	0	0.480483072	97.5767887	139.992039	64.4115419	1734.73076	1594.73872	0	0	0	0	0	3
41	34	0	0.492495148	97.4960922	138.955552	64.4115419	1734.73076	1595.77521	0	0	0	0	0	3
42	35	0	0.504507225	98.477052	137.991778	64.4115419	1734.73076	1596.73899	0	0	0	0	0	3
