Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120120768	686.493579	686.493579	686.493579	686.493579	0	0	0	0	0	0	3
2	4	0	0.0240241536	80.8905259	383.692052	80.8905259	686.493579	302.801527	0	0	0	0	0	3
3	5	0	0.0360362304	34.8707382	267.418281	34.8707382	686.493579	419.075298	0	0	0	0	0	3
4	6	0	0.0480483072	6.81599026	202.267708	6.81599026	686.493579	484.225871	0	0	0	0	0	3
5	6	0	0.060060384	21.7933096	166.172829	6.81599026	686.493579	520.32075	0	0	0	0	0	3
6	7	0	0.0720724608	9.91229332	140.129406	6.81599026	686.493579	546.364173	0	0	0	0	0	3
7	8	0	0.0840845375	16.6606239	122.491009	6.81599026	686.493579	564.00257	0	0	0	0	0	3
8	8	0	0.0960966143	10.0210307	108.432261	6.81599026	686.493579	578.061318	0	0	0	0	0	3
9	9	0	0.108108691	15.135519	98.0659567	6.81599026	686.493579	588.427622	0	0	0	0	0	3
10	10	0	0.120120768	8.73112568	89.1324736	6.81599026	686.493579	597.361105	0	0	0	0	0	3
11	11	0	0.132132845	11.1115299	82.0396605	6.81599026	686.493579	604.453919	0	0	0	0	0	3
12	11	0	0.144144922	7.31682583	75.8127576	6.81599026	686.493579	610.680821	0	0	0	0	0	3
13	12	0	0.156156998	8.7363242	70.653032	6.81599026	686.493579	615.840547	0	0	0	0	0	3
14	13	0	0.168169075	6.11285694	66.0430195	6.11285694	686.493579	620.45056	0	0	0	0	0	3
15	13	0	0.180181152	8.07691237	62.1786123	6.11285694	686.493579	624.314967	0	0	0	0	0	3
16	14	0	0.192193229	5.52458565	58.6377357	5.52458565	686.493579	627.855843	0	0	0	0	0	3
17	15	0	0.204205305	6.54606779	55.5735199	5.52458565	686.493579	630.920059	0	0	0	0	0	3
18	16	0	0.216217382	3.81118058	52.6978344	3.81118058	686.493579	633.795745	0	0	0	0	0	3
19	16	0	0.228229459	5.11363785	50.193403	3.81118058	686.493579	636.300176	0	0	0	0	0	3
20	17	0	0.240241536	3.06254385	47.83686	3.06254385	686.493579	638.656719	0	0	0	0	0	3
21	18	0	0.252253613	3.17563176	45.7101349	3.06254385	686.493579	640.783444	0	0	0	0	0	3
22	19	0	0.264265689	1.94408069	43.7207688	1.94408069	686.493579	642.77281	0	0	0	0	0	3
23	19	0	0.276277766	2.38051298	41.9233664	1.94408069	686.493579	644.570213	0	0	0	0	0	3
24	20	0	0.288289843	1.15244967	40.2245782	1.15244967	686.493579	646.269001	0	0	0	0	0	3
25	21	0	0.30030192	1.54850011	38.677535	1.15244967	686.493579	647.816044	0	0	0	0	0	3
26	22	0	0.312313997	0.883189474	37.2239064	0.883189474	686.493579	649.269673	0	0	0	0	0	3
27	22	0	0.324326073	0.495420163	35.8635921	0.495420163	686.493579	650.629987	0	0	0	0	0	3
28	23	0	0.33633815	0.413975593	34.5975343	0.413975593	686.493579	651.896045	0	0	0	0	0	3
29	24	0	0.348350227	-0.0278803336	33.4035545	-0.0278803336	686.493579	653.090025	0	0	0	0	0	3
30	25	0	0.360362304	-0.303763495	32.2799772	-0.303763495	686.493579	654.213602	0	0	0	0	0	3
31	25	0	0.372374381	-0.210453436	31.2318988	-0.303763495	686.493579	655.26168	0	0	0	0	0	3
32	26	0	0.384386457	-0.373104699	30.2442425	-0.373104699	686.493579	656.249337	0	0	0	0	0	3
33	27	0	0.396398534	-0.556422851	29.310889	-0.556422851	686.493579	657.18269	0	0	0	0	0	3
34	28	0	0.408410611	-0.906991346	28.4221278	-0.906991346	686.493579	658.071451	0	0	0	0	0	3
35	29	0	0.420422688	-1.27805047	27.5735513	-1.27805047	686.493579	658.920028	0	0	0	0	0	3
36	30	0	0.432434765	-1.35179642	26.7700694	-1.35179642	686.493579	659.72351	0	0	0	0	0	3
37	31	0	0.444446841	-1.64338579	26.0021382	-1.64338579	686.493579	660.491441	0	0	0	0	0	3
38	31	0	0.456458918	-1.55037937	25.2770719	-1.64338579	686.493579	661.216507	0	0	0	0	0	3
39	32	0	0.468470995	-1.8849284	24.5806104	-1.8849284	686.493579	661.912969	0	0	0	0	0	3
40	33	0	0.480483072	-1.94988874	23.9173479	-1.94988874	686.493579	662.576231	0	0	0	0	0	3
41	34	0	0.492495148	-1.87495101	23.2882674	-1.94988874	686.493579	663.205312	0	0	0	0	0	3
42	35	0	0.504507225	-2.01080712	22.6859085	-2.01080712	686.493579	663.807671	0	0	0	0	0	3
43	36	0	0.516519302	-2.3876309	6.28397495	-2.3876309	80.8905259	83.2781568	0	0	0	0	0	3
44	37	0	0.528531379	-2.33495195	4.30241595	-2.3876309	34.8707382	37.2583691	0	0	0	0	0	3
45	37	0	0.540543456	-2.55725326	3.41127329	-2.55725326	21.7933096	24.3505629	0	0	0	0	0	3
46	38	0	0.552555532	-2.31529957	3.19386163	-2.55725326	21.7933096	24.3505629	0	0	0	0	0	3
47	39	0	0.564567609	-2.38228394	2.61825226	-2.55725326	16.6606239	19.2178771	0	0	0	0	0	3
48	40	0	0.576579686	-2.12656916	2.33161268	-2.55725326	16.6606239	19.2178771	0	0	0	0	0	3
49	41	0	0.588591763	-2.13332553	1.88413769	-2.55725326	15.135519	17.6927723	0	0	0	0	0	3
50	41	0	0.60060384	-1.84616787	1.60158535	-2.55725326	15.135519	17.6927723	0	0	0	0	0	3
51	42	0	0.612615916	-2.1470589	1.19009539	-2.55725326	11.1115299	13.6687832	0	0	0	0	0	3
52	43	0	0.624627993	-1.91978589	0.936502262	-2.55725326	11.1115299	13.6687832	0	0	0	0	0	3
53	44	0	0.63664007	-2.26666804	0.617973739	-2.55725326	8.7363242	11.2935775	0	0	0	0	0	3
54	45	0	0.648652147	-2.16511712	0.392213192	-2.55725326	8.7363242	11.2935775	0	0	0	0	0	3
55	45	0	0.660664224	-2.46858567	0.125429624	-2.55725326	8.07691237	10.6341656	0	0	0	0	0	3
56	46	0	0.6726763	-2.28304604	-0.0744728281	-2.55725326	8.07691237	10.6341656	0	0	0	0	0	3
57	47	0	0.684688377	-2.54594271	-0.327397949	-2.55725326	6.54606779	9.10332105	0	0	0	0	0	3
58	48	0	0.696700454	-2.44790303	-0.517219108	-2.55725326	6.54606779	9.10332105	0	0	0	0	0	3
59	48	0	0.708712531	-2.83212578	-0.740509431	-2.83212578	5.11363785	7.94576364	0	0	0	0	0	3
60	49	0	0.720724608	-2.84796523	-0.899060522	-2.84796523	5.11363785	7.96160308	0	0	0	0	0	3
61	50	0	0.732736684	-3.18347484	-1.09661082	-3.18347484	3.17563176	6.3591066	0	0	0	0	0	3
62	51	0	0.744748761	-3.14388849	-1.24438302	-3.18347484	3.17563176	6.3591066	0	0	0	0	0	3
63	51	0	0.756760838	-3.14266297	-1.39481861	-3.18347484	2.38051298	5.56398782	0	0	0	0	0	3
64	52	0	0.768772915	-2.86028908	-1.50920837	-3.18347484	2.38051298	5.56398782	0	0	0	0	0	3
65	53	0	0.780784991	-2.91907073	-1.63538893	-3.18347484	1.54850011	4.73197495	0	0	0	0	0	3
66	54	0	0.792797068	-2.7148148	-1.72746666	-3.18347484	1.54850011	4.73197495	0	0	0	0	0	3
67	54	0	0.804809145	-2.6599624	-1.82766815	-3.18347484	0.883189474	4.06666431	0	0	0	0	0	3
68	55	0	0.816821222	-2.51244176	-1.90851651	-3.18347484	0.495420163	3.678895	0	0	0	0	0	3
69	56	0	0.828833299	-2.32928035	-1.97577128	-3.18347484	0.413975593	3.59745043	0	0	0	0	0	3
70	57	0	0.840845375	-2.24594823	-2.0391028	-3.18347484	-0.0278803336	3.15559451	0	0	0	0	0	3
71	58	0	0.852857452	-2.33804454	-2.09410671	-3.18347484	-0.210453436	2.9730214	0	0	0	0	0	3
72	58	0	0.864869529	-2.2744897	-2.14102877	-3.18347484	-0.210453436	2.9730214	0	0	0	0	0	3
73	59	0	0.876881606	-2.36149787	-2.19224411	-3.18347484	-0.373104699	2.81037014	0	0	0	0	0	3
74	60	0	0.888893683	-2.49375783	-2.24273585	-3.18347484	-0.556422851	2.62705199	0	0	0	0	0	3
75	61	0	0.900905759	-2.87959776	-2.29804954	-3.18347484	-0.906991346	2.27648349	0	0	0	0	0	3
76	61	0	0.912917836	-3.05047149	-2.34908478	-3.18347484	-1.27805047	1.90542437	0	0	0	0	0	3
77	62	0	0.924929913	-3.51877134	-2.40243528	-3.51877134	-1.35179642	2.16697492	0	0	0	0	0	3
78	63	0	0.93694199	-3.2539933	-2.44772568	-3.51877134	-1.55037937	1.96839197	0	0	0	0	0	3
79	64	0	0.948954067	-3.34468843	-2.48823288	-3.51877134	-1.55037937	1.96839197	0	0	0	0	0	3
80	64	0	0.960966143	-3.26475927	-2.52905145	-3.51877134	-1.84616787	1.67260347	0	0	0	0	0	3
81	65	0	0.97297822	-3.55457845	-2.56880503	-3.55457845	-1.84616787	1.70841058	0	0	0	0	0	3
82	66	0	0.984990297	-3.37971204	-2.60284844	-3.55457845	-1.84616787	1.70841058	0	0	0	0	0	3
83	67	0	0.997002374	-3.45817187	-2.64054417	-3.55457845	-1.84616787	1.70841058	0	0	0	0	0	3
84	67	0	1.00901445	-3.0779021	-2.6659512	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
85	68	0	1.02102653	-3.2037198	-2.68538188	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
86	69	0	1.0330386	-3.03272508	-2.70199553	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
87	70	0	1.04505068	-3.06403989	-2.71406188	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
88	71	0	1.05706276	-3.08244397	-2.73232722	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
89	71	0	1.06907483	-3.39000479	-2.75632058	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
90	72	0	1.08108691	-3.27090605	-2.78356669	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
91	73	0	1.09309899	-3.28311007	-2.81094251	-3.55457845	-1.84616787	1.70841058	1.1527595	0	67.4	0	0	3
92	74	0	1.10511106	-2.79731872	-2.83358896	-3.55457845	-1.91978589	1.63479256	1.1527595	0	70.5	0	0	3
93	74	0	1.11712314	-2.98275178	-2.85348641	-3.55457845	-1.91978589	1.63479256	1.1527595	0	70.5	0	0	3
94	75	0	1.12913522	-2.53507746	-2.86813621	-3.55457845	-2.16511712	1.38946133	1.1527595	0	82.9	0	0	3
95	76	0	1.1411473	-2.4859793	-2.87335791	-3.55457845	-2.16511712	1.38946133	1.1527595	0	82.9	0	0	3
96	77	0	1.15315937	-2.19970896	-2.87418152	-3.55457845	-2.19970896	1.3548695	1.1527595	0	85	0	0	3
97	77	0	1.16517145	-1.99151876	-2.86282279	-3.55457845	-1.99151876	1.56305969	1.1527595	0	73.7	0	0	3
98	78	0	1.17718353	-1.69556238	-2.84883508	-3.55457845	-1.69556238	1.85901607	1.1527595	0	62	0	0	3
99	79	0	1.1891956	-1.89492079	-2.83333456	-3.55457845	-1.69556238	1.85901607	1.1527595	0	62	0	0	3
100	80	0	1.20120768	-1.95273327	-2.8215448	-3.55457845	-1.69556238	1.85901607	1.1527595	0	62	0	0	3
101	81	0	1.21321976	-2.44372288	-2.81229712	-3.55457845	-1.69556238	1.85901607	1.1527595	0	62	0	0	3
102	82	0	1.22523183	-2.43239431	-2.80240257	-3.55457845	-1.69556238	1.7775707	1.1527595	0	64.8	0	0	3
103	83	0	1.23724391	-2.91618735	-2.79603858	-3.55457845	-1.69556238	1.6297985	1.1527595	0	70.7	0	0	3
104	84	0	1.24925599	-2.99700653	-2.79254139	-3.55457845	-1.69556238	1.47936291	1.1527595	0	77.9	0	0	3
105	85	0	1.26126806	-3.22504286	-2.79450282	-3.55457845	-1.69556238	1.36497316	1.1527595	0	84.4	0	0	3
106	86	0	1.27328014	-3.30466415	-2.80508318	-3.55457845	-1.69556238	1.23879259	1.1527595	0	93	0	0	3
107	87	0	1.28529222	-3.55564323	-2.82023966	-3.55564323	-1.69556238	1.14671487	1.1527595	0	100	0	0	3
108	88	0	1.29730429	-3.55141233	-2.84015865	-3.55564323	-1.69556238	1.04651338	1.1527595	0	100	0	0	3
109	88	0	1.30931637	-3.69109846	-2.86470951	-3.69109846	-1.69556238	0.965665014	1.1527595	0	100	0	0	3
110	89	0	1.32132845	-3.28349483	-2.88306792	-3.69109846	-1.69556238	0.907296635	1.1527595	0	100	0	0	3
111	90	0	1.33334052	-3.23745688	-2.90469117	-3.69109846	-1.69556238	0.865588366	1.1527595	0	100	0	0	3
112	91	0	1.3453526	-2.87106738	-2.91957496	-3.69109846	-1.69556238	0.825468246	1.1527595	0	100	0	0	3
113	92	0	1.35736468	-2.8917169	-2.93275763	-3.69109846	-1.69556238	0.791728868	1.1527595	0	100	0	0	3
114	93	0	1.36937675	-2.38607578	-2.93541445	-3.69109846	-1.69556238	0.743170336	1.1527595	0	100	0	0	3
115	94	0	1.38138883	-2.28811219	-2.93366717	-3.69109846	-1.69556238	0.692678595	1.1527595	0	100	0	0	3
