Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120120768	384.084315	384.084315	384.084315	384.084315	0	0	0	0	0	0	3
2	4	0	0.0240241536	12.7531205	198.418718	12.7531205	384.084315	185.665597	0	0	0	0	0	3
3	5	0	0.0360362304	14.0875796	136.975005	12.7531205	384.084315	247.10931	0	0	0	0	0	3
4	6	0	0.0480483072	22.6276787	108.388173	12.7531205	384.084315	275.696142	0	0	0	0	0	3
5	6	0	0.060060384	20.0698798	90.7245147	12.7531205	384.084315	293.3598	0	0	0	0	0	3
6	7	0	0.0720724608	20.2203772	78.9738251	12.7531205	384.084315	305.11049	0	0	0	0	0	3
7	8	0	0.0840845375	13.8488548	69.6702579	12.7531205	384.084315	314.414057	0	0	0	0	0	3
8	8	0	0.0960966143	19.1350894	63.3533619	12.7531205	384.084315	320.730953	0	0	0	0	0	3
9	9	0	0.108108691	12.1085311	57.6594918	12.1085311	384.084315	326.424823	0	0	0	0	0	3
10	10	0	0.120120768	18.3484585	53.7283885	12.1085311	384.084315	330.355927	0	0	0	0	0	3
11	11	0	0.132132845	9.49091426	49.7067999	9.49091426	384.084315	334.377515	0	0	0	0	0	3
12	11	0	0.144144922	13.4308413	46.6838033	9.49091426	384.084315	337.400512	0	0	0	0	0	3
13	12	0	0.156156998	9.30069909	43.8081799	9.30069909	384.084315	340.276135	0	0	0	0	0	3
14	13	0	0.168169075	11.0254457	41.4665561	9.30069909	384.084315	342.617759	0	0	0	0	0	3
15	13	0	0.180181152	8.29811132	39.2553264	8.29811132	384.084315	344.828989	0	0	0	0	0	3
16	14	0	0.192193229	11.209702	37.5024749	8.29811132	384.084315	346.58184	0	0	0	0	0	3
17	15	0	0.204205305	7.58861367	35.742836	7.58861367	384.084315	348.341479	0	0	0	0	0	3
18	16	0	0.216217382	9.05272433	34.260052	7.58861367	384.084315	349.824263	0	0	0	0	0	3
19	16	0	0.228229459	7.23792204	32.8378346	7.23792204	384.084315	351.24648	0	0	0	0	0	3
20	17	0	0.240241536	8.5023075	31.6210583	7.23792204	384.084315	352.463257	0	0	0	0	0	3
21	18	0	0.252253613	6.54657496	30.4270353	6.54657496	384.084315	353.65728	0	0	0	0	0	3
22	19	0	0.264265689	6.12876365	29.3225684	6.12876365	384.084315	354.761747	0	0	0	0	0	3
23	19	0	0.276277766	4.99018081	28.2646385	4.99018081	384.084315	355.819677	0	0	0	0	0	3
24	20	0	0.288289843	6.16369993	27.343766	4.99018081	384.084315	356.740549	0	0	0	0	0	3
25	21	0	0.30030192	5.3060409	26.462257	4.99018081	384.084315	357.622058	0	0	0	0	0	3
26	22	0	0.312313997	5.99422948	25.6750252	4.99018081	384.084315	358.40929	0	0	0	0	0	3
27	22	0	0.324326073	5.55931595	24.9299989	4.99018081	384.084315	359.154316	0	0	0	0	0	3
28	23	0	0.33633815	6.51001823	24.2721425	4.99018081	384.084315	359.812173	0	0	0	0	0	3
29	24	0	0.348350227	6.2398707	23.65034	4.99018081	384.084315	360.433975	0	0	0	0	0	3
30	25	0	0.360362304	6.19984641	23.0686569	4.99018081	384.084315	361.015658	0	0	0	0	0	3
31	25	0	0.372374381	6.33240741	22.5287779	4.99018081	384.084315	361.555537	0	0	0	0	0	3
32	26	0	0.384386457	6.54044957	22.0291426	4.99018081	384.084315	362.055172	0	0	0	0	0	3
33	27	0	0.396398534	7.08425727	21.5762673	4.99018081	384.084315	362.508048	0	0	0	0	0	3
34	28	0	0.408410611	6.68835687	21.1383876	4.99018081	384.084315	362.945927	0	0	0	0	0	3
35	29	0	0.420422688	6.73156509	20.7267641	4.99018081	384.084315	363.357551	0	0	0	0	0	3
36	30	0	0.432434765	6.46857791	20.3307034	4.99018081	384.084315	363.753612	0	0	0	0	0	3
37	31	0	0.444446841	6.07240626	19.945344	4.99018081	384.084315	364.138971	0	0	0	0	0	3
38	31	0	0.456458918	6.06538254	19.5800818	4.99018081	384.084315	364.504233	0	0	0	0	0	3
39	32	0	0.468470995	5.66793267	19.2233601	4.99018081	384.084315	364.860955	0	0	0	0	0	3
40	33	0	0.480483072	6.13488155	18.8961481	4.99018081	384.084315	365.188167	0	0	0	0	0	3
41	34	0	0.492495148	6.23169476	18.587259	4.99018081	384.084315	365.497056	0	0	0	0	0	3
42	35	0	0.504507225	6.31892954	18.2951559	4.99018081	384.084315	365.789159	0	0	0	0	0	3
43	36	0	0.516519302	6.75005517	9.31100686	4.99018081	22.6276787	17.6374979	0	0	0	0	0	3
44	37	0	0.528531379	6.55522158	9.16343784	4.99018081	22.6276787	17.6374979	0	0	0	0	0	3
45	37	0	0.540543456	7.00586466	8.99482558	4.99018081	22.6276787	17.6374979	0	0	0	0	0	3
46	38	0	0.552555532	6.71186361	8.6158776	4.99018081	20.2203772	15.2301964	0	0	0	0	0	3
47	39	0	0.564567609	6.99759748	8.30463279	4.99018081	20.2203772	15.2301964	0	0	0	0	0	3
48	40	0	0.576579686	6.70612739	7.98286494	4.99018081	19.1350894	14.1449086	0	0	0	0	0	3
49	41	0	0.588591763	7.0623625	7.82128179	4.99018081	19.1350894	14.1449086	0	0	0	0	0	3
50	41	0	0.60060384	6.96119368	7.53142713	4.99018081	18.3484585	13.3582777	0	0	0	0	0	3
51	42	0	0.612615916	6.93171653	7.40816964	4.99018081	18.3484585	13.3582777	0	0	0	0	0	3
52	43	0	0.624627993	6.55988753	7.12748938	4.99018081	13.4308413	8.44066047	0	0	0	0	0	3
53	44	0	0.63664007	6.22099777	7.04963422	4.99018081	13.4308413	8.44066047	0	0	0	0	0	3
54	45	0	0.648652147	6.17847409	6.87695881	4.99018081	11.209702	6.21952124	0	0	0	0	0	3
55	45	0	0.660664224	6.47975257	6.80979342	4.99018081	11.209702	6.21952124	0	0	0	0	0	3
56	46	0	0.6726763	6.46539275	6.70122073	4.99018081	11.209702	6.21952124	0	0	0	0	0	3
57	47	0	0.684688377	6.86704333	6.66714768	4.99018081	11.209702	6.21952124	0	0	0	0	0	3
58	48	0	0.696700454	6.81041374	6.56240272	4.99018081	9.05272433	4.06254352	0	0	0	0	0	3
59	48	0	0.708712531	6.99422369	6.54825058	4.99018081	9.05272433	4.06254352	0	0	0	0	0	3
60	49	0	0.720724608	6.86547133	6.49617313	4.99018081	8.5023075	3.51212669	0	0	0	0	0	3
61	50	0	0.732736684	6.92119751	6.48863207	4.99018081	8.5023075	3.51212669	0	0	0	0	0	3
62	51	0	0.744748761	6.64217476	6.44434319	4.99018081	7.08425727	2.09407647	0	0	0	0	0	3
63	51	0	0.756760838	6.81205663	6.45066419	4.99018081	7.08425727	2.09407647	0	0	0	0	0	3
