Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120097459	101326.228	101326.228	101326.228	101326.228	0	0	0	0	0	0	3
2	4	0	0.0240194918	101324.976	101325.602	101324.976	101326.228	0.626043878	0	0	0	0	0	3
3	5	0	0.0360292377	101325.152	101325.452	101324.976	101326.228	0.776036162	0	0	0	0	0	3
4	5	0	0.0480389836	101325.064	101325.355	101324.976	101326.228	0.873036187	0	0	0	0	0	3
5	6	0	0.0600487295	101325.094	101325.303	101324.976	101326.228	0.92517993	0	0	0	0	0	3
6	7	0	0.0720584754	101325.064	101325.263	101324.976	101326.228	0.964943601	0	0	0	0	0	3
7	7	0	0.0840682213	101325.099	101325.24	101324.976	101326.228	0.988430826	0	0	0	0	0	3
8	8	0	0.0960779672	101325.072	101325.219	101324.976	101326.228	1.00939165	0	0	0	0	0	3
9	9	0	0.108087713	101325.099	101325.205	101324.976	101326.228	1.02274575	0	0	0	0	0	3
10	9	0	0.120097459	101325.07	101325.192	101324.976	101326.228	1.03629315	0	0	0	0	0	3
11	10	0	0.132107205	101325.092	101325.183	101324.976	101326.228	1.04534857	0	0	0	0	0	3
12	11	0	0.144116951	101325.068	101325.173	101324.976	101326.228	1.05495012	0	0	0	0	0	3
13	11	0	0.156126697	101325.086	101325.166	101324.976	101326.228	1.06166644	0	0	0	0	0	3
14	12	0	0.168136443	101325.064	101325.159	101324.976	101326.228	1.06896526	0	0	0	0	0	3
15	13	0	0.180146189	101325.079	101325.154	101324.976	101326.228	1.07433358	0	0	0	0	0	3
16	13	0	0.192155934	101325.063	101325.148	101324.976	101326.228	1.0800276	0	0	0	0	0	3
17	14	0	0.20416568	101325.066	101325.143	101324.976	101326.228	1.08483339	0	0	0	0	0	3
18	15	0	0.216175426	101325.059	101325.139	101324.976	101326.228	1.08954272	0	0	0	0	0	3
