Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0120097459
2	4	0	0.0240194918
3	5	0	0.0360292377
4	5	0	0.0480389836
5	6	0	0.0600487295
6	7	0	0.0720584754
7	7	0	0.0840682213
8	8	0	0.0960779672
9	9	0	0.108087713
10	9	0	0.120097459
11	10	0	0.132107205
12	11	0	0.144116951
13	11	0	0.156126697
14	12	0	0.168136443
15	13	0	0.180146189
16	13	0	0.192155934
17	14	0	0.20416568
18	15	0	0.216175426
19	16	0	0.228185172
20	16	0	0.240194918
21	17	0	0.252204664
22	18	0	0.26421441
23	18	0	0.276224156
24	19	0	0.288233902
25	20	0	0.300243648
26	21	0	0.312253393
27	21	0	0.324263139
28	22	0	0.336272885
29	23	0	0.348282631
30	23	0	0.360292377
31	24	0	0.372302123
32	25	0	0.384311869
33	26	0	0.396321615
34	26	0	0.408331361
35	27	0	0.420341107
36	28	0	0.432350852
37	29	0	0.444360598
38	30	0	0.456370344
39	30	0	0.46838009
40	31	0	0.480389836
41	32	0	0.492399582
42	33	0	0.504409328
43	34	0	0.516419074
44	34	0	0.52842882
45	35	0	0.540438566
46	36	0	0.552448311
47	37	0	0.564458057
48	38	0	0.576467803
49	38	0	0.588477549
50	39	0	0.600487295
51	40	0	0.612497041
52	41	0	0.624506787
53	41	0	0.636516533
54	42	0	0.648526279
55	43	0	0.660536025
56	44	0	0.67254577
57	45	0	0.684555516
58	45	0	0.696565262
59	46	0	0.708575008
60	47	0	0.720584754
61	48	0	0.7325945
62	48	0	0.744604246
63	49	0	0.756613992
64	50	0	0.768623738
65	51	0	0.780633484
66	52	0	0.79264323
67	52	0	0.804652975
68	53	0	0.816662721
69	54	0	0.828672467
70	55	0	0.840682213
71	56	0	0.852691959
72	56	0	0.864701705
73	57	0	0.876711451
74	58	0	0.888721197
75	59	0	0.900730943
76	60	0	0.912740689
77	60	0	0.924750434
78	61	0	0.93676018
79	62	0	0.948769926
80	63	0	0.960779672
81	63	0	0.972789418
82	64	0	0.984799164
83	65	0	0.99680891
84	66	0	1.00881866
85	66	0	1.0208284
86	67	0	1.03283815
87	68	0	1.04484789
88	69	0	1.05685764
89	69	0	1.06886739
90	70	0	1.08087713
91	71	0	1.09288688
92	72	0	1.10489662
93	73	0	1.11690637
94	73	0	1.12891611
95	74	0	1.14092586
96	75	0	1.15293561
97	76	0	1.16494535
98	76	0	1.1769551
99	77	0	1.18896484
100	78	0	1.20097459
101	79	0	1.21298434
102	80	0	1.22499408
103	81	0	1.23700383
104	82	0	1.24901357
105	82	0	1.26102332
106	83	0	1.27303307
107	84	0	1.28504281
108	85	0	1.29705256
109	85	0	1.3090623
110	86	0	1.32107205
111	87	0	1.3330818
112	88	0	1.34509154
113	89	0	1.35710129
114	89	0	1.36911103
115	90	0	1.38112078
116	91	0	1.39313052
117	92	0	1.40514027
118	92	0	1.41715002
119	93	0	1.42915976
