Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120116327	293.199984	293.199984	293.199984	293.199984	0	0	0	0	0	0	3
2	4	0	0.0240232653	293.199968	293.199976	293.199968	293.199984	8.17641518e-06	0	0	0	0	0	3
3	5	0	0.036034898	293.199966	293.199973	293.199966	293.199984	1.13832743e-05	0	0	0	0	0	3
4	5	0	0.0480465307	293.199961	293.19997	293.199961	293.199984	1.41640837e-05	0	0	0	0	0	3
5	6	0	0.0600581634	293.199957	293.199967	293.199957	293.199984	1.66910355e-05	0	0	0	0	0	3
6	7	0	0.072069796	293.199949	293.199964	293.199949	293.199984	1.97379652e-05	0	0	0	0	0	3
7	7	0	0.0840814287	293.19994	293.199961	293.19994	293.199984	2.32212209e-05	0	0	0	0	0	3
8	8	0	0.0960930614	293.19993	293.199957	293.19993	293.199984	2.70166212e-05	0	0	0	0	0	3
9	9	0	0.108104694	293.199922	293.199953	293.199922	293.199984	3.09172619e-05	0	0	0	0	0	3
10	9	0	0.120116327	293.199913	293.199949	293.199913	293.199984	3.48738338e-05	0	0	0	0	0	3
11	10	0	0.132127959	293.199903	293.199945	293.199903	293.199984	3.90162641e-05	0	0	0	0	0	3
12	11	0	0.144139592	293.199894	293.199941	293.199894	293.199984	4.32366836e-05	0	0	0	0	0	3
13	12	0	0.156151225	293.199886	293.199936	293.199886	293.199984	4.74421582e-05	0	0	0	0	0	3
14	12	0	0.168162857	293.199878	293.199932	293.199878	293.199984	5.160337e-05	0	0	0	0	0	3
15	13	0	0.18017449	293.199872	293.199928	293.199872	293.199984	5.56538355e-05	0	0	0	0	0	3
16	14	0	0.192186123	293.199862	293.199924	293.199862	293.199984	5.97949732e-05	0	0	0	0	0	3
17	14	0	0.204197755	293.199854	293.19992	293.199854	293.199984	6.39323118e-05	0	0	0	0	0	3
18	15	0	0.216209388	293.199846	293.199916	293.199846	293.199984	6.80636039e-05	0	0	0	0	0	3
19	16	0	0.228221021	293.199838	293.199912	293.199838	293.199984	7.21663471e-05	0	0	0	0	0	3
20	17	0	0.240232653	293.19983	293.199908	293.19983	293.199984	7.62526952e-05	0	0	0	0	0	3
21	17	0	0.252244286	293.199817	293.199903	293.199817	293.199984	8.05558001e-05	0	0	0	0	0	3
22	18	0	0.264255919	293.199804	293.199899	293.199804	293.199984	8.50842191e-05	0	0	0	0	0	3
23	19	0	0.276267551	293.199789	293.199894	293.199789	293.199984	8.9880394e-05	0	0	0	0	0	3
24	20	0	0.288279184	293.199773	293.199889	293.199773	293.199984	9.49396041e-05	0	0	0	0	0	3
25	20	0	0.300290817	293.199755	293.199884	293.199755	293.199984	0.000100299318	0	0	0	0	0	3
26	21	0	0.31230245	293.199726	293.199878	293.199726	293.199984	0.000106375166	0	0	0	0	0	3
27	22	0	0.324314082	293.199693	293.199871	293.199693	293.199984	0.000113202598	0	0	0	0	0	3
28	23	0	0.336325715	293.199658	293.199863	293.199658	293.199984	0.000120814624	0	0	0	0	0	3
29	23	0	0.348337348	293.199619	293.199855	293.199619	293.199984	0.000129228065	0	0	0	0	0	3
30	24	0	0.36034898	293.19958	293.199845	293.19958	293.199984	0.000138399687	0	0	0	0	0	3
31	25	0	0.372360613	293.199522	293.199835	293.199522	293.199984	0.000148847304	0	0	0	0	0	3
32	26	0	0.384372246	293.199468	293.199824	293.199468	293.199984	0.000160312584	0	0	0	0	0	3
33	26	0	0.396383878	293.199422	293.199811	293.199422	293.199984	0.000172468858	0	0	0	0	0	3
34	27	0	0.408395511	293.199385	293.199799	293.199385	293.199984	0.000185006058	0	0	0	0	0	3
35	28	0	0.420407144	293.199359	293.199786	293.199359	293.199984	0.000197579379	0	0	0	0	0	3
36	29	0	0.432418776	293.199336	293.199774	293.199336	293.199984	0.000210077968	0	0	0	0	0	3
37	29	0	0.444430409	293.199328	293.199762	293.199328	293.199984	0.000222139049	0	0	0	0	0	3
38	30	0	0.456442042	293.199326	293.19975	293.199326	293.199984	0.000233617772	0	0	0	0	0	3
39	31	0	0.468453674	293.199328	293.199739	293.199326	293.199984	0.000244451593	0	0	0	0	0	3
40	32	0	0.480465307	293.199331	293.199729	293.199326	293.199984	0.000254663299	0	0	0	0	0	3
41	33	0	0.49247694	293.199335	293.19972	293.199326	293.199984	0.000264283198	0	0	0	0	0	3
42	33	0	0.504488572	293.199336	293.19971	293.199326	293.199984	0.000273410993	0	0	0	0	0	3
43	34	0	0.516500205	293.199336	293.199695	293.199326	293.199968	0.000280650124	0	0	0	0	0	3
44	35	0	0.528511838	293.199336	293.19968	293.199326	293.199966	0.000292475619	0	0	0	0	0	3
45	36	0	0.54052347	293.199336	293.199665	293.199326	293.199961	0.000304706256	0	0	0	0	0	3
46	37	0	0.552535103	293.199335	293.19965	293.199326	293.199957	0.00031710526	0	0	0	0	0	3
47	37	0	0.564546736	293.199335	293.199635	293.199326	293.199949	0.000328876913	0	0	0	0	0	3
48	38	0	0.576558368	293.199334	293.199621	293.199326	293.19994	0.000340038116	0	0	0	0	0	3
49	39	0	0.588570001	293.199335	293.199606	293.199326	293.19993	0.000350646726	0	0	0	0	0	3
50	40	0	0.600581634	293.199334	293.199592	293.199326	293.199922	0.000360942804	0	0	0	0	0	3
51	41	0	0.612593266	293.199333	293.199578	293.199326	293.199913	0.000370994574	0	0	0	0	0	3
52	41	0	0.624604899	293.199334	293.199564	293.199326	293.199903	0.000380647564	0	0	0	0	0	3
53	42	0	0.636616532	293.199333	293.199551	293.199326	293.199894	0.00039001348	0	0	0	0	0	3
54	43	0	0.648628164	293.199333	293.199537	293.199326	293.199886	0.000399162694	0	0	0	0	0	3
55	44	0	0.660639797	293.199332	293.199524	293.199326	293.199878	0.000408190121	0	0	0	0	0	3
56	45	0	0.67265143	293.199333	293.199511	293.199326	293.199872	0.000417124806	0	0	0	0	0	3
57	45	0	0.684663062	293.199331	293.199498	293.199326	293.199862	0.000425841993	0	0	0	0	0	3
58	46	0	0.696674695	293.199332	293.199486	293.199326	293.199854	0.000434318314	0	0	0	0	0	3
59	47	0	0.708686328	293.199331	293.199473	293.199326	293.199846	0.00044262705	0	0	0	0	0	3
60	48	0	0.72069796	293.199332	293.199461	293.199326	293.199838	0.000450754896	0	0	0	0	0	3
61	48	0	0.732709593	293.199331	293.199449	293.199326	293.19983	0.000458739231	0	0	0	0	0	3
62	49	0	0.744721226	293.199332	293.199437	293.199326	293.199817	0.000466304603	0	0	0	0	0	3
63	50	0	0.756732858	293.199331	293.199425	293.199326	293.199804	0.000473364685	0	0	0	0	0	3
64	51	0	0.768744491	293.199331	293.199414	293.199326	293.199789	0.000462934265	0	0	0	0	0	3
65	52	0	0.780756124	293.199331	293.199403	293.199326	293.199773	0.000447029072	0	0	0	0	0	3
66	52	0	0.792767756	293.199331	293.199393	293.199326	293.199755	0.000429398061	0	0	0	0	0	3
67	53	0	0.804779389	293.199331	293.199383	293.199326	293.199726	0.000400059133	0	0	0	0	0	3
68	54	0	0.816791022	293.199331	293.199373	293.199326	293.199693	0.000367614682	0	0	0	0	0	3
69	55	0	0.828802654	293.199331	293.199365	293.199326	293.199658	0.000331991186	0	0	0	0	0	3
70	55	0	0.840814287	293.199331	293.199357	293.199326	293.199619	0.000293526103	0	0	0	0	0	3
71	56	0	0.85282592	293.199331	293.19935	293.199326	293.19958	0.000253953779	0	0	0	0	0	3
72	57	0	0.864837552	293.19933	293.199344	293.199326	293.199522	0.000196054696	0	0	0	0	0	3
73	58	0	0.876849185	293.19933	293.19934	293.199326	293.199468	0.00014259424	0	0	0	0	0	3
74	59	0	0.888860818	293.19933	293.199336	293.199326	293.199422	9.68608624e-05	0	0	0	0	0	3
75	59	0	0.900872451	293.199329	293.199334	293.199326	293.199385	5.95968692e-05	0	0	0	0	0	3
76	60	0	0.912884083	293.199329	293.199333	293.199326	293.199359	3.32582098e-05	0	0	0	0	0	3
77	61	0	0.924895716	293.199329	293.199332	293.199326	293.199336	1.08775694e-05	0	0	0	0	0	3
78	62	0	0.936907349	293.199329	293.199332	293.199326	293.199336	1.08775694e-05	0	0	0	0	0	3
79	63	0	0.948918981	293.199329	293.199332	293.199326	293.199336	1.08775694e-05	0	0	0	0	0	3
80	63	0	0.960930614	293.199328	293.199332	293.199328	293.199336	8.68387394e-06	0	0	0	0	0	3
81	64	0	0.972942247	293.199329	293.199332	293.199328	293.199336	7.99837073e-06	0	0	0	0	0	3
82	65	0	0.984953879	293.199329	293.199332	293.199328	293.199336	7.99837073e-06	0	0	0	0	0	3
83	66	0	0.996965512	293.199328	293.199332	293.199328	293.199336	8.22049225e-06	0	0	0	0	0	3
84	66	0	1.00897714	293.199328	293.199332	293.199328	293.199336	8.59106285e-06	1.92160055e-05	0	0	0	0	3
85	67	0	1.02098878	293.199328	293.199331	293.199328	293.199336	8.33229313e-06	1.92160055e-05	0	0	0	0	3
86	68	0	1.03300041	293.199328	293.199331	293.199328	293.199336	7.76626172e-06	1.92160055e-05	0	0	0	0	3
87	69	0	1.04501204	293.199328	293.199331	293.199328	293.199335	7.1427192e-06	1.92160055e-05	0	0	0	0	3
88	70	0	1.05702368	293.199327	293.199331	293.199327	293.199335	7.31865561e-06	1.92160055e-05	0	0	0	0	3
89	70	0	1.06903531	293.199327	293.199331	293.199327	293.199335	7.73729704e-06	1.92160055e-05	0	0	0	0	3
90	71	0	1.08104694	293.199327	293.19933	293.199327	293.199335	7.73729704e-06	1.92160055e-05	0	0	0	0	3
91	72	0	1.09305857	293.199327	293.19933	293.199327	293.199334	6.97986957e-06	1.92160055e-05	0	0	0	0	3
92	73	0	1.10507021	293.199327	293.19933	293.199327	293.199334	6.93584201e-06	1.92160055e-05	0	0	0	0	3
93	73	0	1.11708184	293.199327	293.19933	293.199327	293.199334	7.3281015e-06	1.92160055e-05	0	0	0	0	3
94	74	0	1.12909347	293.199327	293.19933	293.199327	293.199333	6.66054626e-06	1.92160055e-05	0	0	0	0	3
95	75	0	1.1411051	293.199327	293.19933	293.199327	293.199333	6.66054626e-06	1.92160055e-05	0	0	0	0	3
96	76	0	1.15311674	293.199327	293.199329	293.199327	293.199333	6.14333192e-06	1.92160055e-05	0	0	0	0	3
97	77	0	1.16512837	293.199327	293.199329	293.199327	293.199333	6.14333192e-06	1.92160055e-05	0	0	0	0	3
98	77	0	1.17714	293.199327	293.199329	293.199327	293.199332	5.53304807e-06	1.92160055e-05	0	0	0	0	3
99	78	0	1.18915163	293.199327	293.199329	293.199327	293.199332	5.53304807e-06	1.92160055e-05	0	0	0	0	3
100	79	0	1.20116327	293.199327	293.199329	293.199327	293.199332	5.23842255e-06	1.92160055e-05	0	0	0	0	3
101	80	0	1.2131749	293.199327	293.199329	293.199327	293.199332	5.23842255e-06	1.92160055e-05	0	0	0	0	3
102	81	0	1.22518653	293.199327	293.199329	293.199327	293.199332	4.84944098e-06	1.92160055e-05	0	0	0	0	3
103	82	0	1.23719817	293.199327	293.199329	293.199327	293.199332	4.84944098e-06	1.92160055e-05	0	0	0	0	3
104	83	0	1.2492098	293.199327	293.199329	293.199327	293.199331	4.80662516e-06	1.92160055e-05	0	0	0	0	3
105	83	0	1.26122143	293.199327	293.199328	293.199327	293.199331	4.80662516e-06	1.92160055e-05	0	0	0	0	3
106	84	0	1.27323306	293.199327	293.199328	293.199327	293.199331	4.64455661e-06	1.92160055e-05	0	0	0	0	3
107	85	0	1.2852447	293.199327	293.199328	293.199327	293.199331	4.64455661e-06	1.92160055e-05	0	0	0	0	3
