Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	6.98447757	6.98447757	6.98447757	6.98447757	0	0	0	0	0	0	3
2	4	0	0.0240080746	3.65599222	5.3202349	3.65599222	6.98447757	1.66424268	0	0	0	0	0	3
3	5	0	0.036012112	4.51206785	5.05084588	3.65599222	6.98447757	1.93363169	0	0	0	0	0	3
4	6	0	0.0480161493	17.9210804	8.26840452	3.65599222	17.9210804	3.21755863	0	0	0	0	0	3
5	7	0	0.0600201866	10.0530027	8.62532416	3.65599222	17.9210804	3.57447828	0	0	0	0	0	3
6	8	0	0.0720242239	7.52901154	8.44260539	3.65599222	17.9210804	3.57447828	0	0	0	0	0	3
7	8	0	0.0840282612	13.5974222	9.17900779	3.65599222	17.9210804	4.12816191	0	0	0	0	0	3
8	9	0	0.0960322986	5.52111757	8.72177152	3.65599222	17.9210804	4.12816191	0	0	0	0	0	3
9	10	0	0.108036336	15.9309013	9.52278594	3.65599222	17.9210804	4.47194005	0	0	0	0	0	3
10	11	0	0.120040373	6.88896023	9.25940337	3.65599222	17.9210804	4.47194005	0	0	0	0	0	3
11	12	0	0.132044411	10.8190474	9.40118919	3.65599222	17.9210804	4.47194005	0	0	0	0	0	3
12	13	0	0.144048448	12.3245543	9.64480295	3.65599222	17.9210804	4.59395707	0	0	0	0	0	3
13	14	0	0.156052485	22.6378027	10.6442645	3.65599222	22.6378027	5.59341859	0	0	0	0	0	3
14	15	0	0.168056522	15.5961153	10.9979681	3.65599222	22.6378027	5.94712222	0	0	0	0	0	3
15	16	0	0.18006056	29.9899288	12.2640988	3.65599222	29.9899288	7.21325293	0	0	0	0	0	3
16	17	0	0.192064597	14.9695097	12.433187	3.65599222	29.9899288	7.38234111	0	0	0	0	0	3
17	18	0	0.204068634	12.7625085	12.4525589	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
18	18	0	0.216072672	7.61547018	12.1838317	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
19	19	0	0.228076709	7.92069805	11.9594562	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
20	20	0	0.240080746	9.83523705	11.8532453	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
21	21	0	0.252084784	11.7914473	11.8503025	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
22	22	0	0.264088821	11.8915368	11.8521768	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
23	23	0	0.276092858	13.0587315	11.9046357	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
24	24	0	0.288096896	12.1162999	11.9134551	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
25	25	0	0.300100933	12.7456935	11.9467446	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
26	26	0	0.31210497	11.3850319	11.9251403	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
27	27	0	0.324109008	11.5845497	11.9125258	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
28	28	0	0.336113045	10.8942131	11.8761575	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
29	29	0	0.348117082	11.1347705	11.8505924	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
30	30	0	0.36012112	10.4626467	11.8043276	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
31	31	0	0.372125157	10.7439705	11.7701225	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
32	32	0	0.384129194	9.41957776	11.696668	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
33	33	0	0.396133232	9.49304811	11.6298916	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
34	34	0	0.408137269	8.38880679	11.5345656	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
35	34	0	0.420141306	8.90241842	11.4593614	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
36	35	0	0.432145344	7.96715039	11.3623555	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
37	36	0	0.444149381	8.42853555	11.2830631	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
38	37	0	0.456153418	7.40445484	11.1809944	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
39	38	0	0.468157455	8.00152536	11.0994696	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
40	39	0	0.480161493	7.0524452	10.998294	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
41	40	0	0.49216553	7.50559856	10.9131063	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
42	41	0	0.504169567	7.02857248	10.8206174	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
43	42	0	0.516173605	7.50834899	10.8330905	3.65599222	29.9899288	7.40171297	0	0	0	0	0	3
44	43	0	0.528177642	7.12467984	10.9156783	4.51206785	29.9899288	7.40171297	0	0	0	0	0	3
45	44	0	0.540181679	7.47849804	10.9863076	5.52111757	29.9899288	4.18415434	0	0	0	0	0	3
46	45	0	0.552185717	7.18519742	10.7306914	5.52111757	29.9899288	4.00995346	0	0	0	0	0	3
47	46	0	0.564189754	7.4728238	10.6692585	5.52111757	29.9899288	4.00995346	0	0	0	0	0	3
48	47	0	0.576193791	6.94821554	10.65543	5.52111757	29.9899288	3.73078734	0	0	0	0	0	3
49	48	0	0.588197829	7.49696168	10.510181	5.52111757	29.9899288	3.73078734	0	0	0	0	0	3
50	49	0	0.600201866	6.87493235	10.5424147	6.87493235	29.9899288	3.19315549	0	0	0	0	0	3
51	50	0	0.612205903	7.12574595	10.3327681	6.87493235	29.9899288	3.19315549	0	0	0	0	0	3
52	51	0	0.624209941	6.66259893	10.3273786	6.66259893	29.9899288	3.05136966	0	0	0	0	0	3
