Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	620.044645	620.044645	620.044645	620.044645	0	0	0	0	0	0	3
2	4	0	0.0240080746	-53.9079543	283.068345	-53.9079543	620.044645	336.9763	0	0	0	0	0	3
3	5	0	0.036012112	-34.8196573	177.105678	-53.9079543	620.044645	442.938967	0	0	0	0	0	3
4	6	0	0.0480161493	-53.5880063	119.432257	-53.9079543	620.044645	500.612388	0	0	0	0	0	3
5	7	0	0.0600201866	-38.6403844	87.8177285	-53.9079543	620.044645	532.226916	0	0	0	0	0	3
6	8	0	0.0720242239	-71.7374143	61.2252047	-71.7374143	620.044645	558.81944	0	0	0	0	0	3
7	8	0	0.0840282612	-64.1261722	43.3178652	-71.7374143	620.044645	576.72678	0	0	0	0	0	3
8	9	0	0.0960322986	-83.1964921	27.5035705	-83.1964921	620.044645	592.541074	0	0	0	0	0	3
9	10	0	0.108036336	-82.6090237	15.2688378	-83.1964921	620.044645	604.775807	0	0	0	0	0	3
10	11	0	0.120040373	-87.9663579	4.94531826	-87.9663579	620.044645	615.099327	0	0	0	0	0	3
11	12	0	0.132044411	-79.9819515	-2.77534263	-87.9663579	620.044645	622.819988	0	0	0	0	0	3
12	13	0	0.144048448	-98.5234652	-10.7543528	-98.5234652	620.044645	630.798998	0	0	0	0	0	3
13	14	0	0.156052485	-81.0135445	-16.158906	-98.5234652	620.044645	636.203551	0	0	0	0	0	3
14	15	0	0.168056522	-101.62461	-22.2635992	-101.62461	620.044645	642.308244	0	0	0	0	0	3
15	16	0	0.18006056	-70.8321175	-25.5015004	-101.62461	620.044645	645.546145	0	0	0	0	0	3
16	17	0	0.192064597	-96.1999309	-29.9201523	-101.62461	620.044645	649.964797	0	0	0	0	0	3
17	18	0	0.204068634	-85.5241469	-33.1909755	-101.62461	620.044645	653.23562	0	0	0	0	0	3
18	18	0	0.216072672	-105.291445	-37.1965572	-105.291445	620.044645	657.241202	0	0	0	0	0	3
19	19	0	0.228076709	-93.4902336	-40.1593822	-105.291445	620.044645	660.204027	0	0	0	0	0	3
20	20	0	0.240080746	-107.337143	-43.5182703	-107.337143	620.044645	663.562915	0	0	0	0	0	3
