Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	-2662.58573	-2662.58573	-2662.58573	-2662.58573	0	0	0	0	0	0	3
2	4	0	0.0240080746	-347.457004	-1505.02137	-2662.58573	-347.457004	1157.56436	0	0	0	0	0	3
3	5	0	0.036012112	-162.032021	-1057.35825	-2662.58573	-162.032021	1605.22748	0	0	0	0	0	3
4	6	0	0.0480161493	-101.091758	-818.291627	-2662.58573	-101.091758	1844.2941	0	0	0	0	0	3
5	7	0	0.0600201866	-105.047627	-675.642827	-2662.58573	-101.091758	1986.9429	0	0	0	0	0	3
6	8	0	0.0720242239	-83.1593293	-576.895578	-2662.58573	-83.1593293	2085.69015	0	0	0	0	0	3
7	8	0	0.0840282612	-84.2822342	-506.522243	-2662.58573	-83.1593293	2156.06348	0	0	0	0	0	3
8	9	0	0.0960322986	-71.9376461	-452.199168	-2662.58573	-71.9376461	2210.38656	0	0	0	0	0	3
9	10	0	0.108036336	-72.8214529	-410.046089	-2662.58573	-71.9376461	2252.53964	0	0	0	0	0	3
10	11	0	0.120040373	-66.0668456	-375.648164	-2662.58573	-66.0668456	2286.93756	0	0	0	0	0	3
11	12	0	0.132044411	-67.5279382	-347.637235	-2662.58573	-66.0668456	2314.94849	0	0	0	0	0	3
12	13	0	0.144048448	-64.7077676	-324.059779	-2662.58573	-64.7077676	2338.52595	0	0	0	0	0	3
13	14	0	0.156052485	-67.2424085	-304.304597	-2662.58573	-64.7077676	2358.28113	0	0	0	0	0	3
14	15	0	0.168056522	-63.9155551	-287.133951	-2662.58573	-63.9155551	2375.45178	0	0	0	0	0	3
15	16	0	0.18006056	-66.7696069	-272.442995	-2662.58573	-63.9155551	2390.14273	0	0	0	0	0	3
16	17	0	0.192064597	-61.5538046	-259.26242	-2662.58573	-61.5538046	2403.32331	0	0	0	0	0	3
17	18	0	0.204068634	-62.6725819	-247.698312	-2662.58573	-61.5538046	2414.88741	0	0	0	0	0	3
18	18	0	0.216072672	-59.8858257	-237.264285	-2662.58573	-59.8858257	2425.32144	0	0	0	0	0	3
19	19	0	0.228076709	-60.9204141	-227.983029	-2662.58573	-59.8858257	2434.6027	0	0	0	0	0	3
20	20	0	0.240080746	-58.4095054	-219.504353	-2662.58573	-58.4095054	2443.08137	0	0	0	0	0	3
21	21	0	0.252084784	-58.4815803	-211.836602	-2662.58573	-58.4095054	2450.74912	0	0	0	0	0	3
22	22	0	0.264088821	-57.3567749	-204.814791	-2662.58573	-57.3567749	2457.77094	0	0	0	0	0	3
23	23	0	0.276092858	-57.4857786	-198.409182	-2662.58573	-57.3567749	2464.17654	0	0	0	0	0	3
24	24	0	0.288096896	-56.7382675	-192.506227	-2662.58573	-56.7382675	2470.0795	0	0	0	0	0	3
25	25	0	0.300100933	-56.2224581	-187.054876	-2662.58573	-56.2224581	2475.53085	0	0	0	0	0	3
26	26	0	0.31210497	-55.8532659	-182.008661	-2662.58573	-55.8532659	2480.57707	0	0	0	0	0	3
27	27	0	0.324109008	-55.535342	-177.324464	-2662.58573	-55.535342	2485.26126	0	0	0	0	0	3
28	28	0	0.336113045	-55.1965876	-172.962754	-2662.58573	-55.1965876	2489.62297	0	0	0	0	0	3
29	29	0	0.348117082	-54.7843794	-168.887637	-2662.58573	-54.7843794	2493.69809	0	0	0	0	0	3
30	30	0	0.36012112	-54.4610763	-165.073419	-2662.58573	-54.4610763	2497.51231	0	0	0	0	0	3
31	31	0	0.372125157	-54.3133163	-161.500512	-2662.58573	-54.3133163	2501.08521	0	0	0	0	0	3
32	32	0	0.384129194	-54.2409541	-158.148651	-2662.58573	-54.2409541	2504.43708	0	0	0	0	0	3
33	33	0	0.396133232	-53.8586548	-154.988348	-2662.58573	-53.8586548	2507.59738	0	0	0	0	0	3
34	34	0	0.408137269	-53.457745	-152.002154	-2662.58573	-53.457745	2510.58357	0	0	0	0	0	3
35	34	0	0.420141306	-53.1690841	-149.178352	-2662.58573	-53.1690841	2513.40737	0	0	0	0	0	3
36	35	0	0.432145344	-52.9188436	-146.504477	-2662.58573	-52.9188436	2516.08125	0	0	0	0	0	3
37	36	0	0.444149381	-52.9364031	-143.97561	-2662.58573	-52.9188436	2518.61012	0	0	0	0	0	3
38	37	0	0.456153418	-52.649885	-141.572301	-2662.58573	-52.649885	2521.01343	0	0	0	0	0	3
39	38	0	0.468157455	-52.5490453	-139.289654	-2662.58573	-52.5490453	2523.29607	0	0	0	0	0	3
40	39	0	0.480161493	-52.3038358	-137.115008	-2662.58573	-52.3038358	2525.47072	0	0	0	0	0	3
41	40	0	0.49216553	-52.292827	-135.046175	-2662.58573	-52.292827	2527.53955	0	0	0	0	0	3
42	41	0	0.504169567	-52.0312499	-133.069629	-2662.58573	-52.0312499	2529.5161	0	0	0	0	0	3
43	42	0	0.516173605	-52.0644158	-70.9143594	-347.457004	-52.0312499	295.425754	0	0	0	0	0	3
44	43	0	0.528177642	-51.8822189	-63.8768646	-162.032021	-51.8822189	110.149802	0	0	0	0	0	3
45	44	0	0.540181679	-51.8362329	-61.2531553	-105.047627	-51.8362329	53.2113942	0	0	0	0	0	3
46	45	0	0.552185717	-51.692356	-60.0769791	-105.047627	-51.692356	53.3552712	0	0	0	0	0	3
47	46	0	0.564189754	-51.6118313	-58.8046982	-84.2822342	-51.6118313	32.6704029	0	0	0	0	0	3
