Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	-2461.4428	-2461.4428	-2461.4428	-2461.4428	0	0	0	0	0	0	3
2	4	0	0.0240080746	-340.655607	-1401.04921	-2461.4428	-340.655607	1060.3936	0	0	0	0	0	3
3	5	0	0.036012112	-122.115777	-974.738063	-2461.4428	-122.115777	1486.70474	0	0	0	0	0	3
4	6	0	0.0480161493	-129.840574	-763.513691	-2461.4428	-122.115777	1697.92911	0	0	0	0	0	3
5	7	0	0.0600201866	-139.107835	-638.632519	-2461.4428	-122.115777	1822.81029	0	0	0	0	0	3
6	8	0	0.0720242239	-121.077092	-552.373281	-2461.4428	-121.077092	1909.06952	0	0	0	0	0	3
7	8	0	0.0840282612	-111.110678	-489.335767	-2461.4428	-111.110678	1972.10704	0	0	0	0	0	3
8	9	0	0.0960322986	-89.9031885	-439.406694	-2461.4428	-89.9031885	2022.03611	0	0	0	0	0	3
9	10	0	0.108036336	-73.2865287	-398.726676	-2461.4428	-73.2865287	2062.71613	0	0	0	0	0	3
10	11	0	0.120040373	-76.4072529	-366.494734	-2461.4428	-73.2865287	2094.94807	0	0	0	0	0	3
11	12	0	0.132044411	-95.4836033	-341.857358	-2461.4428	-73.2865287	2119.58545	0	0	0	0	0	3
12	13	0	0.144048448	-58.1003935	-318.210944	-2461.4428	-58.1003935	2143.23186	0	0	0	0	0	3
13	14	0	0.156052485	-100.10245	-301.433368	-2461.4428	-58.1003935	2160.00944	0	0	0	0	0	3
14	15	0	0.168056522	-55.5051307	-283.867065	-2461.4428	-55.5051307	2177.57574	0	0	0	0	0	3
15	16	0	0.18006056	-126.544351	-273.378884	-2461.4428	-55.5051307	2188.06392	0	0	0	0	0	3
16	17	0	0.192064597	-78.8587934	-261.221379	-2461.4428	-55.5051307	2200.22143	0	0	0	0	0	3
17	18	0	0.204068634	-103.597742	-251.9494	-2461.4428	-55.5051307	2209.4934	0	0	0	0	0	3
18	18	0	0.216072672	-65.8104783	-241.608349	-2461.4428	-55.5051307	2219.83446	0	0	0	0	0	3
19	19	0	0.228076709	-90.8123725	-233.671718	-2461.4428	-55.5051307	2227.77109	0	0	0	0	0	3
20	20	0	0.240080746	-67.461603	-225.361213	-2461.4428	-55.5051307	2236.08159	0	0	0	0	0	3
21	21	0	0.252084784	-75.2201077	-218.211636	-2461.4428	-55.5051307	2243.23117	0	0	0	0	0	3
22	22	0	0.264088821	-69.7064888	-211.461402	-2461.4428	-55.5051307	2249.9814	0	0	0	0	0	3
23	23	0	0.276092858	-71.1155233	-205.359408	-2461.4428	-55.5051307	2256.0834	0	0	0	0	0	3
24	24	0	0.288096896	-72.3981002	-199.819353	-2461.4428	-55.5051307	2261.62345	0	0	0	0	0	3
25	25	0	0.300100933	-72.4219415	-194.723457	-2461.4428	-55.5051307	2266.71935	0	0	0	0	0	3
26	26	0	0.31210497	-69.818294	-189.919412	-2461.4428	-55.5051307	2271.52339	0	0	0	0	0	3
27	27	0	0.324109008	-72.9052944	-185.585556	-2461.4428	-55.5051307	2275.85725	0	0	0	0	0	3
28	28	0	0.336113045	-71.861804	-181.523993	-2461.4428	-55.5051307	2279.91881	0	0	0	0	0	3
29	29	0	0.348117082	-71.4900395	-177.729719	-2461.4428	-55.5051307	2283.71309	0	0	0	0	0	3
30	30	0	0.36012112	-69.0722679	-174.107804	-2461.4428	-55.5051307	2287.335	0	0	0	0	0	3
31	31	0	0.372125157	-69.5262958	-170.734207	-2461.4428	-55.5051307	2290.7086	0	0	0	0	0	3
32	32	0	0.384129194	-71.6609277	-167.638167	-2461.4428	-55.5051307	2293.80464	0	0	0	0	0	3
33	33	0	0.396133232	-70.8874126	-164.706326	-2461.4428	-55.5051307	2296.73648	0	0	0	0	0	3
34	34	0	0.408137269	-71.9236985	-161.977425	-2461.4428	-55.5051307	2299.46538	0	0	0	0	0	3
35	34	0	0.420141306	-71.1637604	-159.382749	-2461.4428	-55.5051307	2302.06006	0	0	0	0	0	3
36	35	0	0.432145344	-71.561829	-156.943279	-2461.4428	-55.5051307	2304.49953	0	0	0	0	0	3
37	36	0	0.444149381	-71.213634	-154.626261	-2461.4428	-55.5051307	2306.81654	0	0	0	0	0	3
38	37	0	0.456153418	-71.3158508	-152.433882	-2461.4428	-55.5051307	2309.00892	0	0	0	0	0	3
39	38	0	0.468157455	-71.484873	-150.358267	-2461.4428	-55.5051307	2311.08454	0	0	0	0	0	3
40	39	0	0.480161493	-71.4819282	-148.386358	-2461.4428	-55.5051307	2313.05645	0	0	0	0	0	3
41	40	0	0.49216553	-72.0763311	-146.525138	-2461.4428	-55.5051307	2314.91767	0	0	0	0	0	3
42	41	0	0.504169567	-72.1181338	-144.753543	-2461.4428	-55.5051307	2316.68926	0	0	0	0	0	3
43	42	0	0.516173605	-72.9195685	-87.8839418	-340.655607	-55.5051307	285.150476	0	0	0	0	0	3
44	43	0	0.528177642	-73.5445847	-81.5241555	-139.107835	-55.5051307	83.6027039	0	0	0	0	0	3
