Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	2518.23653	2518.23653	2518.23653	2518.23653	0	0	0	0	0	0	3
2	4	0	0.0240080746	331.319194	1424.77786	331.319194	2518.23653	1093.45867	0	0	0	0	0	3
3	5	0	0.036012112	144.254077	997.936602	144.254077	2518.23653	1520.29993	0	0	0	0	0	3
4	6	0	0.0480161493	132.283006	781.523203	132.283006	2518.23653	1736.71333	0	0	0	0	0	3
5	7	0	0.0600201866	111.018604	647.422283	111.018604	2518.23653	1870.81425	0	0	0	0	0	3
6	8	0	0.0720242239	90.4178328	554.588208	90.4178328	2518.23653	1963.64833	0	0	0	0	0	3
7	8	0	0.0840282612	111.06303	491.227468	90.4178328	2518.23653	2027.00907	0	0	0	0	0	3
8	9	0	0.0960322986	77.1648037	439.469635	77.1648037	2518.23653	2078.7669	0	0	0	0	0	3
9	10	0	0.108036336	104.433227	402.243368	77.1648037	2518.23653	2115.99317	0	0	0	0	0	3
10	11	0	0.120040373	73.4086243	369.359893	73.4086243	2518.23653	2148.87664	0	0	0	0	0	3
11	12	0	0.132044411	85.231482	343.530038	73.4086243	2518.23653	2174.7065	0	0	0	0	0	3
12	13	0	0.144048448	83.3806485	321.850922	73.4086243	2518.23653	2196.38561	0	0	0	0	0	3
13	14	0	0.156052485	109.239909	305.496229	73.4086243	2518.23653	2212.74031	0	0	0	0	0	3
14	15	0	0.168056522	89.3725214	290.058821	73.4086243	2518.23653	2228.17771	0	0	0	0	0	3
15	16	0	0.18006056	122.275681	278.873278	73.4086243	2518.23653	2239.36326	0	0	0	0	0	3
16	17	0	0.192064597	89.317978	267.026072	73.4086243	2518.23653	2251.21046	0	0	0	0	0	3
17	18	0	0.204068634	86.589204	256.412139	73.4086243	2518.23653	2261.8244	0	0	0	0	0	3
18	18	0	0.216072672	71.4685995	246.137498	71.4685995	2518.23653	2272.09904	0	0	0	0	0	3
19	19	0	0.228076709	74.5641446	237.107321	71.4685995	2518.23653	2281.12921	0	0	0	0	0	3
20	20	0	0.240080746	74.0059399	228.952252	71.4685995	2518.23653	2289.28428	0	0	0	0	0	3
21	21	0	0.252084784	79.5455534	221.837647	71.4685995	2518.23653	2296.39889	0	0	0	0	0	3
22	22	0	0.264088821	78.1574842	215.306731	71.4685995	2518.23653	2302.9298	0	0	0	0	0	3
23	23	0	0.276092858	81.4940139	209.488787	71.4685995	2518.23653	2308.74775	0	0	0	0	0	3
24	24	0	0.288096896	78.5046645	204.031115	71.4685995	2518.23653	2314.20542	0	0	0	0	0	3
25	25	0	0.300100933	80.4245879	199.086854	71.4685995	2518.23653	2319.14968	0	0	0	0	0	3
26	26	0	0.31210497	76.9477226	194.389195	71.4685995	2518.23653	2323.84734	0	0	0	0	0	3
27	27	0	0.324109008	77.6596889	190.06588	71.4685995	2518.23653	2328.17066	0	0	0	0	0	3
28	28	0	0.336113045	75.372704	185.969695	71.4685995	2518.23653	2332.26684	0	0	0	0	0	3
29	29	0	0.348117082	76.0292905	182.178647	71.4685995	2518.23653	2336.05789	0	0	0	0	0	3
30	30	0	0.36012112	73.8070289	178.566259	71.4685995	2518.23653	2339.67028	0	0	0	0	0	3
31	31	0	0.372125157	75.3019199	175.235152	71.4685995	2518.23653	2343.00138	0	0	0	0	0	3
32	32	0	0.384129194	72.8663404	172.036126	71.4685995	2518.23653	2346.20041	0	0	0	0	0	3
33	33	0	0.396133232	73.1868715	169.040694	71.4685995	2518.23653	2349.19584	0	0	0	0	0	3
34	34	0	0.408137269	70.4037975	166.139609	70.4037975	2518.23653	2352.09693	0	0	0	0	0	3
35	34	0	0.420141306	71.6888345	163.441016	70.4037975	2518.23653	2354.79552	0	0	0	0	0	3
36	35	0	0.432145344	69.4715894	160.830754	69.4715894	2518.23653	2357.40578	0	0	0	0	0	3
37	36	0	0.444149381	70.853721	158.398942	69.4715894	2518.23653	2359.83759	0	0	0	0	0	3
38	37	0	0.456153418	68.1230288	156.02326	68.1230288	2518.23653	2362.21327	0	0	0	0	0	3
39	38	0	0.468157455	69.524365	153.80534	68.1230288	2518.23653	2364.4312	0	0	0	0	0	3
40	39	0	0.480161493	67.1073962	151.637891	67.1073962	2518.23653	2366.59864	0	0	0	0	0	3
41	40	0	0.49216553	68.3160624	149.605651	67.1073962	2518.23653	2368.63088	0	0	0	0	0	3
42	41	0	0.504169567	66.6729969	147.631064	66.6729969	2518.23653	2370.60547	0	0	0	0	0	3
43	42	0	0.516173605	68.0238112	89.2926662	66.6729969	331.319194	264.646197	0	0	0	0	0	3
44	43	0	0.528177642	66.729505	82.9929117	66.6729969	144.254077	77.5810797	0	0	0	0	0	3
45	44	0	0.540181679	67.8583134	81.173965	66.6729969	132.283006	65.6100087	0	0	0	0	0	3
46	45	0	0.552185717	66.8169978	79.6152505	66.6729969	122.275681	55.6026839	0	0	0	0	0	3
47	46	0	0.564189754	67.5951958	78.5813598	66.6729969	122.275681	55.6026839	0	0	0	0	0	3
48	47	0	0.576193791	66.2432936	78.0057755	66.2432936	122.275681	56.0323873	0	0	0	0	0	3
49	48	0	0.588197829	67.7177238	76.9737444	66.2432936	122.275681	56.0323873	0	0	0	0	0	3
50	49	0	0.600201866	65.9695654	76.7071911	65.9695654	122.275681	56.3061154	0	0	0	0	0	3
51	50	0	0.612205903	66.6648877	75.807945	65.9695654	122.275681	56.3061154	0	0	0	0	0	3
52	51	0	0.624209941	65.0033375	75.6078191	65.0033375	122.275681	57.2723434	0	0	0	0	0	3
53	52	0	0.636213978	66.4599135	75.160877	65.0033375	122.275681	57.2723434	0	0	0	0	0	3
54	53	0	0.648218015	64.8796374	74.7203767	64.8796374	122.275681	57.3960434	0	0	0	0	0	3
55	53	0	0.660222053	66.2129429	73.6959251	64.8796374	122.275681	57.3960434	0	0	0	0	0	3
56	54	0	0.67222609	65.26193	73.1218634	64.8796374	122.275681	57.3960434	0	0	0	0	0	3
57	55	0	0.684230127	66.1584927	71.7857399	64.8796374	89.317978	24.4383405	0	0	0	0	0	3
58	56	0	0.696234165	65.2104397	71.2117509	64.8796374	86.589204	21.7095665	0	0	0	0	0	3
59	57	0	0.708238202	66.3909107	70.7308392	64.8796374	81.4940139	16.6143765	0	0	0	0	0	3
