Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	584.946429	584.946429	584.946429	584.946429	0	0	0	0	0	0	3
2	4	0	0.0240080746	-47.8077457	268.569342	-47.8077457	584.946429	316.377088	0	0	0	0	0	3
3	5	0	0.036012112	-29.8409917	169.099231	-47.8077457	584.946429	415.847199	0	0	0	0	0	3
4	6	0	0.0480161493	-36.044226	117.813367	-47.8077457	584.946429	467.133063	0	0	0	0	0	3
5	7	0	0.0600201866	-30.5996902	88.1307552	-47.8077457	584.946429	496.815674	0	0	0	0	0	3
6	8	0	0.0720242239	-63.6221147	62.8386102	-63.6221147	584.946429	522.107819	0	0	0	0	0	3
7	8	0	0.0840282612	-50.5336853	46.642568	-63.6221147	584.946429	538.303861	0	0	0	0	0	3
8	9	0	0.0960322986	-78.0502495	31.0559658	-78.0502495	584.946429	553.890464	0	0	0	0	0	3
9	10	0	0.108036336	-68.3320319	20.0128549	-78.0502495	584.946429	564.933575	0	0	0	0	0	3
10	11	0	0.120040373	-80.7418802	9.93738142	-80.7418802	584.946429	575.009048	0	0	0	0	0	3
11	12	0	0.132044411	-70.393674	2.6345582	-80.7418802	584.946429	582.311871	0	0	0	0	0	3
12	13	0	0.144048448	-86.0251684	-4.75375235	-86.0251684	584.946429	589.700182	0	0	0	0	0	3
13	14	0	0.156052485	-61.315096	-9.10462495	-86.0251684	584.946429	594.051054	0	0	0	0	0	3
14	15	0	0.168056522	-88.8353993	-14.7996803	-88.8353993	584.946429	599.74611	0	0	0	0	0	3
15	16	0	0.18006056	-40.8836475	-16.5386114	-88.8353993	584.946429	601.485041	0	0	0	0	0	3
16	17	0	0.192064597	-79.8320462	-20.4944511	-88.8353993	584.946429	605.440881	0	0	0	0	0	3
17	18	0	0.204068634	-70.5250789	-23.4374292	-88.8353993	584.946429	608.383859	0	0	0	0	0	3
18	18	0	0.216072672	-96.3665232	-27.4890455	-96.3665232	584.946429	612.435475	0	0	0	0	0	3
19	19	0	0.228076709	-86.3620062	-30.5876224	-96.3665232	584.946429	615.534052	0	0	0	0	0	3
20	20	0	0.240080746	-95.064445	-33.8114635	-96.3665232	584.946429	618.757893	0	0	0	0	0	3
21	21	0	0.252084784	-90.0903544	-36.4914107	-96.3665232	584.946429	621.43784	0	0	0	0	0	3
22	22	0	0.264088821	-92.7462337	-39.0484481	-96.3665232	584.946429	623.994878	0	0	0	0	0	3
23	23	0	0.276092858	-91.7164904	-41.338363	-96.3665232	584.946429	626.284792	0	0	0	0	0	3
24	24	0	0.288096896	-91.3317371	-43.4214203	-96.3665232	584.946429	628.36785	0	0	0	0	0	3
25	25	0	0.300100933	-92.3420875	-45.378247	-96.3665232	584.946429	630.324676	0	0	0	0	0	3
26	26	0	0.31210497	-94.4416412	-47.2653006	-96.3665232	584.946429	632.21173	0	0	0	0	0	3
27	27	0	0.324109008	-93.594658	-48.9812027	-96.3665232	584.946429	633.927632	0	0	0	0	0	3
28	28	0	0.336113045	-94.9494592	-50.6229262	-96.3665232	584.946429	635.569356	0	0	0	0	0	3
29	29	0	0.348117082	-94.9670768	-52.1520348	-96.3665232	584.946429	637.098464	0	0	0	0	0	3
30	30	0	0.36012112	-96.381945	-53.6263651	-96.381945	584.946429	638.572795	0	0	0	0	0	3
31	31	0	0.372125157	-95.3907048	-54.9736019	-96.381945	584.946429	639.920031	0	0	0	0	0	3
32	32	0	0.384129194	-95.7226903	-56.2470109	-96.381945	584.946429	641.19344	0	0	0	0	0	3
33	33	0	0.396133232	-95.519636	-57.4370905	-96.381945	584.946429	642.38352	0	0	0	0	0	3
34	34	0	0.408137269	-96.1087164	-58.5744912	-96.381945	584.946429	643.520921	0	0	0	0	0	3
35	34	0	0.420141306	-95.7279504	-59.6360186	-96.381945	584.946429	644.582448	0	0	0	0	0	3
36	35	0	0.432145344	-96.5683908	-60.6619179	-96.5683908	584.946429	645.608347	0	0	0	0	0	3
37	36	0	0.444149381	-96.0399077	-61.6180797	-96.5683908	584.946429	646.564509	0	0	0	0	0	3
38	37	0	0.456153418	-97.1437422	-62.5529656	-97.1437422	584.946429	647.499395	0	0	0	0	0	3
39	38	0	0.468157455	-96.3036003	-63.4183665	-97.1437422	584.946429	648.364796	0	0	0	0	0	3
40	39	0	0.480161493	-97.2844914	-64.2650196	-97.2844914	584.946429	649.211449	0	0	0	0	0	3
41	40	0	0.49216553	-96.4654562	-65.0503961	-97.2844914	584.946429	649.996826	0	0	0	0	0	3
42	41	0	0.504169567	-97.0876563	-65.813188	-97.2844914	584.946429	650.759617	0	0	0	0	0	3
43	42	0	0.516173605	-95.9886306	-82.0259275	-97.2844914	-29.8409917	67.4434997	0	0	0	0	0	3
44	43	0	0.528177642	-96.1414727	-83.1767306	-97.2844914	-29.8409917	67.4434997	0	0	0	0	0	3
45	44	0	0.540181679	-95.8119073	-84.7474667	-97.2844914	-30.5996902	66.6848011	0	0	0	0	0	3
46	45	0	0.552185717	-95.6996754	-86.1678345	-97.2844914	-30.5996902	66.6848011	0	0	0	0	0	3
47	46	0	0.564189754	-95.3334873	-87.7091154	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
48	47	0	0.576193791	-95.8588063	-88.4766557	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
49	48	0	0.588197829	-95.5332999	-89.5480751	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
50	49	0	0.600201866	-95.7094322	-89.9685318	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
51	50	0	0.612205903	-95.3377884	-90.611526	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
52	51	0	0.624209941	-95.5672138	-90.9645101	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
53	52	0	0.636213978	-95.1535939	-91.554032	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
54	53	0	0.648218015	-95.1981024	-91.7724352	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
55	53	0	0.660222053	-94.2668631	-92.5570011	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
56	54	0	0.67222609	-94.692008	-92.6964442	-97.2844914	-40.8836475	56.4008439	0	0	0	0	0	3
57	55	0	0.684230127	-94.1778876	-93.9653546	-97.2844914	-70.5250789	26.7594125	0	0	0	0	0	3
58	56	0	0.696234165	-94.6605255	-94.3184137	-97.2844914	-70.5250789	26.7594125	0	0	0	0	0	3
59	57	0	0.708238202	-94.3179432	-94.8849104	-97.2844914	-86.3620062	10.9224851	0	0	0	0	0	3
60	58	0	0.720242239	-94.9828368	-94.8519655	-97.2844914	-86.3620062	10.9224851	0	0	0	0	0	3
