Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240080746	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.036012112	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0480161493	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0600201866	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0720242239	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0840282612	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.0960322986	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.108036336	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.120040373	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.132044411	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.144048448	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.156052485	0	0	0	0	0	0	0	0	0	0	3
14	15	0	0.168056522	0	0	0	0	0	0	0	0	0	0	3
15	16	0	0.18006056	0	0	0	0	0	0	0	0	0	0	3
16	17	0	0.192064597	0	0	0	0	0	0	0	0	0	0	3
17	18	0	0.204068634	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.216072672	0	0	0	0	0	0	0	0	0	0	3
19	19	0	0.228076709	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.240080746	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.252084784	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.264088821	0	0	0	0	0	0	0	0	0	0	3
23	23	0	0.276092858	0	0	0	0	0	0	0	0	0	0	3
24	24	0	0.288096896	0	0	0	0	0	0	0	0	0	0	3
25	25	0	0.300100933	0	0	0	0	0	0	0	0	0	0	3
26	26	0	0.31210497	0	0	0	0	0	0	0	0	0	0	3
27	27	0	0.324109008	0	0	0	0	0	0	0	0	0	0	3
28	28	0	0.336113045	0	0	0	0	0	0	0	0	0	0	3
29	29	0	0.348117082	0	0	0	0	0	0	0	0	0	0	3
30	30	0	0.36012112	0	0	0	0	0	0	0	0	0	0	3
31	31	0	0.372125157	0	0	0	0	0	0	0	0	0	0	3
32	32	0	0.384129194	0	0	0	0	0	0	0	0	0	0	3
33	33	0	0.396133232	0	0	0	0	0	0	0	0	0	0	3
34	34	0	0.408137269	0	0	0	0	0	0	0	0	0	0	3
35	34	0	0.420141306	0	0	0	0	0	0	0	0	0	0	3
36	35	0	0.432145344	0	0	0	0	0	0	0	0	0	0	3
37	36	0	0.444149381	0	0	0	0	0	0	0	0	0	0	3
38	37	0	0.456153418	0	0	0	0	0	0	0	0	0	0	3
39	38	0	0.468157455	0	0	0	0	0	0	0	0	0	0	3
40	39	0	0.480161493	0	0	0	0	0	0	0	0	0	0	3
41	40	0	0.49216553	0	0	0	0	0	0	0	0	0	0	3
42	41	0	0.504169567	0	0	0	0	0	0	0	0	0	0	3
43	42	0	0.516173605	0	0	0	0	0	0	0	0	0	0	3
44	43	0	0.528177642	0	0	0	0	0	0	0	0	0	0	3
45	44	0	0.540181679	0	0	0	0	0	0	0	0	0	0	3
46	45	0	0.552185717	0	0	0	0	0	0	0	0	0	0	3
47	46	0	0.564189754	0	0	0	0	0	0	0	0	0	0	3
48	47	0	0.576193791	0	0	0	0	0	0	0	0	0	0	3
49	48	0	0.588197829	0	0	0	0	0	0	0	0	0	0	3
50	49	0	0.600201866	0	0	0	0	0	0	0	0	0	0	3
51	50	0	0.612205903	0	0	0	0	0	0	0	0	0	0	3
52	51	0	0.624209941	0	0	0	0	0	0	0	0	0	0	3
53	52	0	0.636213978	0	0	0	0	0	0	0	0	0	0	3
54	53	0	0.648218015	0	0	0	0	0	0	0	0	0	0	3
55	53	0	0.660222053	0	0	0	0	0	0	0	0	0	0	3
56	54	0	0.67222609	0	0	0	0	0	0	0	0	0	0	3
57	55	0	0.684230127	0	0	0	0	0	0	0	0	0	0	3
58	56	0	0.696234165	0	0	0	0	0	0	0	0	0	0	3
59	57	0	0.708238202	0	0	0	0	0	0	0	0	0	0	3
60	58	0	0.720242239	0	0	0	0	0	0	0	0	0	0	3
61	59	0	0.732246277	0	0	0	0	0	0	0	0	0	0	3
62	60	0	0.744250314	0	0	0	0	0	0	0	0	0	0	3
63	61	0	0.756254351	0	0	0	0	0	0	0	0	0	0	3
64	62	0	0.768258388	0	0	0	0	0	0	0	0	0	0	3
65	62	0	0.780262426	0	0	0	0	0	0	0	0	0	0	3
66	63	0	0.792266463	0	0	0	0	0	0	0	0	0	0	3
67	64	0	0.8042705	0	0	0	0	0	0	0	0	0	0	3
68	65	0	0.816274538	0	0	0	0	0	0	0	0	0	0	3
69	66	0	0.828278575	0	0	0	0	0	0	0	0	0	0	3
70	67	0	0.840282612	0	0	0	0	0	0	0	0	0	0	3
71	68	0	0.85228665	0	0	0	0	0	0	0	0	0	0	3
72	69	0	0.864290687	0	0	0	0	0	0	0	0	0	0	3
73	70	0	0.876294724	0	0	0	0	0	0	0	0	0	0	3
74	70	0	0.888298762	0	0	0	0	0	0	0	0	0	0	3
75	71	0	0.900302799	0	0	0	0	0	0	0	0	0	0	3
76	72	0	0.912306836	0	0	0	0	0	0	0	0	0	0	3
77	73	0	0.924310874	0	0	0	0	0	0	0	0	0	0	3
78	74	0	0.936314911	0	0	0	0	0	0	0	0	0	0	3
79	75	0	0.948318948	0	0	0	0	0	0	0	0	0	0	3
80	76	0	0.960322986	0	0	0	0	0	0	0	0	0	0	3
81	77	0	0.972327023	0	0	0	0	0	0	0	0	0	0	3
82	78	0	0.98433106	0	0	0	0	0	0	0	0	0	0	3
83	78	0	0.996335098	0	0	0	0	0	0	0	0	0	0	3
84	79	0	1.00833913	0	0	0	0	0	0.001	0	0	0	0	3
85	80	0	1.02034317	0	0	0	0	0	0.001	0	0	0	0	3
86	81	0	1.03234721	0	0	0	0	0	0.001	0	0	0	0	3
87	82	0	1.04435125	0	0	0	0	0	0.001	0	0	0	0	3
88	83	0	1.05635528	0	0	0	0	0	0.001	0	0	0	0	3
89	84	0	1.06835932	0	0	0	0	0	0.001	0	0	0	0	3
90	85	0	1.08036336	0	0	0	0	0	0.001	0	0	0	0	3
91	86	0	1.0923674	0	0	0	0	0	0.001	0	0	0	0	3
92	87	0	1.10437143	0	0	0	0	0	0.001	0	0	0	0	3
93	88	0	1.11637547	0	0	0	0	0	0.001	0	0	0	0	3
94	88	0	1.12837951	0	0	0	0	0	0.001	0	0	0	0	3
