Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	101326.442	101326.442	101326.442	101326.442	0	0	0	0	0	0	3
2	4	0	0.0240080746	101324.984	101325.713	101324.984	101326.442	0.728979836	0	0	0	0	0	3
3	5	0	0.036012112	101325.082	101325.502	101324.984	101326.442	0.939080613	0	0	0	0	0	3
4	6	0	0.0480161493	101325.057	101325.391	101324.984	101326.442	1.05031329	0	0	0	0	0	3
5	7	0	0.0600201866	101325.051	101325.323	101324.984	101326.442	1.1182522	0	0	0	0	0	3
6	8	0	0.0720242239	101325.044	101325.277	101324.984	101326.442	1.16487132	0	0	0	0	0	3
7	8	0	0.0840282612	101325.065	101325.246	101324.984	101326.442	1.1950638	0	0	0	0	0	3
8	9	0	0.0960322986	101325.044	101325.221	101324.984	101326.442	1.22031136	0	0	0	0	0	3
9	10	0	0.108036336	101325.067	101325.204	101324.984	101326.442	1.23746921	0	0	0	0	0	3
10	11	0	0.120040373	101325.039	101325.188	101324.984	101326.442	1.25395886	0	0	0	0	0	3
11	12	0	0.132044411	101325.06	101325.176	101324.984	101326.442	1.26551425	0	0	0	0	0	3
12	13	0	0.144048448	101325.036	101325.164	101324.984	101326.442	1.27716595	0	0	0	0	0	3
13	14	0	0.156052485	101325.057	101325.156	101324.984	101326.442	1.28540415	0	0	0	0	0	3
14	15	0	0.168056522	101325.031	101325.147	101324.984	101326.442	1.29436376	0	0	0	0	0	3
15	16	0	0.18006056	101325.045	101325.14	101324.984	101326.442	1.3012015	0	0	0	0	0	3
16	17	0	0.192064597	101325.027	101325.133	101324.984	101326.442	1.30827785	0	0	0	0	0	3
17	18	0	0.204068634	101325.04	101325.128	101324.984	101326.442	1.31376076	0	0	0	0	0	3
18	18	0	0.216072672	101325.026	101325.122	101324.984	101326.442	1.31942486	0	0	0	0	0	3
19	19	0	0.228076709	101325.034	101325.117	101324.984	101326.442	1.32406841	0	0	0	0	0	3
20	20	0	0.240080746	101325.028	101325.113	101324.984	101326.442	1.32851935	0	0	0	0	0	3
21	21	0	0.252084784	101325.032	101325.109	101324.984	101326.442	1.33239325	0	0	0	0	0	3
22	22	0	0.264088821	101325.031	101325.106	101324.984	101326.442	1.33592351	0	0	0	0	0	3
23	23	0	0.276092858	101325.031	101325.102	101324.984	101326.442	1.33915396	0	0	0	0	0	3
24	24	0	0.288096896	101325.027	101325.099	101324.984	101326.442	1.34229084	0	0	0	0	0	3
25	25	0	0.300100933	101325.025	101325.096	101324.984	101326.442	1.34527028	0	0	0	0	0	3
26	26	0	0.31210497	101325.019	101325.093	101324.984	101326.442	1.34824529	0	0	0	0	0	3
