Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120040373	293.19999	293.19999	293.19999	293.19999	0	0	0	0	0	0	3
2	4	0	0.0240080746	293.199972	293.199981	293.199972	293.19999	8.84496251e-06	0	0	0	0	0	3
3	5	0	0.036012112	293.19997	293.199977	293.19997	293.19999	1.25209149e-05	0	0	0	0	0	3
4	6	0	0.0480161493	293.199965	293.199974	293.199965	293.19999	1.54903269e-05	0	0	0	0	0	3
5	7	0	0.0600201866	293.199961	293.199971	293.199961	293.19999	1.81732779e-05	0	0	0	0	0	3
6	8	0	0.0720242239	293.199952	293.199968	293.199952	293.19999	2.13397291e-05	0	0	0	0	0	3
7	8	0	0.0840282612	293.199943	293.199965	293.199943	293.19999	2.49976043e-05	0	0	0	0	0	3
8	9	0	0.0960322986	293.199933	293.199961	293.199933	293.19999	2.90022344e-05	0	0	0	0	0	3
9	10	0	0.108036336	293.199923	293.199956	293.199923	293.19999	3.31666575e-05	0	0	0	0	0	3
10	11	0	0.120040373	293.199914	293.199952	293.199914	293.19999	3.74041628e-05	0	0	0	0	0	3
11	12	0	0.132044411	293.199904	293.199948	293.199904	293.19999	4.17635865e-05	0	0	0	0	0	3
12	13	0	0.144048448	293.199895	293.199944	293.199895	293.19999	4.61320956e-05	0	0	0	0	0	3
13	14	0	0.156052485	293.199888	293.199939	293.199888	293.19999	5.03941523e-05	0	0	0	0	0	3
14	15	0	0.168056522	293.199881	293.199935	293.199881	293.19999	5.45444768e-05	0	0	0	0	0	3
15	16	0	0.18006056	293.199876	293.199931	293.199876	293.19999	5.85084259e-05	0	0	0	0	0	3
16	17	0	0.192064597	293.199868	293.199927	293.199868	293.19999	6.24461767e-05	0	0	0	0	0	3
17	18	0	0.204068634	293.199862	293.199923	293.199862	293.19999	6.62853642e-05	0	0	0	0	0	3
18	18	0	0.216072672	293.199856	293.19992	293.199856	293.19999	7.00094065e-05	0	0	0	0	0	3
19	19	0	0.228076709	293.199851	293.199916	293.199851	293.19999	7.361384e-05	0	0	0	0	0	3
20	20	0	0.240080746	293.199846	293.199913	293.199846	293.19999	7.7119256e-05	0	0	0	0	0	3
21	21	0	0.252084784	293.199838	293.199909	293.199838	293.19999	8.06553499e-05	0	0	0	0	0	3
22	22	0	0.264088821	293.19983	293.199905	293.19983	293.19999	8.42473532e-05	0	0	0	0	0	3
23	23	0	0.276092858	293.19982	293.199902	293.19982	293.19999	8.79396537e-05	0	0	0	0	0	3
24	24	0	0.288096896	293.199809	293.199898	293.199809	293.19999	9.1783042e-05	0	0	0	0	0	3
25	25	0	0.300100933	293.199797	293.199894	293.199797	293.19999	9.58243904e-05	0	0	0	0	0	3
26	26	0	0.31210497	293.199774	293.199889	293.199774	293.19999	0.000100424017	0	0	0	0	0	3
27	27	0	0.324109008	293.199748	293.199884	293.199748	293.19999	0.000105649961	0	0	0	0	0	3
28	28	0	0.336113045	293.199719	293.199878	293.199719	293.19999	0.000111552739	0	0	0	0	0	3
29	29	0	0.348117082	293.199687	293.199871	293.199687	293.19999	0.000118141912	0	0	0	0	0	3
30	30	0	0.36012112	293.199653	293.199864	293.199653	293.19999	0.000125428167	0	0	0	0	0	3
31	31	0	0.372125157	293.199601	293.199856	293.199601	293.19999	0.00013390447	0	0	0	0	0	3
32	32	0	0.384129194	293.199553	293.199846	293.199553	293.19999	0.000143353736	0	0	0	0	0	3
33	33	0	0.396133232	293.199511	293.199836	293.199511	293.19999	0.000153509184	0	0	0	0	0	3
34	34	0	0.408137269	293.199476	293.199826	293.199476	293.19999	0.000164087889	0	0	0	0	0	3
35	34	0	0.420141306	293.19945	293.199815	293.19945	293.19999	0.000174808498	0	0	0	0	0	3
36	35	0	0.432145344	293.199428	293.199804	293.199428	293.19999	0.0001855589	0	0	0	0	0	3
37	36	0	0.444149381	293.199418	293.199794	293.199418	293.19999	0.000195995436	0	0	0	0	0	3
38	37	0	0.456153418	293.199415	293.199784	293.199415	293.19999	0.000205946669	0	0	0	0	0	3
39	38	0	0.468157455	293.199417	293.199774	293.199415	293.19999	0.000215339824	0	0	0	0	0	3
40	39	0	0.480161493	293.19942	293.199765	293.199415	293.19999	0.000224196079	0	0	0	0	0	3
41	40	0	0.49216553	293.199419	293.199757	293.199415	293.19999	0.000232640327	0	0	0	0	0	3
42	41	0	0.504169567	293.19942	293.199749	293.199415	293.19999	0.000240654946	0	0	0	0	0	3
43	42	0	0.516173605	293.199417	293.199735	293.199415	293.199972	0.000245443911	0	0	0	0	0	3
44	43	0	0.528177642	293.199417	293.199722	293.199415	293.19997	0.000254978709	0	0	0	0	0	3
45	44	0	0.540181679	293.199414	293.199709	293.199414	293.199965	0.000265248156	0	0	0	0	0	3
46	45	0	0.552185717	293.199414	293.199696	293.199414	293.199961	0.000275687457	0	0	0	0	0	3
47	46	0	0.564189754	293.199414	293.199683	293.199414	293.199952	0.000285529503	0	0	0	0	0	3
48	47	0	0.576193791	293.199415	293.19967	293.199414	293.199943	0.000294671755	0	0	0	0	0	3
49	48	0	0.588197829	293.199416	293.199657	293.199414	293.199933	0.000303216586	0	0	0	0	0	3
50	49	0	0.600201866	293.199415	293.199645	293.199414	293.199923	0.000311365789	0	0	0	0	0	3
51	50	0	0.612205903	293.199412	293.199633	293.199412	293.199914	0.000319305588	0	0	0	0	0	3
52	51	0	0.624209941	293.199409	293.199621	293.199409	293.199904	0.00032698111	0	0	0	0	0	3
53	52	0	0.636213978	293.199407	293.199609	293.199407	293.199895	0.000334459671	0	0	0	0	0	3
54	53	0	0.648218015	293.199405	293.199597	293.199405	293.199888	0.000341881675	0	0	0	0	0	3
55	53	0	0.660222053	293.199406	293.199586	293.199405	293.199881	0.000349220677	0	0	0	0	0	3
56	54	0	0.67222609	293.199407	293.199575	293.199405	293.199876	0.000356541893	0	0	0	0	0	3
57	55	0	0.684230127	293.199409	293.199563	293.199405	293.199868	0.000363724975	0	0	0	0	0	3
58	56	0	0.696234165	293.199409	293.199553	293.199405	293.199862	0.000370806394	0	0	0	0	0	3
59	57	0	0.708238202	293.19941	293.199542	293.199405	293.199856	0.000377843975	0	0	0	0	0	3
60	58	0	0.720242239	293.19941	293.199531	293.199405	293.199851	0.000384864626	0	0	0	0	0	3
61	59	0	0.732246277	293.19941	293.199521	293.199405	293.199846	0.000391868851	0	0	0	0	0	3
62	60	0	0.744250314	293.19941	293.19951	293.199405	293.199838	0.000398718521	0	0	0	0	0	3
63	61	0	0.756254351	293.199407	293.1995	293.199405	293.19983	0.000405405576	0	0	0	0	0	3
64	62	0	0.768258388	293.199407	293.19949	293.199405	293.19982	0.000411791565	0	0	0	0	0	3
65	62	0	0.780262426	293.199404	293.19948	293.199404	293.199809	0.000405408667	0	0	0	0	0	3
66	63	0	0.792266463	293.199402	293.19947	293.199402	293.199797	0.000395244906	0	0	0	0	0	3
67	64	0	0.8042705	293.199402	293.199461	293.199402	293.199774	0.000372646965	0	0	0	0	0	3
68	65	0	0.816274538	293.199403	293.199452	293.199402	293.199748	0.000346537144	0	0	0	0	0	3
69	66	0	0.828278575	293.199401	293.199444	293.199401	293.199719	0.000317629851	0	0	0	0	0	3
70	67	0	0.840282612	293.199402	293.199436	293.199401	293.199687	0.000285918868	0	0	0	0	0	3
71	68	0	0.85228665	293.199403	293.199429	293.199401	293.199653	0.000251828008	0	0	0	0	0	3
