Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0120040373
2	4	0	0.0240080746
3	5	0	0.036012112
4	6	0	0.0480161493
5	7	0	0.0600201866
6	8	0	0.0720242239
7	8	0	0.0840282612
8	9	0	0.0960322986
9	10	0	0.108036336
10	11	0	0.120040373
11	12	0	0.132044411
12	13	0	0.144048448
13	14	0	0.156052485
14	15	0	0.168056522
15	16	0	0.18006056
16	17	0	0.192064597
17	18	0	0.204068634
18	18	0	0.216072672
19	19	0	0.228076709
20	20	0	0.240080746
21	21	0	0.252084784
22	22	0	0.264088821
23	23	0	0.276092858
24	24	0	0.288096896
25	25	0	0.300100933
26	26	0	0.31210497
27	27	0	0.324109008
28	28	0	0.336113045
29	29	0	0.348117082
30	30	0	0.36012112
31	31	0	0.372125157
32	32	0	0.384129194
33	33	0	0.396133232
34	34	0	0.408137269
35	34	0	0.420141306
36	35	0	0.432145344
37	36	0	0.444149381
38	37	0	0.456153418
39	38	0	0.468157455
40	39	0	0.480161493
41	40	0	0.49216553
42	41	0	0.504169567
43	42	0	0.516173605
44	43	0	0.528177642
45	44	0	0.540181679
46	45	0	0.552185717
47	46	0	0.564189754
48	47	0	0.576193791
49	48	0	0.588197829
50	49	0	0.600201866
51	50	0	0.612205903
52	51	0	0.624209941
53	52	0	0.636213978
54	53	0	0.648218015
55	53	0	0.660222053
56	54	0	0.67222609
57	55	0	0.684230127
58	56	0	0.696234165
59	57	0	0.708238202
60	58	0	0.720242239
61	59	0	0.732246277
62	60	0	0.744250314
63	61	0	0.756254351
64	62	0	0.768258388
65	62	0	0.780262426
66	63	0	0.792266463
67	64	0	0.8042705
68	65	0	0.816274538
69	66	0	0.828278575
70	67	0	0.840282612
71	68	0	0.85228665
72	69	0	0.864290687
73	70	0	0.876294724
74	70	0	0.888298762
75	71	0	0.900302799
76	72	0	0.912306836
77	73	0	0.924310874
78	74	0	0.936314911
79	75	0	0.948318948
80	76	0	0.960322986
81	77	0	0.972327023
82	78	0	0.98433106
83	78	0	0.996335098
84	79	0	1.00833913
85	80	0	1.02034317
86	81	0	1.03234721
87	82	0	1.04435125
88	83	0	1.05635528
89	84	0	1.06835932
90	85	0	1.08036336
91	86	0	1.0923674
92	87	0	1.10437143
93	88	0	1.11637547
94	88	0	1.12837951
95	89	0	1.14038355
96	90	0	1.15238758
97	91	0	1.16439162
98	92	0	1.17639566
99	93	0	1.18839969
100	94	0	1.20040373
101	95	0	1.21240777
102	96	0	1.22441181
103	97	0	1.23641584
104	98	0	1.24841988
105	99	0	1.26042392
106	100	0	1.27242796
107	101	0	1.28443199
108	101	0	1.29643603
109	102	0	1.30844007
110	103	0	1.32044411
111	104	0	1.33244814
112	105	0	1.34445218
113	106	0	1.35645622
114	107	0	1.36846025
115	108	0	1.38046429
116	109	0	1.39246833
117	109	0	1.40447237
118	110	0	1.4164764
