Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	-0.107303652	-0.107303652	-0.107303652	-0.107303652	0	0	0	0	0	0	3
2	4	0	0.024296714	6.00528416	2.94899025	-0.107303652	6.00528416	3.05629391	0	0	0	0	0	3
3	5	0	0.036445071	3.98948438	3.29582163	-0.107303652	6.00528416	3.40312528	0	0	0	0	0	3
4	5	0	0.0485934281	9.30762239	4.79877182	-0.107303652	9.30762239	4.90607547	0	0	0	0	0	3
5	6	0	0.0607417851	7.45954198	5.33092585	-0.107303652	9.30762239	5.43822951	0	0	0	0	0	3
6	7	0	0.0728901421	9.07525058	5.95497997	-0.107303652	9.30762239	6.06228363	0	0	0	0	0	3
7	8	0	0.0850384991	9.35755833	6.4410626	-0.107303652	9.35755833	6.54836625	0	0	0	0	0	3
8	8	0	0.0971868561	11.8959286	7.12292084	-0.107303652	11.8959286	7.23022449	0	0	0	0	0	3
9	9	0	0.109335213	8.64627912	7.29218287	-0.107303652	11.8959286	7.39948652	0	0	0	0	0	3
10	10	0	0.12148357	14.6629458	8.02925916	-0.107303652	14.6629458	8.13656281	0	0	0	0	0	3
11	10	0	0.133631927	13.0735969	8.48783532	-0.107303652	14.6629458	8.59513897	0	0	0	0	0	3
12	11	0	0.145780284	17.1002418	9.20553586	-0.107303652	17.1002418	9.31283951	0	0	0	0	0	3
13	12	0	0.157928641	5.40427416	8.91313111	-0.107303652	17.1002418	9.31283951	0	0	0	0	0	3
14	12	0	0.170076998	17.095464	9.49758346	-0.107303652	17.1002418	9.60488711	0	0	0	0	0	3
15	13	0	0.182225355	10.4997272	9.56439304	-0.107303652	17.1002418	9.6716967	0	0	0	0	0	3
16	14	0	0.194373712	7.53078337	9.43729244	-0.107303652	17.1002418	9.6716967	0	0	0	0	0	3
17	15	0	0.206522069	16.6831656	9.86352027	-0.107303652	17.1002418	9.97082392	0	0	0	0	0	3
18	15	0	0.218670426	16.8965719	10.2542454	-0.107303652	17.1002418	10.361549	0	0	0	0	0	3
19	16	0	0.230818783	10.3498821	10.2592789	-0.107303652	17.1002418	10.3665825	0	0	0	0	0	3
20	17	0	0.24296714	10.2470748	10.2586687	-0.107303652	17.1002418	10.3665825	0	0	0	0	0	3
21	17	0	0.255115497	12.4054001	10.360894	-0.107303652	17.1002418	10.4681976	0	0	0	0	0	3
22	18	0	0.267263854	16.2772512	10.6298193	-0.107303652	17.1002418	10.737123	0	0	0	0	0	3
23	19	0	0.279412211	12.8202842	10.7250569	-0.107303652	17.1002418	10.8323606	0	0	0	0	0	3
24	20	0	0.291560568	15.7461012	10.9342671	-0.107303652	17.1002418	11.0415707	0	0	0	0	0	3
25	20	0	0.303708925	13.2111956	11.0253442	-0.107303652	17.1002418	11.1326479	0	0	0	0	0	3
26	21	0	0.315857282	15.7312263	11.2063397	-0.107303652	17.1002418	11.3136433	0	0	0	0	0	3
27	22	0	0.328005639	13.9031829	11.3062228	-0.107303652	17.1002418	11.4135264	0	0	0	0	0	3
28	23	0	0.340153996	15.5547843	11.4579571	-0.107303652	17.1002418	11.5652608	0	0	0	0	0	3
29	23	0	0.352302353	14.0029107	11.5457141	-0.107303652	17.1002418	11.6530178	0	0	0	0	0	3
30	24	0	0.36445071	15.7597945	11.6861835	-0.107303652	17.1002418	11.7934871	0	0	0	0	0	3
31	25	0	0.376599067	14.9505685	11.7914862	-0.107303652	17.1002418	11.8987899	0	0	0	0	0	3
32	26	0	0.388747425	15.3855161	11.9037997	-0.107303652	17.1002418	12.0111033	0	0	0	0	0	3
33	26	0	0.400895782	14.1330982	11.9713542	-0.107303652	17.1002418	12.0786578	0	0	0	0	0	3
34	27	0	0.413044139	15.1278241	12.0641915	-0.107303652	17.1002418	12.1714952	0	0	0	0	0	3
35	28	0	0.425192496	14.3289153	12.1288979	-0.107303652	17.1002418	12.2362016	0	0	0	0	0	3
36	29	0	0.437340853	15.315864	12.2174247	-0.107303652	17.1002418	12.3247284	0	0	0	0	0	3
37	29	0	0.44948921	14.5522459	12.280528	-0.107303652	17.1002418	12.3878317	0	0	0	0	0	3
38	30	0	0.461637567	15.0972348	12.3546519	-0.107303652	17.1002418	12.4619555	0	0	0	0	0	3
39	31	0	0.473785924	14.4852581	12.4092828	-0.107303652	17.1002418	12.5165865	0	0	0	0	0	3
40	32	0	0.485934281	15.655446	12.4904369	-0.107303652	17.1002418	12.5977405	0	0	0	0	0	3
41	33	0	0.498082638	14.7826993	12.5463457	-0.107303652	17.1002418	12.6536494	0	0	0	0	0	3
42	34	0	0.510230995	15.2176005	12.609947	-0.107303652	17.1002418	12.7172507	0	0	0	0	0	3
43	35	0	0.522379352	14.8563872	12.9662254	3.98948438	17.1002418	10.0172351	0	0	0	0	0	3
44	35	0	0.534527709	15.405515	13.1900404	3.98948438	17.1002418	9.89421878	0	0	0	0	0	3
45	36	0	0.546676066	15.3036449	13.4594252	5.40427416	17.1002418	8.66065336	0	0	0	0	0	3
46	37	0	0.558824423	16.2812403	13.6254637	5.40427416	17.1002418	8.29453785	0	0	0	0	0	3
47	38	0	0.57097278	15.7092138	13.8218845	5.40427416	17.1002418	7.86690449	0	0	0	0	0	3
