Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	3081.74506	3081.74506	3081.74506	3081.74506	0	0	0	0	0	0	3
2	4	0	0.024296714	277.674362	1679.70971	277.674362	3081.74506	1402.03535	0	0	0	0	0	3
3	5	0	0.036445071	21.7374889	1127.05231	21.7374889	3081.74506	1954.69276	0	0	0	0	0	3
4	5	0	0.0485934281	26.5197794	851.919174	21.7374889	3081.74506	2229.82589	0	0	0	0	0	3
5	6	0	0.0607417851	4.07929827	682.351199	4.07929827	3081.74506	2399.39387	0	0	0	0	0	3
6	7	0	0.0728901421	3.18337743	569.156562	3.18337743	3081.74506	2512.5885	0	0	0	0	0	3
7	8	0	0.0850384991	-17.1668028	485.396081	-17.1668028	3081.74506	2596.34898	0	0	0	0	0	3
8	8	0	0.0971868561	-24.9777446	421.599353	-24.9777446	3081.74506	2660.14571	0	0	0	0	0	3
9	9	0	0.109335213	-38.604418	370.465601	-38.604418	3081.74506	2711.27946	0	0	0	0	0	3
10	10	0	0.12148357	-37.7432269	329.644718	-38.604418	3081.74506	2752.10035	0	0	0	0	0	3
11	10	0	0.133631927	-35.6887164	296.432587	-38.604418	3081.74506	2785.31248	0	0	0	0	0	3
12	11	0	0.145780284	-31.3201853	269.119856	-38.604418	3081.74506	2812.62521	0	0	0	0	0	3
13	12	0	0.157928641	-29.5547978	246.144883	-38.604418	3081.74506	2835.60018	0	0	0	0	0	3
14	12	0	0.170076998	-39.9429666	225.710037	-39.9429666	3081.74506	2856.03503	0	0	0	0	0	3
15	13	0	0.182225355	-33.9627737	208.398516	-39.9429666	3081.74506	2873.34655	0	0	0	0	0	3
16	14	0	0.194373712	-21.1354889	194.052641	-39.9429666	3081.74506	2887.69242	0	0	0	0	0	3
17	15	0	0.206522069	-30.5166778	180.842681	-39.9429666	3081.74506	2900.90238	0	0	0	0	0	3
18	15	0	0.218670426	-20.8507695	169.637489	-39.9429666	3081.74506	2912.10757	0	0	0	0	0	3
19	16	0	0.230818783	-23.4696122	159.473957	-39.9429666	3081.74506	2922.27111	0	0	0	0	0	3
20	17	0	0.24296714	-25.174838	150.241518	-39.9429666	3081.74506	2931.50355	0	0	0	0	0	3
21	17	0	0.255115497	-24.612208	141.91515	-39.9429666	3081.74506	2939.82991	0	0	0	0	0	3
22	18	0	0.267263854	-33.9218049	133.922561	-39.9429666	3081.74506	2947.8225	0	0	0	0	0	3
23	19	0	0.279412211	-34.9239813	126.581407	-39.9429666	3081.74506	2955.16366	0	0	0	0	0	3
24	20	0	0.291560568	-36.8361759	119.772341	-39.9429666	3081.74506	2961.97272	0	0	0	0	0	3
25	20	0	0.303708925	-38.2602793	113.451036	-39.9429666	3081.74506	2968.29403	0	0	0	0	0	3
26	21	0	0.315857282	-37.3604212	107.650595	-39.9429666	3081.74506	2974.09447	0	0	0	0	0	3
27	22	0	0.328005639	-37.5625148	102.272332	-39.9429666	3081.74506	2979.47273	0	0	0	0	0	3
28	23	0	0.340153996	-37.6336963	97.2756882	-39.9429666	3081.74506	2984.46938	0	0	0	0	0	3
29	23	0	0.352302353	-38.1379937	92.6062509	-39.9429666	3081.74506	2989.13881	0	0	0	0	0	3
30	24	0	0.36445071	-37.3735026	88.2735925	-39.9429666	3081.74506	2993.47147	0	0	0	0	0	3
31	25	0	0.376599067	-36.9211516	84.2350523	-39.9429666	3081.74506	2997.51001	0	0	0	0	0	3
32	26	0	0.388747425	-36.3672481	80.4662304	-39.9429666	3081.74506	3001.27883	0	0	0	0	0	3
33	26	0	0.400895782	-37.0848326	76.904077	-39.9429666	3081.74506	3004.84099	0	0	0	0	0	3
34	27	0	0.413044139	-36.6696562	73.5636731	-39.9429666	3081.74506	3008.18139	0	0	0	0	0	3
35	28	0	0.425192496	-36.6863522	70.4136724	-39.9429666	3081.74506	3011.33139	0	0	0	0	0	3
36	29	0	0.437340853	-36.5497383	67.4424665	-39.9429666	3081.74506	3014.3026	0	0	0	0	0	3
37	29	0	0.44948921	-37.4165813	64.6084382	-39.9429666	3081.74506	3017.13663	0	0	0	0	0	3
38	30	0	0.461637567	-37.9615153	61.9092289	-39.9429666	3081.74506	3019.83583	0	0	0	0	0	3
39	31	0	0.473785924	-37.7572539	59.3536781	-39.9429666	3081.74506	3022.39139	0	0	0	0	0	3
40	32	0	0.485934281	-36.5950357	56.9549602	-39.9429666	3081.74506	3024.7901	0	0	0	0	0	3
41	33	0	0.498082638	-36.3402305	54.6794678	-39.9429666	3081.74506	3027.0656	0	0	0	0	0	3
42	34	0	0.510230995	-36.2360701	52.5148121	-39.9429666	3081.74506	3029.23025	0	0	0	0	0	3
43	35	0	0.522379352	-36.9719679	-21.7403553	-39.9429666	277.674362	317.617329	0	0	0	0	0	3
44	35	0	0.534527709	-37.7692034	-29.2509164	-39.9429666	26.5197794	66.462746	0	0	0	0	0	3
45	36	0	0.546676066	-37.7381879	-30.667004	-39.9429666	26.5197794	66.462746	0	0	0	0	0	3
46	37	0	0.558824423	-37.7496268	-32.1972279	-39.9429666	4.07929827	44.0222648	0	0	0	0	0	3
47	38	0	0.57097278	-37.7676432	-33.1935837	-39.9429666	3.18337743	43.126344	0	0	0	0	0	3
48	39	0	0.583121137	-37.9589493	-34.1731629	-39.9429666	-17.1668028	22.7761638	0	0	0	0	0	3
49	39	0	0.595269494	-38.1491622	-34.6727429	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
50	40	0	0.607417851	-38.1770236	-34.9870114	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
51	41	0	0.619566208	-38.5314631	-34.9852744	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
52	42	0	0.631714565	-38.2930063	-34.9983644	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
53	43	0	0.643862922	-38.7828297	-35.0720337	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
54	43	0	0.656011279	-38.2355632	-35.2366856	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
55	44	0	0.668159636	-38.4228095	-35.4478287	-39.9429666	-20.8507695	19.092197	0	0	0	0	0	3
56	45	0	0.680307993	-37.9103412	-35.3994329	-38.7828297	-20.8507695	17.9320602	0	0	0	0	0	3
57	46	0	0.69245635	-37.951464	-35.4944017	-38.7828297	-20.8507695	17.9320602	0	0	0	0	0	3
58	46	0	0.704604707	-37.8983217	-35.8935168	-38.7828297	-20.8507695	17.9320602	0	0	0	0	0	3
59	47	0	0.716753064	-38.2657611	-36.0780188	-38.7828297	-20.8507695	17.9320602	0	0	0	0	0	3
60	48	0	0.728901421	-38.188921	-36.4908319	-38.7828297	-23.4696122	15.3132175	0	0	0	0	0	3
61	49	0	0.741049778	-37.9354391	-36.8352563	-38.7828297	-24.612208	14.1706217	0	0	0	0	0	3
62	50	0	0.753198135	-37.7422569	-37.1344806	-38.7828297	-24.612208	14.1706217	0	0	0	0	0	3
63	50	0	0.765346492	-38.0268897	-37.4538778	-38.7828297	-33.9218049	4.86102479	0	0	0	0	0	3
64	51	0	0.777494849	-38.0542241	-37.5522687	-38.7828297	-34.9239813	3.85884842	0	0	0	0	0	3
65	52	0	0.789643206	-37.9022663	-37.6231803	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
66	53	0	0.801791563	-38.1507739	-37.6544802	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
67	53	0	0.81393992	-38.3380357	-37.6563315	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
68	54	0	0.826088277	-38.3671546	-37.6803014	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
69	55	0	0.838236634	-38.3769386	-37.6996924	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
70	56	0	0.850384991	-37.9088369	-37.7062434	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
71	57	0	0.862533348	-37.8975217	-37.7005179	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
72	57	0	0.874681705	-37.6967158	-37.7082134	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
73	58	0	0.886830062	-37.8129298	-37.7294462	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
74	59	0	0.898978419	-37.6635934	-37.7603116	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
75	60	0	0.911126776	-37.9399605	-37.7806718	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
76	60	0	0.923275133	-38.2712007	-37.8188038	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
77	61	0	0.93542349	-38.3979006	-37.859555	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
78	62	0	0.947571847	-38.643897	-37.9094159	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
79	63	0	0.959720204	-38.7526329	-37.9412266	-38.7828297	-36.2360701	2.54675958	0	0	0	0	0	3
80	63	0	0.971868561	-38.7925711	-37.9610137	-38.7925711	-36.2360701	2.55650095	0	0	0	0	0	3
81	64	0	0.984016918	-39.3329123	-37.9985294	-39.3329123	-36.2360701	3.09684218	0	0	0	0	0	3
82	65	0	0.996165275	-39.2318797	-38.0613114	-39.3329123	-36.2360701	3.09684218	0	0	0	0	0	3
83	66	0	1.00831363	-39.2002032	-38.1294059	-39.3329123	-36.2360701	3.09684218	1.99388238	0	64.3	0	0	3
84	66	0	1.02046199	-38.5906659	-38.1854677	-39.3329123	-36.9719679	2.36094439	1.99388238	0	84.4	0	0	3
85	67	0	1.03261035	-38.5674793	-38.2234561	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
86	68	0	1.0447587	-38.7090217	-38.2458327	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
87	69	0	1.05690706	-38.7209566	-38.269232	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
88	69	0	1.06905542	-38.457748	-38.286092	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
89	70	0	1.08120377	-38.2730499	-38.2981255	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
90	71	0	1.09335213	-38.2709369	-38.3055538	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
91	72	0	1.10550049	-38.7155747	-38.3190398	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
92	72	0	1.11764885	-38.7025594	-38.3315526	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
93	73	0	1.1297972	-38.7154243	-38.3359326	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
94	74	0	1.14194556	-38.9347198	-38.3512115	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
95	75	0	1.15409392	-39.0209105	-38.3568801	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
96	75	0	1.16624227	-38.7404288	-38.3689007	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
97	76	0	1.17839063	-38.0955059	-38.3611077	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
98	77	0	1.19053899	-37.8411111	-38.3594594	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
99	77	0	1.20268734	-37.8604202	-38.3572917	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
100	78	0	1.2148357	-37.8684009	-38.3565793	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
101	79	0	1.22698406	-38.0060622	-38.350396	-39.3329123	-37.6635934	1.66931885	1.99388238	0	100	0	0	3
102	80	0	1.23913242	-38.3615285	-38.3545057	-39.3329123	-37.6635934	1.53364435	1.99388238	0	100	0	0	3
103	81	0	1.25128077	-38.9696775	-38.3791304	-39.3329123	-37.6635934	1.24464983	1.99388238	0	100	0	0	3
104	82	0	1.26342913	-38.805919	-38.4044557	-39.3329123	-37.6635934	0.950577935	1.99388238	0	100	0	0	3
105	82	0	1.27557749	-38.9540902	-38.4265319	-39.3329123	-37.6635934	0.874263205	1.99388238	0	100	0	0	3
106	83	0	1.28772584	-38.7131036	-38.4422195	-39.3329123	-37.6635934	0.819039265	1.99388238	0	100	0	0	3
107	84	0	1.2998742	-38.991706	-38.4681586	-39.3329123	-37.6635934	0.813678353	1.99388238	0	100	0	0	3
