Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.012148357	-2527.17274	-2527.17274	-2527.17274	-2527.17274	0	0	0	0	0	0	3
2	4	0	0.024296714	-321.662734	-1424.41774	-2527.17274	-321.662734	1102.75501	0	0	0	0	0	3
3	5	0	0.036445071	-122.34148	-990.392319	-2527.17274	-122.34148	1536.78043	0	0	0	0	0	3
4	5	0	0.0485934281	-78.9181937	-762.523788	-2527.17274	-78.9181937	1764.64896	0	0	0	0	0	3
5	6	0	0.0607417851	-91.9777656	-628.414584	-2527.17274	-78.9181937	1898.75816	0	0	0	0	0	3
6	7	0	0.0728901421	-80.2378834	-537.0518	-2527.17274	-78.9181937	1990.12094	0	0	0	0	0	3
7	8	0	0.0850384991	-79.3924311	-471.67189	-2527.17274	-78.9181937	2055.50085	0	0	0	0	0	3
8	8	0	0.0971868561	-71.0614092	-421.59558	-2527.17274	-71.0614092	2105.57716	0	0	0	0	0	3
9	9	0	0.109335213	-71.9120797	-382.741858	-2527.17274	-71.0614092	2144.43089	0	0	0	0	0	3
10	10	0	0.12148357	-66.2437536	-351.092047	-2527.17274	-66.2437536	2176.0807	0	0	0	0	0	3
11	10	0	0.133631927	-67.5949744	-325.319586	-2527.17274	-66.2437536	2201.85316	0	0	0	0	0	3
12	11	0	0.145780284	-64.6210899	-303.594712	-2527.17274	-64.6210899	2223.57803	0	0	0	0	0	3
13	12	0	0.157928641	-66.4641562	-285.3539	-2527.17274	-64.6210899	2241.81885	0	0	0	0	0	3
14	12	0	0.170076998	-64.1380673	-269.552769	-2527.17274	-64.1380673	2257.61998	0	0	0	0	0	3
15	13	0	0.182225355	-65.697965	-255.962449	-2527.17274	-64.1380673	2271.2103	0	0	0	0	0	3
16	14	0	0.194373712	-63.72888	-243.94785	-2527.17274	-63.72888	2283.22489	0	0	0	0	0	3
17	15	0	0.206522069	-63.2448425	-233.318262	-2527.17274	-63.2448425	2293.85448	0	0	0	0	0	3
18	15	0	0.218670426	-62.2070037	-223.812081	-2527.17274	-62.2070037	2303.36066	0	0	0	0	0	3
19	16	0	0.230818783	-61.3316105	-215.260477	-2527.17274	-61.3316105	2311.91227	0	0	0	0	0	3
20	17	0	0.24296714	-61.4564647	-207.570276	-2527.17274	-61.3316105	2319.60247	0	0	0	0	0	3
21	17	0	0.255115497	-59.7400328	-200.530741	-2527.17274	-59.7400328	2326.642	0	0	0	0	0	3
22	18	0	0.267263854	-59.2684798	-194.109729	-2527.17274	-59.2684798	2333.06302	0	0	0	0	0	3
23	19	0	0.279412211	-57.8194255	-188.184064	-2527.17274	-57.8194255	2338.98868	0	0	0	0	0	3
24	20	0	0.291560568	-57.9066094	-182.755837	-2527.17274	-57.8194255	2344.41691	0	0	0	0	0	3
25	20	0	0.303708925	-56.5283251	-177.706736	-2527.17274	-56.5283251	2349.46601	0	0	0	0	0	3
26	21	0	0.315857282	-56.7188614	-173.053356	-2527.17274	-56.5283251	2354.11939	0	0	0	0	0	3
27	22	0	0.328005639	-55.9837575	-168.717445	-2527.17274	-55.9837575	2358.4553	0	0	0	0	0	3
28	23	0	0.340153996	-56.1791803	-164.698221	-2527.17274	-55.9837575	2362.47452	0	0	0	0	0	3
29	23	0	0.352302353	-55.4564224	-160.931263	-2527.17274	-55.4564224	2366.24148	0	0	0	0	0	3
30	24	0	0.36445071	-55.3548137	-157.412048	-2527.17274	-55.3548137	2369.7607	0	0	0	0	0	3
31	25	0	0.376599067	-54.8488438	-154.103557	-2527.17274	-54.8488438	2373.06919	0	0	0	0	0	3
32	26	0	0.388747425	-54.8684176	-151.002459	-2527.17274	-54.8488438	2376.17029	0	0	0	0	0	3
33	26	0	0.400895782	-53.7862371	-148.056513	-2527.17274	-53.7862371	2379.11623	0	0	0	0	0	3
34	27	0	0.413044139	-53.7968	-145.284169	-2527.17274	-53.7862371	2381.88858	0	0	0	0	0	3
35	28	0	0.425192496	-53.387392	-142.658546	-2527.17274	-53.387392	2384.5142	0	0	0	0	0	3
36	29	0	0.437340853	-53.3094531	-140.176627	-2527.17274	-53.3094531	2386.99612	0	0	0	0	0	3
37	29	0	0.44948921	-52.917515	-137.818273	-2527.17274	-52.917515	2389.35447	0	0	0	0	0	3
38	30	0	0.461637567	-52.6972324	-135.578245	-2527.17274	-52.6972324	2391.5945	0	0	0	0	0	3
39	31	0	0.473785924	-52.6038288	-133.450696	-2527.17274	-52.6038288	2393.72205	0	0	0	0	0	3
40	32	0	0.485934281	-52.62204	-131.42998	-2527.17274	-52.6038288	2395.74277	0	0	0	0	0	3
41	33	0	0.498082638	-52.5484891	-129.506041	-2527.17274	-52.5484891	2397.6667	0	0	0	0	0	3
42	34	0	0.510230995	-52.3201192	-127.668281	-2527.17274	-52.3201192	2399.50446	0	0	0	0	0	3
43	35	0	0.522379352	-52.0951477	-68.7378621	-321.662734	-52.0951477	269.567586	0	0	0	0	0	3
44	35	0	0.534527709	-51.7925728	-62.3123821	-122.34148	-51.7925728	70.5489071	0	0	0	0	0	3
45	36	0	0.546676066	-51.7253126	-60.6310448	-91.9777656	-51.7253126	40.252453	0	0	0	0	0	3
46	37	0	0.558824423	-51.6851492	-59.9826389	-91.9777656	-51.6851492	40.2926164	0	0	0	0	0	3
47	38	0	0.57097278	-51.7442271	-59.0246975	-80.2378834	-51.6851492	28.5527342	0	0	0	0	0	3
48	39	0	0.583121137	-51.6518313	-58.3440772	-79.3924311	-51.6518313	27.7405998	0	0	0	0	0	3
49	39	0	0.595269494	-51.5464162	-57.6810769	-71.9120797	-51.5464162	20.3656636	0	0	0	0	0	3
50	40	0	0.607417851	-51.434677	-57.2137737	-71.9120797	-51.434677	20.4774027	0	0	0	0	0	3
51	41	0	0.619566208	-51.3111654	-56.7232758	-67.5949744	-51.3111654	16.283809	0	0	0	0	0	3
52	42	0	0.631714565	-51.2754614	-56.3668879	-67.5949744	-51.2754614	16.319513	0	0	0	0	0	3
53	43	0	0.643862922	-51.2054719	-55.9766616	-66.4641562	-51.2054719	15.2586843	0	0	0	0	0	3
54	43	0	0.656011279	-51.1355286	-55.6555768	-66.4641562	-51.1355286	15.3286276	0	0	0	0	0	3
55	44	0	0.668159636	-51.0130185	-55.2876926	-65.697965	-51.0130185	14.6849464	0	0	0	0	0	3
56	45	0	0.680307993	-51.0416003	-54.975872	-65.697965	-51.0130185	14.6849464	0	0	0	0	0	3
57	46	0	0.69245635	-51.0086515	-54.6261264	-63.72888	-51.0086515	12.7202285	0	0	0	0	0	3
58	46	0	0.704604707	-50.9607496	-54.3221233	-63.2448425	-50.9607496	12.2840928	0	0	0	0	0	3
59	47	0	0.716753064	-50.9315551	-54.0289498	-62.2070037	-50.9315551	11.2754485	0	0	0	0	0	3
60	48	0	0.728901421	-50.8912532	-53.7595272	-61.4564647	-50.8912532	10.5652115	0	0	0	0	0	3
61	49	0	0.741049778	-50.8655234	-53.5103346	-61.4564647	-50.8655234	10.5909412	0	0	0	0	0	3
62	50	0	0.753198135	-50.8496152	-53.2577906	-59.7400328	-50.8496152	8.89041766	0	0	0	0	0	3
63	50	0	0.765346492	-50.9035769	-53.0473988	-59.2684798	-50.8496152	8.41886465	0	0	0	0	0	3
64	51	0	0.777494849	-50.8106831	-52.8460227	-57.9066094	-50.8106831	7.09592631	0	0	0	0	0	3
65	52	0	0.789643206	-50.804379	-52.6789977	-57.9066094	-50.804379	7.10223042	0	0	0	0	0	3
66	53	0	0.801791563	-50.7718145	-52.5091217	-56.7188614	-50.7718145	5.94704689	0	0	0	0	0	3
67	53	0	0.81393992	-50.7743871	-52.3721231	-56.7188614	-50.7718145	5.94704689	0	0	0	0	0	3
68	54	0	0.826088277	-50.7189019	-52.229267	-56.1791803	-50.7189019	5.46027836	0	0	0	0	0	3
69	55	0	0.838236634	-50.7721544	-52.1051812	-56.1791803	-50.7189019	5.46027836	0	0	0	0	0	3
70	56	0	0.850384991	-50.8344397	-51.9779255	-55.4564224	-50.7189019	4.7375205	0	0	0	0	0	3
71	57	0	0.862533348	-50.9027463	-51.8695046	-55.3548137	-50.7189019	4.6359118	0	0	0	0	0	3
72	57	0	0.874681705	-50.9449879	-51.7645087	-54.8684176	-50.7189019	4.14951569	0	0	0	0	0	3
73	58	0	0.886830062	-50.9364953	-51.6713576	-54.8684176	-50.7189019	4.14951569	0	0	0	0	0	3
74	59	0	0.898978419	-50.9192561	-51.5773299	-53.7968	-50.7189019	3.07789803	0	0	0	0	0	3
75	60	0	0.911126776	-50.9780949	-51.5104694	-53.7968	-50.7189019	3.07789803	0	0	0	0	0	3
76	60	0	0.923275133	-50.9580733	-51.4428807	-53.387392	-50.7189019	2.66849006	0	0	0	0	0	3
77	61	0	0.93542349	-50.962907	-51.3851548	-53.3094531	-50.7189019	2.59055119	0	0	0	0	0	3
78	62	0	0.947571847	-50.8696826	-51.3270651	-52.917515	-50.7189019	2.19861303	0	0	0	0	0	3
79	63	0	0.959720204	-50.8436168	-51.2776865	-52.6972324	-50.7189019	1.97833045	0	0	0	0	0	3
80	63	0	0.971868561	-50.7914127	-51.2323099	-52.62204	-50.7189019	1.90313806	0	0	0	0	0	3
81	64	0	0.984016918	-50.6938374	-51.1868339	-52.62204	-50.6938374	1.92820262	0	0	0	0	0	3
82	65	0	0.996165275	-50.6817112	-51.1406356	-52.5484891	-50.6817112	1.86677793	0	0	0	0	0	3
83	66	0	1.00831363	-50.7070031	-51.0967907	-52.3201192	-50.6817112	1.63840799	2.14979306	0	100	0	0	3
84	66	0	1.02046199	-50.7579381	-51.0595959	-52.0951477	-50.6817112	1.41343651	2.14979306	0	100	0	0	3
85	67	0	1.03261035	-50.7051108	-51.0264998	-51.7925728	-50.6817112	1.1108616	2.14979306	0	100	0	0	3
86	68	0	1.0447587	-50.7568365	-51.0018394	-51.7442271	-50.6817112	1.06251584	2.14979306	0	100	0	0	3
87	69	0	1.05690706	-50.7386861	-50.9783483	-51.7442271	-50.6817112	1.06251584	2.14979306	0	100	0	0	3
88	69	0	1.06905542	-50.7420708	-50.955894	-51.7442271	-50.6817112	1.06251584	2.14979306	0	100	0	0	3
89	70	0	1.08120377	-50.7195793	-50.9314976	-51.6518313	-50.6817112	0.970120067	2.14979306	0	100	0	0	3
90	71	0	1.09335213	-50.6344154	-50.9072735	-51.5464162	-50.6344154	0.912000783	2.14979306	0	100	0	0	3
91	72	0	1.10550049	-50.6913828	-50.8869155	-51.434677	-50.6344154	0.800261642	2.14979306	0	100	0	0	3
92	72	0	1.11764885	-50.6143453	-50.8673838	-51.3111654	-50.6143453	0.696820082	2.14979306	0	100	0	0	3
93	73	0	1.1297972	-50.6808547	-50.8523764	-51.2754614	-50.6143453	0.661116051	2.14979306	0	100	0	0	3
94	74	0	1.14194556	-50.6717739	-50.8380029	-51.2054719	-50.6143453	0.591126614	2.14979306	0	100	0	0	3
95	75	0	1.15409392	-50.7376824	-50.8268651	-51.1355286	-50.6143453	0.521183292	2.14979306	0	100	0	0	3
96	75	0	1.16624227	-50.7562116	-50.8178337	-51.0416003	-50.6143453	0.427254952	2.14979306	0	100	0	0	3
97	76	0	1.17839063	-50.8291116	-50.813455	-51.0416003	-50.6143453	0.427254952	2.14979306	0	100	0	0	3
98	77	0	1.19053899	-50.8218732	-50.8082234	-51.0086515	-50.6143453	0.394306154	2.14979306	0	100	0	0	3
99	77	0	1.20268734	-50.8476581	-50.8043902	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
100	78	0	1.2148357	-50.8196813	-50.8010314	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
101	79	0	1.22698406	-50.7897322	-50.7976547	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
102	80	0	1.23913242	-50.7755859	-50.7949007	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
103	81	0	1.25128077	-50.7206107	-50.7914504	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
104	82	0	1.26342913	-50.776677	-50.7897138	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
105	82	0	1.27557749	-50.7989693	-50.7872231	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
106	83	0	1.28772584	-50.7760225	-50.7863979	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
107	84	0	1.2998742	-50.6813631	-50.7834689	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
108	85	0	1.31202256	-50.7429061	-50.7827806	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
109	85	0	1.32417091	-50.7197551	-50.7814799	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
110	86	0	1.33631927	-50.6545266	-50.7799471	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
111	87	0	1.34846763	-50.7548655	-50.7795355	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
112	87	0	1.36061599	-50.7436188	-50.7773731	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
113	88	0	1.37276434	-50.8115019	-50.7752006	-50.9780949	-50.6143453	0.363749594	2.14979306	0	100	0	0	3
